gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
4040710300,win,Ranked Solo,2021-09-13 09:18:38,21m 16s,4,2,8,6.00:1,MVP,empty,LeBlanc,Grandmaster,empty,Irelia,GeneralSn1per,Xin Zhao,Yi Du Zi Qi,Cassiopeia,Sweet Tangerine,Ezreal,REDGOD SEVEN,Rakan,Yesterkan,Tryndamere,Kurose,Kindred,AllGirlsRTheSame,LeBlanc,Go ln With Me,Ziggs,ControlMageEGirl,Rell,Oh ill Nam
4039559777,lose,Ranked Solo,2021-09-12 09:00:20,34m 42s,3,6,4,1.17:1,empty,empty,Kog'Maw,Grandmaster,empty,Jax,safdge,Ekko,sheiden fan1,Talon,Shupian,Cassiopeia,Johnsun123,Bard,TSM FTX Donbray,Vayne,ask 4 soundcloud,Viego,Iet me carry,Kog'Maw,Go ln With Me,Ziggs,HaaaZe,Nautilus,ChuChuZ
4039401897,win,Ranked Solo,2021-09-12 07:30:50,20m 22s,4,3,5,3.00:1,MVP,empty,Yone,Master,empty,Kennen,safdge,Ivern,CarryingPB,Yone,Go ln With Me,Tristana,Sum,Blitzcrank,1ove Are,Gragas,PSG MESSI,Olaf,wong diff,Lucian,trdblaster,Veigar,rank1mandingo,Bard,weakside crab
4039328011,lose,Ranked Solo,2021-09-12 06:57:11,24m 19s,5,2,3,4.00:1,ACE,empty,Yone,Grandmaster,empty,Shen,UnDankDragon,Hecarim,DarbBarf,Draven,Kittisaur,Syndra,oota,Soraka,The Tank Man,Tryndamere,HLE Arthur,Xin Zhao,nifty jg,Yone,Go ln With Me,Ziggs,ask 4 soundcloud,Yuumi,Pour toujours
4039365567,lose,Ranked Solo,2021-09-12 06:25:39,10m 23s,0,3,0,0.00:1,empty,empty,Cassiopeia,Grandmaster,empty,Cassiopeia,Go ln With Me,Kindred,JungIe is weak,Alistar,Loopk,Xayah,Chad Draven,Fiora,Bob The Robber,Camille,PSG MESSI,Rengar,Wxx REB20201,Sylas,Nemesis9,Kalista,oota,Morgana,Voli Icon
4038603405,win,Ranked Solo,2021-09-11 10:58:21,20m 39s,4,3,3,2.33:1,Double Kill,empty,Vayne,Grandmaster,empty,Fizz,HLE Arthur,Jarvan IV,trdblaster,Ekko,Burento,Samira,Abedz,Sona,Tempos,Lee Sin,black player,Graves,Oronuke,Rumble,cry baby players,Vayne,Go ln With Me,Lulu,1ove Are
4038536885,lose,Ranked Solo,2021-09-11 10:08:19,20m 36s,1,6,2,0.50:1,empty,empty,Kennen,Grandmaster,empty,Camille,Dhokla,Gragas,Oronuke,Twisted Fate,iloveyou1234,Lucian,Rahman Noodles,Blitzcrank,donbray,Kennen,Go ln With Me,Kayn,Sheiden1,Zed,Dclaudzz,Aphelios,oota,Thresh,Loopk
4036558421,win,Ranked Solo,2021-09-09 10:25:51,29m 37s,9,5,8,3.40:1,Triple Kill,empty,Kennen,Grandmaster,empty,Gangplank,Dragoon,Kindred,AllGirlsRTheSame,Ryze,Busio JNG,Aphelios,oota,Amumu,From Iron,Kennen,Go ln With Me,Viego,Iet me carry,Malzahar,Sword2,Ashe,TSM FTX Cody Sun,Sona,The Tank Man
4036552069,lose,Ranked Solo,2021-09-09 09:29:57,24m 59s,4,4,4,2.00:1,ACE,empty,Azir,Grandmaster,empty,Ornn,BOBtimer,Jarvan IV,Jozyy,Ekko,Scyrnn,Kalista,ADCADC123,Leona,Voli Icon,Jayce,onlyzz,Trundle,DarkX,Azir,Go ln With Me,Varus,Pockus,Sona,EDG Jan Sali
4036474543,win,Ranked Solo,2021-09-09 08:16:12,22m 16s,11,2,12,11.50:1,Quadra Kill,empty,Orianna,Grandmaster,empty,Rumble,yubinghaochi,Xin Zhao,bury your past,Ryze,MARI BECERRA,Draven,TyChee,Blitzcrank,SandPaperX,Riven,Nànami,Viego,neukda3,Orianna,Go ln With Me,Jhin,Tomo9,Thresh,ßloodßath
