gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490388137,win,Ranked Solo,2021-10-04 08:04:22,28m 56s,9,6,7,2.67:1,Double Kill,empty,Sylas,Grandmaster,empty,Irelia,XLeQu,Viego,VGIA 113,Cassiopeia,Chemera,Yasuo,Blodreinaaaaa,Gragas,Veignorem,Poppy,KURU DUT,Lee Sin,gaengsin,Sylas,agdang,Lucian,bean3,Thresh,Walid Georgey
5490365098,win,Ranked Solo,2021-10-04 07:27:55,26m 49s,21,7,2,3.29:1,Triple Kill,empty,Sylas,Grandmaster,empty,Kennen,DONT DISSAPEAR,Zed,Markoon,Irelia,ég jojopyun,Caitlyn,Ruined Crazyadri,Amumu,357159,Lee Sin,H ι r o,Taliyah,HRN Joinze,Sylas,agdang,Aphelios,C9 ZVENNN,Braum,Advienne
5489177893,win,Ranked Solo,2021-10-03 22:46:44,28m 38s,8,3,7,5.00:1,empty,empty,LeBlanc,Grandmaster,empty,Poppy,Seminol,Lee Sin,sorry my bâd xd,LeBlanc,agdang,Kalista,avarice61,Thresh,OTZ Wrongo,Yone,Paul227,Xin Zhao,ReX Thayger,Zed,420WeabooSlayer,Lucian,Yosikomo,Brand,Undercover CameL
5489085407,lose,Ranked Solo,2021-10-03 22:06:48,26m 8s,4,6,3,1.17:1,Triple Kill,empty,Irelia,Master,empty,Sett,Jadko,Lee Sin,Maxlore,LeBlanc,coza,Jinx,Jason Jones,Lulu,LVG White Lotus,Gwen,lennylennylenny,Viego,Hadeslol,Irelia,agdang,Karthus,efiL,Janna,wowx
5489068235,win,Ranked Solo,2021-10-03 21:28:56,27m 18s,6,8,11,2.13:1,empty,empty,Sylas,Grandmaster,empty,Yone,ssimpli,Zed,Maxlore,Orianna,fastFF,Ziggs,Chamana1,Amumu,Chemera,Fiora,Xhen Doo,Nidalee,khanzir slayer,Sylas,agdang,Lucian,Rückendeckung,Nami,Qnoxs
5489034042,lose,Ranked Solo,2021-10-03 20:51:33,26m 8s,1,5,2,0.60:1,empty,empty,Azir,Grandmaster,empty,Aatrox,Zuhaîb,Karthus,WW Macias,Ahri,fastFF,Miss Fortune,Ruined Crazyadri,Amumu,Rakant,Fiora,Xhen Doo,Talon,snail xD,Azir,agdang,Ezreal,HoIyPhoenîx,Rakan,Leon der Leon
5488573143,win,Ranked Solo,2021-10-03 07:38:32,23m 14s,7,2,6,6.50:1,Double Kill,MVP,Yone,Master,empty,Yone,agdang,Kindred,Shinzouku,Kennen,Stargazer7,Ezreal,Xenxo,Sett,robloxmaciek,Wukong,NieUfamCiJezu12,Rengar,Shére khán,Ryze,kimchi open1,Vayne,141414ADADAD,Lulu,wowx
5488531456,win,Ranked Solo,2021-10-03 07:07:14,15m 53s,5,4,7,3.00:1,Double Kill,empty,Yone,Master,empty,Singed,Sorya,Talon,DUALIPAadfhgkdgk,Akali,Ragnér3,Twitch,ToasterM8,Yuumi,twenty one,Jax,5454545454,Nidalee,DEEBO SAMUEL,Yone,agdang,Miss Fortune,141414ADADAD,Lulu,wowx
5488418094,win,Ranked Solo,2021-10-03 06:42:21,17m 39s,2,3,3,1.67:1,empty,empty,Yone,Master,empty,Jax,Kimchi warrior1,Nidalee, Terrºr,Soraka,F tier supp,Yone,agdang,Thresh,Kasing 1,Zoe,Viikingr,Lee Sin,Łéonard,Kennen,ZONGO LE DOZØ,Akshan,Röyhkeä,Nautilus,Thomas Fäte
5488391447,lose,Ranked Solo,2021-10-03 06:12:33,33m 16s,6,6,7,2.17:1,Double Kill,empty,Yone,Grandmaster,empty,Riven,AIDEZMOIMONSIEUR,Ekko,lövhögen,Yone,agdang,Draven,MTLK Filou,Thresh,MazeRunner0xFF,Gragas,Suirotas,Zed,Jungler3,Annie,NVD Flufo,Tristana,404 TaschenLampe,Morgana,14yo smurf 
