gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
4050179932,lose,Ranked Solo,2021-09-23 14:01:22,24m 19s,13,9,1,1.56:1,Double Kill,empty,Qiyana,Grandmaster,empty,Mordekaiser,Kaizer Morde,Viego,Berik,Orianna,Seranok,Miss Fortune,LittIe PP,Twitch,cry baby players,Aatrox,Raymiss,Qiyana,100100100100,Cassiopeia,Song x Mingi,Ezreal,Kvothe The Brave,Soraka,RoyalRoy
4049992848,win,Ranked Solo,2021-09-23 10:57:41,39m 13s,12,6,13,4.17:1,Double Kill,MVP,Zed,Grandmaster,empty,Camille,safdge,Karthus,Karhuss,Irelia,waltz for hulot,Aphelios,Tos8719,Pyke,Busio JNG,Riven,Nànami,Zed,100100100100,Annie,MAMMOTHMAN65,Ziggs,ćam,Nami,TheNuocMam
4049739003,win,Ranked Solo,2021-09-23 06:52:43,28m 6s,7,7,4,1.57:1,Triple Kill,empty,Irelia,Grandmaster,empty,Camille,wx NAtongtiandai,Lee Sin,Dimitrylol,Taliyah,bye im gosu,Yasuo,Spin,Leona,ChuChuZ,Irelia,100100100100,Fiddlesticks,Nikkone,Fiora,Djalal,Ezreal,GodBranQc27,Alistar,Businessman47
4049736132,lose,Ranked Solo,2021-09-23 06:14:25,25m 49s,8,10,9,1.70:1,Double Kill,empty,Zed,Grandmaster,empty,Teemo,Yung Fappy,Zed,100100100100,Yone,Spin,Jhin,KARUTADISCORDBOT,Leona,ChuChuZ,Gwen,Djalal,Lee Sin,KiNG Nidhogg,Yasuo,GodBranQc27,Caitlyn,TyChee,Rakan,SkyTec
4049229446,lose,Normal,2021-09-22 18:52:51,40m 41s,19,12,20,3.25:1,ACE,empty,Zed,empty,empty,Gangplank,xQc,Poppy,Mrbonie,Zed,100100100100,Draven,Iet it happen,Yuumi,Kral Luger,Sett,Teatime77,Ekko,I SELL CORN,Yasuo,Kuaxxy,Miss Fortune, an Afk player,Amumu,Tengu Grape
4049189636,win,Normal,2021-09-22 18:07:31,16m 9s,9,1,4,13.00:1,Double Kill,MVP,Zed,empty,empty,Camille,Byeongwoo Go,Tryndamere,buff right arm,Zed,100100100100,Samira,Iet it happen,Yuumi,Kral Luger,Camille,xQc,Lillia,RfIuOcTk,Lissandra, an Afk player,Ezreal,Amae,Senna,I SELL CORN
4049217315,win,Ranked Solo,2021-09-22 17:36:46,25m 14s,13,1,8,21.00:1,Double Kill,MVP,Zed,Grandmaster,empty,Riven,Gragsus,Talon,TheOddOrange,Fiddlesticks,MaIthaeI,Twitch,cry baby players,Thresh,Chapter 1,Sett,wff011,Zed,100100100100,Twisted Fate,IllIlllllIllllIl,Jhin,HaaaZe,Karthus,Karhus
4049209983,win,ARAM,2021-09-22 15:30:15,18m 52s,13,10,34,4.70:1,empty,empty,Nunu & Willump,empty,empty,Cassiopeia,Zhé bu he li,Rek'Sai,Teitang,Samira,Phyto,Nidalee,Cory,Soraka,GlobalGoods,Thresh,wx DLEB2021,Nunu & Willump,100100100100,Pyke,WX Lyhx8889,Jinx,Pujm,Kayn,Lordmyrlyn
4049118744,lose,ARAM,2021-09-22 15:08:28,18m 32s,14,11,20,3.09:1,Double Kill,empty,Tristana,empty,empty,Jarvan IV,inidibininging,Heimerdinger,BigJuicyDong,Yasuo,KingConqueer,Amumu,Paletero,Ashe,míchael scãrn,Anivia,wx DLEB2021,Tristana,100100100100,Sylas,WX Lyhx8889,Graves,lekaTM,Kai'Sa,bam73
4049107202,win,ARAM,2021-09-22 14:45:57,12m 38s,14,6,15,4.83:1,Double Kill,empty,Ezreal,empty,empty,Jayce,adicnm,Yuumi,NoxiousNarwhal,Yone,Bonetooth,Vayne,Sofa King Pro,Lux,CCCchiapetCCC,Aatrox,wx DLEB2021,Ezreal,100100100100,Yasuo,WX Lyhx8889,Volibear,Sexy Big Toe,Anivia,RagingMowffler
4049105210,win,ARAM,2021-09-22 14:30:36,16m 54s,17,6,15,5.33:1,Quadra Kill,empty,Riven,empty,empty,Yuumi,Kyler Wild Dog,Akali,Braverend,Ezreal,MondoMIke,Zac,StonedEmoKid,Malzahar,Trisinz,Swain,wx DLEB2021,Riven,100100100100,Gangplank,WX Lyhx8889,Jarvan IV,kTron2g,Evelynn,Heavens Guard
4049043899,lose,Ranked Solo,2021-09-22 13:07:51,25m 44s,7,12,5,1.00:1,empty,empty,Lucian,Grandmaster,empty,Shen,THE CLlMB BACK,Lee Sin,Dimitrylol,LeBlanc,Han Yi,Lucian,100100100100,Blitzcrank,MaRiTiMuS,Garen,concept x,Karthus,Karhuss,Syndra,Seranok,Ezreal,Good Boi,Sona,The Tank Man
4048945131,lose,Ranked Solo,2021-09-22 11:02:58,24m 10s,0,11,2,0.18:1,empty,empty,Talon,Grandmaster,empty,Fiora,MASSGAINER44,Talon,100100100100,Lissandra,CC Shogo,Kai'Sa,Tomo9,Lulu,PIux,Urgot,concept x,Zed,AllGirlsRTheSame,Sylas,Dhokla,Ezreal,neeko sex king,Seraphine,Good Boi
4048879442,lose,Ranked Solo,2021-09-22 10:28:20,29m 54s,4,6,8,2.00:1,empty,empty,Zed,Grandmaster,empty,Gragas,ask 4 soundcloud,Evelynn,KryRa,Zed,100100100100,Aphelios,Asyc,Rakan,PIux,Fiora,Dhokla,Nidalee,bye im gosu,Ryze,rovex,Jinx,neeko sex king,Galio,CIyde
4048798276,lose,Ranked Solo,2021-09-22 08:35:23,13m 34s,0,5,0,0.00:1,empty,empty,Zed,Grandmaster,empty,Irelia,qufl,Xin Zhao,SHERN,Rumble,timal,Swain,Scyrnn,Galio,700kg grandma,Zed,100100100100,Fiddlesticks,MaIthaeI,Ekko,Delights Garden,Aphelios,Sheiden3,Soraka,04 Jug
4048781134,lose,Ranked Solo,2021-09-22 07:24:23,20m 53s,7,8,5,1.50:1,empty,empty,Zed,Grandmaster,empty,Volibear,Aizo,Lee Sin,Dimitrylol,LeBlanc,Jan Błachowicz,Draven,humzh,Galio,RHINOOOOOOOOOOOO,Lucian,Strompest,Zed,100100100100,Ekko,Delights Garden,Miss Fortune,MONSTER CHAD GOD,Rakan,SandPaperX
4048747435,win,Ranked Solo,2021-09-22 06:57:50,27m 47s,10,4,4,3.50:1,Double Kill,empty,Zed,Grandmaster,empty,Sett,Le JunMa,Taliyah,bye im gosu,Lucian,Strompest,Xayah,Disconnector,Rakan,buff support plz,Ornn,Spurge,Zed,100100100100,Rumble,timal,Draven,hotaze,Sona,im Cloudyy
4048714935,win,Ranked Solo,2021-09-22 06:24:05,35m 30s,14,8,22,4.50:1,Double Kill,empty,Zed,Grandmaster,empty,Jayce,Àaron,Zed,100100100100,Galio,Construct 00,Miss Fortune,Disconnector,Amumu,hua kai zai hui,Malphite,Aizo,Ekko,rjsdndgod,Garen,concept x,Yasuo,IceCreamPaintJob,Shen,THE CLlMB BACK
4048444089,lose,Ranked Solo,2021-09-21 16:20:30,22m 21s,9,5,2,2.20:1,ACE,empty,Zed,Grandmaster,empty,Aatrox,TheRealPhilip,Talon,TL Armao,Syndra,Cozy Milli,Xayah,Kral Luger,Bard,rocks908,Urgot,Autolykus,Zed,100100100100,LeBlanc,ChuChuZ,Kai'Sa,TL Yeon,Leona,Eyla
4048128414,lose,Ranked Solo,2021-09-21 11:08:53,16m 52s,3,5,1,0.80:1,ACE,empty,Lillia,Grandmaster,empty,Camille,Dhokla,Zed,Sayhoon,Zoe,Søxo,Sivir,100 Lugerr,Rakan,Feather Daddy,Yone,ZeroSzu3,Lillia,100100100100,Darius,naejunhaogu,Samira,Neøø,Alistar,donbray
4047114805,lose,Ranked Solo,2021-09-20 08:43:43,26m 0s,7,6,4,1.83:1,Double Kill,empty,Lillia,Grandmaster,empty,Fiora,Tokai Teiö,Lillia,100100100100,Lucian,hotaze,Tristana,PATH TO TOP,Leona,wohenshengqi,Akali,fiufiu,Taliyah,SHERN,Qiyana,ZeroSzu3,Varus,Kral Luger,Braum,poome1
4047073271,win,Ranked Solo,2021-09-20 08:06:25,16m 14s,3,0,3,Perfect,empty,empty,Sett,Grandmaster,empty,Malphite,bye im gosu,Kha'Zix,KiNG Nidhogg,Zed,Dclaudzz,Draven,JungIe is weak,Yuumi,Stitch º,Sett,100100100100,Lee Sin,hua kai zai hui,Qiyana,            Tçº ,Sona,Nanners owo,Seraphine,wohenshengqi
