gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5489232724,win,Ranked Solo,2021-10-03 23:03:04,28m 10s,11,8,12,2.88:1,Double Kill,MVP,Gwen,Master,empty,Tahm Kench,Spiritasd,Lee Sin,KHEMA MATTO,Yone,JacquesWebsterII,Lucian,Höρe,Nami,Vendeltorp,Gwen,Kral returns,Qiyana,WilliamZabka1,Katarina,restroom,Vayne,maxi tacos,Janna,S11 Support KEKW
5489106649,win,Ranked Solo,2021-10-03 22:28:38,36m 25s,14,9,15,3.22:1,Double Kill,MVP,Viego,Master,empty,Aurelion Sol,Infinting,Zed,2021Worlds1712,Tryndamere,BLBLBLBLBL ,Miss Fortune,maxi tacos,Janna,S11 Support KEKW,Tahm Kench,Spiritasd,Viego,Kral returns,Ekko,Buszu,Jhin,Zorrish,Pantheon,DemonMeep
5489014028,lose,Ranked Solo,2021-10-03 21:01:52,43m 10s,11,9,17,3.11:1,empty,empty,Qiyana,Master,empty,Teemo,Skye Sunday,Graves,SGE Chrisio,Diana,Dillen,Aphelios,FNC Extra,Amumu,Alleex,Darius,Struggling Angel,Qiyana,Kral returns,Heimerdinger,dongr,Miss Fortune,Pooga,Braum,EliteJoint
5488969415,win,Ranked Solo,2021-10-03 20:10:51,20m 25s,12,2,4,8.00:1,Triple Kill,MVP,Qiyana,Master,empty,Cho'Gath,rdmt,Lee Sin,SQCRISTIAAN,Akshan,Yor Forger,Pyke,30yo Minion,Taric,seuds5,Jax,Ryan5idee,Qiyana,Kral returns,Vex,Nugget Nibbler,Miss Fortune,Pooga,Rakan,satorr
5488455051,lose,Ranked Solo,2021-10-03 06:33:25,21m 39s,4,7,7,1.57:1,empty,empty,Qiyana,Master,empty,Quinn,puzzleman69,Ekko,Sander Frost,Talon,WheeezR,Miss Fortune,Lönnar,Amumu,Only 151 Pokemon,Yone,Henrα,Qiyana,Kral returns,Viktor,Sphericity,Ezreal,Haru1811,Karma,Z15
5488349222,win,Ranked Solo,2021-10-03 05:58:01,24m 43s,11,3,13,8.00:1,MVP,empty,Qiyana,Master,empty,Kennen,HeIsinki,Qiyana,Kral returns,Sylas,RRRRRXXXX7II,Miss Fortune,TopSpin,Senna,Zuı,Fiora,Sakurajima Mai 3,Diana,Chamallow San,Zed,Xhο,Yasuo,Yikes a Yas Main,Alistar,dont be insecure
5487902810,win,Ranked Solo,2021-10-03 00:38:07,33m 33s,7,6,8,2.50:1,Double Kill,empty,Ekko,Master,empty,Malphite,KAITING MACHINE ,Ekko,Kral returns,Kassadin,DeepMind,Draven,Sambrotta,Rakan,Redemption Galio,Kennen,Iamsobadsorry,Gragas,Jodomund,Yone,tempgoyjzzbbjzqz,Lucian,SCHWEPPERVESCENT,Nami,acaweamsdacqwqwe
5487789854,win,Ranked Solo,2021-10-02 23:56:30,15m 39s,9,1,3,12.00:1,Double Kill,MVP,Ekko,Master,empty,Tahm Kench,tomem1,Ekko,Kral returns,Fiora,chomaker,Aphelios,crescendum spam,Yuumi,Mariah Angeliq,Tryndamere,BIS xMata,Evelynn,II BÃRVØK II,Akshan,Ruined Kîng,Tristana,Thebigestnoob1,Trundle,GREATSUPPORT
5487642912,win,Ranked Solo,2021-10-02 20:52:14,25m 30s,17,2,8,12.50:1,Double Kill,MVP,Ekko,Master,empty,Camille,Mielenhallinta,Diana,Miscole,Yone,RafBin,Jinx,harpf,Senna,Zuı,Sion,Greedy AggreSion,Ekko,Kral returns,Tryndamere,chomaker,Lucian,ROAR Dorksong,Nami,Nidalee is uwu
5487579431,win,Ranked Solo,2021-10-02 20:21:31,20m 18s,14,2,10,12.00:1,Double Kill,MVP,Taliyah,Diamond 1,empty,Rumble,ertruby,Taliyah,Kral returns,Tryndamere,chomaker,Lucian,WO Wodex,Leona,Postkassen,Graves,HSFFFFFFFFFF,Talon,Whiskey553,Viktor,mid1111111,Ezreal,Fenyxxx,Zyra,Chat off Zyra on
