gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
4036552069,win,Ranked Solo,2021-09-09 09:29:57,24m 59s,12,5,6,3.60:1,Double Kill,empty,Kalista,Grandmaster,empty,Ornn,BOBtimer,Jarvan IV,Jozyy,Ekko,Scyrnn,Kalista,ADCADC123,Leona,Voli Icon,Jayce,onlyzz,Trundle,DarkX,Azir,Go ln With Me,Varus,Pockus,Sona,EDG Jan Sali
4036488670,win,Ranked Solo,2021-09-09 08:51:41,17m 27s,5,0,3,Perfect,Triple Kill,empty,Ezreal,Grandmaster,empty,Camille,Dhokla,Kha'Zix,bury your past,Twisted Fate,onlyzz,Draven,TyChee,Soraka,wolverene,Fiora,Kurose,Kindred,AllGirlsRTheSame,Galio,eat xiaofeiya2,Ezreal,ADCADC123,Sona,9ydras
4035754057,win,Ranked Solo,2021-09-08 10:46:28,21m 16s,9,3,5,4.67:1,Double Kill,MVP,Jhin,Grandmaster,empty,Camille,quantumfan,Karthus,Circus,Qiyana,are you mine,Aphelios,oota,Leona,poome1,Renekton,My bad I GUESS,Xin Zhao,tenacityyy,Zoe,ControlMageEGirl,Jhin,ADCADC123,Sona,Save You
4032698860,win,Ranked Solo,2021-09-05 10:03:59,19m 34s,6,2,7,6.50:1,empty,empty,Tristana,Grandmaster,empty,Camille,JungIe is weak,Yone,wx solidified,Fizz,Saiyans,Draven,dog2,Braum,TSM Spica,Riven,Tiger and Fish,Shaco,charity,Irelia,DAMIIMAD,Tristana,ADCADC123,Nautilus,Crimsonating
4032673958,win,Ranked Solo,2021-09-05 09:31:23,28m 44s,13,6,9,3.67:1,Double Kill,MVP,Varus,Grandmaster,empty,Wukong,Lunacia,Lee Sin,hua kai zai hui,Neeko,neeko sex king,Jinx,C9 Zven,Nautilus,Hakuho,Jayce,Swip3rR DISCIPLE,Viego,JungIe is weak,Diana,Archour,Varus,ADCADC123,Thresh,donbray
4031366079,lose,Ranked Solo,2021-09-04 06:49:09,26m 16s,10,7,1,1.57:1,ACE,empty,LeBlanc,Grandmaster,empty,Fiora,vx NAtongtiandai,Master Yi,rengar is good,Cassiopeia,Sweet Tangerine,Swain,FishIord,Thresh,Crimsonating,Gnar,TDLT,Sylas,wx ad23,LeBlanc,ADCADC123,Draven,TyChee,Braum,LittIe Hell
4030445546,win,ARAM,2021-09-03 04:26:56,17m 50s,15,6,18,5.50:1,Double Kill,empty,Quinn,empty,empty,Quinn,ADCADC123,Rumble,Tactical,Shaco,Wverm,Kennen,MacFleetwood,Malzahar,Nehelenia,Nunu & Willump,Verzosaaa,Tristana,IkebukuroPenguin,Xerath,Zoes Petite Feet,Vel'Koz,HomicidalPigeon,Sett,LunarFlame
4024120499,win,Ranked Solo,2021-08-27 14:53:11,24m 21s,5,1,14,19.00:1,MVP,empty,Ashe,Grandmaster,empty,Gangplank,Swip3rR DISCIPLE,Xin Zhao,nifty jg,Xerath,sleepy mouse,Ezreal,Johnsun123,Bard,rocks908,Camille,night in tallinn,Jarvan IV,700kg grandma,Twisted Fate,Thinkcards son,Ashe,ADCADC123,Zyra,From Iron
4024055474,win,Ranked Solo,2021-08-27 14:11:21,24m 2s,9,2,9,9.00:1,Triple Kill,MVP,Ezreal,Grandmaster,empty,Malphite,NAGATORO FAN,Nidalee,100 Chad,Yasuo,twtv itakute,Ezreal,ADCADC123,Leona,From Iron,Renekton,Time to go back,Viego,nifty jg,Ryze,Thinkcards son,Jhin,FG GonzO,Trundle,Pockus
4024061460,win,Ranked Solo,2021-08-27 13:36:31,18m 53s,5,2,7,6.00:1,Double Kill,empty,Kalista,Grandmaster,empty,Gnar,Time to go back,Evelynn,Calm Antebellum,Corki,Saicos Left Nut,Kalista,ADCADC123,Nautilus,Pseudo,Camille,nifty jg,Kayn,Clam,Irelia,ubao,Karthus,HULKSMASH1337,Pantheon,From Iron
4024006952,win,Ranked Solo,2021-08-27 13:00:18,15m 22s,3,2,3,3.00:1,empty,empty,Ashe,Grandmaster,empty,Annie,inthenightgarden,Lee Sin,Clam,Maokai,RAHULK1,Aphelios,C9 Zven,Thresh,donbray,Syndra,Pinwinasio,Graves,My Dream Go4Lol,Teemo,Yung Fappy,Ashe,ADCADC123,Trundle,From Rank1
4019610135,win,Ranked Solo,2021-08-23 07:58:16,22m 2s,7,4,9,4.00:1,Double Kill,empty,Varus,Grandmaster,empty,Riven,Lateef,Ivern,jamican banana,Ekko,KingOfAbeyance,Ashe,FLRX,Nautilus,SandPaperX,Malphite,Kłaus,Kindred,no invade pls,Kennen,Vxx Reb20201,Varus,ADCADC123,Braum,QAZx
