gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
4050096230,lose,Ranked Solo,2021-09-23 13:32:05,26m 18s,1,10,5,0.60:1,empty,empty,Qiyana,Grandmaster,empty,Gangplank,wirfjaiji,Qiyana,100 Kenvi,Kassadin,Quantum,Samira,rank1mandingo,Karma,CIyde,Teemo,Yung Fappy,Viego,TL Armao,Rumble,VX Najuehuo,Ezreal,juststopcaring,Bard,rocks908
4048485954,lose,Ranked Solo,2021-09-21 20:25:59,15m 15s,0,4,1,0.25:1,empty,empty,Ekko,Grandmaster,empty,Sylas,ln2you,Ekko,100 Kenvi,Qiyana,ZeroSzu3,Aphelios,Waxxi,Thresh,Tsao3 ni2 ma3,Akali,Cozy Shroud,Talon,IllIlllllIllllIl,Kog'Maw,oota,Lucian,Strompest,Lulu,Qitong
4038870299,lose,Ranked Solo,2021-09-11 14:03:40,26m 8s,2,9,11,1.44:1,ACE,empty,Lee Sin,Grandmaster,empty,Singed,concept x,Rengar,Wxx REB20201,Akali,ßreathtaking,Lucian,TL Yeon,Yuumi,The Tank Man,Wukong,eat xiaofeiya2,Lee Sin,100 Kenvi,Akshan,insanityxd,Ziggs,Tomo9,Seraphine,Tempos
4037990000,lose,Ranked Solo,2021-09-10 13:28:33,28m 51s,5,8,3,1.00:1,ACE,empty,Zed,Grandmaster,empty,Lucian,Dark Wingdom,Zed,100 Kenvi,Kennen,Vxx Reb20201,Akshan,saving na,Blitzcrank,zhong guo5,Jayce,nifty jg,Viego,TheOddOrange,Rumble,neeko sex king,Kalista,HappyBeePlayer,Thresh,ACKÈRMAN
4037943770,lose,Ranked Solo,2021-09-10 12:45:17,30m 11s,11,6,6,2.83:1,Double Kill,empty,Zed,Grandmaster,empty,Rengar,Traffi,Zed,100 Kenvi,Viktor,Johnsun123,Twitch,cry baby players,Soraka,JLand,Kled,Spurge,Rek'Sai,ACKÈRMAN,Fizz,Saiyans,Tristana,Sketchdreams,Leona,wohenshengqi
4037859430,lose,Ranked Solo,2021-09-10 12:09:54,24m 24s,3,4,3,1.50:1,ACE,empty,Graves,Master,empty,Ornn,Aizo,Lee Sin,Gibie,Aphelios,FLY Triple,Karthus,Wolzie,Bard,Pocket Rhinooooo,Kayle,mindintheheart,Graves,100 Kenvi,Zoe,Shrimp Cpt,Jhin,ßazz B,Soraka,wohenshengqi
4037842963,lose,Ranked Solo,2021-09-10 11:32:05,32m 40s,9,7,6,2.14:1,Double Kill,empty,Graves,Grandmaster,empty,Jayce,pilling91,Talon,IllIlllllIllllIl,Cassiopeia,Sweet Tangerine,Soraka,poome1,Trundle,Pocket Rhinooooo,Dr. Mundo,concept x,Graves,100 Kenvi,Sylas,twtv itakute,Jinx,FZ3R0,Karma,stuntopolis
4037777334,win,Ranked Solo,2021-09-10 10:33:54,15m 50s,7,1,3,10.00:1,empty,empty,Lee Sin,Grandmaster,empty,Sett,Thinkcards son,Graves,C9 eXyu,Fiora,vx NAtongtiandai,Xerath,oota,Gragas,Oh ill Nam,Jayce,ADD ON WIN,Lee Sin,100 Kenvi,Kennen,Vxx Reb20201,Aphelios,TSM FTX Cody Sun,Leona,RAHEEN123
4037783024,win,Ranked Solo,2021-09-10 10:09:46,26m 30s,12,2,9,10.50:1,Double Kill,MVP,Graves,Grandmaster,empty,Akali,DARK WlNGS,Kindred,QSEN,Galio,ying hua shu xia,Aphelios,oota,Bard,D0no dosko,Kennen,vx NAtongtiandai,Graves,100 Kenvi,Irelia,Swip3rR DISCIPLE,Jinx,FZ3R0,Gragas,Oh ill Nam
4037810246,win,Ranked Solo,2021-09-10 09:36:30,15m 30s,4,0,2,Perfect,Triple Kill,MVP,Graves,Grandmaster,empty,Viego,DARK WlNGS,Diana,QSEN,Irelia,9ydras,Miss Fortune,Yutwo,Yuumi,The Tank Man,Soraka,poome1,Graves,100 Kenvi,Ekko,Burento,Jayce,Shower D0G,Leona,TSM FTX Donbray
4037754781,win,Ranked Solo,2021-09-10 09:04:49,31m 11s,20,7,12,4.57:1,Double Kill,MVP,Lee Sin,Grandmaster,empty,Gnar,Youngjin Noh,Lee Sin,100 Kenvi,Rumble,neeko sex king,Jhin,Eclipse,Bard,TSM FTX Donbray,Fiora,TwoVital,Zed,From Rank1,Zoe,Pekin Woof,Karthus,Wolzie,Karma,The Tank Man
4037669228,win,Ranked Solo,2021-09-10 08:08:10,30m 57s,8,8,6,1.75:1,empty,empty,Graves,Grandmaster,empty,Camille,TwoVital,Taliyah,From Rank1,Zed,Dclaudzz,Varus,karasuno setter,Leona,Pseudo,Gnar,roguebunny0,Graves,100 Kenvi,Vladimir,Kyui,Lucian,Yura1,Yuumi,Zeyzal
4037655124,lose,Ranked Solo,2021-09-10 07:13:52,21m 3s,1,3,3,1.33:1,empty,empty,Ekko,Master,empty,Yone,Kufá,Lee Sin,lolnathan,Sylas,Ru Ci Bái,Vayne,Prototype white,Lulu,AsianSuperiority,Yasuo,llllllllllllIIll,Ekko,100 Kenvi,Irelia,thats fervor,Xayah,FZ3R0,Veigar,TwTvLolplayerbad
4037650113,win,Ranked Solo,2021-09-10 06:23:45,29m 34s,7,6,11,3.00:1,empty,empty,Zed,Grandmaster,empty,Jayce,SugiKim,Zed,100 Kenvi,Orianna,Thinkcards son,Aphelios,Tomo9,Leona,Call Lin,Jarvan IV,pig tank,Taliyah,My Dream LCS,Cassiopeia,Sweet Tangerine,Ashe,Ryu Min seok,Blitzcrank,cry baby players
4037557817,win,Ranked Solo,2021-09-10 05:49:41,27m 14s,7,3,12,6.33:1,Double Kill,MVP,Nidalee,Grandmaster,empty,Fiora,Kurose,Nidalee,100 Kenvi,Pyke,pizzaman007,Draven,Saicos Left Nut,Karma,Z Score,Ornn,From Iron,Fiddlesticks,o fafa o,Yone,DrewDozer,Miss Fortune,My name07,Alistar,Businessman47
4037614568,win,Ranked Solo,2021-09-10 05:09:44,27m 15s,4,4,14,4.50:1,Double Kill,empty,Kindred,Grandmaster,empty,Cassiopeia,Sweet Tangerine,Diana,Youli,Renekton,MARI BECERRA,Miss Fortune,HappyBeePlayer,Nautilus,EDG Jan Sali,Fiora,Kurose,Kindred,100 Kenvi,Pyke,pizzaman007,Kai'Sa,Saicos Left Nut,Alistar,Businessman47
4037552540,win,Ranked Solo,2021-09-10 04:36:27,25m 3s,13,4,12,6.25:1,Double Kill,MVP,Graves,Grandmaster,empty,Malphite,Nim Chimpsky,Ekko,Sheiden3,Pyke,pizzaman007,Ezreal,REDGOD SEVEN,Leona,Voli Icon,Jayce,Kanameme,Graves,100 Kenvi,Akali,MARI BECERRA,Xayah,Cendilion,Rakan,Wekin Poof
4037570487,win,Ranked Solo,2021-09-10 03:58:04,15m 20s,4,1,4,8.00:1,Double Kill,empty,Kindred,Grandmaster,empty,Dr. Mundo,º hhh,Jarvan IV,DarkX,Taliyah,ControlMageEGirl,Jinx,warcyclone,Soraka,Latence,Sett,XxwoozerxX,Kindred,100 Kenvi,Ryze,Ariendel,Vayne,Jraff,Lulu,Cidez
4030843997,lose,Ranked Solo,2021-09-03 13:17:23,28m 15s,5,7,6,1.57:1,Double Kill,empty,Graves,Grandmaster,empty,Evelynn,From Rank1,Graves,100 Kenvi,Pyke,Davemon,Aphelios,TEAMLUKEE,Thresh,Crimsonating,Camille,safdge,Xin Zhao,perryjg,Annie,inthenightgarden,Ashe,PATH TO TOP,Bard,rocks908
4030827610,win,Ranked Solo,2021-09-03 12:44:14,33m 28s,7,10,11,1.80:1,Double Kill,empty,Camille,Grandmaster,empty,Camille,100 Kenvi,Rengar,Iet me carry,Sylas,Sweet Tangerine,Ashe,Kral Luger,Nautilus,1234hitdinosaur,Fiora,TwoVital,Ekko,black player,Yone,onlyzz,Ezreal,Good Boi,Braum,5tunt
4015315985,lose,Ranked Solo,2021-08-19 08:51:32,28m 29s,3,4,7,2.50:1,ACE,empty,Ashe,Grandmaster,empty,Kled,CaptBear,Kha'Zix,pawn0,Galio,700kg grandma,Ashe,100 Kenvi,Lulu,StaleCabbage,Urgot,concept x,Viego,TheOddOrange,Sylas,iybc9o2 q,Yasuo,Naval,Nautilus,Cyanosis
4015291954,lose,Ranked Solo,2021-08-19 08:09:59,26m 49s,5,4,11,4.00:1,Double Kill,empty,Nidalee,Challenger,empty,Riven,Tiger and Fish,Nidalee,100 Kenvi,Qiyana,fiufiu,Kai'Sa,Good Boi,Pyke,ACKÈRMAN,Nasus,AllGirlsRTheSame,Viego,naejunhaogu,Garen,concept x,Galio,SkyTec,Sona,poome1
