gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490100862,lose,Ranked Solo,2021-10-04 03:58:17,24m 32s,5,7,5,1.43:1,empty,empty,Viego,Master,empty,Camille,HeIsinki,Xin Zhao,TurboMoss,Xerath,yone and kayle,Draven,CocaCola Monster,Yuumi,Genius Monster,Heimerdinger,Blind Ruler,Viego,knv2,Sylas,woshilqs,Lucian,NNForsaken,Nami,PINW KAFE
5489936325,win,Ranked Solo,2021-10-04 03:26:29,26m 53s,14,1,6,20.00:1,Double Kill,MVP,Ekko,Master,empty,Kindred,1v9 Kindred,Ekko,knv2,Tryndamere,KH Komandata,Kai'Sa,n 456,Nami,BayMax Bard,Aatrox,mumus100,Kha'Zix,7MDN,Zoe,ShowMakerVillain,Xayah,3lix,Rakan,Evér
5489787503,win,Ranked Solo,2021-10-04 02:41:22,28m 34s,10,1,7,17.00:1,Double Kill,MVP,Kindred,Master,empty,Camille,Miroslac,Viego,Hadeslol,Galio,Silverdrunks V2,Lucian,Lee Mιn hyeong,Nami,Acid Storm ,Aatrox,mumus100,Kindred,knv2,Vex,MuteAllToChalle,Miss Fortune,Czipsi,Karma,5M Tiagito
5489763024,win,Ranked Solo,2021-10-04 02:04:34,23m 37s,5,4,6,2.75:1,empty,empty,Lucian,Master,empty,Ornn,Occlumats,Talon,xOathx,Vex,Mèo Con Athena,Draven,bewis1111,Pyke,MartHR1,Fiora,HHH    0     HHH,Graves,Sigma Pathing,Anivia,Revolu,Lucian,knv2,Bard,OR SpaceXBard
5489537510,lose,Ranked Solo,2021-10-04 01:35:37,27m 55s,5,6,11,2.67:1,Double Kill,empty,Ezreal,Master,empty,Aatrox,Mâuntér ,Graves,Sn1lle,Vex,spellbonks,Kai'Sa,God Han Wenqing ,Pyke,samo mute all,Dr. Mundo,Box enjoyer,Xin Zhao,Carnagε,Syndra,MartHR1,Ezreal,knv2,Yuumi,player 240
5489500741,lose,Ranked Solo,2021-10-04 00:54:54,31m 58s,18,6,4,3.67:1,Double Kill,empty,Graves,Master,empty,Gragas,something 2 lose,Graves,knv2,Twisted Fate,Jin Mu Wοn,Jhin,Secret Weapοn,Janna,Celterr1,Irelia,Raven2,Karthus,NHWK,LeBlanc,Λ R V E N ,Lucian,FLIP FliiZee,Nami,Gaunter O Dimm
5489392031,win,Ranked Solo,2021-10-04 00:04:54,26m 46s,14,3,5,6.33:1,Double Kill,empty,Ekko,Master,empty,Yasuo,Ban Inugami Pls,Ekko,knv2,Viego,SOLNEX,Jhin,lShinigami,Soraka,NHWK,Riven, Terrºr,Diana,Dandom1,Tryndamere,XXXXX Q0001,Ezreal,Moeless,Karma,Suken
5489262281,win,Ranked Solo,2021-10-03 23:30:48,53m 40s,28,14,11,2.79:1,Quadra Kill,MVP,Kindred,Master,empty,Dr. Mundo,FLIP Somí,Kindred,knv2,Sylas,PCS Tazad,Lucian,Mindrago,Nami,CORONA EQUALS 5G,Riven, Terrºr,Xin Zhao,OLWAYSS,Syndra,Ialala,Ziggs,WOL Justas,Blitzcrank,TurtleShock v2
5489096436,win,Ranked Solo,2021-10-03 22:16:23,25m 26s,13,4,9,5.50:1,Double Kill,MVP,Viego,Master,empty,Camille,YEP C,Viego,knv2,LeBlanc,PST Alex,Vayne,ADC Thib,Sona,TSO gslugger,Irelia,SMB Kireas,Kha'Zix,Let it go Elsa,Rumble,boli mnie głowa,Lucian,Agile,Blitzcrank,Paolocannone
5489059717,lose,Ranked Solo,2021-10-03 21:47:01,34m 49s,14,5,10,4.80:1,Double Kill,ACE,Graves,Master,empty,Jayce,demotion,Talon,some new tools ,Twisted Fate,LGBTQJPGMD,Draven,Maikeu,Amumu,CleverClive,Aatrox,KuonOuO,Graves,knv2,Azir,XDXDXDXDDDDDDDXD,Jhin,Matthew Mzizi,Karma,cirodalA
5489075248,win,Ranked Solo,2021-10-03 21:06:47,21m 18s,6,2,3,4.50:1,MVP,empty,Ekko,Master,empty,Shen,vercinox,Olaf,K2 Jaguar,Yone,Painfυl,Ziggs,Twtv KappaBeetle,Rakan,Tommygun69,Tahm Kench,SeiKeinGnar,Ekko,knv2,Talon,Sailly,Vayne,WOJOWNIK BODY,Karma,NewNickNewLife
5489052486,win,Ranked Solo,2021-10-03 20:38:47,22m 29s,13,1,4,17.00:1,Triple Kill,MVP,Graves,Master,empty,Gangplank,Z15,Graves,knv2,Fizz,Pieds,Miss Fortune,Kïrii,Rakan,Τadej Pogačar,Riven,A41G Fledex,Rek'Sai,Fantasiii,Vel'Koz,Testomaniak,Caitlyn,spellbonks,Lulu,Tommygun69
5488939528,lose,Ranked Solo,2021-10-03 20:10:41,23m 19s,4,3,0,1.33:1,empty,empty,Zed,Master,empty,Jax,kooBE,Shaco,ViNINE Fenrir,Graves,EUS Teogonsic,Miss Fortune,Kïrii,Soraka,UFF LordSteve,Camille,HeIsinki,Zed,knv2,Katarina,elvarázsolt,Jhin,Minjang,Zyra,Phasius
5488737109,lose,Ranked Solo,2021-10-03 13:36:42,13m 35s,0,4,0,0.00:1,empty,empty,Ekko,Master,empty,Vayne,Freshdurz,Volibear,SLIMKIDD,Vex,FB Genosect,Lucian,Chocklad Toppen,Nami,colden1,Anivia,james unexpected,Ekko,knv2,Yone,QKI1,Jayce,Nico Senpaii,Yuumi,uwumedoniumuwu
5488716660,win,Ranked Solo,2021-10-03 13:16:10,32m 29s,15,2,8,11.50:1,Triple Kill,MVP,Kha'Zix,Master,empty,Riven,tadao ling,Kha'Zix,knv2,Sylas,FNC Jeko,Miss Fortune,dfntly notRchamp,Yuumi,losin to improve,Pantheon,Thug top laner,Graves,güçlü bok,Kassadin,Astolfo Ψ,Lucian,Bob1,Nami,GNf KwebZ
5488194169,win,Ranked Solo,2021-10-03 04:27:39,39m 38s,15,7,11,3.71:1,Double Kill,MVP,Ekko,Master,empty,Fiora,Z15,Kha'Zix,Edgar,LeBlanc,Lignio,Seraphine,Henrα,Sona,dont be insecure,Tryndamere,nio top acc,Ekko,knv2,Graves,K1BZ,Ezreal,Fine4Ever,Vel'Koz,UnlookyPoopy
5488100197,lose,Ranked Solo,2021-10-03 03:41:38,21m 49s,3,3,1,1.33:1,ACE,empty,Kha'Zix,Master,empty,Camille,nio top acc,Ivern,Hooded Menace,Pantheon,ToÑoNen Fan,Jhin,CarNando is real,Vel'Koz,UnlookyPoopy,Dr. Mundo,mam dość tej gry,Kha'Zix,knv2,Lux,Linkkey,Tristana,UK ADC SHEEESH,Taric,dont be insecure
5488173368,win,Ranked Solo,2021-10-03 03:09:37,21m 39s,10,0,7,Perfect,Triple Kill,MVP,Zed,Master,empty,Volibear,23 01 2006,Kha'Zix,idk idc man,Orianna,White Steel Eel,Aphelios,Gosberg17,Lulu,Emil123,Vayne,Z Σ K,Zed,knv2,Twisted Fate,Harbo,Ezreal,Tidebringer,Vel'Koz,UnlookyPoopy
5488080591,win,Ranked Solo,2021-10-03 02:41:57,34m 25s,17,4,9,6.50:1,Triple Kill,MVP,Ekko,Master,empty,Gnar,Naynahm,Ekko,knv2,Vex,Herlufsen,Yone,2021Worlds0019,Lulu,Synea,Gangplank,White Steel Eel,Kayn,Jgissoeasy,Azir,Lord Laki v2,Jhin,Regostern,Zilean,DereBeyi Yunus
5488073336,win,Ranked Solo,2021-10-03 02:01:46,28m 26s,11,2,12,11.50:1,Double Kill,MVP,Kai'Sa,Master,empty,Sett,Evenso,Evelynn,ÜG Burn,Vex,Herlufsen,Jayce,Agile,Morgana,kkkkkkkkkkkkkkk,Sylas,White Steel Eel,Qiyana,a shine rises,Yasuo,Ban Inugami Pls,Kai'Sa,knv2,Pyke,IKAPOC
5487294987,win,Ranked Solo,2021-10-02 11:48:10,34m 52s,19,6,14,5.50:1,Triple Kill,empty,Jhin,Master,empty,Renekton,Chosen1 AJ,Nidalee,asyc is a dog,Vex,Kaalox ,Aphelios,onii chan uwuu,Thresh,qwerasdfzxcbvcxz,Aatrox,Ramlethighs,Jarvan IV,enemy2good,Galio,Samaeî,Jhin,knv2,Rakan,Nilfgaardiân
5487313337,lose,Ranked Solo,2021-10-02 11:04:18,19m 40s,0,5,2,0.40:1,empty,empty,Syndra,Diamond 1,empty,Sylas,Maged2,Rengar,LEGALLY INSANE,Syndra,knv2,Aphelios,Manne123,Karma,Lok Hei,Aatrox,Bene Gesserìt,Qiyana,kimchi2,Taliyah,byeeeeeee,Ezreal,jisu jiangping,Thresh,qwerasdfzxcbvcxz
5487269662,lose,Ranked Solo,2021-10-02 10:23:46,27m 32s,8,7,7,2.14:1,Double Kill,ACE,Graves,Master,empty,Karthus,Net1,Jarvan IV,Amys Bloke,Pantheon,FNC Jeko,Jinx,Viel Glück,Rakan,Optronix,Gangplank,Yawara Inokuma,Evelynn,EVΣ,Graves,knv2,Lucian,who is rhythm,Nami,BotFiifo
5487267661,win,Ranked Solo,2021-10-02 09:50:59,27m 7s,17,3,5,7.33:1,Double Kill,MVP,Kha'Zix,Master,empty,Urgot,poo on your shoe,Kha'Zix,knv2,Fizz,Nøt a trickster,Tristana,Knówingly Úp,Thresh,Spaceberry,Yone,LNGWIN,Nidalee,lenny smurf acc,Twisted Fate,Roguexyz,Vayne,TWICE DubChaeng,Rakan,Andrard
5487186727,win,Ranked Solo,2021-10-02 09:13:08,28m 0s,22,4,3,6.25:1,Triple Kill,MVP,Kha'Zix,Master,empty,Sett,TwTv NMB Jordan,Kha'Zix,knv2,Vel'Koz,Campi0ne,Jinx,Viel Glück,Karma,FNC Jeko,Vayne,Z Σ K,Lillia,Chouineur 4,Akali,Łet none survive,Lucian,kayek55,Nami,BotFiifo
