gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
4031485538,win,Ranked Solo,2021-09-04 09:57:18,24m 39s,12,3,10,7.33:1,Double Kill,MVP,Kennen,Challenger,empty,Kennen,Ssumdayday,Kha'Zix,trdblaster,Irelia,onlyzz,Draven,THE Jons,Poppy,SkyTec6,Yasuo,C9 Copy,Nidalee,JungIe is weak,Fiora,vx NAtongtiandai,Tristana,Tomo9,Braum,Sauce a gank
4031409733,lose,Ranked Solo,2021-09-04 09:15:41,35m 50s,3,8,4,0.88:1,empty,empty,Camille,Grandmaster,empty,Twisted Fate,M0N51eur,Xin Zhao,weakside crab,Jax,tenacityyy,Ezreal,Jan Błachowicz,Rakan,SkyTec6,Camille,Ssumdayday,Viego,SHERN,Orianna,Sword2,Draven,THE Jons,Thresh,benadams202
4031406154,win,Ranked Solo,2021-09-04 08:33:10,27m 8s,9,3,3,4.00:1,Double Kill,empty,Kennen,Grandmaster,empty,Kennen,Ssumdayday,Trundle,Yi Du Zi Qi,Lucian,rjsdndgod,Ezreal,Scenari0,Soraka,The Tank Man,Camille,itsLëoK,Olaf,winstxn,Viktor,SugiKim,Varus,Sauce a gank,Karma,SkyTec6
4030885165,lose,Ranked Solo,2021-09-03 13:33:42,33m 26s,3,6,6,1.50:1,empty,empty,Malphite,Challenger,empty,Jayce,TheRealPhilip,Lee Sin,TheOddOrange,Orianna,tft couch2,Jhin,Oh ill Nam,Sona,Tempos,Malphite,Ssumdayday,Kindred,Kłaus,Ryze,DARK WlNGS,Twitch,Saicos Left Nut,Bard,ACKÈRMAN
4025307305,win,Ranked Solo,2021-08-28 16:00:45,29m 40s,7,4,14,5.25:1,Double Kill,MVP,Kennen,Grandmaster,empty,Kennen,Ssumdayday,Lee Sin,100 Chad,Ryze,Thinkcards son,Lucian,HappyBeePlayer,Nami,9ydras,Renekton,Yoshi,Nidalee,Draven696969,Karma,Strompest,Ashe,Deng It ,Blitzcrank,From Iron
4025273684,win,Ranked Solo,2021-08-28 15:20:46,29m 13s,3,3,7,3.33:1,Double Kill,empty,Kennen,Challenger,empty,Graves,LeenK LCS,Kindred,Vx Hc9999na,Karma,Strompest,Caitlyn,Jemusi,Morgana,From Iron,Renekton,Thinkcards son,Nidalee,Draven696969,Kennen,Ssumdayday,Jhin,HappyBeePlayer,Nautilus,IMT Destiny
4025250645,lose,Ranked Solo,2021-08-28 14:45:53,19m 39s,1,6,0,0.17:1,empty,empty,Kled,Grandmaster,empty,Kled,Ssumdayday,Nidalee,Vx Hc9999na,Graves,mochi LFT 2022 ,Ashe,RAHEEN123,Braum,Jan Błachowicz,Camille,Djalal,Evelynn,Calm Antebellum,Diana,TL Armao,Aphelios,C9 Zven,Thresh,Oh ill Nam
4025234580,win,Ranked Solo,2021-08-28 14:16:12,27m 54s,14,5,8,4.40:1,Triple Kill,MVP,Kennen,Grandmaster,empty,Jayce,Cyanosis,Evelynn,Gay Conservative,Lulu,Stephen M Ross,Senna,PATH TO TOP,Braum,Jan Błachowicz,Kennen,Ssumdayday,Jarvan IV,First Kyu,Akshan,Djalal,Yasuo,Aiden Yasuo,Rakan,bardovich69
4024636762,win,Ranked Solo,2021-08-28 09:48:35,39m 14s,11,7,23,4.86:1,Double Kill,MVP,Renekton,Challenger,empty,Renekton,Ssumdayday,Taliyah,toreshi,Akshan,lafyèv,Varus,Copý,Rakan,Tempos,Camille,Lunacia,Hecarim,Nikkone,Ryze,SugiKim,Ezreal,Sheiden3,Yuumi,TSM FTX Donbray
4023934859,win,Ranked Solo,2021-08-27 11:43:47,20m 20s,4,2,4,4.00:1,empty,empty,Lucian,Grandmaster,empty,Gangplank,aknid,Gragas,Draven696969,Veigar,Good Boi,Irelia,Copý,Yuumi,euur,Lucian,Ssumdayday,Lee Sin,From Rank1,Akali,innas templance,Twitch,Saicos Left Nut,Karma,Candice
4023859520,lose,Ranked Solo,2021-08-27 11:13:21,26m 16s,6,8,5,1.38:1,Double Kill,empty,Jayce,Grandmaster,empty,Sylas,Copý,Nidalee,Kłaus,Jayce,Ssumdayday,Jhin,PSG MESSI,Karma,Candice,Kennen,TL Jenkins,Diana,From Rank1,Graves,Pinwinasio,Jinx,Tomo9,Zilean,Tempos
4023840056,win,Ranked Solo,2021-08-27 09:56:21,20m 12s,1,3,3,1.33:1,empty,empty,Renekton,Challenger,empty,Tahm Kench,PSG MESSI,Ekko,wx mjm978244659,Akshan,insanityxd,Ezreal,karasuno setter,Soraka,Kelpo,Renekton,Ssumdayday,Nidalee,Kłaus,Ryze,onlyzz,Ashe,RAHEEN123,Pyke,Davemon
4023824882,win,Ranked Solo,2021-08-27 09:24:07,25m 20s,10,2,12,11.00:1,Double Kill,MVP,Ezreal,Grandmaster,empty,Kennen,Vxx Reb20201,Amumu,wx mjm978244659,Pyke,Davemon,Samira,IllIlllllIllllIl,Nautilus,Dclaudzz,Kled,CaptBear,Lee Sin,Han Yi,Lissandra,Sword2,Ezreal,Ssumdayday,Gragas,petitpois facher
4023066577,win,Ranked Solo,2021-08-26 11:01:58,30m 21s,1,6,11,2.00:1,empty,empty,Camille,Challenger,empty,Shen,PSG MESSI,Kindred,LeenK LCS,Lulu,Qitong,Jhin,FG GonzO,Karma,Candice,Camille,Ssumdayday,Graves,Vx Hc9999na,Orianna,sigyetaeyeob,Swain,Scyrnn,Trundle,mla3
4022935672,lose,Ranked Solo,2021-08-26 09:31:44,26m 34s,4,9,5,1.00:1,ACE,empty,Jayce,Grandmaster,empty,Jayce,Ssumdayday,Lee Sin,Kłaus,Akali,Stabsie,Aphelios,Tomo9,Braum,Jan Błachowicz,Jarvan IV,tenacityyy,Kindred,Vx Hc9999na,Syndra,DÑA,Sivir,Catch meee,Thresh,100100100100
4022972477,win,Ranked Solo,2021-08-26 08:59:03,20m 10s,0,1,4,4.00:1,empty,empty,Lulu,Grandmaster,empty,Kennen,tenacityyy,Nidalee,Kłaus,Zed,Sayuki,Varus,Tomo9,Pyke,CIyde,Lulu,Ssumdayday,Kindred,Vx Hc9999na,Twisted Fate,onlyzz,Ezreal,Catch meee,Rakan,Tempos
4022765549,win,ARAM,2021-08-26 04:03:42,18m 48s,6,5,30,7.20:1,empty,empty,Zilean,empty,empty,Kog'Maw,100 Freeze,Darius,100100100100,Zilean,Ssumdayday,Xin Zhao,Likahsumboodee,Lissandra,Lustboy,Karthus,starblessing,Miss Fortune,iannn,Thresh,Biblical Girth,Orianna,unknownagent07,Trundle,AdorkableMe
4022209833,win,Ranked Solo,2021-08-25 15:44:42,16m 17s,4,1,3,7.00:1,empty,empty,Renekton,Grandmaster,empty,Jayce,zhong guo,Gragas,Thinkcards son,Ryze,MARI BECERRA,Ezreal,Jaeger LFT,Sett,pig tank,Renekton,Ssumdayday,Trundle,Sauce a gank,Kennen,Youngjin Noh,Jhin,LastDanceDF,Rell,Got them
4022103750,win,Ranked Solo,2021-08-25 14:39:51,28m 9s,6,3,8,4.67:1,Double Kill,MVP,Viego,Grandmaster,empty,Renekton,Sauce a gank,Lee Sin,mla3,Zoe,Go ln With Me,Ezreal,TEAMLUKEE,Bard,TSM FTX Donbray,Kennen,let me shine you,Viego,Ssumdayday,Ryze,MARI BECERRA,Tristana,C9 Zven,Pyke,From Iron
