gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
4040630894,lose,Ranked Solo,2021-09-13 08:02:56,22m 32s,4,7,4,1.14:1,ACE,empty,Graves,Master,empty,Mordekaiser,Kaizer Morde,Lee Sin,ill try harder,Yone,Poopey,Draven,TyChee,Pyke,XiâoMíng,Vayne,Kenvi,Graves,100 Tenacity,Galio,perfunctory ToT,Soraka,Latence,Sona,Cloudyqt
4040585882,win,Ranked Solo,2021-09-13 07:28:14,30m 8s,5,5,7,2.40:1,Double Kill,empty,Graves,Diamond 1,empty,Graves,100 Tenacity,Ekko,Kenvi,Zed,Fight me homie,Syndra,Disconnector,Morgana,1ove Are,Wukong,Mojo Jojo,Nidalee,i miss you leon,Qiyana,ZeroSzu3,Twitch,Ido gf,Seraphine,alvinchangrocks
4033968840,lose,Ranked Solo,2021-09-06 15:45:30,27m 37s,7,5,5,2.40:1,Double Kill,empty,Gangplank,Master,empty,Akali,ßreathtaking,Graves,TSM FrostForest,Azir,Song x Mingi,Vayne,VAYNE99,Thresh,haha lol bad,Gangplank,100 Tenacity,Karthus,IFailedUSaltu,Rumble,cry baby players,Sivir,Az0g,Rakan,wohenshengqi
4017660985,win,Ranked Solo,2021-08-21 12:54:00,15m 20s,4,1,5,9.00:1,Double Kill,MVP,Camille,Grandmaster,empty,Camille,100 Tenacity,Graves,100100100100,Ekko,black player,Kai'Sa,Prototype white,Rell,mla3,Jayce,onlyzz,Lee Sin,Tsao3 ni2 ma3,Viktor,DÑA,Jhin,TEAMLUKEE,Gragas,TSMFTX SwordArt7
4014890282,lose,Ranked Solo,2021-08-18 19:58:31,28m 17s,1,5,3,0.80:1,empty,empty,Aphelios,Grandmaster,empty,Aphelios,100 Tenacity,Graves,Sheiden1,Ryze,Trisend33,Varus,A D,Leona,Jozyy,Yorick,Autolykus,Xin Zhao,K 33 11,Irelia,APA1,Seraphine,Qitong,Sona,Cupic
4014677925,win,Ranked Solo,2021-08-18 14:53:07,20m 41s,13,3,7,6.67:1,Double Kill,MVP,Camille,Master,empty,Sett,JordanTheBoss,Hecarim,Rey Leon,Soraka,wolverene,Xayah,TEAMLUKEE,Maokai,Bellow1,Camille,100 Tenacity,Nidalee,zzzdr,Twisted Fate,Chewvy,Twitch,Dead420,Yuumi,Mutual Respect
4014680627,win,Ranked Solo,2021-08-18 14:15:34,36m 0s,5,7,12,2.43:1,empty,empty,Aatrox,Master,empty,Aatrox,100 Tenacity,Fiddlesticks,Haise,Viego,Calysta,Jhin,goidwolfer fan,Leona,LevFS,Malphite,yu ye,Zac,Wackaroni,Yasuo,innas templance,Ziggs,VicrNhVeP,Alistar,DPM
4013666073,lose,Ranked Solo,2021-08-17 13:56:55,31m 44s,2,6,8,1.67:1,empty,empty,Gangplank,Challenger,empty,Gangplank,100 Tenacity,Rengar,c2 meteos,LeBlanc,jojopyun 16,Ashe,BVOYXD,Zac,huhi,Gnar,ADD ON WIN,Viego,blaberfish2,Kassadin,pilling91,Aphelios,G00DbyeNA,Thresh,Gweiss
4011239137,lose,Ranked Solo,2021-08-15 10:33:38,15m 24s,2,4,0,0.50:1,empty,empty,Camille,Grandmaster,empty,Sylas,onlyzz,Vi,Apmud,Diana,Arcsecond,Draven,hornygirl1,Gragas,Shadyy,Camille,100 Tenacity,Lee Sin,Han Yi,Kennen,Satoshi,Miss Fortune,Yutwo,Thresh,White jìng
4011186304,lose,Ranked Solo,2021-08-15 10:12:56,23m 46s,3,2,3,3.00:1,ACE,empty,Gangplank,Grandmaster,empty,Gangplank,100 Tenacity,Shaco,Gragsus,Orianna,Thinkcards son,Draven,hornygirl1,Zac,mla3,Jayce,leave me alone1,Kayn,rjsdndgod,Akali,Spirax,Aphelios,EU Red,Lulu,Number 1 Taco
