gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5489072571,win,Ranked Solo,2021-10-03 21:02:01,37m 19s,0,3,24,8.00:1,empty,empty,Nami,Master,empty,Riven,YEP C,Lee Sin,επιμονή,LeBlanc,Konami0201,Twitch,Pinky windy,Nami,Banande,Poppy,R0o2,Diana,Cast,Irelia,SOLNEX,Aphelios,MAZURMAZURMAZUR,Thresh,Karni
5488377209,lose,Ranked Solo,2021-10-03 05:44:23,15m 41s,2,5,6,1.60:1,empty,empty,Amumu,Master,empty,Jarvan IV,ZONGO LE DOZØ,Kindred,معزة,Twisted Fate,xFlavour4youGirl,Kai'Sa,141414ADADAD,Amumu,Banande,Gwen,jg diff victim,Talon,Sawyorr,Sylas,QYURRYUS1,Lucian,Gosberg17,Yuumi,F tier supp
5488314873,lose,Ranked Solo,2021-10-03 05:23:52,23m 40s,2,8,3,0.63:1,empty,empty,Akali,Master,empty,Akali,Banande,Lee Sin,ositosi,Lissandra,Tziz,Ezreal,F tier supp,Lulu,Mihajlo Matic,Camille,IAimToMisbehave,Talon,ChatDisabler97,LeBlanc,1Freazy,Taliyah,CannonMinion4u,Bard,LiL TommyG
5487952023,lose,Ranked Solo,2021-10-03 00:33:16,24m 10s,5,6,7,2.00:1,ACE,empty,Pyke,Master,empty,Lee Sin,SlXTEN,Jarvan IV,ryuzaki 5,Twisted Fate,GSK Tixn,Vladimir,Elite500,Pyke,Banande,Gwen,Joker z Płocka,Fiddlesticks,EUW VILLAIN,Tryndamere,Zhìì,Lucian,missing it,Nami,TheRoyalKanin
5487858007,lose,Ranked Solo,2021-10-03 00:03:22,23m 8s,4,5,0,0.80:1,empty,empty,Leona,Grandmaster,empty,Urgot,NieUfamCiJezu12,Fiddlesticks,I Got This,Cassiopeia,Sτoπεd Snαke,Miss Fortune,SWENZUUUUUUUUUUU,Alistar,MORG3NSHTERN,Irelia,Invícta,Nidalee,VGIA 113,Yone,TheWanderingPro,Ezreal,141414ADADAD,Leona,Banande
5487066295,lose,Ranked Solo,2021-10-02 06:44:05,29m 28s,6,5,7,2.60:1,Double Kill,ACE,Twisted Fate,Master,empty,Singed,Let me fling you,Viego,BestCzechJungler,Karma,NieUfamCiJezu12,Aphelios,II Anyone,Thresh,I love Latinas,Camille,CLS TGDUELIST,Jarvan IV,Ütani Gran Hur,Twisted Fate,Banande,Miss Fortune,Mental Himalaya,Janna,whitelikewhite
5485230694,win,Ranked Solo,2021-10-01 04:28:20,34m 44s,14,12,13,2.25:1,MVP,empty,Lucian,Master,empty,Camille,2Cups,Taliyah,TwTv PROJECT BZ,Yasuo,ƒallεn angel,Lucian,Banande,Nami,Knight Raviolo,Zilean,Thebausffs,Kayn,Γ     Ω     β,Sett,LittIe Trouble,Ezreal,hgotdsxz,Pantheon,Lil Ûzi Vert
5484855234,lose,Ranked Solo,2021-09-30 23:58:55,15m 23s,1,8,2,0.38:1,empty,empty,Jayce,Master,empty,Jayce,Banande,Kayn,20001111,Kassadin,Twitch Ag0nyPain,Seraphine,Its Me InDeed,Amumu,BotIsLavaPathTop,Irelia,Stargazer7,Qiyana,FTY Densi ,Ziggs,F tier supp,Lucian,Mytnat,Nami,godzaimeris
5484808325,lose,Ranked Solo,2021-09-30 23:22:12,25m 4s,2,8,4,0.75:1,empty,empty,Sylas,Master,empty,Jax,KIT GentlmanHero,Lee Sin,jarda jagr,Rumble,Shinøre,Ashe,RKT Maςaquiñø,Rakan,skain24,Gwen,ArcaneTeddy,Qiyana,noob stomper 69,Tryndamere,mοtjaaa,Twitch,Pinky windy,Sylas,Banande
5484736095,lose,Ranked Solo,2021-09-30 22:24:53,3m 13s,1,0,0,Perfect,empty,empty,Lucian,Master,empty,Amumu,Keria test acc,Kha'Zix,357159,Kennen,me like solobolo,Ezreal,mihaitzaboss,Graves,DIV Final,Jayce,NA Hopium,Teemo,easymoneysniper1,Kassadin,DÄMONEN,Lucian,Banande,Alistar,BIG Seaz
