gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
4040775425,lose,Flex 5:5 Rank,2021-09-13 11:14:13,28m 44s,6,5,6,2.40:1,ACE,empty,LeBlanc,Platinum 4,empty,Lillia,Wyunu,Graves,SenseiTurtle,Gragas,LuvSenpai,Yasuo,Krewe,Swain,Iseme,Illaoi,Vocal,Zed,Zìkz,LeBlanc,huhi,Caitlyn,woori,Brand,Chazhang
4040709590,lose,Flex 5:5 Rank,2021-09-13 10:38:27,33m 5s,11,6,5,2.67:1,ACE,empty,Gangplank,Platinum 3,empty,Camille,Zìkz,Fiddlesticks,Vocal,Gangplank,huhi,Tristana,woori,Braum,Chazhang,Fiora,Lurk390,Amumu,Arrowman1256,Yasuo,kingbranflakes,Caitlyn,Nephh,Morgana,meºww
4040177598,lose,Flex 5:5 Rank,2021-09-12 17:34:41,25m 16s,2,5,3,1.00:1,empty,empty,Kennen,Platinum 2,empty,Malphite,Êchô,Lee Sin,Woovenchy,LeBlanc,Rank,Ashe,Summer Sucks,Lulu,dreamsequence,Kennen,huhi,Zed,Zìkz,Lucian,Supersonics1,Tristana,woori,Braum,Chazhang
4039880775,win,Ranked Solo,2021-09-12 11:35:47,27m 31s,10,8,15,3.13:1,empty,empty,Kai'Sa,Grandmaster,empty,Camille,DippyDan,Kayn,trdblaster,Fizz,Saiyans,Ezreal,oota,Braum,The Grand Canyon,Kennen,zhong guo,Olaf,wong diff,Tryndamere,Pure Kawaii,Kai'Sa,huhi,Alistar,Save You
4036553802,lose,Ranked Solo,2021-09-09 09:41:21,22m 15s,4,5,10,2.80:1,Double Kill,empty,Ashe,Grandmaster,empty,Draven,My name07,Olaf,Pandissimo,Cassiopeia,Sweet Tangerine,Miss Fortune,Yutwo,Yuumi,adc,Jarvan IV,Shortley,Xin Zhao,Winston4,Ryze,are you mine,Ashe,huhi,Nami,TheNuocMam
4031550008,win,Ranked Solo,2021-09-04 10:40:09,31m 17s,3,7,13,2.29:1,empty,empty,Diana,Grandmaster,empty,Sylas,C9 Copy,Xin Zhao,perryjg,Teemo,Yung Fappy,Miss Fortune,EDG Jan Sali,Blitzcrank,donbray,Irelia,TSM FTX Takeover,Diana,huhi,Cassiopeia,Strompest,Jinx,CC Shogo,Sona,The Tank Man
4031493388,lose,Ranked Solo,2021-09-04 09:58:42,44m 34s,29,9,12,4.56:1,Double Kill,ACE,Varus,Grandmaster,empty,Rengar,Yoshi,Ekko,Arcsecond,Twisted Fate,Strompest,Varus,huhi,Leona,LCK Aggro or FF ,Teemo,Yung Fappy,Kha'Zix,Sheiden3,Qiyana,ćam,Draven,TyChee,Karma,PancakeSlap
4031458591,win,Ranked Solo,2021-09-04 08:59:54,25m 40s,8,4,9,4.25:1,Double Kill,empty,Aphelios,Grandmaster,empty,Quinn,QuinnAD,Olaf,Ghøst Snøw,Ryze,onlyzz,Aphelios,huhi,Nautilus,Pockus,Irelia,DAMIIMAD,Ekko,wx mjm978244659,Lucian,Shortley,Ezreal,Kazahana,Yuumi,777 IcèMango
4028167977,lose,Ranked Solo,2021-08-31 14:20:45,30m 40s,5,4,15,5.00:1,ACE,empty,Ashe,Grandmaster,empty,Wukong,Airflash,Viego,04 Jug,Ahri,Lemur,Aphelios,TL Yeon,Leona,wohenshengqi,Riven,Tiger and Fish,Ekko,KingClueless,LeBlanc,Time to go back,Ashe,huhi,Thresh,Oh ill Nam
4028151951,lose,Ranked Solo,2021-08-31 13:24:51,24m 1s,3,9,7,1.11:1,empty,empty,Seraphine,Grandmaster,empty,Fiora,Faisalll,Lee Sin,100 Chad,Orianna,Strompest,Samira,Wekin Poof,Nautilus,Eyla,Camille,Dhokla,Taliyah,Thousánd Years,Sylas,onlyzz,Ashe,enryu,Seraphine,huhi
4025098084,lose,Ranked Solo,2021-08-28 12:20:45,23m 7s,3,7,6,1.29:1,Double Kill,empty,Lee Sin,Grandmaster,empty,Gnar,PSG MESSI,Lee Sin,huhi,Tristana,Lugerr,Ziggs,TL Tactical,Leona,Serotonin Chaser,Malphite,Good Boi,Trundle,blaberfish2,Ryze,Saurabh kumar,Draven,TTV Chad Draven,Sett,mla3
4025093858,lose,Ranked Solo,2021-08-28 11:45:41,17m 18s,3,6,2,0.83:1,empty,empty,Shen,Grandmaster,empty,Tahm Kench,PSG MESSI,Lee Sin,TL Tactical,Ekko,Scyrnn,Ziggs,Jemusi,Shen,huhi,Jayce,TheRealPhilip,Nidalee,Kłaus,Annie,Serotonin Chaser,Ezreal,Good Boi,Zilean,Tempos
4024099313,win,Ranked Solo,2021-08-27 14:46:38,23m 29s,4,4,14,4.50:1,MVP,empty,Nautilus,Grandmaster,empty,Jayce,jojopyun 16,Xin Zhao,ASDA Crusader,Orianna,Shower D0G,Samira,ßloodßath,Ahri,Proosia,Ornn,Draven696969,Graves,100 Chad,Aurelion Sol,Went,Kalista,100 Lugerr,Nautilus,huhi
