gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5463151153,lose,Ranked Solo,2021-09-20 02:24:42,11m 8s,1,3,1,0.67:1,empty,empty,Sylas,Diamond 4,empty,Camille,모세모세모세모세,Karthus,날먹소년,Qiyana,간절소년,Lucian,Suntoong,Leona,nobnobbaobeii,Irelia,임소백,Graves,Henryperzig2,Lulu,2194739302859352,Vayne,보스온더비치,Sylas,42875237
5463084837,win,Ranked Solo,2021-09-20 01:55:20,25m 46s,0,1,9,9.00:1,empty,empty,Trundle,Platinum 1,empty,Jax,가상다정했어,Talon, LuminousMaple,Ryze,방귀뀐놈이성낸다,Kindred,Thomas BBu,Thresh,xiao min b,Jayce,파푸니카주민,Nidalee,페이델,Yone,나를 믿어 얘들아,Ashe,권유령,Trundle,42875237
5462949779,lose,Ranked Solo,2021-09-20 01:16:18,25m 12s,2,6,12,2.33:1,ACE,empty,Sylas,Diamond 3,empty,Lillia,페이델,Elise,nwp,Pantheon,말 예쁘게 합시당,Ezreal,나같으면 고개도못들고 있을텐데,Shen,쉔 타,Tryndamere,07년섕 돼지띠 ,Shaco,홍줄리,Katarina,방귀뀐놈이성낸다,Jhin,권유령,Sylas,42875237
5462941692,win,Ranked Solo,2021-09-20 00:41:34,34m 46s,3,8,12,1.88:1,empty,empty,Gragas,Diamond 3,empty,Fiora,에버플래닛,Evelynn,상훈a,Zilean,널 살리언,Ezreal, LuminousMaple,Gragas,42875237,Sett,그만큼신난다는거지,Nidalee,Yang Jing Yao,Talon,Ye Wu Di,Kai'Sa,B4ss,Amumu,인천 하후돈
5462854488,win,Ranked Solo,2021-09-19 23:56:53,15m 48s,0,0,2,Perfect,empty,empty,Trundle,Diamond 4,empty,Cassiopeia,past is the past,Evelynn,알라뷰하트뿅,Jax,가상다정했어,Ezreal,윤호님미드가신다,Trundle,42875237,Fiora,Lauv1,Kayn,YEL밍,Akali,방귀뀐놈이성낸다,Ashe,이지훈의 주인,Lulu,믿음희망사랑인내포옹열정소망노력
5462565451,win,Ranked Solo,2021-09-19 23:20:50,27m 52s,4,7,13,2.43:1,empty,empty,Sylas,Platinum 1,empty,Aatrox,염불상,Qiyana,마석누런펭귄,Ryze,Is Y0u Down,Miss Fortune,모두다일어나,Leona,EDG Baki,Cassiopeia,past is the past,Olaf,Kratosds,Sett,woxiangtiaolou,Ezreal,제주도맛집국동윤,Sylas,42875237
5462449241,lose,Ranked Solo,2021-09-19 22:41:22,15m 15s,2,6,3,0.83:1,empty,empty,Amumu,Diamond 1,empty,Darius,zl존킹x전관수x,Jarvan IV,데마시아를품은자,Sylas,gua gua shou,Lucian,늘근범즈리얼,Karma,공격 템,Lux,Last light,Zed,stay calm win,Singed,DOK GAS,Jinx,SoyuQiSuSuSu,Amumu,42875237
5460884643,win,Ranked Solo,2021-09-19 03:38:36,26m 11s,4,6,20,4.00:1,Double Kill,empty,Yuumi,Diamond 3,empty,Akshan,BTS손흥민킹준혁,Master Yi,IllIIIIlIIllll,Taric,그리워,Ziggs,마우갓,Yuumi,42875237,Yone,One World,Karthus,IllllIllIlIllllI,Ryze,정우송,Aphelios,우리 사이 온도,Karma,대조동 이태성
5460870219,win,Ranked Solo,2021-09-19 02:44:39,24m 30s,4,6,14,3.00:1,empty,empty,Amumu,Diamond 4,empty,Riven,MIDKING18,Nidalee,자신 을 믿다,Talon,World Class KR,Swain,FPX 짐꾼,Amumu,42875237,Camille,Tirane,Taliyah,Henryperzig2,Graves,멘탈OUT,Samira,나는모르고싶다,Shaco,대께문
5460794914,lose,Ranked Solo,2021-09-19 02:13:39,34m 11s,1,9,7,0.89:1,empty,empty,Amumu,Diamond 4,empty,Camille,Japhkiel,Taliyah,Tirane,Zed,나는모르고싶다,Ziggs,FPX 짐꾼,Amumu,42875237,Cassiopeia,햄식이,Shaco,wlsfudsh,Sylas,팀끼리그만좀싸워,Ezreal,인간극장관람기,Leona,대께문
