gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5489153185,lose,Ranked Solo,2021-10-03 22:06:39,29m 6s,5,5,5,2.00:1,Double Kill,ACE,Xayah,Master,empty,Ornn,LesleyoZ,Graves,PAMELA DINDON,Diana,Dym le Chagrin,Ezreal,Relentless Ray,Soraka,BananaAbuser42,Jarvan IV,ZombieKungen,Rengar,EKIPAF0ND,Sylas,Zilent,Xayah,BYG Liang,Brand,BFG Toxic
5489009502,lose,Ranked Solo,2021-10-03 21:24:48,24m 18s,5,4,5,2.50:1,Double Kill,ACE,Kai'Sa,Master,empty,Sett,TEAM Bladeshow,Kha'Zix,Cenatu42,Sylas,nesiseka,Draven,Lithuanian Deft,Janna,asdgfdjui,Irelia,Relentless Ray,Rek'Sai,91 C LE BRESIL,Vel'Koz,Dym le Chagrin,Kai'Sa,BYG Liang,Thresh,Paixdia
5489004923,lose,Ranked Solo,2021-10-03 20:51:45,27m 8s,1,9,1,0.22:1,empty,empty,Lucian,Master,empty,Kennen,ChillThenWinBig,Nocturne,Momo Statham,Cassiopeia,nesiseka,Lucian,BYG Liang,Nami,Iuv,Ornn,TEAM Bladeshow,Rek'Sai,91 C LE BRESIL,Ryze,Dym le Chagrin,Jinx,Lithuanian Deft,Thresh,Paixdia
5488211643,win,Ranked Solo,2021-10-03 03:56:01,23m 16s,5,2,8,6.50:1,empty,empty,Ezreal,Master,empty,Lillia,Sirius blake,Shaco,tb5,Graves,XAKY,Ezreal,BYG Liang,Karma,Khal Suppo,Camille,Τragödie,Rengar,VUZRAJDANE MANQK,Orianna,Saulius 10,Draven,420DANY69,Xerath,PLS SAVE ME PLS
5487613823,win,Ranked Solo,2021-10-02 20:48:45,22m 31s,4,4,11,3.75:1,empty,empty,Cassiopeia,Master,empty,Graves,2021Worlds0113,Ekko,Monsieur Oui,Tryndamere,William4,Cassiopeia,BYG Liang,Rakan,BotIsLavaPathTop,Jayce,Raven2,Jarvan IV,Don Arts,Sylas,Jungler3,Lucian,Gasteizko Onena,Galio,Dr Chaos
5487578309,lose,Ranked Solo,2021-10-02 20:19:14,28m 4s,2,10,2,0.40:1,empty,empty,Yone,Master,empty,Ornn,TwTv Makkro0,Xin Zhao,Keule183,Katarina,EU Katarina Gosu,Ezreal,TTW zoiren,Bard,Symeοn,Pantheon,lordnabos,Gragas,SmurfWithHarambe,Yone,BYG Liang,Lucian,Silverpenny,Pyke,AST RotteBengi
5487534881,win,Ranked Solo,2021-10-02 19:42:03,32m 35s,8,4,4,3.00:1,Double Kill,empty,Tristana,Master,empty,Sylas,GO GET IT,Poppy,LeChase,Zed,ukaL mid account,Kog'Maw,Strzelec Patryś,Lulu,Leo D Aras,Camille,Thel1ttletiger,Graves,Markoon,Galio,TTW zoiren,Tristana,BYG Liang,Rakan,KIoen
5487278159,win,Ranked Solo,2021-10-02 10:09:27,33m 5s,5,6,10,2.50:1,empty,empty,Lucian,Master,empty,Wukong,ThemanaZ100,Taliyah,Grail,Yasuo,L9 BARACK OBAMA,Draven,Sphericity,Janna,iyon ali,Irelia,ItsUniqueCORN,Viego,TacticaI Rage,Twisted Fate,BIS xMata,Lucian,BYG Liang,Seraphine,IlIIIllIllIIlIlI
5487133726,lose,Ranked Solo,2021-10-02 07:16:42,15m 54s,1,3,3,1.33:1,empty,empty,Jhin,Master,empty,Graves,Sirius blake,Qiyana,Insmnia v2,Orianna,Glαssy Sky,Jhin,BYG Liang,Rakan,2021Worlds0173,Aatrox,Stargazer7,Ekko,Upset,Tryndamere,Viikingr,Lucian,Gosberg17,Soraka,NHWK
5486969392,lose,Ranked Solo,2021-10-02 06:53:06,30m 16s,5,4,7,3.00:1,ACE,empty,Vayne,Master,empty,Jayce,KCKS,Qiyana,noob stomper 69,Ryze,Viikingr,Vayne,BYG Liang,Thresh,PINW KAFE,Aatrox,Stargazer7,Taliyah,daIe manin,Irelia,dajor25 movement,Xayah,dzc,Nautilus,Devid
