gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5471514646,lose,Ranked Solo,2021-09-24 00:42:25,20m 11s,1,5,8,1.80:1,empty,empty,Draven,Grandmaster,empty,Sylas,가민준,Qiyana,byz,Irelia,은정우,Draven,zxcsazxcazdz,Rakan,Yi bing chao,Trundle,난 워낙 노빠꾸라,Graves,끼릭끼리릭,Azir,EIderwood Azir,Lucian,어딘가좀아픈사람,Lulu,안타까운 세상
5471126304,win,Ranked Solo,2021-09-23 22:55:04,17m 40s,5,2,5,5.00:1,MVP,empty,Lucian,Grandmaster,empty,Riven,오동1,Nunu & Willump,2780491374142752,Orianna,CIozerr,Lucian,zxcsazxcazdz,Nami,레일리리,Gragas,DangerousBoy ady,Ekko,Love dont stop,Pantheon,못할 때도 있지,Ezreal,zszzz,Bard,Destiny
5469761868,lose,Ranked Solo,2021-09-23 00:56:27,22m 11s,4,7,5,1.29:1,Double Kill,empty,Miss Fortune,Grandmaster,empty,Jax,Hakunaa Matata,Graves,Z RyeoKR,Sylas,단군의청춘부재,Miss Fortune,zxcsazxcazdz,Blitzcrank,치쯔스틱,Camille,샤오 쑤,Nidalee,kaixin1dian,Ryze,blwy1,Ezreal,RiHoo,Nautilus,안타까운 세상
5469626507,win,Ranked Solo,2021-09-23 00:15:30,20m 8s,11,3,6,5.67:1,Double Kill,MVP,Miss Fortune,Grandmaster,empty,Camille,모두모두항복하길,Lee Sin,Love dont stop,Katarina,Emilia tan,Jinx,어제보단잘하자,Thresh,Practice,Fiora,ke bei,Nocturne,Hengzzz,Ryze,haoyunba0bel,Miss Fortune,zxcsazxcazdz,Seraphine,옆동산외계인
5469568717,win,Ranked Solo,2021-09-22 23:41:07,27m 3s,9,8,5,1.75:1,empty,empty,Lucian,Grandmaster,empty,Fiora,ke bei,Gragas, 엘 림,Qiyana,못할 때도 있지,Lucian,zxcsazxcazdz,Nami,레일리리,Graves,blwy1,Diana,Love dont stop,Orianna,K T,Miss Fortune,kaixin1dian,Amumu,fuzhu carry
5469492379,lose,Ranked Solo,2021-09-22 23:01:26,24m 11s,8,6,3,1.83:1,Double Kill,empty,Lucian,Grandmaster,empty,Gnar,BJ갈배,Lee Sin,20200902start,Ryze,Untara,Lucian,zxcsazxcazdz,Leona,wu tiao jian,Jayce,Hakunaa Matata,Talon,kaixin1dian,Azir,EIderwood Azir,Ezreal,zszzz,Anivia,douyu TV 9018814
5469460180,win,Ranked Solo,2021-09-22 22:08:44,28m 10s,13,3,8,7.00:1,Triple Kill,MVP,Lucian,Grandmaster,empty,Sett,멍청한 게임,Lee Sin,Xiaohao9,LeBlanc,Hide on bush,Vayne,cer,Lulu,짜요짜요먹고싶어,Graves,blwy1,Zed,a little story,Galio,wulaidafa,Lucian,zxcsazxcazdz,Rakan,xiaoqiupup
5468696106,lose,Ranked Solo,2021-09-22 18:29:01,25m 26s,4,6,3,1.17:1,empty,empty,Vayne,Grandmaster,empty,Sylas,Roach,Jarvan IV,06 05 19,Yone,없어질듯,Ziggs,DK Kingdom,Maokai,Practice,Lee Sin,애넨차피이해못해,Qiyana,kaixin1dian,Azir,IIIlllIIIlllIIII,Vayne,zxcsazxcazdz,Karma,하 루 가절 반 
5468577997,lose,Ranked Solo,2021-09-22 17:53:58,33m 1s,5,6,2,1.17:1,Double Kill,empty,Samira,Grandmaster,empty,Sett,Trisak,Lee Sin,kaixin1dian,Syndra,IIIlllIIIlllIIII,Samira,zxcsazxcazdz,Amumu,선생님 맛없어요,Irelia,Saint Diana,Nidalee,depart,Qiyana,새콤달콤 하 다,Lucian,하 루 가절 반 ,Lulu,concesslon
5468512293,lose,Ranked Solo,2021-09-22 17:08:37,16m 8s,3,1,1,4.00:1,empty,empty,Kai'Sa,Grandmaster,empty,Jayce,Shirakami Fubuk1,Ekko,wetfan,Lucian,7777케이,Kai'Sa,zxcsazxcazdz,Amumu,kukuking,Jax,한타 잘하고싶당,Qiyana,Jzzcjmzh,Sylas,파나경,Draven,zszzz,Leona,햄스터쳇바퀴인생
