gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490262441,win,Ranked Solo,2021-10-04 05:47:39,16m 52s,8,3,13,7.00:1,Double Kill,MVP,Graves,Master,empty,Kennen,huge L taker,Talon,Puur wit,Rumble,boli mnie głowa,Brand,Harmon Elizabeth,Yuumi,Enemy Team Shaco,Quinn,LOL ember L9,Graves,HSFFFFFFFFFF,Ryze,Budget Doinb,Kai'Sa,Viel Glück,Karma,Z15
5489162567,lose,Ranked Solo,2021-10-03 22:09:31,36m 51s,10,5,8,3.60:1,Double Kill,ACE,Lee Sin,Master,empty,Aatrox,Vavroni,Shaco,Th3Raven,Zilean,Legenden Lalle,Lucian,G2 Teddy,Soraka,SONO UN ITALIANO,Wukong,ShuoSanJiuSan,Lee Sin,HSFFFFFFFFFF,Vex,bmj2,Caitlyn,Comeback is here,Nami,PXC Shunrim
5489019393,lose,Ranked Solo,2021-10-03 21:26:02,26m 27s,5,7,6,1.57:1,empty,empty,Lee Sin,Master,empty,Fiora,h0la eu,Trundle,Carnagε,Malzahar,broder jonsen,Lucian,Regostern,Nami,CBT ENJ0YER,Gangplank,Raxes,Lee Sin,HSFFFFFFFFFF,Rumble,boli mnie głowa,Kalista,T1 DHT,Soraka,BananaAbuser42
5489033872,win,Ranked Solo,2021-10-03 20:53:20,28m 34s,14,9,17,3.44:1,Double Kill,MVP,Jarvan IV,Master,empty,Gangplank,Hi im Ahri,Jarvan IV,HSFFFFFFFFFF,LeBlanc,Advienneee,Lucian,KIT Maroc3k,Rell,MS Hazen,Gnar,Naynahm,Lee Sin,Poopmaker,Twisted Fate,Buƒƒ,Ezreal,FPG Remix,Leona,CBT ENJ0YER
5488959070,win,Ranked Solo,2021-10-03 20:18:20,31m 34s,13,8,8,2.63:1,Double Kill,empty,Graves,Master,empty,Darius,Nicoups,Kindred,Neidan,Katarina,رجل,Draven,Twtv KappaBeetle,Janna,Aloru,Graves,HSFFFFFFFFFF,Ekko,DoubleAiM,Lee Sin,Master of Shabs,Xayah,ΒΕNJI,Rakan,unzebeel2
5488888198,win,Ranked Solo,2021-10-03 19:39:19,15m 23s,6,1,5,11.00:1,MVP,empty,Lee Sin,Master,empty,Wukong,Naynahm,Ekko,Yaeow1,Sylas,SQCRISTIAAN,Kalista,LBJLBJLBJLBJ1111,Taric,MS Hazen,Aatrox,EU POLIZEI,Lee Sin,HSFFFFFFFFFF,Seraphine,RHS Yvraine,Miss Fortune,Nafilan,Rell,YTSearch Hanabi
5488469870,lose,Ranked Solo,2021-10-03 07:16:21,31m 27s,8,9,5,1.44:1,empty,empty,Lee Sin,Master,empty,Jax,HeIsinki,Lee Sin,HSFFFFFFFFFF,Kayle,Spoodersussi v2,Jhin,PVE Chilenare,Janna,DereBeyi Yunus,Gwen,Z15,Qiyana,SLARDAR KINGDOM,Vladimir,Sanguine Soul,Tristana,Un nou început,Bard,dont be insecure
5488232686,lose,Ranked Solo,2021-10-03 04:09:09,22m 54s,11,5,2,2.60:1,ACE,empty,Graves,Diamond 1,empty,Tryndamere,ttYeQiu09,Nidalee,cam bardak oIsun,Sylas,RolIing,Samira,maoxiandao,Pyke,farsatacklare12,Wukong,CvB Arbuz,Graves,HSFFFFFFFFFF,Kayle,ravenous hatred,Kai'Sa,ETERNAL LlFE,Yuumi,Negative Gaming
5487652775,lose,Ranked Solo,2021-10-02 20:53:29,26m 26s,9,6,5,2.33:1,Double Kill,ACE,Viego,Master,empty,Camille,Atrøphy,Kha'Zix,The Rangod,Orianna,Bloody Diana,Swain,Ipados,Rakan,unzebeel2,Dr. Mundo,I regret myself,Viego,HSFFFFFFFFFF,Cassiopeia,Cohle7,Varus,N1 Casper,Zac,Hawlight
5487579431,lose,Ranked Solo,2021-10-02 20:21:31,20m 18s,0,5,1,0.20:1,empty,empty,Graves,Diamond 1,empty,Rumble,ertruby,Taliyah,Kral returns,Tryndamere,chomaker,Lucian,WO Wodex,Leona,Postkassen,Graves,HSFFFFFFFFFF,Talon,Whiskey553,Viktor,mid1111111,Ezreal,Fenyxxx,Zyra,Chat off Zyra on
5487556179,win,Ranked Solo,2021-10-02 19:55:28,28m 35s,9,7,11,2.86:1,Double Kill,MVP,Graves,Master,empty,Graves,HSFFFFFFFFFF,Lee Sin,Kileriukas,LeBlanc,Erring,Miss Fortune,KondzioBondzio,Zyra,faeces,Poppy,PippilOPPY,Gragas,big essa jungle,Yasuo,JL Sayn,Syndra,VEC Tráce,Janna,sixteen yo sup
