gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5471732652,lose,Ranked Solo,2021-09-24 01:46:29,19m 1s,8,5,3,2.20:1,ACE,empty,Rek'Sai,Master,empty,Lee Sin,황진한,Nunu & Willump,Protein Nunu,LeBlanc,T1 Faker fan02,Ezreal,단지 너뿐,Bard,명부마도의 서,Sett,dingjimeinv,Rek'Sai,mohuado,Ekko,pqandIyh,Miss Fortune,누누슴,Alistar,이름 없는Mid
5471488677,lose,Ranked Solo,2021-09-24 01:11:12,22m 40s,0,8,6,0.75:1,empty,empty,Talon,Master,empty,Kayn,moonbb,Graves,갱후닝,Ryze,xiaoxii,Jinx,불멸의 오장군,Leona,xiaoxinchaoren,Jax,톱 겝,Talon,mohuado,Akali,방심하면집니다,Draven,T1 CrazzyCar,Karma,룰루랄라룰루랄리
5471543612,lose,Ranked Solo,2021-09-24 00:31:57,15m 23s,3,3,2,1.67:1,empty,empty,Lee Sin,Master,empty,Aatrox,기 찬,Nidalee,594877,Malphite,UZ Yet,Ezreal,13990,Pantheon,ALLlinerrr,Fiora,w t,Lee Sin,mohuado,Ekko,pqandIyh,Samira,아프리카박고보기,Galio,박고 보기
5469872458,lose,Ranked Solo,2021-09-23 02:24:54,15m 36s,0,3,2,0.67:1,empty,empty,Talon,Master,empty,Tahm Kench,기 찬,Jarvan IV,미에로화이바 얌,Vladimir,XiA 훈,Miss Fortune, Days Like These,Fiddlesticks,명품엉덩이,Jayce,usamljenigenije,Talon,mohuado,Sylas,sbkongjuzheng,Aphelios,hu1toukankanwo,Alistar,후지모토
5469779122,lose,Ranked Solo,2021-09-23 02:01:30,27m 27s,11,6,4,2.50:1,Double Kill,ACE,Lee Sin,Master,empty,Malphite,승 핵,Lee Sin,mohuado,LeBlanc,We4bfkenaick,Ezreal,Twitch Kimmallae,Karma,누누슴,Lillia,토닥임,Kha'Zix,미에로화이바 얌,Tryndamere,1xn fans,Samira,주니갓,Bard,AWM
5469727192,lose,Ranked Solo,2021-09-23 01:27:29,15m 20s,5,5,0,1.00:1,ACE,empty,Xin Zhao,Master,empty,Sylas,07년생 무뇌 탑,Lillia,토닥임,Talon,낮에뜨는 달과 별,Kog'Maw,ljyouxi,Karma,2601898377668288,Malphite,미에로화이바 얌,Xin Zhao,mohuado,Ryze,평온하게 살다1,Jinx,JunB,Thresh,1128321
5469678952,lose,Ranked Solo,2021-09-23 00:46:25,32m 36s,6,6,13,3.17:1,empty,empty,Jarvan IV,Master,empty,Irelia,코 태,Nidalee,Klaus8,Qiyana,낮에뜨는 달과 별,Ziggs,ijijijijjji,Maokai,소심한데할말다함,Rengar,잘해지고 싶어요,Jarvan IV,mohuado,Renekton,프로하고싶은,Lucian,yelb,Amumu, chacka chicky
5469612645,lose,Ranked Solo,2021-09-23 00:05:28,32m 38s,6,8,1,0.88:1,empty,empty,Diana,Master,empty,Jax,김눌엉,Nidalee,내가못했소,Ekko,zhou bai jie,Twitch,Dalsuy,Rakan,BewhY77,Rengar,잘해지고 싶어요,Diana,mohuado,Irelia,코 태,Lucian,약속의3코어,Lulu,소심한데할말다함
5469566424,lose,Ranked Solo,2021-09-22 23:24:43,22m 51s,3,9,7,1.11:1,ACE,empty,Nidalee,Master,empty,Renekton,Crazy angle ,Kha'Zix,SQU4RE,Sylas,luv rainn,Draven,Zrs,Pantheon,ALLlinerrr,Aatrox,AF Roast,Nidalee,mohuado,Irelia,코 태,Samira,Exusia,Amumu,즐 야
5469419287,lose,Ranked Solo,2021-09-22 22:55:29,32m 12s,7,12,10,1.42:1,empty,empty,Rek'Sai,Master,empty,Poppy,코 태,Rek'Sai,mohuado,Malzahar,느낌좋은날1,Draven,Zrs,Leona,ALLlinerrr,Gangplank,톱 겝,Lee Sin,원딜도하는정글,Twisted Fate,luv rainn,Lucian,리젠스,Alistar,jiaojiao
5469470627,lose,Ranked Solo,2021-09-22 22:15:34,33m 1s,7,7,13,2.86:1,empty,empty,Xin Zhao,Master,empty,Jax,ldmzzz,Xin Zhao,mohuado,Sylas,좀 재미 있어 요,Kai'Sa,sayacintakanawak,Leona,xiaoxinchaoren,Gwen,홍낙현,Taliyah,KAINIX,Irelia,코 태,Aphelios,ijijijijjji,Rell,jiaojiao
5468625528,win,Ranked Solo,2021-09-22 18:24:37,26m 19s,10,5,9,3.80:1,MVP,empty,Nidalee,Master,empty,Aatrox,괴물 빠숑,Kindred,병버니,Viktor,상큼한 포도,Aphelios,liiv ad1top,Thresh,기억의 묵살,Sett,진득젠득,Nidalee,mohuado,Graves,미드 리신 미드,Ezreal,Nkwyjfxcq,Anivia,얼음치킨장사중
5468589955,win,Ranked Solo,2021-09-22 17:45:57,15m 55s,1,2,9,5.00:1,empty,empty,Diana,Master,empty,Sett,첼까지닉변안함,Nunu & Willump,루치TV,Karma,mei  jian  xue,Samira,숟뀨략,Camille,기억의 묵살,Shen,타이집문서,Diana,mohuado,Akshan,타락한 숟가락,Vayne,little hamburger,Lulu,귀여운작은얼음
5468448708,lose,Ranked Solo,2021-09-22 17:01:26,26m 8s,2,4,7,2.25:1,Double Kill,empty,Ekko,Master,empty,Kennen,ROADMASTERKlNG,Lee Sin,Wanna be Tarzan,Tryndamere,웨나미슈,Miss Fortune,ll이노리ll,Yuumi,데스노트,Gangplank,xibaxiba,Ekko,mohuado,Zed,기 정 fan,Aphelios,숟뀨략,Thresh,Lauv mean it
5468452318,lose,Ranked Solo,2021-09-22 16:29:22,23m 21s,3,5,8,2.20:1,ACE,empty,Nidalee,Master,empty,Irelia,Wanna be Tarzan,Nidalee,mohuado,Talon,애니보는게죄냐,Vayne,아이스티조아해,Karma,Lauv mean it,Aatrox,Xcheng2,Graves,New Moning,Sylas,기 정 fan,Jinx,소 브,Lulu,병권좌
5467493908,win,Ranked Solo,2021-09-22 02:58:51,24m 47s,5,4,13,4.50:1,Double Kill,empty,Talon,Master,empty,Tryndamere,서울고속도로,Nidalee,쪼꼬맹이 잼미니,Qiyana,그래서니티어뭐임,Lucian,불태워라,Thresh,2007 Pykeking,Kled,핑핑아 울지마,Talon,mohuado,Sylas,BaeMe1,Samira,enrage1,Pantheon,곧 있으면 졸업
5467189113,win,Ranked Solo,2021-09-22 00:28:57,25m 40s,7,5,11,3.60:1,Double Kill,MVP,Diana,Master,empty,Lee Sin,양여명,Nidalee,몽 제 대마 왕,Ryze,SugiKim,Ezreal,안죽고게임하기,Morgana,2007 Pykeking,Rengar,잘해지고 싶어요,Diana,mohuado,Zed,라2엇밸패팀앰갈,Kai'Sa,안녕 나는 성인,Leona,Lauv mean it
5466419489,win,Ranked Solo,2021-09-21 20:39:40,17m 58s,6,2,4,5.00:1,MVP,empty,Taliyah,Master,empty,Zed,프로하고싶은,Taliyah,mohuado,Cassiopeia,건영 님,Ezreal,say lt ,Gragas,죠랄죠랄죠랄해,Aatrox,CamilleToT,Ekko,New Moning,Sylas,초반만버티자1,Lucian,찌니부기,Maokai,챔피언 늘리기
