gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490281066,win,Ranked Solo,2021-10-04 05:53:57,28m 4s,3,7,23,3.71:1,empty,empty,Yuumi,Master,empty,Camille,ImpostorDiff,Ekko,SheldHeda,Zed,TwTv Kibbylol,Ezreal,Gumadruxy,Amumu,iGepard,Sett,reset my blue,Graves,BTG DarkoP7,LeBlanc,AsesinolEUW,Draven,Bulvator,Yuumi,LanPeiFang
5489113697,lose,Ranked Solo,2021-10-03 21:59:38,27m 55s,1,12,4,0.42:1,empty,empty,Graves,Master,empty,Zac,Bebinio,Udyr,PickFast,Qiyana,Legendary Syker,Aphelios,Kneel,Thresh,GREATSUPPORT,Graves,LanPeiFang,Kha'Zix,Helboy77,Ahri,11010111010,Miss Fortune,Castanic,Zilean,PGE Canou
5489009739,lose,Ranked Solo,2021-10-03 21:24:36,22m 30s,0,5,4,0.80:1,empty,empty,Nami,Master,empty,Kayle,11010111010,Olaf,Rythrod,Graves,Restless Warrior,Lucian,Νihilitas,Rakan,magifaker mental,Nasus,Dirk Schollmeier,Xin Zhao,on me,Katarina,رجل,Draven,04adc,Nami,LanPeiFang
5489062223,win,Ranked Solo,2021-10-03 20:51:43,37m 6s,3,10,19,2.20:1,empty,empty,Rakan,Master,empty,Jayce,YKV1,Nidalee,Jerem57HD,Ezreal,StrangeChamp,Vayne,Sha Royalty,Janna,DereBeyi Yunus,Tryndamere,yoRHa No3 Type E,Vi,Thorden,Zilean,DOINB AMOGUS SUS,Karthus,ˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉ,Rakan,LanPeiFang
5488900109,lose,Ranked Solo,2021-10-03 20:08:50,24m 47s,2,12,8,0.83:1,empty,empty,Nami,Master,empty,Jax,yoRHa No3 Type E,Diana,Areels2,Graves,DOINB AMOGUS SUS,Lucian,DK Cαnyon,Nami,LanPeiFang,Camille,Dionelux,Xin Zhao,i deserve losing,Twisted Fate,Bethersham,Miss Fortune,Chucky le moine ,Amumu,SeMikee
5488944809,win,Ranked Solo,2021-10-03 19:21:15,15m 17s,4,0,6,Perfect,Double Kill,empty,Lulu,Master,empty,Sylas,WheeezR,Lee Sin,JunDat,Lulu,LanPeiFang,Twitch,Im Kaiting,Yuumi,Enchantress UwU,Kennen,CWMW,Xin Zhao,Mister Burns,Ryze,RC Mysterias,Miss Fortune,Castanic,Thresh,RNG Fanboy
5488502050,win,Ranked Solo,2021-10-03 07:11:51,22m 28s,4,2,11,7.50:1,empty,empty,Nami,Master,empty,Camille,zlAndree,Evelynn,twtv Khomzar,Talon,WheeezR,Miss Fortune,Hadonski,Blitzcrank,OxL Keutur,Kennen,Kafuu chin0,Xin Zhao,Grail,Sylas,DARK MELOUNZER,Lucian,Fìndus,Nami,LanPeiFang
5487631451,lose,Ranked Solo,2021-10-02 20:38:52,26m 51s,7,11,4,1.00:1,Double Kill,empty,Tristana,Diamond 1,empty,Tristana,LanPeiFang,Jarvan IV,Baron Borowik,Graves,Ceallondel,Zilean,Raerthus,Pyke,PRINCESS LUNΛ,Mordekaiser,23 01 2006,Nidalee,John Lowe v2,Qiyana,Arsoniss,Draven,KILL ME AHAHAHA,Rakan,SLQ Daantastic
5487499129,lose,Ranked Solo,2021-10-02 20:04:17,26m 58s,4,5,9,2.60:1,empty,empty,Nami,Diamond 1,empty,Sett,23 01 2006,Talon,EUW Gogelin GOD,Orianna,asdf123,Jhin,hey drink water,Tahm Kench,WeS Matinger,Gwen,TBR Harald,Rek'Sai,θωθ Chika,Renekton,Mode Lαcoste Tn,Vayne,HiramhM,Nami,LanPeiFang
5487553974,win,Ranked Solo,2021-10-02 19:26:33,22m 26s,10,3,3,4.33:1,Double Kill,empty,Kennen,Master,empty,Sylas,Godbro sama,Gragas,404 fighteser,Graves,DOINB AMOGUS SUS,Tristana,spoko stary,Alistar,menzl,Kennen,LanPeiFang,Jarvan IV,KobeeeeBryant,Yasuo,Kobben,Twitch,mechαnicalxd,Janna,ARDITØ
