gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5489153184,lose,Ranked Solo,2021-10-03 21:59:59,22m 48s,2,4,0,0.50:1,ACE,empty,Graves,Master,empty,Graves,BYG Doggo ,Ekko,VoooDoooD,Irelia,Rall1996y,Jhin,Frog Curry,Zilean,magifaker mental,Lissandra,estang,Diana,kassadinisopaf,Yasuo,wall replacer,Ezreal,suicidewhenidie,Yuumi,Clebard humide
5489010450,win,Ranked Solo,2021-10-03 21:31:13,23m 48s,14,2,10,12.00:1,Triple Kill,MVP,Tahm Kench,Master,empty,Tahm Kench,BYG Doggo ,Ekko,KIT Chronos,Zed,r0bin1405,Xayah,Miyamura lzumi,Rakan,35 0nly,Rengar,lοbozo13,Lee Sin,Spray x,Fizz,Arsoniss,Tristana,edruVenourChovy,Nami,Homebody
5489066012,win,Ranked Solo,2021-10-03 21:00:34,16m 1s,7,2,1,4.00:1,Triple Kill,empty,Aatrox,Diamond 1,empty,Yasuo,FB Kunduz1,Kayn,Grregg,Sylas,Usan san,Lucian,little pony buse,Nami,Ardent pleyer,Aatrox,BYG Doggo ,Lillia,DreamsComeTrue,Yone,pissrandom123,Ezreal,PD Xirionto,Rakan,Hedgehog bro
5488993570,win,Ranked Solo,2021-10-03 20:36:42,23m 11s,10,4,7,4.25:1,Triple Kill,empty,Gwen,Master,empty,Camille,Hâmdi,Hecarim,my ascendance,Talon,Talon kekw,Seraphine,Tai Lung Gap,Karma,BCC Rack Attacκ,Gwen,BYG Doggo ,Jarvan IV,ATTOPLATTO,Pantheon,Ðream Maker,Karthus,12 yo cute egirl,Pyke,TOG Spirest
5488946359,lose,Ranked Solo,2021-10-03 19:43:02,22m 54s,3,9,3,0.67:1,empty,empty,Jax,Master,empty,Orianna,BL TomiJ,Talon,baba tireurennu,Urgot,zort query,Caitlyn,Xelar1,Morgana,Die Athanasia,Jax,BYG Doggo ,Graves,Cyce Wersow,Heimerdinger,LarryLobster69,Syndra,Cronan,Lulu,Finiya
5488565038,win,Ranked Solo,2021-10-03 07:50:02,26m 59s,7,4,8,3.75:1,empty,empty,Lillia,Master,empty,Tryndamere,Not ZeroOo,Taliyah,Grail,Yasuo,Iarsahan ,Seraphine,DadelDieKuh,Morgana,ukaL jgl acc,Lillia,BYG Doggo ,Lee Sin,Kafuu chin0,Camille,kníght zz,Miss Fortune,Andrard,Rakan,Lettuce go
5488521259,win,Ranked Solo,2021-10-03 07:15:16,26m 16s,7,4,9,4.00:1,Double Kill,empty,Karthus,Master,empty,Jayce,YKV1,Karthus,BYG Doggo ,Zed,qLighTn1nGp,Seraphine,DadelDieKuh,Thresh,AVIS djulo,Tryndamere,Not ZeroOo,Zac,Selva Difference,Ryze,Yawara Inokuma,Tristana,MIDKING SQ,Yuumi,Sofia Ellar
5488456264,lose,Ranked Solo,2021-10-03 06:42:51,22m 46s,6,5,6,2.40:1,Double Kill,empty,Jarvan IV,Diamond 1,empty,Gwen,qLighTn1nGp,Jarvan IV,BYG Doggo ,Yasuo,Iarsahan ,Draven,Cígar,Karma,ME WAN BIG BATTY,Jax,Isombard,Viego,GPUQSXMH,Yone,U WANT CAWFFEE,Miss Fortune,time to give up,Janna,Sofia Ellar
5488442900,lose,Ranked Solo,2021-10-03 06:13:16,17m 20s,6,7,2,1.14:1,ACE,empty,Lee Sin,Master,empty,Malphite,Aurael Quintus,Lee Sin,BYG Doggo ,Ekko,Cryingggg,Ezreal,exeBiceps,Nami,Steun,Riven,Riven ff,Karthus,dhskv,Yone,Iarsahan ,Aphelios,MoDo Goodbye,Thresh,AVIS djulo
5488345331,win,Ranked Solo,2021-10-03 05:19:13,10m 47s,1,1,0,1.00:1,MVP,empty,Jayce,Master,empty,Jayce,BYG Doggo ,Graves,Mega Mental,Orianna,Sècrèt,Ezreal,Weerty,Janna,towhat,Lulu,CorronaSupp,Nidalee,Bloom1,Riven,Enframe,Jinx,Haru1811,Xerath,Zherathor
