gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5471777628,win,Ranked Solo,2021-09-24 07:26:09,26m 37s,7,6,12,3.17:1,Double Kill,empty,Irelia,Master,empty,Irelia,dingjimeinv,Taliyah,이겨줄가,Pantheon,Mambaking,Ezreal,진이누나 사랑해,Karma,노묵쿤,Fizz,허징어링,Lee Sin,암행어사 도일출,Garen,박네치킨굽종우,Kai'Sa,T 1 a,Leona,땅꾸넝
5471815921,win,Ranked Solo,2021-09-24 06:20:26,19m 8s,2,4,6,2.00:1,empty,empty,Lillia,Diamond 1,empty,Cassiopeia,wuxinshuimian,Viego,꿍맞고 삐뽀삐뽀,Jayce,톱 겝,Lucian,Humble good,Yuumi,가대여신채예린,Yone,dofaminu,Lee Sin,하루한끼부대찌개,Lillia,dingjimeinv,Twitch,득 털,Lulu,akya zack
5471844448,win,Ranked Solo,2021-09-24 05:25:40,18m 30s,1,1,4,5.00:1,empty,empty,Poppy,Master,empty,Gangplank,톱 겝,Sejuani,오공정글 김휘인,Syndra,srysorrycanwin,Aphelios,JYFzz,Lux,북한출신대홍단왕감자,Poppy,dingjimeinv,Lee Sin,사랑 멋져요,Anivia,쪼은아침이야,Ezreal,내 어릴 적 꿈은,Yuumi,Liangji boyi
5471862963,win,Ranked Solo,2021-09-24 04:46:26,23m 7s,4,6,6,1.67:1,Double Kill,empty,Poppy,Master,empty,Poppy,dingjimeinv,Lillia,토닥임,Talon,18 년 여름 여행,Ezreal,버스탑승실패,Thresh,따뜻하게대해줘요,Fiora,폼 팡,Lee Sin,BAA Chase,Viktor,김흥선,Miss Fortune,Jesus the Christ,Nautilus,T1 Guard1an
5471782886,win,Ranked Solo,2021-09-24 04:13:48,25m 36s,9,5,5,2.80:1,MVP,empty,Irelia,Master,empty,Mordekaiser,나태함긋기,Olaf,lidongdong,Tryndamere,pqandIyh,Ezreal,춘봉박투신,Yuumi,Liangji boyi,Irelia,dingjimeinv,Diana,Kratosdv,Akali,송제우,Vayne,Thomashs,Braum,longer love
5471791706,win,Ranked Solo,2021-09-24 03:40:53,22m 38s,5,7,9,2.00:1,empty,empty,Irelia,Diamond 1,empty,Sett,밥풀이1,Karthus,이겨줄가,Yone,asdqweasd123,Ezreal,춘봉박투신,Braum,longer love,Irelia,dingjimeinv,Talon,lidongdong,Ekko,pqandIyh,Lucian,xiaochouguo,Amumu,땅꾸넝
5471699795,win,Ranked Solo,2021-09-24 03:00:11,15m 58s,7,2,4,5.50:1,Double Kill,MVP,Irelia,Master,empty,Irelia,dingjimeinv,Graves,Yijinn,Ahri,AfreecaTV 다움,Ashe,케어가필요합니다,Rakan,JYFzz,Trundle,나쿨피쯔아니다,Kindred,Nice Try Bro,Sylas,삼립꿀호떡,Samira,Nuff,Maokai,정점의 피지컬
5471685820,win,Ranked Solo,2021-09-24 02:23:01,29m 2s,8,7,10,2.57:1,Double Kill,empty,Lillia,Diamond 1,empty,Tahm Kench,Turn Over Device,Viego,검의 호흡1형,Akshan,내 꿈들의 재림,Sivir,Hyehwa1,Karma,lIIllIllIl,Lillia,dingjimeinv,Karthus,DreamerAnt,Talon,정치못하는문재인,Samira,조보아 요정,Bard,명부마도의 서
5471732652,lose,Ranked Solo,2021-09-24 01:46:29,19m 1s,1,4,5,1.50:1,empty,empty,Sett,Master,empty,Lee Sin,황진한,Nunu & Willump,Protein Nunu,LeBlanc,T1 Faker fan02,Ezreal,단지 너뿐,Bard,명부마도의 서,Sett,dingjimeinv,Rek'Sai,mohuado,Ekko,pqandIyh,Miss Fortune,누누슴,Alistar,이름 없는Mid
5469875453,lose,Ranked Solo,2021-09-23 03:07:17,16m 18s,3,3,3,2.00:1,empty,empty,Camille,Master,empty,Tryndamere,이름 없는Mid,Jarvan IV,너구리 나간다,Rengar,잘해지고 싶어요,Miss Fortune,Kog Maw hello,Nautilus,약속의3코어,Camille,dingjimeinv,Zed,숟가락챗핑차단,Diana,만수 민수,Varus,멈춰 박주서엉,Braum,Eslnd
5469842763,win,Ranked Solo,2021-09-23 02:40:58,31m 57s,9,7,9,2.57:1,Triple Kill,empty,Fiora,Diamond 1,empty,Irelia,sgy 9,Taliyah,Credia,Katarina,간절하지 못한 자1,Samira,조보아 요정,Leona,Thomaskz,Fiora,dingjimeinv,Kha'Zix,pick stars,Zoe,이름 없는Mid,Ziggs,Lab D,Thresh,제드팀 CdCdCd
5469749076,win,Ranked Solo,2021-09-23 01:58:44,30m 9s,5,5,8,2.60:1,empty,empty,Irelia,Master,empty,Jayce,ge lei hu si,Karthus,김종윤22,Irelia,dingjimeinv,Lucian,Houya,Braum,어린이즈,Aatrox,betterr,Lee Sin,호 신 ,LeBlanc,BJ영만,Ezreal,JYFzz,Lulu,왕 다
5469783234,win,Ranked Solo,2021-09-23 01:14:18,30m 5s,11,6,14,4.17:1,Triple Kill,MVP,Sylas,Master,empty,Kennen,멜로망쓰,Lee Sin,azxcasd12335160,Yasuo,sudden of life,Lucian,너 큐트하네,Yuumi,멍청냥냥냥냥냥이,Aatrox,좋 아 헤 여,Jarvan IV,나부터 죽지말자,Sylas,dingjimeinv,Miss Fortune,We4bfkenaick,Rakan,wang e
5464635965,lose,Ranked Solo,2021-09-20 22:37:25,21m 32s,3,8,3,0.75:1,empty,empty,Irelia,Diamond 1,empty,Sett,옐로우핀,Nidalee,Epeo UwU,Zed,예쁘고롤도잘해요,Ashe,라쿤키워보고싶어,Maokai,러셀베스트브룩,Irelia,dingjimeinv,Rammus,민트초코 김금비,Fizz,T1 Faker fan02,Kai'Sa,매일매일 파이팅,Amumu,회이팅
