gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5471694172,lose,Ranked Solo,2021-09-24 01:52:48,15m 37s,2,4,1,0.75:1,ACE,empty,Kog'Maw,Master,empty,Lucian,속고만살았나보다,Kayn,믜 진,Malzahar,뀨우우우뀨우우뀨,Vayne,짐승 잡초 인간,Zyra,잠수빈,Graves,Fire man1,Ekko,yiyezhiqiu,Kog'Maw,UMBBBBBBBBB,Jhin,EIeven2,Karma,강혜원 fan
5469941203,win,Ranked Solo,2021-09-23 05:29:08,23m 14s,3,10,11,1.40:1,empty,empty,Sylas,Master,empty,Sett,your fearness,Gragas,wndus,Qiyana,18 년 여름 여행,Lucian,yelb,Amumu, chacka chicky,Camille,usakifan,Talon,제드팀 하원,Sylas,UMBBBBBBBBB,Aphelios,BerylSKS,Thresh,FNmhoMmaITl8Z50I
5469910183,win,Ranked Solo,2021-09-23 04:42:16,18m 54s,13,1,9,22.00:1,Triple Kill,MVP,Tryndamere,Master,empty,Tryndamere,UMBBBBBBBBB,Kindred,족밑밧족밑저,Lulu,서창훈,Kai'Sa,little hamburger,Nautilus,Twitch 보다,Graves,ao that day,Poppy,DangerousBoy ady,Sylas,평화로운 행동대장 에그타르트,Miss Fortune,말걸지마라18,Galio,짜장시키신분1
5469845817,lose,Ranked Solo,2021-09-23 03:23:11,32m 52s,6,8,2,1.00:1,empty,empty,Kog'Maw,Master,empty,Aatrox,Zooooooom,Lee Sin,Misanthropy,Kog'Maw,UMBBBBBBBBB,Ezreal,pig95,Bard,NeverLand,Camille,빅딜 이동하,Jarvan IV,dont stop mebaby,Sylas,평화로운 행동대장 에그타르트,Draven,Dgdb,Rell,렐복치
5469842330,lose,Ranked Solo,2021-09-23 02:27:30,24m 26s,5,9,2,0.78:1,empty,empty,Taliyah,Master,empty,Zac,카페인금단현상,Talon,전상득,Zoe, youwillsucceed,Samira,na li dou shi ni,Rell,죠 팡,Fiora,폼 팡,Lee Sin,제드팀 하원,Taliyah,UMBBBBBBBBB,Caitlyn,원왕쟈,Rakan,jiaojiao
5469738999,win,Ranked Solo,2021-09-23 01:50:11,20m 56s,7,1,6,13.00:1,Double Kill,empty,Kog'Maw,Master,empty,Aatrox,따봉 람머스,Lee Sin,족밑밧족밑저,Kog'Maw,UMBBBBBBBBB,Miss Fortune,숟호신,Amumu,lIlIIllIllllllll,Kennen,먼 여행을 떠나,Graves,X46A,Orianna,1998zhg,Aphelios,Gen G Envy,Leona,따뜻하게대해줘요
5469713743,lose,Ranked Solo,2021-09-23 01:10:58,28m 11s,1,8,6,0.88:1,empty,empty,Kog'Maw,Master,empty,Zac,카페인금단현상,Viego,먼 여행을 떠나,Kog'Maw,UMBBBBBBBBB,Aphelios,병아리크면수탉,Shaco,펜니르,Sett,sakuradog,Nidalee,블루리쉬잘해요,Zed,재드킹,Jhin,EIeven2,Lulu,율 욜
5469677856,lose,Ranked Solo,2021-09-23 00:35:45,29m 32s,13,6,9,3.67:1,Double Kill,ACE,Kog'Maw,Master,empty,Graves,피들스틱KING,Talon,전상득,Kog'Maw,UMBBBBBBBBB,Jhin,Pooh n Bene,Maokai,Twitch TV 진고,Tristana,Shirakami Fubuk1,Jarvan IV,먼 여행을 떠나,Orianna,애기야 안녕,Ziggs,Slayder,Shaco,펜니르
5469630308,win,Ranked Solo,2021-09-22 23:59:00,38m 42s,15,7,15,4.29:1,Double Kill,MVP,Kog'Maw,Grandmaster,empty,Jayce,La K game,Lee Sin,Co24,Kog'Maw,UMBBBBBBBBB,Lucian,Ottogl,Nami,잠수빈,Darius,hfubVHDVuAWVF ,Taliyah,늪에 빠지다1,Talon,hewon,Samira,애기야 안녕,Blitzcrank,김따코
5469541571,win,Ranked Solo,2021-09-22 23:05:25,30m 22s,11,5,13,4.80:1,empty,empty,Kog'Maw,Master,empty,Jarvan IV,little hamburger,Lee Sin,제드팀 하원,Kog'Maw,UMBBBBBBBBB,Kai'Sa,안녕 나는 성인,Amumu,xibaxiba,Kennen,비밀프로젝트,Kindred,shui di si chuan,Akshan,파이크 아크샨,Ziggs,Soul Shooter66,Maokai,xiaoShu ovo
5469394771,win,Ranked Solo,2021-09-22 22:27:43,26m 38s,6,4,14,5.00:1,Double Kill,empty,Tryndamere,Master,empty,Sett,돌이킬 수 있는,Ekko,who do you love,Tryndamere,UMBBBBBBBBB,Lucian,숟호신,Nami,따뜻하게대해줘요,Urgot,탑 우르 곳감,Taliyah,ScyIIa,Qiyana,Nation Blue,Samira,안녕 나는 성인,Maokai,xiaoShu ovo
5469389392,lose,Ranked Solo,2021-09-22 21:53:51,16m 43s,0,2,1,0.50:1,empty,empty,Kog'Maw,Master,empty,Sylas,zxczxcasdaxd,Lee Sin,Star Supernova,Kog'Maw,UMBBBBBBBBB,Samira,안녕 나는 성인,Blitzcrank,뷸 츠 ,Shen,ScyIIa,Nidalee,Serious game,Akshan,신이되고싶었는데,Lucian,a1da2d,Nami,EIeven2
5468697281,lose,Ranked Solo,2021-09-22 18:35:45,27m 2s,1,12,6,0.58:1,empty,empty,Kog'Maw,Master,empty,Warwick,전민혁,Talon,런 두,Yone,멸망의인도자,Cassiopeia,군대간 지성,Amumu,zxczxcasdaxd,Camille,폼 팡,Xin Zhao,shui di si chuan,Kog'Maw,UMBBBBBBBBB,Ezreal,원딜프로게이머,Galio,질판승리공식즐빡
5468589418,win,Ranked Solo,2021-09-22 17:49:52,22m 17s,5,2,10,7.50:1,Double Kill,MVP,Kog'Maw,Master,empty,Tryndamere,midtryn topkata1,Talon,오늘하루는어떨까,Twisted Fate,riteleader,Samira,Sniper Sound,Nautilus,xiaoxinchaoren,Sett,s1ow motion,Lee Sin,clearlove77,Kog'Maw,UMBBBBBBBBB,Ezreal,na li dou shi ni,Zyra,잠수빈
5468530297,win,Ranked Solo,2021-09-22 17:05:01,22m 43s,5,1,5,10.00:1,Triple Kill,empty,Kog'Maw,Master,empty,Camille,zxczxcasdaxd,Taliyah,NeverLand,Akshan,lIIIlIllIllIl,Ezreal,원왕쟈,Nautilus,Mon seul amour,Gwen,X46A,Qiyana,rocky2,Kog'Maw,UMBBBBBBBBB,Kalista,a1da2d,Maokai,Quiero ganar
5468414714,win,Ranked Solo,2021-09-22 16:32:15,15m 40s,4,2,5,4.50:1,MVP,empty,Sylas,Master,empty,Dr. Mundo,심원보,Lee Sin,챌못가면감자캠,Fizz,으하핫자유다,Vayne,BAA Su,Sett,Gen G Poo,Camille,주석에몽,Rek'Sai,llllllllIllllI,Sylas,UMBBBBBBBBB,Samira,너의 달을 줘 ,Amumu,나오제에
5464188474,lose,Ranked Solo,2021-09-20 19:15:47,28m 51s,4,8,3,0.88:1,Double Kill,empty,Kog'Maw,Master,empty,Garen,내목숨은아이어에,Lee Sin,마체테쥠돌잔치때,Twisted Fate,mingjiao,Ezreal,원왕쟈,Karma,asdzgzgh,Jayce,Chengnianren,Lillia,NeverLand,Kog'Maw,UMBBBBBBBBB,Lucian,2rbals,Lulu,HUYATV XiJinping
5464224371,lose,Ranked Solo,2021-09-20 18:41:21,16m 4s,4,4,1,1.25:1,Double Kill,ACE,Tryndamere,Master,empty,Akshan,인정포용부정보복,Lee Sin,clearlove77,Katarina,청춘단검,Ezreal,원왕쟈,Lulu,크으으윽,Tryndamere,UMBBBBBBBBB,Karthus,eightzz,Lucian,Chengnianren,Miss Fortune,2rbals,Leona,00SUP
5464210211,win,Ranked Solo,2021-09-20 18:13:10,16m 16s,7,5,10,3.40:1,empty,empty,Taliyah,Master,empty,Fiora,BlackKnight8,Graves,2rbals,Taliyah,UMBBBBBBBBB,Varus,이케시아식,Gragas,참포도나무,Aatrox,푸쉬업200개,Ekko,EDG XIAMU,Jayce,pw q892450640,Samira,예 nightfall,Leona,통 준비 아오
5463624894,lose,Ranked Solo,2021-09-20 14:55:18,29m 30s,6,10,10,1.60:1,empty,empty,Taliyah,Master,empty,Vladimir,midd100,Graves,김복실김용현,LeBlanc,초반만버티자1,Kai'Sa,Chengnianren,Blitzcrank,DOPA3분서렌론,Gangplank,챌플랭크,Talon,Make Me M0ve,Taliyah,UMBBBBBBBBB,Jinx,Factory,Sett,good team
