gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490281061,win,Ranked Solo,2021-10-04 05:53:41,27m 31s,7,3,9,5.33:1,Double Kill,empty,Aatrox,Master,empty,Garen,H ι r o,Lee Sin,nap ability,Vladimir,Canard Mandarin,Miss Fortune,C9 ZVENNN,Amumu,PQPAANLS,Aatrox,UMBBBBBBBBBBB,Fiddlesticks,EUW VILLAIN,Yone,ssimpli,Lucian,SHøWMAKéR,Nami,godzaimeris
5489151126,win,Ranked Solo,2021-10-03 21:50:15,28m 36s,14,8,3,2.13:1,Double Kill,MVP,Graves,Master,empty,Graves,UMBBBBBBBBBBB,Kayn,WindWaIIEnjoyer,Kassadin,Twitch Ag0nyPain,Twitch,Pinky windy,Bard,Vicky Leandros,Camille,WolfGates,Shaco,Rollie Rambo,Sylas,DIV Final,Miss Fortune,Secret Weapοn,Heimerdinger,Just an engineer
5489074853,win,Ranked Solo,2021-10-03 21:08:58,25m 58s,17,4,5,5.50:1,Double Kill,MVP,Graves,Master,empty,Jayce,Ou TheLady Ou,Karthus,PEWPEWPEWPEWPEWP,Yone,FrostSize,Ezreal,ModyKrokieto,Karma,Deffaren,Ryze,GSK Tixn,Kha'Zix,TSM FAker03,Graves,UMBBBBBBBBBBB,Lucian,ad895091,Bard,twenty one
5488983859,win,Ranked Solo,2021-10-03 20:32:51,20m 33s,4,3,4,2.67:1,empty,empty,Aatrox,Grandmaster,empty,Yorick,Quinncidence,Jarvan IV,J3kko,Zoe,Pakk,Jhin,coza,Leona,i dream lucid,Aatrox,UMBBBBBBBBBBB,Talon,UOL Cryptodir,Kassadin,styropianzserem,Lucian,Cutepatootie,Nami,Qnoxs
5488949504,win,Ranked Solo,2021-10-03 20:04:04,15m 40s,3,1,2,5.00:1,MVP,empty,Orianna,Master,empty,Fiora,septico1,Zed,Jungler3,Seraphine,aléc,Lucian,Gasteizko Onena,Nami,Tommygun69,Jax,training acc 1,Lee Sin,VER Yusa,Orianna,UMBBBBBBBBBBB,Miss Fortune,SirAaron,Sona,Dietzy
5488517872,win,Ranked Solo,2021-10-03 07:50:16,15m 48s,7,1,4,11.00:1,empty,empty,Sylas,Grandmaster,empty,Mordekaiser,IAimToMisbehave,Zed,NattyNatt,Kassadin,Teą,Miss Fortune,the super noob,Sona,LVG White Lotus,Gwen,ANB 9eetoo,Lee Sin,woshidoinb,Sylas,UMBBBBBBBBBBB,Ezreal,UnstoppableForce,Karma,Frank Horrigan
5488203288,win,Ranked Solo,2021-10-03 04:08:01,24m 3s,6,4,8,3.50:1,empty,empty,Twisted Fate,Master,empty,Renekton,masked gamer XD,Lee Sin,nap ability,Twisted Fate,UMBBBBBBBBBBB,Twitch,Pinky windy,Lulu,Mihajlo Matic,Camille,chance no exist,Nidalee,khanzir slayer,LeBlanc,Czajek9z,Lucian,i Iove hot moms,Rakan,Raizins
5487631238,lose,Ranked Solo,2021-10-02 20:31:05,20m 54s,2,4,3,1.25:1,ACE,empty,Fiora,Master,empty,Tryndamere,mοtjaaa,Fiddlesticks,Smooth Guy,Irelia,SAe Relative,Draven,SWENZUUUUUUUUUUU,Bard,ΔΞΛΛΞΔ,Fiora,UMBBBBBBBBBBB,Lee Sin,GS Mojito,Viktor,Tziz,Aphelios,NF Change,Lulu,oli5993
5487241433,win,Ranked Solo,2021-10-02 08:34:50,30m 16s,6,9,6,1.33:1,Double Kill,empty,Fiora,Master,empty,Gangplank,Vertigo vincet,Jarvan IV,NHWK,Zoe,Nico Senpaii,Twitch,MIDKING SQ,Bard,blonde mina,Fiora,UMBBBBBBBBBBB,Zac,noob stomper 69,Yasuo,Gusuo,Ziggs,Gwendy Stacy,Brand,Boltox
5487136892,win,Ranked Solo,2021-10-02 07:55:38,30m 55s,4,5,20,4.80:1,empty,empty,Orianna,Master,empty,Graves,Firefl0wer,Evelynn,Insmnia v2,Orianna,UMBBBBBBBBBBB,Jinx,Ukranian,Amumu,2021Worlds0173,Aatrox,lluνia,Karthus,NHWK,Tryndamere,Viikingr,Kai'Sa,KH Komandata,Nautilus,Lil Ûzi Vert
5487047452,win,Ranked Solo,2021-10-02 06:57:23,37m 43s,4,7,17,3.00:1,empty,empty,Orianna,Master,empty,Gangplank,Sips Freelo,Lee Sin,PVE Kackis,Sylas,SHøWMAKéR,Lucian,woshidoinb,Rakan,UOL Doedalo,Jax,FIX SOL0Q,Jarvan IV,piesek dawida,Orianna,UMBBBBBBBBBBB,Ezreal,laozitianye,Amumu,TraYtoN
5486847031,lose,Ranked Solo,2021-10-02 05:38:05,25m 12s,6,7,5,1.57:1,empty,empty,Ryze,Master,empty,Ryze,UMBBBBBBBBBBB,Kayn,503,Graves,ItsUniqueCORN,Ezreal,Mauki,Yuumi,Yuumus Decimus,Yone,89 fds 126,Diana,Keule183,Yasuo,mid is fighting,Lucian,00N Chrisberg,Pyke,lmpulseAD
5485887467,win,Ranked Solo,2021-10-01 20:33:56,26m 45s,12,7,8,2.86:1,Triple Kill,MVP,Fiora,Master,empty,Fiora,UMBBBBBBBBBBB,Lee Sin,Celterr1,Sylas,Pro Uno Player,Ezreal,ModyKrokieto,Sett,r plus seven,Irelia,uguysaresobad,Elise,Charlie Heaton,Lucian,GSK Tixn,Kai'Sa,Nothing But Dust,Galio,GodChele
