gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5469723218,lose,Ranked Solo,2021-09-23 01:01:09,20m 11s,1,5,3,0.80:1,empty,empty,Zed,Master,empty,Sett,울짖마 fan,Evelynn,PINK B0JI,Tryndamere,정신차리자건우야,Miss Fortune,DWIMS,Amumu,452351,Tahm Kench,K N,Lillia,처음이라 못해요,Zed,Bluff da shi,Lucian,부캐일껄아마도,Lulu,브론즈구경용
5469606429,lose,Ranked Solo,2021-09-23 00:11:38,17m 29s,1,4,3,1.00:1,empty,empty,Kennen,Master,empty,Pantheon,030402,Elise,164Tw piyAN,Kennen,Bluff da shi,Lucian,nbuna Official,Taric,RNGqu8323597302,Aatrox,주0이,Nidalee,제드팀 CdCdCd,Talon,송제우,Heimerdinger,딩ger,Morgana,고구마 샐러드
5469448952,win,Ranked Solo,2021-09-22 22:56:14,33m 36s,3,9,10,1.44:1,empty,empty,Lillia,Master,empty,Lillia,Bluff da shi,Viego,YouTube변세윤,Sylas,블루안주면잠수,Draven,코뚱잉,Maokai,uzumymw,Zed,메가제드,Talon,무무가화나면열무,Gwen,호인천,Ezreal,lofi love,Lulu,어린이즈
5468644248,win,Ranked Solo,2021-09-22 18:27:31,35m 59s,6,11,16,2.00:1,Double Kill,empty,Jayce,Diamond 1,empty,Riven,straight A,Elise,펜션청소장인,Talon,도구가 말을,Aphelios,혁 좌,Rakan,우리도라에몽,Jayce,Bluff da shi,Skarner,비주류챔 칼오픈,Sylas,블루안주면잠수,Miss Fortune,yena jiguminaa1,Amumu,마니빵
5468574297,lose,Ranked Solo,2021-09-22 17:33:08,29m 26s,5,10,9,1.40:1,Double Kill,empty,Sett,Diamond 1,empty,Jayce,항상 서운해요,Jax,stay calm win,Anivia,DB Serendipity,Lucian,꼬마불닭,Soraka,멍청냥냥냥냥냥이,Sett,Bluff da shi,Graves,우동이오빠,Galio,Ear,Kai'Sa,새침한 땃쥐,Blitzcrank,서폿도 케리가능
5468496278,lose,Ranked Solo,2021-09-22 16:47:51,22m 0s,2,8,0,0.25:1,empty,empty,Lillia,Diamond 1,empty,Irelia,Distressed,Rumble,Yamper,Pantheon,231 Rescue Team,Vayne,매일노력하는사람,Amumu,Zao cun,Lillia,Bluff da shi,Kayn,갸르릉갸릉갸릉,Akshan,Canadian Guy,Ezreal,정답s,Seraphine,xiaomaor
5468421887,win,Ranked Solo,2021-09-22 16:14:18,10m 8s,2,1,0,2.00:1,empty,empty,Lillia,Diamond 1,empty,Lillia,Bluff da shi,Lee Sin,xBlyzes,Tahm Kench,앙 개벅띠,Varus,권대치,Thresh,느낌있는아이디1,Nunu & Willump,lplDreamForWater,Tryndamere,Thomas ou,Janna,어머니의 호구마,Ashe,Eustace,Rammus,에르메스 정글
5464085805,win,Ranked Solo,2021-09-20 18:05:39,28m 5s,10,3,10,6.67:1,Double Kill,MVP,Sett,Diamond 1,empty,Sett,Bluff da shi,Ekko,Huynh Nhu,Irelia,cIeft,Ziggs,장탄하다,Pantheon,muooii,Camille,이름 없는Mid,Karthus,숨 김,LeBlanc,선넘는 놈 ,Ezreal,맥 테디,Pyke,kar1a
5463951923,win,Ranked Solo,2021-09-20 17:30:48,28m 1s,8,3,19,9.00:1,Double Kill,MVP,Lillia,Diamond 1,empty,Shen,MingRiNai,Kayn,Huynh Nhu,LeBlanc,마법전사 유캔도,Vayne,장탄하다,Sett,muooii,Lillia,Bluff da shi,Jarvan IV,괴물 유충,Master Yi,The Battle Cats,Kai'Sa,스노우맨0,Gragas,SP100
5463765412,win,Ranked Solo,2021-09-20 16:55:07,30m 43s,6,5,8,2.80:1,MVP,empty,Lillia,Diamond 1,empty,Ornn,아 가 리,Talon,고의트롤정지,Zoe,iMTblJbmam4,Ashe,STACY 세은,Lulu,서노 여자칭구,Lillia,Bluff da shi,Lee Sin,wybhzdsmhqd,Katarina,노약자석양보안함,Miss Fortune,배신하기,Pyke,깡촌청소부
