gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490265050,win,Ranked Solo,2021-10-04 05:58:46,12m 23s,3,0,3,Perfect,empty,empty,Graves,Diamond 1,empty,Aatrox,SimpleGamePlay,Rengar,sako meile gydo,Katarina,Te Sale Caro,Ezreal,TheJumpingMonkey,Leona,RzeźnikZPlewisk,Graves,Sirius blake,Lee Sin,Amys Bloke,Twisted Fate,LGBTQJPGMD,Miss Fortune,Scarycrow,Rakan,C0inflipSupport
5489151245,lose,Ranked Solo,2021-10-03 21:53:01,29m 11s,4,4,8,3.00:1,ACE,empty,Aatrox,Master,empty,Irelia,how lose,Karthus,LEO BRICHTA,Aatrox,Sirius blake,Ezreal,Honda zz6,Zilean,Box enjoyer,Shen,GNØLF SAMSON,Ekko,bleeding jng acc,LeBlanc,PD Lynx,Jhin,FPG Remix,Karma,Suken
5489043044,win,Ranked Solo,2021-10-03 20:43:20,25m 7s,11,3,6,5.67:1,Double Kill,empty,Sylas,Master,empty,Kennen,Wheel Skeleton,Zed,LFT Anonymouss,Yone,coconut kid,Ezreal,Xenxo,Nami,nigelf32,Sylas,Sirius blake,Kha'Zix,asdgfdjui,Kassadin,Cenatu42,Lucian,n 456,Alistar,F1kOwO
5488958426,lose,Ranked Solo,2021-10-03 20:09:14,28m 49s,4,8,1,0.63:1,empty,empty,Graves,Master,empty,Graves,Sirius blake,Kayn,Chaοs,Anivia,Konami0201,Ezreal,eX Chonky,Yuumi,Siskauskas,Lucian,DUMAN,Nidalee,819,Yone,VININE MidofWest,Kog'Maw,GROS FIAK MIAM,Nami,Pinky windy
5488973580,win,Ranked Solo,2021-10-03 19:25:50,20m 13s,7,3,7,4.67:1,MVP,empty,Lillia,Master,empty,Poppy,PippilOPPY,Nidalee,WRDN,Jayce, Terrºr,Ezreal,SHHEEEESH,Zilean,babeV,Lillia,Sirius blake,Graves,ALIY4H,Anivia,Revolu,Jhin,duye,Bard,blonde mina
5488541198,win,Ranked Solo,2021-10-03 07:29:51,39m 15s,8,9,14,2.44:1,Double Kill,empty,Graves,Master,empty,Aatrox,Kosan,Jarvan IV,xRachedx,Ahri,Ebolynn,Kai'Sa,PurePerfect,Rakan,Karni,Graves,Sirius blake,Gragas,Sn1lle,Qiyana,chaD legnD,Ezreal,WO Wodex,Nautilus,Evér
5488211643,win,Ranked Solo,2021-10-03 03:56:01,23m 16s,5,5,3,1.60:1,empty,empty,Lillia,Master,empty,Lillia,Sirius blake,Shaco,tb5,Graves,XAKY,Ezreal,BYG Liang,Karma,Khal Suppo,Camille,Τragödie,Rengar,VUZRAJDANE MANQK,Orianna,Saulius 10,Draven,420DANY69,Xerath,PLS SAVE ME PLS
5487872437,lose,Ranked Solo,2021-10-02 23:34:28,27m 57s,3,7,1,0.57:1,empty,empty,Graves,Master,empty,Fiora,WorstExileAfrica,Lee Sin,LEO BRICHTA,Kassadin,4856379,Jinx,Lang Zi Yan,Soraka,uwu u so cutee,Graves,Sirius blake,Shaco,Hastrubaal,LeBlanc,Unyielding Hero,Caitlyn,NNForsaken,Janna,رجل
5487773615,win,Ranked Solo,2021-10-02 22:32:07,30m 53s,15,3,9,8.00:1,Double Kill,MVP,Jayce,Diamond 1,empty,Yone,TEAM Bladeshow,Jarvan IV,Vakulich,Ryze,woman steam ship,Lucian,n 456,Thresh,Postkassen,Jayce,Sirius blake,Xin Zhao,Zhergoth,Sylas,GETOUTFROMHEREXD,Miss Fortune,i Iove hot moms,Pyke,ENEMYOFBATMAN
5487702377,lose,Ranked Solo,2021-10-02 21:54:52,17m 39s,1,5,1,0.40:1,empty,empty,Graves,Master,empty,Graves,Sirius blake,Lee Sin,woman steam ship,Zoe,l l l l I I I l,Miss Fortune,aléc,Gragas,Paixdia,Ryze,VER Jadran,Qiyana,L9 SUSSY BAKA,Tryndamere,tempsjgjlgslchok,Xayah,n 456,Rakan,IZI Nolan
