gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490326682,lose,Ranked Solo,2021-10-04 06:37:20,30m 43s,3,6,16,3.17:1,Double Kill,empty,Sejuani,Grandmaster,empty,Gwen,Crowno,Sejuani,C9 Blaberfish2,Tryndamere,Tu po zi wo,Lucian,David Nutt3r,Nami,CG Nio,Volibear,SMB NuQ,Kha'Zix,Tanu,Kassadin,styropianzserem,Jhin,Beanovich,Lux,livelyfish5
5490271694,lose,Ranked Solo,2021-10-04 05:55:46,27m 43s,13,6,8,3.50:1,Double Kill,ACE,Nidalee,Grandmaster,empty,Pantheon,Wufo,Jarvan IV,for her sake,Sylas,TheRoyalKanin,Tristana,SAUCE WALKA,Zyra,NanamiHakuya,Kayn,tiltproof acc XD,Nidalee,C9 Blaberfish2,Zed,TwTv iljimaeLoL,Miss Fortune,LDLC Gumayusi,Leona,livelyfish5
5490194426,lose,Ranked Solo,2021-10-04 05:09:07,19m 40s,1,7,6,1.00:1,empty,empty,Sylas,Grandmaster,empty,Aatrox,for her sake,Lee Sin,asdfghjklqwe,Malphite,GODZILLA66666666,Vayne,WTX Scripter,Karma,Xenis,Renekton,suh dude xD,Jarvan IV,J3kko,Sylas,C9 Blaberfish2,Lucian,Cutepatootie,Nami,livelyfish5
5489002694,lose,Ranked Solo,2021-10-03 20:28:11,21m 51s,2,6,4,1.00:1,empty,empty,Nidalee,Grandmaster,empty,Poppy,Poppuszka,Ekko,Roulette,Seraphine,EL BARDOOOO,Miss Fortune,11Lunari Weapons,Leona,Rückendeckung,Renekton,dont be yikes,Nidalee,C9 Blaberfish2,LeBlanc,Einard,Draven,Kaττen,Amumu,sixsixsi666
5488476780,win,Ranked Solo,2021-10-03 07:01:38,31m 34s,4,7,4,1.14:1,empty,empty,Yone,Grandmaster,empty,Jayce,maybe f keys ,Ekko,Sunflοwer,Yone,C9 Blaberfish2,Lucian,lucker3,Nami,TESLA OPTIMUS,Aatrox,Adorable N1 Fan,Zed,MSF Sertuss,Anivia,nakreB v2,Ezreal,Kaor1,Sona,WatchMyPuppets
5488378748,win,Ranked Solo,2021-10-03 06:09:43,30m 37s,11,5,11,4.40:1,Double Kill,empty,Lee Sin,Grandmaster,empty,Aatrox,SK Alois,Rammus,BR Lord Semi,Kassadin,maciej wartak,Ezreal,Gilius1,Pyke,WANNADIVE,Jax,SRB Jungler 47,Lee Sin,C9 Blaberfish2,Yone,MSF Sertuss,Lucian,SHøWMAKéR,Lulu,HAHHAHAHAHAXXDDD
5488332513,win,Ranked Solo,2021-10-03 05:12:34,21m 26s,9,3,9,6.00:1,Double Kill,empty,Taliyah,Grandmaster,empty,Camille,masked gamer XD,Taliyah,C9 Blaberfish2,Irelia,ég jojopyun,Ziggs,Bardtu,Alistar,euw tourist,Lee Sin,Laí zì shan dong,Diana,Happy Alexx,Qiyana,TC Hú Táo,Draven,DIGESTHUMANFLESH,Nami,WatchMyPuppets
5487150705,win,URF,2021-10-02 06:57:04,15m 55s,23,6,11,5.67:1,Double Kill,empty,Lucian,empty,empty,Zyra,yourhealcat,Gwen,WeS Kodo,Viktor,svdYasuo,Zed,Lekkerding4,Qiyana,viktor213,Lucian,C9 Blaberfish2,Nami,theclutchfact0r,Sylas,exiraM,Maokai,exiraM jungle,Kai'Sa,Z0kr
5486610227,lose,Ranked Solo,2021-10-02 05:01:07,25m 6s,9,8,2,1.38:1,ACE,empty,Yone,Grandmaster,empty,Riven,Ugglaann,Lee Sin,Maxlore,Twisted Fate,FFEBIVEN,Draven,SWENZUUUUUUUUUUU,Karma,Damgos,Irelia,Sinmivak,Nidalee,J3kko,Yone,C9 Blaberfish2,Lucian,ModyKrokieto,Nami,Touchy Situation
5485909418,lose,Ranked Solo,2021-10-01 20:54:31,18m 32s,2,6,2,0.67:1,ACE,empty,Talon,Grandmaster,empty,Poppy,Nusss,Talon,C9 Blaberfish2,Zoe,TSIPER,Ezreal,DIV Final,Bard,LiL TommyG,Gangplank,Finn1,Xin Zhao,BetterBlameJung,Sylas,CaÞs,Aphelios,11Lunari Weapons,Amumu,Taewang
