gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
4025206361,lose,Ranked Solo,2021-08-28 14:27:29,32m 6s,6,6,10,2.67:1,ACE,empty,Jarvan IV,Grandmaster,empty,Kennen,TheRealPhilip,Viego,nifty jg,Irelia,mid namaste,Ziggs,Johnsun123,Pyke,CIyde,Rengar,Vortekxy,Jarvan IV,blaberfish2,Zoe,Cupic,Aphelios,100100100100,Thresh,TSM Donbray
4025145026,lose,Ranked Solo,2021-08-28 13:06:07,26m 33s,10,7,7,2.43:1,Double Kill,empty,Lee Sin,Grandmaster,empty,Teemo,Yung Fappy,Kindred,no invade pls,Graves,DeadGemini,Varus,Good Boi,Morgana,TSM Donbray,Akali,Diabloww,Lee Sin,blaberfish2,Ekko,sleepy mouse,Ashe,TL Tactical,Leona,PATH TO TOP
4025098084,win,Ranked Solo,2021-08-28 12:20:45,23m 7s,14,3,14,9.33:1,Triple Kill,empty,Trundle,Grandmaster,empty,Gnar,PSG MESSI,Lee Sin,huhi,Tristana,Lugerr,Ziggs,TL Tactical,Leona,Serotonin Chaser,Malphite,Good Boi,Trundle,blaberfish2,Ryze,Saurabh kumar,Draven,TTV Chad Draven,Sett,mla3
4024677380,win,Ranked Solo,2021-08-28 09:42:57,20m 2s,4,4,16,5.00:1,empty,empty,Karma,Grandmaster,empty,Riven,GSnipes,Dr. Mundo,AllGirlsRTheSame,Qiyana,            Tçº ,Ziggs,TwitchTv Jugttv,Karma,blaberfish2,Jayce,TimSevenhuysen,Xin Zhao,Kazahana,Malphite,Kłaus,Ashe,Vx Hc9999na,Nautilus,Pockus
4024065303,lose,Ranked Solo,2021-08-27 14:04:45,18m 42s,1,6,2,0.50:1,empty,empty,Ekko,Grandmaster,empty,Renekton,PSG MESSI,Fiddlesticks,MaIthaeI,Rumble,Went,Kai'Sa,1902384,Shen,WE GONNA BE OKAY,Tryndamere,night in tallinn,Ekko,blaberfish2,Syndra,qweasdqweasdqwed,Ezreal,Pseudo,Karma,Candice
4024049850,win,Ranked Solo,2021-08-27 13:20:56,15m 36s,6,0,6,Perfect,Double Kill,MVP,Lillia,Grandmaster,empty,Tahm Kench,RobbyBob,Zac,700kg grandma,Yasuo,ProLikeNub,Kai'Sa,LastDanceDF,Zilean,Tempos,Riven,Unarise,Lillia,blaberfish2,Cassiopeia,Sweet Tangerine,Twitch,cry baby players,Shen,huhi
4023993878,win,Ranked Solo,2021-08-27 12:40:59,18m 24s,12,2,6,9.00:1,Double Kill,MVP,Lee Sin,Grandmaster,empty,Camille,night in tallinn,Lee Sin,blaberfish2,Neeko,DÑA,Ziggs,Hakuho,Gragas,Pockus,Gangplank,Swip3rR DISCIPLE,Ekko,SHERN,Yasuo,theclutchfact0r,Tristana,100 Lugerr,Yuumi,otp is cringe
4023154291,win,Ranked Solo,2021-08-26 13:02:59,34m 34s,19,6,9,4.67:1,Double Kill,MVP,Ekko,Grandmaster,empty,Camille,aknid,Nidalee,KiNG Nidhogg,Nasus,Psychopathic Top,Draven,hotaze,Ahri,Proosia,Darius,naejunhaogu,Ekko,blaberfish2,Viktor,Différentielle,Caitlyn,JungIe is weak,Yuumi,CyanInkstone
4023135940,lose,Ranked Solo,2021-08-26 12:00:01,25m 19s,5,8,10,1.88:1,empty,empty,Camille,Challenger,empty,Camille,blaberfish2,Lee Sin,Sheiden9,Annie,inthenightgarden,Xayah,Good Boi,Amumu,Winter,Riven,Antcliff,Diana,100100100100,Yasuo,theclutchfact0r,Ezreal,Time to go back,Pantheon,Kłaus
4023091118,win,Ranked Solo,2021-08-26 11:26:34,24m 50s,6,1,9,15.00:1,MVP,empty,Graves,Grandmaster,empty,Gangplank,Dhokla,Graves,blaberfish2,Kennen,Vxx Reb20201,Xayah,Good Boi,Rakan,Just1,Shen,Guess da number,Ekko,Dimitrylol,Zoe,Shiba lnu,Ezreal,100100100100,Bard,rocks908
4023066709,lose,Ranked Solo,2021-08-26 10:56:41,23m 39s,9,6,2,1.83:1,ACE,empty,Olaf,Challenger,empty,Riven,Cyanosis,Olaf,blaberfish2,Kennen,Vxx Reb20201,Xayah,Good Boi,Rakan,Just1,Irelia,tenacityyy,Lee Sin,Sheiden9,Syndra,DÑA,Varus,Iinks,Amumu,Winter
4022137508,lose,Ranked Solo,2021-08-25 15:27:00,28m 41s,3,7,6,1.29:1,empty,empty,Akali,Grandmaster,empty,Darius,Dragoon,Xin Zhao,ASDA Crusader,Orianna,sigyetaeyeob,Vayne,Prototype white,Bard,D0no dosko,Akali,blaberfish2,Lee Sin,Draven696969,Ahri,Proosia,Aphelios,TL Yeon,Thresh,Outstep
4022142689,win,Ranked Solo,2021-08-25 14:44:58,21m 54s,9,3,6,5.00:1,MVP,empty,Graves,Challenger,empty,Jayce,pig tank,Trundle,From Rank1,Ryze,Thinkcards son,Aphelios,RAHEEN123,Leona,ACKÈRMAN,Dr. Mundo,Dragoon,Graves,blaberfish2,Orianna,sigyetaeyeob,Ashe,Tactical,Karma,Busio3
4022100453,lose,Ranked Solo,2021-08-25 14:17:15,30m 15s,9,5,9,3.60:1,Double Kill,ACE,Nidalee,Grandmaster,empty,Renekton,Youngjin Noh,Nidalee,blaberfish2,Irelia,C9 eXyu,Aphelios,c11 TomioJouhan,Bard,C9 VULCANNN,Jayce,pig tank,Lee Sin,Draven696969,Volibear,TL Armao,Ziggs,TL Yeon,Rakan,Do U Remember
4021742750,win,Ranked Solo,2021-08-25 08:42:13,29m 32s,10,3,12,7.33:1,Double Kill,MVP,Viego,Grandmaster,empty,Malphite,Calm Antebellum,Olaf,Pinwinasio,Yone,Nemesis9,Draven,Wolzie,Karthus,TwitchTv Jugttv,Sylas,Sheiden1,Viego,blaberfish2,Seraphine,Nzm,Twitch,Tomo9,Yuumi,kaka 1021
