gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490372832,lose,Ranked Solo,2021-10-04 07:20:03,35m 45s,3,3,11,4.67:1,empty,empty,Graves,Grandmaster,empty,Graves,C9 Fudge Factor,Qiyana,Undercover CraB,Ekko,iLL F13RC3 ,Ziggs,the super noob,Thresh,TraYtoN,Irelia,SlXTEN,Zed,G 2 3 H 1 Z U ,Heimerdinger,Crowno,Tristana,TheLegendOfMagic,Blitzcrank,KwK AlVaRo710
5488416322,win,Ranked Solo,2021-10-03 06:41:56,29m 20s,13,6,7,3.33:1,Double Kill,MVP,Viego,Grandmaster,empty,Viego,C9 Fudge Factor,Lee Sin,Happy Alexx,Ekko,iLL F13RC3 ,Samira,Po Gap,Bard,LiL TommyG,Yone,Ragnér1,Sejuani,Roulette,Katarina,TwTv Ronges1,Lucian,Pride0,Nami,LDNU Nyzah
5488392497,win,Ranked Solo,2021-10-03 06:07:56,22m 13s,4,6,8,2.00:1,empty,empty,Fiora,Grandmaster,empty,Fiora,C9 Fudge Factor,Kha'Zix,Tanu,Vladimir,Qnoxs,Karthus,G 2 3 H 1 Z U ,Zilean,Bloopey,Irelia,chance no exist,Viego,EZY Habubu,Cassiopeia,TheRoyalKanin,Tristana,SPOLFCEI,Amumu,LIMIT12345
5488315333,lose,Ranked Solo,2021-10-03 05:34:11,32m 13s,9,8,5,1.75:1,Double Kill,empty,Fiora,Grandmaster,empty,Fiora,C9 Fudge Factor,Lillia,gaengsin,Vi,SL0WDEATH,Draven,Kaττen,Sona,Qnoxs,Poppy,Poppuszka,Talon,Œµß,Malphite,GODZILLA66666666,Jinx,G 2 3 H 1 Z U ,Thresh,Damgos
5486598949,lose,Ranked Solo,2021-10-02 04:44:48,16m 15s,3,5,0,0.60:1,empty,empty,Irelia,Grandmaster,empty,Camille,Retnyam,Nidalee,ismaaa,Lissandra,Mood rings,Ezreal,maybe f keys ,Rakan, JungDostoevskiy,Irelia,C9 Fudge Factor,Kha'Zix,ryuzaki 5,Ekko,easymoneysniper1,Twitch,lucker3,Sona,Qnoxs
5485955528,win,URF,2021-10-01 21:39:30,12m 43s,8,3,11,6.33:1,Double Kill,empty,Ezreal,empty,empty,Thresh,Ramisso,Jinx,IShacoX,Graves,Hèring,Sett,Wampíe,Bard,helerufo,Lucian,euw tourist,Ezreal,C9 Fudge Factor,Zed,Trybun1,LeBlanc,JungIé Main,Sylas,21cmOfTrueLove
5485552114,win,Ranked Solo,2021-10-01 07:53:07,28m 52s,12,3,10,7.33:1,Triple Kill,MVP,Fiora,Grandmaster,empty,Fiora,C9 Fudge Factor,Taliyah,ImJony,Zed,TwTv iljimaeLoL,Jhin,Ayrton Edison,Amumu,Veignorennn,Irelia,wakeuptoreaIity,Lee Sin,Fressko,Malphite,Saulius 10,Karthus,Robert Sapolsky,Janna,VGIA Kasing
5485497529,win,Ranked Solo,2021-10-01 07:13:54,20m 31s,6,0,7,Perfect,empty,empty,Camille,Master,empty,Camille,C9 Fudge Factor,Volibear,asdfghjklqwe,Lissandra,GS Bolulu,Draven,Robert Sapolsky,Amumu,Zergsting,Renekton,AST MagiFelix,Lee Sin,Aurora time,LeBlanc,Saulius 10,Ezreal,ToasterM8,Braum,TESLA OPTIMUS
5485424627,win,Ranked Solo,2021-10-01 06:42:13,22m 46s,10,0,5,Perfect,Double Kill,MVP,Tryndamere,Grandmaster,empty,Tryndamere,C9 Fudge Factor,Lee Sin,gaengsin,Twisted Fate,FFEBIVEN,Kai'Sa,hiro3,Amumu,Veignorennn,Aatrox,KURU DUT,Karthus,91 C LE BRESIL,Camille,Xhen Doo,Lucian,DIGESTHUMANFLESH,Bard,LiL TommyG
5484271822,win,Ranked Solo,2021-09-30 06:56:47,19m 12s,2,3,4,2.00:1,empty,empty,Camille,Grandmaster,empty,Camille,C9 Fudge Factor,Ekko,RabbIe Arouser,Yone,Po Gap,Seraphine,school phobia,Leona,Hantera1,Fiora,wakeuptoreaIity,Lee Sin,Maxlore,Orianna,Targamas,Ezreal,Obstinatus,Thresh,Veignorem
5484176711,lose,Ranked Solo,2021-09-30 06:28:17,24m 52s,1,8,4,0.63:1,empty,empty,Camille,Grandmaster,empty,Fiora,wakeuptoreaIity,Zed,C9 Blaberfish2,Sylas,TwTv PROJECT BZ,Draven,SWENZUUUUUUUUUUU,Rell,1roNN,Camille,C9 Fudge Factor,Fiddlesticks,I Got This,Yone,MSF Sertuss,Vayne,CS Big Boss,Amumu,wowx
5484099404,win,Ranked Solo,2021-09-30 05:51:52,32m 54s,11,4,10,5.25:1,empty,empty,Irelia,Master,empty,Irelia,C9 Fudge Factor,Lee Sin,C9 ZVENNN,Seraphine,Ryuin,Miss Fortune,Sensei Cookie x ,Alistar,euw tourist,Urgot,TwTv Kamon ,Talon,RabbIe Arouser,Ziggs,Nyon,Kai'Sa,devil in details,Sett,David Nutt3r
5484094200,lose,Ranked Solo,2021-09-30 05:09:18,20m 33s,6,4,1,1.75:1,Double Kill,ACE,Camille,Grandmaster,empty,Singed,SlNGED,Lee Sin,better bot win1,Galio,refocus mental,Kalista,hgotdsxz,Leona,Efias,Camille,C9 Fudge Factor,Rammus,BR Lord Semi,Ryze,GS Bolulu,Ezreal,David Nutt3r,Bard,LiL TommyG
5483959418,win,Ranked Solo,2021-09-30 04:41:46,27m 15s,4,6,3,1.17:1,empty,empty,Jayce,Grandmaster,empty,Renekton,suh dude xD,Talon,sheo test acc,Syndra,GS Bolulu,Cassiopeia,TakeSet sama,Pantheon,blonde mina,Jayce,C9 Fudge Factor,Rammus,BR Lord Semi,Anivia,nakreB v2,Lucian,ifollowthebeat,Nami,TESLA OPTIMUS
5483032086,win,URF,2021-09-29 19:53:41,14m 49s,38,5,11,9.80:1,Penta Kill,empty,Ezreal,empty,empty,Ezreal,C9 Fudge Factor,Lulu,C9 Blaberfish2,Akali,ILikeYummi,Vex,Wąndęring Wind,Samira,Dummbatz90,Vex,SteakHumanBeing,Kha'Zix,DeLiery,Kennen,LubenweiNbi,Hecarim,VirtuousGecko23,Lee Sin,ehre away
5482720668,win,URF,2021-09-29 08:04:44,12m 2s,12,6,9,3.50:1,Double Kill,empty,Cho'Gath,empty,empty,Xayah,euw tourist,Cho'Gath,C9 Fudge Factor,Malphite,Saph1en,Lee Sin,AFK Fynner,Lux,ShiohKi,Karthus,VickybLbiyW,Yone,SoLoOwnLeague,Wukong,Lekan110,Skarner,King110,Nautilus,Joshuaaa
5482589959,win,URF,2021-09-29 07:48:46,12m 45s,20,6,7,4.50:1,Triple Kill,empty,Ezreal,empty,empty,Kog'Maw,Alpha odysseus,Amumu,pyter5,Ezreal,Antoine Greedman,Lux,Whisperiing,Lee Sin,eQuilibriium,Lee Sin,euw tourist,Ezreal,C9 Fudge Factor,Yorick,GrabThatSht,Veigar,Memris,Nocturne,Míss Jenny 
5482596036,lose,Ranked Solo,2021-09-29 07:21:24,21m 1s,6,5,1,1.40:1,Double Kill,ACE,Irelia,Grandmaster,empty,Irelia,C9 Fudge Factor,Jarvan IV,Kusa o Miko,Kennen,Maître Splinter,Miss Fortune,EDG Innaxe,Leona,CG Nio,Lucian,Emtest,Qiyana,jungle dream,Akali,chance no exist,Xayah,SAUCE WALKA,Amumu,Targamas
5482641118,win,Ranked Solo,2021-09-29 06:53:43,23m 5s,2,4,5,1.75:1,empty,empty,Yone,Grandmaster,empty,Kennen,Maître Splinter,Qiyana,Baby Tarz1,LeBlanc,Chemera,Tristana,Emtest,Rell,KwK AlVaRo710,Yone,C9 Fudge Factor,Zed,MSF Sertuss,Vex,Jonah Falcon,Senna,nrmn,Karma,Bloopey
5482525416,win,Ranked Solo,2021-09-29 06:23:29,31m 58s,7,4,13,5.00:1,Double Kill,empty,Kennen,Grandmaster,empty,Kennen,C9 Fudge Factor,Talon,SL0WDEATH,Zed,TwTv iljimaeLoL,Ezreal,Pride0,Yuumi,Qnoxs,Irelia,Madzzz,Ekko,RabbIe Arouser,Graves,My All For Her,Xayah,nrmn,Rakan,school phobia
5481444561,win,Ranked Solo,2021-09-28 08:43:42,28m 28s,8,2,4,6.00:1,Double Kill,MVP,Fiora,Grandmaster,empty,Fiora,C9 Fudge Factor,Evelynn,Splash 001,Tristana,FB Neramin1,Kalista,the super noob,Nautilus,blonde mina,Irelia,dofaminu,Elise,BloodBornVlad,Jayce,me like solobolo,Lucian,HoIyPhoenîx,Nami,Aegis fangirlQAQ
5481401025,lose,Ranked Solo,2021-09-28 08:02:03,30m 26s,5,4,2,1.75:1,Double Kill,empty,Irelia,Grandmaster,empty,Poppy,hgjmn7,Viego,VGIA 113,Malphite,i dream lucid,Miss Fortune,Pride0,Bard,soloqwarrior1,Irelia,C9 Fudge Factor,Evelynn,Splash 001,Lucian,Kite Machine,Kalista,Kieran Tierney,Nautilus,blonde mina
5481297611,lose,Ranked Solo,2021-09-28 07:18:33,18m 32s,0,3,2,0.67:1,empty,empty,Lucian,Master,empty,Lucian,C9 Fudge Factor,Nidalee,khanzir slayer,Tryndamere,Αnimation,Karthus,Robert Sapolsky,Nautilus,the super noob,Urgot,bausffs movement,Lee Sin,jarda jagr,Corki,NVD Flufo,Ezreal,bob kong,Bard,soloqwarrior1
5481331985,lose,Ranked Solo,2021-09-28 06:50:01,28m 4s,5,6,1,1.00:1,empty,empty,Irelia,Grandmaster,empty,Irelia,C9 Fudge Factor,Ivern,Morfariusss,Yone,jackisek,Ziggs,the super noob,Rakan,brKm,Shen,dont be yikes,Qiyana,viego abuser1,Sylas,CS Big Boss,Tristana,Fish Feces,Leona,UnstoppableForce
5481113423,win,Ranked Solo,2021-09-28 05:07:06,30m 57s,5,4,7,3.00:1,empty,empty,Ryze,Grandmaster,empty,Urgot,suusuppuun,Qiyana,snail xD,Aurelion Sol,Heart of Nazgul ,Lucian,dayikooooo,Sylas,blonde mina,Jayce,JBL ABUSER,Zed,Maxlore,Ryze,C9 Fudge Factor,Kalista,PrimeV9,Amumu,Rückendeckung
5479676359,win,Ranked Solo,2021-09-27 07:43:43,21m 33s,10,1,4,14.00:1,Double Kill,MVP,Irelia,Grandmaster,empty,Gwen,IAimToMisbehave,Zed,TC Hú Táo,Karma,2021Worlds0044,Vayne,UnstoppableForce,Amumu,FGG,Irelia,C9 Fudge Factor,Talon,Αnimation,Ekko,TwTv iljimaeLoL,Lucian,NinjaNik,Braum,snail eater
5479661195,lose,Ranked Solo,2021-09-27 07:16:11,36m 27s,6,5,11,3.40:1,empty,empty,Kennen,Grandmaster,empty,Irelia,Venour,Sejuani,Hejdå Sverige,Ekko,serin1,Draven,SPOLFCEI,Thresh,enjawve,Kennen,C9 Fudge Factor,Zed,TwTv iljimaeLoL,Azir,MSF Sertuss,Twitch,Undercover CameL,Braum,blonde mina
5479516836,win,Ranked Solo,2021-09-27 06:34:05,27m 56s,11,4,10,5.25:1,Double Kill,MVP,Camille,Master,empty,Dr. Mundo,S8DiamondDog,Shaco,Mad Scìentist,Irelia,jbdutchowns,Ziggs,BOXDEL NAURA,Amumu,NOX Peap,Camille,C9 Fudge Factor,Jarvan IV,Kikis,Ryze,she got away,Draven,666 reverse 999,Blitzcrank,ψτροφήψ
5479393828,lose,Ranked Solo,2021-09-27 04:31:25,24m 38s,5,5,4,1.80:1,ACE,empty,Camille,Grandmaster,empty,Camille,C9 Fudge Factor,Zed,TwTv iljimaeLoL,Kennen,Maître Splinter,Veigar,Robert Sapolsky,Sett,brKm,Renekton,Francis Ngannou,Shaco,Rollie Rambo,Malzahar,balagan,Tristana,II Anyone,Amumu,FGG
5479286838,win,Ranked Solo,2021-09-27 03:57:51,27m 49s,6,5,7,2.60:1,Double Kill,empty,Camille,Grandmaster,empty,Fiora,hgjmn7,Kha'Zix,LMAO OmulFinn,Cassiopeia,Sτoπεd Snαke,Tristana,II Anyone,Pyke,marlοn,Camille,C9 Fudge Factor,Nunu & Willump,Nunu,Irelia,SlXTEN,Ziggs,JESUISRANDOMEXD,Xerath,Undercover CameL
5479212660,win,Ranked Solo,2021-09-27 03:18:59,15m 29s,1,2,2,1.50:1,empty,empty,Kennen,Grandmaster,empty,Kennen,C9 Fudge Factor,Rumble,FPX Peanut,Graves,TheRoyalKanin,Lucian,David Nutt3r,Nami,whiteinn,Fiora,Laí zì shan dong,Taliyah,chovy jg acc,Sylas,CaÞs,Miss Fortune,NinjaNik,Nautilus,UOL Doedalo
5478900679,win,Ranked Solo,2021-09-27 00:26:58,23m 31s,4,6,8,2.00:1,Double Kill,empty,Kennen,Grandmaster,empty,Kennen,C9 Fudge Factor,Lee Sin,gaengsin,Lulu,Weakside Zzzzzzz,Lucian,Please try hard,Sona,Shubber,Rumble,Vizícsacsi,Hecarim,best viego ever,Qiyana,snail xD,Kai'Sa,OLA MESΑ,Amumu,iDekap
5478811168,lose,Ranked Solo,2021-09-26 23:44:01,34m 11s,3,9,6,1.00:1,empty,empty,Kennen,Grandmaster,empty,Kennen,C9 Fudge Factor,Talon,Loumuis,Vex,GODZILLA66666666,Jhin,NinjaNik,Xerath,L1L1PP,Camille,Venour,Lee Sin,Happy Alexx,Twisted Fate,M1dLaoban,Ziggs,Sebeks,Zilean,Drawleks
5478771224,lose,Ranked Solo,2021-09-26 22:40:43,26m 40s,3,3,1,1.33:1,Double Kill,empty,Lucian,Grandmaster,empty,Gangplank,masked gamer XD,Gragas,Berk Demir,Corki,Don Noway,Samira,MajorAlexander1,Amumu,Hantera1,Lucian,C9 Fudge Factor,Nunu & Willump,Jigoa,Ekko,TwTv iljimaeLoL,Kalista,FB Neramin1,Taric,euw tourist
5478569617,lose,Ranked Solo,2021-09-26 21:25:28,31m 34s,5,7,6,1.57:1,Double Kill,empty,Kennen,Grandmaster,empty,Darius,WAO RANK 1 ,Jarvan IV,GS Mojito,LeBlanc,coza,Ezreal,HeavenIsFalling,Bard,EL BARDOOOO,Kennen,C9 Fudge Factor,Lee Sin,EZY Habubu,Lulu,zoír,Aphelios,Kehvo,Sona,Zergsting
5478192955,win,Ranked Solo,2021-09-26 08:47:04,24m 4s,7,7,6,1.86:1,Triple Kill,empty,Irelia,Grandmaster,empty,Irelia,C9 Fudge Factor,Graves,Dawning Sun,Twisted Fate,Chres,Karthus,twtchtvELOSANTA,Nautilus,GO beansu,Jayce,slapbooty453,Nocturne,MightyXDragon v2,Vex,MCES Artoria,Kai'Sa,Namex,Jarvan IV,SPEEDOBEAR
5478047979,win,Ranked Solo,2021-09-26 08:10:35,33m 20s,9,6,3,2.00:1,Double Kill,empty,Kennen,Grandmaster,empty,Fiora,CLS TGDUELIST,Jarvan IV,C9 Blaberfish2,Syndra,Sultan Cagri,Neeko,JaVaaa 6,Vex,Syperk6,Kennen,C9 Fudge Factor,Rammus,BR Lord Semi,Yasuo,Tοαst,Kalista,HoIyPhoenîx,Pantheon,brKm
5477907639,lose,Ranked Solo,2021-09-26 07:03:23,35m 6s,11,7,4,2.14:1,Double Kill,empty,Kennen,Grandmaster,empty,Camille,FIX SOL0Q,Lee Sin,fooling around,Orianna,Chres,Lucian,C9 ZVENNN,Yuumi,Sinerias Mental,Kennen,C9 Fudge Factor,Graves,rust enjoyer,Tryndamere,GODZILLA66666666,Ezreal,ToasterM8,Rakan,Bardtu
