gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5487150705,win,URF,2021-10-02 06:57:04,15m 55s,12,3,26,12.67:1,empty,empty,Nami,empty,empty,Zyra,yourhealcat,Gwen,WeS Kodo,Viktor,svdYasuo,Zed,Lekkerding4,Qiyana,viktor213,Lucian,C9 Blaberfish2,Nami,theclutchfact0r,Sylas,exiraM,Maokai,exiraM jungle,Kai'Sa,Z0kr
5482809751,lose,Ranked Solo,2021-09-29 16:26:54,22m 42s,3,5,4,1.40:1,empty,empty,Zoe,Master,empty,Cho'Gath,Top Discipline,Lee Sin,Chef JG,Corki,SmurfWithHarambe,Miss Fortune,Nero Forte,Nami,Prayer v2,Heimerdinger,antusheng,Rengar,7MDN,Zoe,theclutchfact0r,Tristana,si yi kai huo,Pyke,RSQ Negan
5482642006,lose,Ranked Solo,2021-09-29 07:02:53,25m 20s,2,5,1,0.60:1,empty,empty,Ekko,Master,empty,Dr. Mundo,Govna Isusova,Rengar,7MDN,Syndra,bexiu,Ezreal,Ayrton Edison Jr,Bard,Panda bleu,Ornn,Stumpyyy,Zed,NE Kaihua,Ekko,theclutchfact0r,Xayah,BARYON Aegis,Amumu,ˆPareinˆ
5482290422,lose,Ranked Solo,2021-09-29 04:50:55,33m 15s,8,8,12,2.50:1,Double Kill,empty,Pantheon,Master,empty,Tahm Kench,Glourmand,Graves,obese16y,Sylas,7MDN,Ziggs,Kodzυken,Soraka,Nafilan,Irelia,P0NI,Nidalee,Srοgοn ,Yone,PST Alex,Karma,YORULDUM ARTIK,Pantheon,theclutchfact0r
5482139951,win,Ranked Solo,2021-09-29 02:48:57,27m 55s,3,7,20,3.29:1,empty,empty,Amumu,Master,empty,Ekko,EkkoSuna,Kha'Zix,yDeepS,Yone,Ναυάγιο,Samira,Zora Ideäle,Amumu,theclutchfact0r,Sett,Leedge,Graves,VoooDoooD,Orianna,ItsUniqueCORN,Ezreal,KIoen,Sona,Jae
5482135835,win,Ranked Solo,2021-09-29 02:12:52,18m 40s,8,4,5,3.25:1,Double Kill,empty,Vex,Master,empty,Vex,theclutchfact0r,Lee Sin,Areels2,Sylas,SLIMKIDD,Caitlyn,Whx are you,Morgana,Symeοn,Kennen,Leedge,Ekko,beyond reality,Zoe,OFFSET Chovy,Miss Fortune,shine on me,Amumu,gHarvey
5481877832,lose,Ranked Solo,2021-09-28 23:56:54,21m 41s,8,6,2,1.67:1,Double Kill,ACE,Graves,Master,empty,Volibear,SoolMay,Talon,WKR tooshi,Kassadin,4856379,Ashe,Laa7ch ,Rakan,Evér,Shen,Jack Of DiamonD,Diana,GAP IN THE JAP,Graves,theclutchfact0r,Miss Fortune,Eneino,Blitzcrank,PD Zapdo
5481892139,lose,Ranked Solo,2021-09-28 23:07:15,15m 15s,2,5,0,0.40:1,empty,empty,Vex,Master,empty,Malphite,z0vulon,Nidalee,otkachalka681,Graves,Ναυάγιο,Xayah,Sirinöx,Rakan,Hoketo,Camille,BernieaMyS,Shaco,Texhnolyze,Vex,theclutchfact0r,Ezreal,ItsUniqueCORN,Bard,NKI Azitor
5481847372,lose,Ranked Solo,2021-09-28 22:44:43,32m 24s,12,7,10,3.14:1,Triple Kill,ACE,Orianna,Master,empty,Singed,Let me fling you,Rengar,VUZRAJDANE MANQK,Irelia,ItsUniqueCORN,Vex,TwTv Lurkz77,Leona,Hoketo,Volibear,StevenPetrosino,Talon,asdfghjklqwe,Orianna,theclutchfact0r,Jhin,Silverpenny,Rakan,do me wrong
5481834033,lose,Ranked Solo,2021-09-28 22:01:59,23m 44s,4,7,0,0.57:1,empty,empty,Vex,Master,empty,Urgot,uggrot,Jarvan IV,WeS Trizzy,Vex,theclutchfact0r,Varus,LFT Gabby,Amumu,Eneino,Darius,XΥZ,Lee Sin,DEEBO SAMUEL,Zoe,mοtjaaa,Lucian,Homeless Qu4rtzo,Nami,MENTAL POTION
