gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
4035665323,win,Ranked Solo,2021-09-08 08:36:45,27m 53s,2,8,22,3.00:1,empty,empty,Leona,Master,empty,Sett,MRMOJORISlN,Nidalee,tempjfwomvayvdbe,Galio,linputmeinjail,Aphelios,oota,Pyke,Main Sup,Gnar,Putilt,Rengar,rengar is good,Neeko,ttv Doglightning,Draven,Saicos Left Nut,Leona,C9 VULCANNN
4035641859,lose,Ranked Solo,2021-09-08 07:48:34,25m 35s,1,5,5,1.20:1,empty,empty,Ziggs,Grandmaster,empty,Renekton,BorgvVz,Lee Sin,Thinkcards son,Lissandra,IllIlllllIllllIl,Aphelios,oota,Lulu,Ryu Min seok,Riven,Eclipse,Elise,weakside crab,Yasuo,Spin,Ziggs,C9 VULCANNN,Blitzcrank,TSM FTX Donbray
4035586657,lose,Ranked Solo,2021-09-08 07:09:46,33m 15s,1,5,19,4.00:1,ACE,empty,Rakan,Challenger,empty,Fiora,vx NAtongtiandai,Karthus,LeenK LCS,Lucian,VVBLUE,Senna,Nhavilay,Nautilus,Just1,Kennen,Yung Fappy,Fiddlesticks,Nikkone,Irelia,Sweet Tangerine,Jhin,Arc en ciel,Rakan,C9 VULCANNN
4035008805,lose,Ranked Solo,2021-09-07 12:19:25,27m 54s,1,6,7,1.33:1,empty,empty,Nautilus,Grandmaster,empty,Darius,Dragoon,Jarvan IV,QSEN,Syndra,Thinkcards son,Varus,TSMFTX Lost,Sona,Tempos,Renekton,onlyzz,Rumble,timal,Lucian,Dark Wingdom,Kalista,Sauce a gank,Nautilus,C9 VULCANNN
4034966046,win,Ranked Solo,2021-09-07 11:07:50,30m 58s,0,5,19,3.80:1,MVP,empty,Braum,Grandmaster,empty,Renekton,Sauce a gank,Kindred,AllGirlsRTheSame,Lissandra,IllIlllllIllllIl,Aphelios,oota,Braum,C9 VULCANNN,Camille,Dhokla,Viego,koyi,Corki,Breezyyy,Ziggs,Good Boi,Rakan,Tempos
4034809690,win,Ranked Solo,2021-09-07 10:02:21,21m 21s,2,1,15,17.00:1,empty,empty,Rakan,Challenger,empty,Jarvan IV,Youngjin Noh,Graves,From Rank1,Ryze,insanityxd,Aphelios,Sketchdreams,Rakan,C9 VULCANNN,Irelia,Reeeeeevennngeee,Viego,perryjg,Lucian,bradleyyy,Ziggs,Johnsun123,Rell,Oh ill Nam
4034718637,lose,Ranked Solo,2021-09-07 08:56:46,26m 28s,1,4,14,3.75:1,ACE,empty,Leona,Grandmaster,empty,Fiora,itsLëoK,Diana,perryjg,Akshan,First Kyu,Kai'Sa,EU Red,Rakan,Feather Daddy,Renekton,bradleyyy,Nidalee,Ryneki,Cassiopeia,Le JunMa,Jhin,Saicos Left Nut,Leona,C9 VULCANNN
4033727072,win,Ranked Solo,2021-09-06 11:58:49,22m 56s,5,2,13,9.00:1,MVP,empty,Rakan,Grandmaster,empty,Jayce,zhong guo,Kha'Zix,weakside crab,Sylas,wx ad23,Varus,warcyclone,Pyke,dali van picass0,Azir,Sasha xo,Lee Sin,saving na,Lucian,LittleFiery,Twitch,Nightstar,Rakan,C9 VULCANNN
4033739739,lose,Ranked Solo,2021-09-06 11:08:46,20m 12s,1,6,7,1.33:1,empty,empty,Leona,Grandmaster,empty,Teemo,Yung Fappy,Graves,AllGirlsRTheSame,Nasus,Candice,Jinx,Saicos Left Nut,Leona,C9 VULCANNN,Riven,wx NAtongtiandai,Rengar,Wxx REB20201,Rumble,timal,Aphelios,Good Boi,Braum,xianbaowei
4033691804,lose,Ranked Solo,2021-09-06 10:12:55,15m 30s,1,7,0,0.14:1,empty,empty,Viktor,Grandmaster,empty,Jayce,Swip3rR DISCIPLE,Nunu & Willump,Pentaless1 TTV,Yasuo,Aiden Yasuo,Ziggs,RAHEEN123,Rakan,donbray,Fiora,vx NAtongtiandai,Viego,koyi,Viktor,C9 VULCANNN,Miss Fortune,Az0g,Leona,poome1
