gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490396536,win,Ranked Solo,2021-10-04 07:44:35,21m 16s,5,0,20,Perfect,empty,empty,Amumu,Grandmaster,empty,Darius,ˇ sao,Talon,Raiden Shogun C2,Twisted Fate,Mr Tickle,Kai'Sa,VER Yusa,Amumu,euw tourist,Jax,5454545454,Qiyana,bobber kong,Kassadin,styropianzserem,Ezreal,lucker3,Nami,schifosoemerdoso
5490381805,lose,Ranked Solo,2021-10-04 07:12:47,34m 21s,8,8,24,4.00:1,ACE,empty,Nami,Master,empty,Cho'Gath,Not nexo rdy,Graves,LngLng,Tryndamere,AΙan,Swain,burek enjoyer,Pyke,colden1,Camille,toLyeV,Gragas,Lil Ûzi Vert,Yone,Avril 14th,Lucian,EDG Viper Jr,Nami,euw tourist
5490134663,win,Ranked Solo,2021-10-04 04:19:01,15m 19s,4,1,17,21.00:1,empty,empty,Nami,Grandmaster,empty,Anivia,nakreB v2,Lillia,Expecto Patrounm,Zed,CS Big Boss,Lucian,Icelandwinter,Nami,euw tourist,Yone,FrozenHuntsman,Hecarim,Airron,Ekko,iLL F13RC3 ,Miss Fortune,WTX Scripter,Yuumi,Qnoxs
5489485339,lose,Ranked Solo,2021-10-04 01:16:19,26m 20s,0,4,10,2.50:1,empty,empty,Bard,Grandmaster,empty,Yone,EllamCompany,Lee Sin,C9 ZVENNN,Sylas,slowq9zb,Ezreal,Dragdar,Bard,euw tourist,Rengar,cyql9zz,Zed,missing it,Cassiopeia,Vango,Jinx,Emtest,Rakan,Czypsy
5488379367,lose,Ranked Solo,2021-10-03 06:11:50,29m 34s,1,10,17,1.80:1,empty,empty,Nautilus,Grandmaster,empty,Fiora,NattyNatt,Taliyah,Chelouche,Xerath, hege int acc1,Miss Fortune,Efias,Nautilus,euw tourist,Poppy,Poppuszka,Qiyana,357159,Evelynn,SL0WDEATH,Jhin,NA Hopium,Sona,Raysør
5488327034,win,Ranked Solo,2021-10-03 05:32:54,15m 19s,2,0,6,Perfect,empty,empty,Janna,Master,empty,Wukong,training acc 1,Lillia,Olunn,Irelia,Celterr1,Miss Fortune,table turner44,Senna,stuck in low,Darius,XΥZ,Master Yi,PD Zapdo,Qiyana,Twitch Ag0nyPain,Seraphine,robloxmaciek,Janna,euw tourist
5488332513,win,Ranked Solo,2021-10-03 05:12:34,21m 26s,3,3,22,8.33:1,empty,empty,Alistar,Grandmaster,empty,Camille,masked gamer XD,Taliyah,C9 Blaberfish2,Irelia,ég jojopyun,Ziggs,Bardtu,Alistar,euw tourist,Lee Sin,Laí zì shan dong,Diana,Happy Alexx,Qiyana,TC Hú Táo,Draven,DIGESTHUMANFLESH,Nami,WatchMyPuppets
5487912206,win,URF,2021-10-03 00:18:33,18m 40s,25,10,8,3.30:1,Quadra Kill,empty,Syndra,empty,empty,Syndra,euw tourist,Sylas,Fan de SCH,Caitlyn,Fakers Daddy 69,Kai'Sa,Seraphine Jtm,Darius,ZY KiwiLud,Lee Sin,I m D Night,Pyke,Rímnicht,Vel'Koz,Vladadidoum,Zyra,FatalError00,Kayn,For Rengacia
5487178820,lose,Ranked Solo,2021-10-02 08:20:37,33m 15s,1,3,15,5.33:1,ACE,empty,Rakan,Master,empty,Sylas,ArcaneTeddy,Rek'Sai,PVE Kackis,Tryndamere,Makuna Hatataº,Kai'Sa,LDNU Aklass,Amumu,ight,Sett,Hina Amane,Viego,xiao tang bu lei,Kog'Maw,Azzapp,Xayah,dzc,Rakan,euw tourist
5486791348,lose,Ranked Solo,2021-10-02 04:57:54,23m 42s,1,7,10,1.57:1,empty,empty,Rakan,Grandmaster,empty,Jax,WAO RANK 1 ,Zed,NattyNatt,Diana,Rougé,Ziggs,Kaor1,Bard,JustînTime,Irelia,FIX SOL0Q,Lee Sin,NiuNai,Zoe,CaÞs,Ezreal,hiro3,Rakan,euw tourist
5486406161,win,Ranked Solo,2021-10-02 03:26:45,28m 44s,1,4,25,6.50:1,MVP,empty,Bard,Grandmaster,empty,Tahm Kench,LiL TommyG,Ivern,Morfariusss,Tryndamere,Chemera,Syndra,DWG KIA AD,Bard,euw tourist,Kassadin,styropianzserem,Zed,ImJony,Shen,Shending el HP,Akshan,robloxmaciek,Pyke,leo test1
5485955528,win,URF,2021-10-01 21:39:30,12m 43s,9,5,9,3.60:1,empty,empty,Lucian,empty,empty,Thresh,Ramisso,Jinx,IShacoX,Graves,Hèring,Sett,Wampíe,Bard,helerufo,Lucian,euw tourist,Ezreal,C9 Fudge Factor,Zed,Trybun1,LeBlanc,JungIé Main,Sylas,21cmOfTrueLove
5484869619,lose,Ranked Solo,2021-10-01 00:59:01,34m 54s,1,7,18,2.71:1,empty,empty,Nami,Master,empty,Ornn,ToxicHill,Kha'Zix,Final Prince,Fizz,The On3Sh0t,Miss Fortune,Sensei Cookie x ,Bard,Hyosha,Jayce,SOU LINDOO,Zed,yüzenköfte,Katarina,TwTv Ronges1,Lucian,CREØN,Nami,euw tourist
5484819820,win,Ranked Solo,2021-09-30 23:40:12,25m 26s,0,4,23,5.75:1,MVP,empty,Bard,Grandmaster,empty,Poppy,Poppuszka,Ekko,Loumuis,Graves,dofaminu,Kog'Maw,Hesburgler,Bard,euw tourist,Kennen,scarface xyz,Zac,BR Lord Semi,Yone,Πανούλης,Ezreal,HoIyPhoenîx,Rakan,Ttv Lathyrus
5484391375,lose,Normal,2021-09-30 08:40:25,27m 51s,4,10,6,1.00:1,Double Kill,ACE,Aphelios,empty,empty,Gragas,Hide4U4Ever,Zed,zhen de la ji,Vex,NereusSkullz,Aphelios,euw tourist,Thresh,jiangyuedaiheren,Yone,Snackob,Evelynn,yio,Sion,The largest cat,Caitlyn,MrMrKeating,Janna,Lunea
5484166424,win,Ranked Solo,2021-09-30 06:28:58,29m 36s,5,8,12,2.13:1,empty,empty,Amumu,Grandmaster,empty,Riven,Ugglaann,Gwen,Maxlore,Lucian,egefitness1,Miss Fortune,Sensei Cookie x ,Amumu,euw tourist,Irelia,JBL ABUSER,Ekko,Spirgius,Zed,RabbIe Arouser,Jinx,Nyon,Braum,Touchy Situation
5484099404,win,Ranked Solo,2021-09-30 05:51:52,32m 54s,1,5,21,4.40:1,empty,empty,Alistar,Master,empty,Irelia,C9 Fudge Factor,Lee Sin,C9 ZVENNN,Seraphine,Ryuin,Miss Fortune,Sensei Cookie x ,Alistar,euw tourist,Urgot,TwTv Kamon ,Talon,RabbIe Arouser,Ziggs,Nyon,Kai'Sa,devil in details,Sett,David Nutt3r
5484045080,win,Ranked Solo,2021-09-30 05:09:40,23m 47s,1,2,23,12.00:1,empty,empty,Alistar,Grandmaster,empty,Urgot,NieUfamCiJezu12,Lee Sin,Whiteakitout,Vex,phlaty,Miss Fortune,Sensei Cookie x ,Alistar,euw tourist,Heimerdinger,COOOOOOOOOOOOUGH,Master Yi,Austrian Yi,Lulu,My All For Her,Kalista,bird in a cage,Bard,Targamas
5484006990,lose,Ranked Solo,2021-09-30 04:39:41,31m 11s,1,6,9,1.67:1,empty,empty,Rakan,Master,empty,Sett,Praesens,Talon,Lyccc,Taliyah,DUMBOKILLER88,Miss Fortune,Crowniee,Alistar,Toro Adventures,Irelia,aram hesabı,Nidalee,LngLng,Zed,Nb3MadLIfe,Lucian,i like marksman,Rakan,euw tourist
5483171311,lose,URF,2021-09-29 21:49:19,20m 9s,8,8,6,1.75:1,Double Kill,empty,Vayne,empty,empty,Kai'Sa,Guarayango,Katarina,Flying Squirrel2,Twitch,Lucraval,Nami,Inuyashâ,Viktor,thehammerisreal,Vayne,euw tourist,Kennen,Uchiha Bellzo,Ziggs,Seytan420,Zyra,GentleGoose,Rell,Seju Baek
