gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
4034993915,win,Ranked Solo,2021-09-07 11:38:59,20m 13s,6,3,9,5.00:1,Double Kill,empty,Tristana,Grandmaster,empty,Camille,safdge,Xin Zhao,Kenas,Twisted Fate,Gmandlife,Ezreal,Tempos,Sona,Jan Błachowicz,Tahm Kench,dd23438274,Olaf,Sheiden3,Ryze,Sword2,Tristana,C9 Zven,Nautilus,Pockus
4033072594,lose,Ranked Solo,2021-09-05 15:42:37,25m 28s,2,8,7,1.13:1,empty,empty,Xayah,Challenger,empty,Irelia,onlyzz,Rek'Sai,Kazahana,Ryze,Draven696969,Jhin,Tomo9,Pantheon,ACKÈRMAN,Trundle,trdblaster,Lee Sin,TL Armao,Azir,First Kyu,Xayah,C9 Zven,Rakan,Gweiss
4032946908,lose,Ranked Solo,2021-09-05 14:44:37,29m 47s,3,7,5,1.14:1,empty,empty,Lee Sin,Grandmaster,empty,Jayce,First Kyu,Xin Zhao,Winston4,Ahri,Lemur,Sivir,Lugerr,Braum,Iinks,Camille,Dhokla,Lee Sin,C9 Zven,Corki,HaaaZe,Aphelios,Nhavilay,Karma,tahe bear
4032729827,lose,Ranked Solo,2021-09-05 10:30:58,40m 17s,12,7,8,2.86:1,Double Kill,empty,Syndra,Grandmaster,empty,Camille,concept x,Lee Sin,RoseThorn,Sett,700kg grandma,Syndra,C9 Zven,Maokai,kaka 1021,Renekton,Lunacia,Xin Zhao,Yi Du Zi Qi,Viktor,Thinkcards son,Aphelios,Sketchdreams,Thresh,Just1
4032673958,lose,Ranked Solo,2021-09-05 09:31:23,28m 44s,4,6,6,1.67:1,Double Kill,empty,Jinx,Grandmaster,empty,Wukong,Lunacia,Lee Sin,hua kai zai hui,Neeko,neeko sex king,Jinx,C9 Zven,Nautilus,Hakuho,Jayce,Swip3rR DISCIPLE,Viego,JungIe is weak,Diana,Archour,Varus,ADCADC123,Thresh,donbray
4030907655,win,Ranked Solo,2021-09-03 14:04:08,34m 14s,17,8,10,3.38:1,MVP,empty,Caitlyn,Challenger,empty,Fiora,HLE Arthur,Lee Sin,From Rank1,Ryze,Swip3rR DISCIPLE,Ezreal,insanityxd,Blitzcrank,wx mjm978244659,Camille,wx NAtongtiandai,Taliyah,SC Hector,Orianna,SugiKim,Caitlyn,C9 Zven,Thresh,rocks908
4030793452,win,Ranked Solo,2021-09-03 12:02:37,22m 15s,4,2,3,3.50:1,empty,empty,Xayah,Grandmaster,empty,Camille,MASSGAINER44,Viego,koyi,Syndra,Thinkcards son,Xayah,C9 Zven,Rakan,wohenshengqi,Jayce,onlyzz,Kayn,DarbBarf,Brand,jojopyun 16,Veigar,100 Chad,Braum,Feather Daddy
4030706080,lose,Ranked Solo,2021-09-03 11:20:12,31m 3s,4,4,7,2.75:1,empty,empty,Jinx,Grandmaster,empty,Jayce,Swip3rR DISCIPLE,Nidalee,Kind Jungle,Kennen,Satoshi,Jinx,C9 Zven,Braum,Jan Błachowicz,Camille,TwoVital,Olaf,HLE Arthur,Cassiopeia,Strompest,Ashe,Kral Luger,Thresh,Crimsonating
4030136968,win,Ranked Solo,2021-09-02 14:47:55,30m 11s,9,7,7,2.29:1,Double Kill,empty,Tristana,Grandmaster,empty,Camille,Swip3rR DISCIPLE,Ekko,wx mjm978244659,Rumble,Went,Tristana,C9 Zven,Sona,Tempos,Tryndamere,wirfjaiji,Nidalee,Kłaus,Ryze,onlyzz,Kalista,HappyBeePlayer,Alistar,IMT Destiny
4030105322,lose,Ranked Solo,2021-09-02 14:03:34,16m 8s,2,6,2,0.67:1,empty,empty,Tristana,Challenger,empty,Gangplank,Swip3rR DISCIPLE,Ekko,wx mjm978244659,Yone,onlyzz,Ziggs,zhong guo5,Alistar,IMT Destiny,Jayce,Yung Fappy,Kayn,LeenK LCS,Rumble,Went,Tristana,C9 Zven,Leona,donbray
4030056932,win,Ranked Solo,2021-09-02 13:29:41,33m 3s,13,5,10,4.60:1,Triple Kill,empty,Tristana,Grandmaster,empty,Camille,aknid,Graves,Kłaus,Cassiopeia,Sweet Tangerine,Tristana,C9 Zven,Sett,SkyTec6,Irelia,Swip3rR DISCIPLE,Ekko,wx mjm978244659,Ahri,Proosia,Kai'Sa,StaleCabbage,Rell,ChoisixLoL
4030052574,lose,Ranked Solo,2021-09-02 12:49:46,22m 47s,1,8,6,0.88:1,empty,empty,Draven,Grandmaster,empty,Irelia,Shower D0G,Nidalee,random nobody482,Teemo,Yung Fappy,Aphelios,Sauce a gank,Thresh,Oh ill Nam,Gragas,Eladio Carrion,Jarvan IV,SugiKim,Cassiopeia,Sweet Tangerine,Draven,C9 Zven,Nautilus,1234hitdinosaur
4028176521,lose,Ranked Solo,2021-08-31 14:15:24,30m 37s,0,10,11,1.10:1,empty,empty,Senna,Challenger,empty,Irelia,agorinas,Ekko,wx mjm978244659,Gnar,Swip3rR DISCIPLE,Senna,C9 Zven,Leona,1234hitdinosaur,Camille,concept x,Viego,Josedeodo,Aurelion Sol,Went,Tristana,Kral Luger,Alistar,donbray
4028072698,win,ARAM,2021-08-31 12:07:38,15m 51s,10,8,14,3.00:1,Triple Kill,empty,Riven,empty,empty,Varus,Tsutori,Gangplank,hitMAN00084,Jarvan IV,TheL0ckdown,Yuumi,YordleChan,Graves,Astrolgia,Riven,C9 Zven,Ziggs,John Johnington,Kayle,Rextasy,Thresh,NoScopeYoloSwag,Lillia,Murkuri
4028036018,lose,ARAM,2021-08-31 11:48:47,29m 22s,22,16,27,3.06:1,Quadra Kill,empty,Brand,empty,empty,Brand,C9 Zven,Dr. Mundo,John Johnington,Warwick,kiwi2033,Morgana,Rivstdi,Karthus,Bacon In A Cup,Nasus,ìPeeØD,Varus,am noob,LeBlanc,Apparel,Tristana,lingling7,Alistar,Sky Bounce
4026768129,win,Ranked Solo,2021-08-30 09:19:13,24m 39s,5,5,16,4.20:1,MVP,empty,Caitlyn,Grandmaster,empty,Camille,wx NAtongtiandai,Jarvan IV,ehf,Galio,smart play,Aphelios,Good Boi,Nautilus,wohenshengqi,Jayce,zhong guo,Xin Zhao,bury your past,Ryze,Trisend33,Caitlyn,C9 Zven,Thresh,Just1
4026761077,win,Ranked Solo,2021-08-30 08:18:52,21m 16s,5,3,6,3.67:1,Double Kill,empty,Lucian,Grandmaster,empty,Gwen,concept x,Trundle,TimSevenhuysen,Graves,LFT Zelt,Samira,enryu,Pyke,Davemon,Teemo,Yung Fappy,Lee Sin,LÊÊSlN,Sylas,IllIlllllIllllIl,Lucian,C9 Zven,Rakan,Deng It 
4025250645,win,Ranked Solo,2021-08-28 14:45:53,19m 39s,3,2,10,6.50:1,empty,empty,Aphelios,Grandmaster,empty,Kled,Ssumdayday,Nidalee,Vx Hc9999na,Graves,mochi LFT 2022 ,Ashe,RAHEEN123,Braum,Jan Błachowicz,Camille,Djalal,Evelynn,Calm Antebellum,Diana,TL Armao,Aphelios,C9 Zven,Thresh,Oh ill Nam
4025202057,lose,Ranked Solo,2021-08-28 13:48:21,22m 46s,5,6,4,1.50:1,ACE,empty,Varus,Challenger,empty,Wukong,Airflash,Kindred,Vx Hc9999na,Ahri,Nzm,Aphelios,RAHEEN123,Galio,Businessman47,Jayce,TheRealPhilip,Xin Zhao,nifty jg,Karma,Strompest,Varus,C9 Zven,Thresh,CIyde
4025113057,win,Ranked Solo,2021-08-28 12:45:53,21m 22s,2,3,13,5.00:1,empty,empty,Thresh,Challenger,empty,Jayce,Kanameme,Graves,Sheiden3,Sylas,lafyèv,Ashe,Scenari0,Sett,zhong guo5,Jarvan IV,LeenK LCS,Ekko,TL Armao,Twisted Fate,TSM FTX Takeover,Varus,FLRX,Thresh,C9 Zven
4024106720,win,Ranked Solo,2021-08-27 14:18:03,15m 40s,5,1,3,8.00:1,empty,empty,Syndra,Grandmaster,empty,Sett,huhi,Lee Sin,Vx Hc9999na,Viktor,DÑA,Jayce,TheRealPhilip,Samira,ßloodßath,Wukong,Dragoon,Kha'Zix,700kg grandma,Orianna,sigyetaeyeob,Syndra,C9 Zven,Thresh,rocks908
4024072967,win,Ranked Solo,2021-08-27 13:55:11,25m 43s,4,2,10,7.00:1,empty,empty,Syndra,Challenger,empty,Gangplank,Swip3rR DISCIPLE,Ekko,Sheiden3,Qiyana,700kg grandma,Aphelios,Sauce a gank,Leona,IMT Destiny,Jayce,TheRealPhilip,Graves,LeenK LCS,Twisted Fate,Johnsun123,Syndra,C9 Zven,Rakan,Tempos
4024006952,lose,Ranked Solo,2021-08-27 13:00:18,15m 22s,1,5,1,0.40:1,empty,empty,Aphelios,Grandmaster,empty,Annie,inthenightgarden,Lee Sin,Clam,Maokai,RAHULK1,Aphelios,C9 Zven,Thresh,donbray,Syndra,Pinwinasio,Graves,My Dream Go4Lol,Teemo,Yung Fappy,Ashe,ADCADC123,Trundle,From Rank1
