gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5488242356,win,Ranked Solo,2021-10-03 04:09:05,24m 56s,7,4,8,3.75:1,empty,empty,Lee Sin,Diamond 1,empty,Sett,Vate,Lee Sin,BYG Benny,Karthus,Net1,Aphelios,Peaceful Lodik,Leona,Chamallow San,Vayne,Who is Candice,Nidalee,nida enthusiast,Sylas,TheKíngOf,Sivir,Amelka2006PL,Alistar,Austrian Random
5485769646,win,Tutorial 1,2021-10-01 18:05:57,0m 26s,0,0,0,0.00:1,empty,empty,Miss Fortune,empty,empty,Miss Fortune,BYG Benny,empty,empty
5485620759,win,Ranked Solo,2021-10-01 09:34:42,25m 5s,13,3,11,8.00:1,Triple Kill,MVP,Lee Sin,Diamond 3,empty,Irelia,solateissour,Teemo,Charleeees,Diana,kiwi enjoyer 000,Jhin,humzh,Bard,Schone Henk,Sett,ShuoSanJiuSan,Lee Sin,BYG Benny,Akali,9scaPeg0at88 ,Ashe,KacperDaGhost,Nautilus,vabe543
5485537943,win,Ranked Solo,2021-10-01 08:56:54,28m 28s,1,5,16,3.40:1,empty,empty,Amumu,Master,empty,Aatrox,Nuevo Chimbote,Ekko,knv2,Riven,fart like dopa,Aphelios,onii chan uwuu,Amumu,BYG Benny,Jayce,Headache Man,Diana,ITA ÞhreakTãmër,Irelia,Karzzy11,Lucian,maoxiandao,Taric,Nobreak9
5485545345,win,Ranked Solo,2021-10-01 08:18:48,20m 33s,3,6,13,2.67:1,Double Kill,empty,Lee Sin,Diamond 4,empty,Dr. Mundo,Hielah,Zed,own3rtcamGirl,Pantheon,Moon of Holo,Jinx,acpbzrch,Thresh,D0STE,Irelia,solateissour,Lee Sin,BYG Benny,Kassadin,RΞΛPLIX,Karthus,qqqqqqqqqqqqqqr,Karma,SuppUFinancially
5485182190,lose,Ranked Solo,2021-10-01 03:37:34,29m 32s,3,5,10,2.60:1,empty,empty,Lee Sin,Diamond 1,empty,Sett,Spiritasd,Xin Zhao,BALENCIIIAGA,Twisted Fate,sυp,Caitlyn,Doma,Leona,Valcious,Illaoi,BNGR J1,Lee Sin,BYG Benny,Kassadin,RΞΛPLIX,Kai'Sa,humzh,Amumu,FTE Camigo
5485066894,win,Ranked Solo,2021-10-01 02:49:01,20m 48s,9,2,5,7.00:1,empty,empty,Lee Sin,Diamond 2,empty,Tryndamere,Only HαppY,Kayn,Ånger Management,Yasuo,Painkillerabuser,Syndra,PauI Atréides,Leona,L O L U S,Rengar,Hevari,Lee Sin,BYG Benny,Sylas,Mars TuT,Kog'Maw,Fat kog lover,Janna,wolle13
5484693380,win,Ranked Solo,2021-09-30 20:42:48,29m 25s,5,4,6,2.75:1,empty,empty,Graves,Diamond 3,empty,Mordekaiser,IAmShiny,Graves,BYG Benny,Sylas,Ånger Management,Kog'Maw,Fat kog lover,Nami,RxCute,Tahm Kench,Bent Ruler,Rek'Sai,Crows Guy,Tryndamere,sebal mid acc,Jhin,only ego,Syndra,Rekktom
5483964862,win,Ranked Solo,2021-09-30 04:23:31,30m 30s,8,7,9,2.43:1,Double Kill,empty,Lee Sin,Diamond 3,empty,Darius,malοu,Diana,Desmonte,Katarina,toxicskai,Miss Fortune,Vìper1,Rakan,im going nowhere,Viktor,ShuoSanJiuSan,Lee Sin,BYG Benny,Qiyana,Mars TuT,Kalista,Farrak,Galio,PiruTheVolatile
5483044837,win,Ranked Solo,2021-09-29 20:37:21,21m 10s,16,2,9,12.50:1,Triple Kill,MVP,Lee Sin,Diamond 3,empty,Dr. Mundo,sad but chall,Jarvan IV,BALENCIIIAGA,Sylas,LimboLimbss,Jhin,iRazer,Bard,MrSaltt,Tryndamere,MKULTRA ProjectX,Lee Sin,BYG Benny,Fizz,msfbanzai1,Draven,Kopersansarsalvo,Nami,ASTROPLAYER234
