gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5489400384,lose,Ranked Solo,2021-10-04 00:57:09,29m 35s,2,10,5,0.70:1,empty,empty,Fiora,Master,empty,Aatrox,Lagsw0w,Taliyah,8οz,Vex,l Am Batman ,Lucian,RoxanneV2,Soraka,le bot incident,Fiora,PSG Helper,Lee Sin,Poopmaker,Anivia,49307955,Yasuo,S1ayter,Janna,PrayersUp
5489414491,lose,Ranked Solo,2021-10-04 00:21:08,25m 42s,3,10,4,0.70:1,empty,empty,Graves,Diamond 2,empty,Graves,PSG Helper,Viego,The Chewbacca,Katarina,toxicskai,Aphelios,TBL Eryu,Bard,DemonMeep,Garen,hutame66,Qiyana,30x,Vladimir,Its Artistic,Jhin,hey drink water,Xerath,Soulinas
5488928618,lose,Ranked Solo,2021-10-03 20:06:02,28m 10s,3,9,3,0.67:1,empty,empty,Fiora,Master,empty,Riven,Luthai,Rengar,Taxman Rengar,Diana,Dillen,Lucian,Muqtadiir ,Amumu,PSV Mahonix,Fiora,PSG Helper,Ekko,StrangeChamp,Pantheon,Ðream Maker,Aphelios,Shnack,Sett,BCC Rack Attacκ
5488944298,lose,Ranked Solo,2021-10-03 19:27:14,27m 6s,1,8,0,0.13:1,empty,empty,Fiora,Master,empty,Fiora,PSG Helper,Zed,Erring,Heimerdinger,dongr,Jinx,I Stole 6 Goats,Sona,Mixamin,Urgot,MagmaSmoothie,Talon,BEAN GRINDER 1V9,Karthus,le bot incident,Tristana,I leash I int,Pyke,TwTv Valenjin
5488901862,lose,Ranked Solo,2021-10-03 18:49:06,23m 53s,10,8,2,1.50:1,Double Kill,ACE,Jayce,Master,empty,Jayce,PSG Helper,Skarner,seuds5,Xerath,Aldwar,Twitch,2021Worlds1018,Lulu,KogMawesome,Lucian,løvetann,Graves,KENNETGOD99,Orianna,Bane3,Sett,Iobellan,Nami,KIT sxysurferboy
5488789540,win,Ranked Solo,2021-10-03 18:19:45,21m 57s,10,3,8,6.00:1,Double Kill,MVP,Jayce,Master,empty,Jayce,PSG Helper,Taliyah,Taliyah,Anivia,God Han Wenqing ,Xayah,The End of you,Sona,TSO gslugger,Aatrox,demotion,Karthus,Thorden,Vladimir,Chocolate Robot,Lucian,FTE Effortless,Nami,Aloru
5488615770,win,Ranked Solo,2021-10-03 09:09:09,17m 29s,2,4,2,1.00:1,empty,empty,Jayce,Master,empty,Jayce,PSG Helper,Zac,Dzierżoniowianin,Tryndamere,x ae 147,Ezreal,Veers,Vex,CrypMa,Jarvan IV,NO CRARl,Kha'Zix,iMrPresident,Yone,Haskko,Lucian,TIAGO PZK,Nami,güçlü bok
5488579016,win,Ranked Solo,2021-10-03 08:37:44,31m 37s,8,5,10,3.60:1,empty,empty,Cassiopeia,Master,empty,Sett,Zolazy,Xin Zhao,Vedoluinim,Yasuo,Haskko,Karthus,xXMENINOXx69,Blitzcrank,LuckyCritOmg,Cassiopeia,PSG Helper,Viego,dhskv,Kayle,always prio wave,Jhin,FB Genosect,Seraphine,GOD ALGORITHM
5488497400,win,Ranked Solo,2021-10-03 08:00:14,32m 59s,7,10,6,1.30:1,Double Kill,empty,Fiora,Master,empty,Camille,superbigfun,Qiyana,NinaAnnaJenny,Yone,Sècrèt,Ziggs,unzebeel2,Amumu,Keria Carry,Fiora,PSG Helper,Kindred,I Flame in Morse,Sylas,Snus enjoyer1,Lucian,wow cold,Yuumi,Littlebuffbabe
5488520525,win,Ranked Solo,2021-10-03 07:13:08,28m 55s,9,3,7,5.33:1,Double Kill,MVP,Cassiopeia,Master,empty,Cassiopeia,PSG Helper,Hecarim,Roz,Jhin,DaLaurenz,Lucian,RelentlessLoL 2,Nami,TànyaTheMadness,Riven,00Killy,Elise,EVΣ,Twisted Fate,strong mental,Jinx,Benji  GGD,Thresh,Keria Carry
