gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490389963,win,Ranked Solo,2021-10-04 08:18:24,23m 36s,2,8,10,1.50:1,empty,empty,Miss Fortune,Diamond 2,empty,Akshan,atltcda,Talon,X7X7X7X7X7X7X7,LeBlanc,ImNotSmurfingEUW,Jinx,flex ch eboy,Lulu,Ô Ž,Sett,kinky,Hecarim,škr škr Pathing,Yasuo,mid is fighting,Miss Fortune,iloveyouloveyou,Yuumi,acaweamsdacqwqwe
5484317468,lose,Ranked Solo,2021-09-30 08:04:57,29m 56s,2,5,11,2.60:1,empty,empty,Jhin,Diamond 4,empty,Riven,Aavve,Elise,IVIoore,Yone,ovhqva,Jhin,iloveyouloveyou,Thresh,Heyyygoodmorning,Gnar,menninkäine,Viego,LSADSDD,Mordekaiser,Ałcadeias,Jinx,Liman1,Nami,veeBlithe133
5484264588,win,Ranked Solo,2021-09-30 07:22:37,24m 51s,12,1,12,24.00:1,Triple Kill,MVP,Jinx,Diamond 4,empty,Graves,Prodigy Crane ,Fiddlesticks,Crows Guy,Zoe,ASK M7ng,Lucian,La Bourse,Nami,Kiss3TheRain,Tryndamere,yuekai is pig,Elise,IVIoore,Zed,ovhqva,Jinx,iloveyouloveyou,Thresh,Heyyygoodmorning
5482758686,lose,Ranked Solo,2021-09-29 10:36:04,23m 40s,3,4,7,2.50:1,empty,empty,Miss Fortune,Diamond 4,empty,Jayce,GS 5,Evelynn,Describe,Yone,I want winner,Kalista,Vìper1,Thresh,MYI Lokmays,Gnar,Original Ace,Olaf,qweefguzzlerN,Zoe,deserved ego,Miss Fortune,iloveyouloveyou,Morgana,Heyyygoodmorning
5482668352,win,Ranked Solo,2021-09-29 10:04:39,33m 31s,13,3,8,7.00:1,Double Kill,empty,Jhin,Diamond 4,empty,Darius,EVelastingluck,Nidalee,I am everything,Galio,ASK M7ng,Jhin,iloveyouloveyou,Thresh,Heyyygoodmorning,Kennen,GS 5,Viego,3M0T3,Irelia,I want winner,Samira,AGONY PEACE,Nautilus,Chαnged
5482744493,lose,Ranked Solo,2021-09-29 09:13:17,26m 7s,1,8,5,0.75:1,empty,empty,Ezreal,Diamond 3,empty,Kennen,GS 5,Qiyana,I am everything,Irelia,I want winner,Samira,jerry mouse,Rakan,FigoHSV,Ornn,hellomato,Ekko,Orange Killer,Pantheon,STEVE HARVEY420,Ezreal,iloveyouloveyou,Soraka,WPuffFullHP
5482496324,win,Ranked Solo,2021-09-29 06:20:37,28m 13s,9,0,11,Perfect,Double Kill,MVP,Jhin,Platinum 1,empty,Riven,hide from girsis,Xin Zhao,Premade of God,Twisted Fate,pickleman4,Kai'Sa,Saye12,Rakan,qwerasdfzxcbvcxz,Azir,LNGWIN,Evelynn,Describe,Syndra,Rimtuolis,Jhin,iloveyouloveyou,Thresh,Heyyygoodmorning
5482399230,lose,Ranked Solo,2021-09-29 05:43:30,36m 1s,5,10,15,2.00:1,empty,empty,Lucian,Diamond 4,empty,Singed,Report Singed,Evelynn,υnrαnκ ενε,Graves,Life is Hell 11,Samira,Askeladdd,Amumu,Chef Levan,Shen,Wao 3,Karthus,further to go,Sylas,land of ice,Lucian,iloveyouloveyou,Nami,Exile Myself
5482360398,lose,Ranked Solo,2021-09-29 04:43:07,19m 15s,0,9,4,0.44:1,empty,empty,Vayne,Diamond 4,empty,Rengar,IIACQUIESCEII,Graves,Thats A Pain,Ryze,Egirl Of Ramzes,Vayne,iloveyouloveyou,Lulu,BALENCIIIAGA,Ornn,me am smart,Diana,9 19 Night,Yasuo,braindmgd yasuo,Kai'Sa,Saye12,Pyke,qwerasdfzxcbvcxz
5481398688,win,Ranked Solo,2021-09-28 09:34:19,23m 45s,4,2,13,8.50:1,empty,empty,Jhin,Platinum 1,empty,Darius,Ikkitousen 1013,Talon,RIP Mafia Graves,Sylas,2002 02 02,Ezreal,I can not aa xd,Bard,Heyyygoodmorning,Yone,Bericiny,Ekko,OnerKING,Vi,wincg,Jhin,iloveyouloveyou,Karma,Excaliburt
5481426155,lose,Ranked Solo,2021-09-28 09:00:03,25m 37s,0,2,1,0.50:1,empty,empty,Ezreal,Diamond 2,empty,Irelia,byeeeeeee,Nidalee,1v9wheneveriwąnt,Sylas,Kimchi warrior1,Ezreal,iloveyouloveyou,Janna,ASK M7ng,Kennen,nihili5m,Lee Sin,Dinner first,LeBlanc,Kimchi3,Tristana,I can not aa xd,Lulu,mosesmudd
5481393269,lose,Ranked Solo,2021-09-28 07:57:21,3m 17s,0,0,0,0.00:1,empty,empty,Jhin,Platinum 1,empty,Yuumi,XorLove1,Taliyah,JesseeEhPuG,Riven,ZAF Nolaskolan,Talon,Karzzy11,Draven,Mοrdred,Aatrox,GS 5,Lee Sin,CocaCola Monster,Graves,Cingordyn,Jhin,iloveyouloveyou,Sona,2021Worlds0151
5481220134,lose,Ranked Solo,2021-09-28 06:40:59,32m 24s,3,5,2,1.00:1,Double Kill,empty,Ezreal,Platinum 1,empty,Riven,ZAF Nolaskolan,Kindred,I want winner,Lulu,Headache Man,Samira,AGONY PEACE,Gragas,acaweamsdacqwqwe,Camille,Im fine thx you,Graves,9 19 Night,Vladimir,UC 1v9,Ezreal,iloveyouloveyou,Leona,ImStillThinking
