gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5488196492,win,Ranked Solo,2021-10-03 04:30:38,27m 27s,9,9,14,2.56:1,empty,empty,Taliyah,Diamond 1,empty,Camille,WL RobRal,Kayn,coinflip laness,Ryze,RRRRRXXXX7II,Ashe,No IV Arrogance,Taliyah,2021Worlds0151,Aatrox,KuonOuO,Lee Sin,Dulce Como Piña,Kayle,I love Lauli,Miss Fortune,time to give up,Anivia,persedos
5485457207,lose,Ranked Solo,2021-10-01 07:05:49,25m 14s,3,7,1,0.57:1,empty,empty,Mordekaiser,Diamond 4,empty,Mordekaiser,2021Worlds0151,Kayn,RIP Mafia Graves,Taliyah,Phenasi,Draven,random ad1,Soraka,f0ke,Fiora,Drogaki,Kindred,Platinum,Annie,veeBlithe133,Vayne,NeoDie,Lulu,iNOVA xo
5485399041,win,Ranked Solo,2021-10-01 06:24:51,33m 25s,7,5,7,2.80:1,Double Kill,empty,Mordekaiser,Diamond 4,empty,Heimerdinger,Back DirtySimian,Kha'Zix,L9 ToFu,Diana,Cabrito da Tuga,Draven,Kefir reformed,Lulu,templpdgrkacnoqx,Mordekaiser,2021Worlds0151,Rengar,MECHANiCSGiFT,Cassiopeia,34 Skeul 44,Lucian,MoraisAD,Soraka,f0ke
5485353018,win,Ranked Solo,2021-10-01 05:28:57,21m 59s,11,6,8,3.17:1,Quadra Kill,MVP,Taliyah,Diamond 2,empty,Riven,FakboiMrHolst,Xin Zhao,Okupant,Sylas,ZaZee,Ezreal,9 19 Night,Taliyah,2021Worlds0151,Cho'Gath,BuffyApenguin,Kayn,tempvvunswgcsqgc,Kayle,toxicskai,Yasuo,TheJumpingMonkey,Rell,RzeźnikZPlewisk
5485295358,lose,ARAM,2021-10-01 04:49:52,23m 9s,20,11,14,3.09:1,Double Kill,empty,LeBlanc,empty,empty,LeBlanc,2021Worlds0151,Blitzcrank,nicowisamu,Xerath,instramental,Xayah,Disturb19,Kindred,Mamori Tsuki,Akali,S4aveR,Ashe,Grödem,Maokai,BstardSauce,Heimerdinger,Tatria,Lucian,Fâùst
5482568088,lose,Ranked Solo,2021-09-29 07:43:53,28m 45s,7,11,12,1.73:1,Double Kill,empty,Taliyah,Diamond 4,empty,Ekko,Light Cat,Xin Zhao,S65,LeBlanc,wincg,Kalista,reform,Yuumi,QJNVJuywetsf,Darius,Fifoko,Lee Sin,PET JANEQ11,Lissandra,DIKU Daddel,Lucian,MurksC,Taliyah,2021Worlds0151
5482603817,win,Ranked Solo,2021-09-29 07:03:56,17m 48s,2,0,6,Perfect,empty,empty,Yuumi,Diamond 4,empty,Irelia,Star is coming,Kindred,Orange Killer,Orianna,DeCypher1,Miss Fortune,The Umbral Star,Yuumi,2021Worlds0151,Camille,DeeDin1,Qiyana,White Whales,LeBlanc,wincg,Kai'Sa,dzc,Rakan,ight
5482559934,win,Ranked Solo,2021-09-29 06:38:19,16m 19s,7,1,10,17.00:1,Double Kill,MVP,Taliyah,Diamond 3,empty,Camille,Pimsench,Diana,on a regular,Yasuo,Schustrich,Caitlyn,pyoa,Taliyah,2021Worlds0151,Cassiopeia,Player1 vs 7BNPC,Nidalee,Chandrahmuki,Zed,cirdeczzz,Miss Fortune,Gahtalkang,Amumu,The Rev Owen
5482474382,win,Ranked Solo,2021-09-29 06:13:57,36m 17s,22,16,13,2.19:1,Double Kill,empty,Taliyah,Diamond 2,empty,Darius,Fifoko,Zac,Agent b,Camille,Thel1ttletiger,Cassiopeia,Vìper1,Pyke,VEOENTCD,Volibear,Kyrie Swervin,Talon,Like a n1nja,Caitlyn,Senkuu 999,Kassadin,Chuánqí Zhànshì,Taliyah,2021Worlds0151
5482366682,win,Ranked Solo,2021-09-29 05:21:16,29m 16s,5,7,23,4.00:1,Double Kill,empty,Bard,Platinum 1,empty,Fiora,Egirl Of Ramzes,Graves,Thats A Pain,Anivia,AweZolf,Miss Fortune,time to give up,Lulu,phat memer,Camille,x9draco,Ekko,D VI BRITANNIA,Orianna,Kuba Kaus,Ezreal,hidden desire,Bard,2021Worlds0151
5482328242,win,Ranked Solo,2021-09-29 04:38:57,29m 16s,0,3,27,9.00:1,empty,empty,Zilean,Diamond 4,empty,Sion,L9 Gandhi,Jarvan IV,Iuquitas,LeBlanc,Hörö Sha,Tristana,ManMath,Bard,DilI Doe,Tryndamere,Dakdraxye,Qiyana,MaG2 Fix,Corki,2021Worlds0158,Vayne,Undercover SnaiL,Zilean,2021Worlds0151
5481443600,lose,Ranked Solo,2021-09-28 08:30:13,26m 49s,3,8,17,2.50:1,Double Kill,empty,Yuumi,Diamond 4,empty,Ornn,Arctial,Nidalee,Mibzson1,Irelia,msfchovy1,Lucian,2021Worlds0150,Yuumi,2021Worlds0151,Camille,Tolkin,Shaco,breaking bad1,LeBlanc,ImStillThinking,Draven,IcelandWalrus,Karma,wow cold
5481393269,lose,Ranked Solo,2021-09-28 07:57:21,3m 17s,0,1,0,0.00:1,empty,empty,Sona,Platinum 1,empty,Yuumi,XorLove1,Taliyah,JesseeEhPuG,Riven,ZAF Nolaskolan,Talon,Karzzy11,Draven,Mοrdred,Aatrox,GS 5,Lee Sin,CocaCola Monster,Graves,Cingordyn,Jhin,iloveyouloveyou,Sona,2021Worlds0151
