gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490383351,lose,Ranked Solo,2021-10-04 07:15:48,25m 39s,3,10,0,0.30:1,empty,empty,Irelia,Master,empty,Akali,HylanDaddy,Kha'Zix,7MDN,Irelia,LNGWIN,Tristana,si yi kai huo,Vel'Koz,Campi0ne,Kled,lssho Fujitora,Jarvan IV,LEO BRICHTA,LeBlanc,Nico Senpaii,Ezreal,Dekkon,Rakan,higidio
5490340782,win,Ranked Solo,2021-10-04 06:43:50,23m 6s,9,4,8,4.25:1,MVP,empty,Singed,Master,empty,Wukong,FeelMyLamppost,Zed,Restless Warrior,Tryndamere,Kodzυken,Ezreal,Νihilitas,Soraka,si yi kai huo,Aatrox,Bobsik,Kha'Zix,KING HAZARKARAVA,Singed,LNGWIN,Sivir,RoxanneV2,Seraphine,Jorba
5490302635,lose,Ranked Solo,2021-10-04 06:12:40,35m 4s,15,15,8,1.53:1,Triple Kill,ACE,Fiora,Master,empty,Fiora,LNGWIN,Talon,Undercover AnT,Anivia,Kodzυken,Lucian,tyberzen,Soraka,si yi kai huo,Wukong,Bobsik,Karthus,deceiving kiss,Yone,Veito,Miss Fortune,Xelar1,Rakan,Martintang3
5490186468,win,Ranked Solo,2021-10-04 05:27:29,27m 26s,12,8,10,2.75:1,Double Kill,empty,Sylas,Master,empty,Malphite,cowkayn,Ekko,Nap1ash,Qiyana,REALWINNINGGUY,Miss Fortune,3811275,Yuumi,Sh3ryto,Sett,has been ages,Kha'Zix,ADD4EL0B0OST,Sylas,LNGWIN,Tristana,Biłl,Rakan,Ethixcy
5489214250,win,Ranked Solo,2021-10-03 23:09:45,27m 57s,8,6,12,3.33:1,Double Kill,empty,Azir,Master,empty,Azir,LNGWIN,Olaf,NightyNN1337,Katarina,43243423sdadf,Lucian,Hadonski,Karma,Noyea,Kassadin,ChristianFather,Lee Sin,ku je ti,Jax,FeelMyLamppost,Miss Fortune,Castanic,Amumu,Raven IV
5488700975,win,Ranked Solo,2021-10-03 10:41:24,32m 34s,10,8,12,2.75:1,Double Kill,MVP,Heimerdinger,Master,empty,Darius,Isombard,Qiyana,TacticaI Rage,Zoe,Bonks,Kai'Sa,Shalven,Rakan,Optronix,Wukong,Shiawase,Shyvana,Stole the Show,Heimerdinger,LNGWIN,Ezreal,CG CHECKFIDER,Poppy,Nayas
5488589157,win,Ranked Solo,2021-10-03 10:03:49,31m 22s,3,9,17,2.22:1,empty,empty,Orianna,Master,empty,Irelia,TOP PETSOKOFTHS ,Rengar,SheldHeda,Orianna,LNGWIN,Draven,sp4cegIid3r,Thresh,1roNN,Ornn,Çöp,Talon,R3ìzy1,LeBlanc,Zherathor,Ashe,LilPun1sher,Janna,Sofia Ellar
5488587225,win,Ranked Solo,2021-10-03 09:23:17,18m 21s,12,3,8,6.67:1,Quadra Kill,empty,Orianna,Master,empty,Warwick,Not ZeroOo,Zac,Selva Difference,Orianna,LNGWIN,Kai'Sa,sp4cegIid3r,Nautilus,ahmet rock,Camille,Çöp,Ekko,Saintsu,Tryndamere,çerez mayonez,Tristana,KaioKen x11,Janna,Te Sale Caro
5488603794,lose,Ranked Solo,2021-10-03 08:55:53,27m 34s,2,12,10,1.00:1,empty,empty,Galio,Master,empty,Tryndamere,çerez mayonez,Master Yi,Dogchamp OTP,Galio,LNGWIN,Draven,WO Wodex,Amumu,YTSearch Hanabi,Urgot,UrgoIncognito,Lee Sin,wincg,Ryze,Karzzy11,Jhin,Un nou început,Karma,SuppUFinancially
5488537727,win,Ranked Solo,2021-10-03 08:18:04,38m 39s,14,11,23,3.36:1,MVP,empty,Azir,Master,empty,Poppy,enemy2good,Diana,Lindbęrg,Qiyana,Ðezton,Lucian,kinda hate it,Yuumi,Opie,Azir,LNGWIN,Nidalee,Eeven,Syndra,ThomasloI,Jinx,1k soon,Lulu,SUDOWOODO IRL
