gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490511595,win,Ranked Solo,2021-10-04 08:51:01,24m 12s,0,3,2,0.67:1,empty,empty,Sett,Diamond 3,empty,Poppy,Im an INTP,Jarvan IV,Ô Ž,Yasuo,ImNotSmurfingEUW,Karthus,HARDSTUCKDIAS10,Rakan,Dragisoo,Sett,La Plata Otter,Rammus,Mr Frogoz,Zoe,Fetzll,Jinx,MłodyZ,Brand,mWjJAnnabelle
5490418312,win,Ranked Solo,2021-10-04 08:04:12,19m 5s,4,2,9,6.50:1,empty,empty,Camille,Diamond 1,empty,Camille,La Plata Otter,Graves,xXSmurf123,Karthus,ΤORMENΤ,Tristana,L1L YACHTY BOII,Rakan,YOshií,Lulu,Hinata Hyuga,Kayn,losers q énjoyer,Anivia,KalbiniSökerim,Ezreal,ENE101,Lux,PatrykKolkiewicz
5490405213,win,Ranked Solo,2021-10-04 07:26:01,16m 0s,3,1,3,6.00:1,MVP,empty,Camille,Diamond 1,empty,Aatrox,yuekai is pig,Fiddlesticks,Guzzie Smurf,Akshan,PPG justapotato,Miss Fortune,abpcxlz,Nami,Boar Sïn Merlin,Camille,La Plata Otter,Graves,IIKassaxII,Syndra,TryArt Clothing,Lucian,Dwritsa Fave ,Lulu,dannipod
5490328923,lose,Ranked Solo,2021-10-04 06:53:42,31m 3s,1,9,8,1.00:1,empty,empty,Yone,Platinum 2,empty,Gwen,dior etsaz,Graves,ASTROWAVE777,Zed,HOLYLAND16,Lucian,nezavisimaa,Nami,PainRikudo84,Shen,ΓΘΝIΝ,Karthus,Kylie Supp Acc,Yone,La Plata Otter,Kai'Sa,tempqfbvdnlqyznr,Bard,SUPERSWAGLORD7
5490245523,lose,Ranked Solo,2021-10-04 06:07:12,22m 0s,2,6,1,0.50:1,empty,empty,Ryze,Platinum 2,empty,Camille,Ta Zai Deng Wo,Shyvana,ASYULUM,Talon,HOLYLAND16,Tristana,nezavisimaa,Lulu,PainRikudo84,Jax,cons1stency ,Wukong,Akryong,Ryze,La Plata Otter,Lucian,Mimler,Nami,Keria Carry
5490198733,win,Ranked Solo,2021-10-04 05:37:27,24m 35s,11,4,6,4.25:1,Double Kill,empty,Camille,Platinum 1,empty,Sion,StoryBoy,Jarvan IV,zhuzhuzhuzhu,Heimerdinger,s2cibela06,Viktor,iraax,Nautilus,Chronicc pains,Camille,La Plata Otter,Karthus,SpenceryYu,Qiyana,Zyjaaa,Miss Fortune,FreeHunter,Annie,HellBot Annie
5490120328,win,Ranked Solo,2021-10-04 04:52:18,23m 51s,3,2,9,6.00:1,empty,empty,Kai'Sa,Diamond 4,empty,Vayne,BigHaveMan,Rek'Sai,Right Leg,Viktor,Poroslevick,Samira,Monkey D Law,Zilean,TheWingMan GG,Irelia,2021Worlds0129,Gragas,Xtekshannaa,Kassadin,Akeedaah,Kai'Sa,La Plata Otter,Janna,FPXzHAO1X11QQXD1
5490084727,lose,Ranked Solo,2021-10-04 04:22:35,28m 34s,4,7,4,1.14:1,Double Kill,ACE,Irelia,Diamond 1,empty,Sett,GOLONDRINO,Graves,SLaYeR Glory01,Twisted Fate,S12WillBeBetter,Jhin,ReAlex,Yuumi,Blitzter,Irelia,La Plata Otter,Sejuani,Janooobi,Anivia,dont dodge plss,Aphelios,QLS Lelouch,Lulu,Lost Song
5487372690,lose,Ranked Solo,2021-10-02 11:44:16,33m 30s,4,6,3,1.17:1,empty,empty,Lee Sin,Diamond 3,empty,Gangplank,fatmandui,Ivern,RCG DenxDe,LeBlanc,wIMay,Lucian,112 Gasiciel Boa,Leona,vabe543,Lee Sin,La Plata Otter,Taliyah,Tarpain Steroids,Tristana,Bulletfire,Caitlyn,temprjrgbhkozwsq,Karma,Qutility
5487351153,lose,Ranked Solo,2021-10-02 10:43:16,23m 39s,2,5,3,1.00:1,empty,empty,Aatrox,Diamond 2,empty,Jax,PepeNASU,Xin Zhao,SMATTERKUNGEN XD,Kassadin,ChangeY0urW0rld,Jinx,Dystopiá,Karma,ForceBeat,Aatrox,La Plata Otter,Elise,a PØG,Irelia,Ethereal,Lucian,Potmacius,Yuumi,FPXzHAO11X1QQXDD
5487278020,lose,Ranked Solo,2021-10-02 10:01:27,27m 46s,3,9,4,0.78:1,empty,empty,Renekton,Diamond 4,empty,Renekton,La Plata Otter,Udyr,Dexui,Malphite,a PØG,Samira,DONT PICK BARD,Rakan,Bot London Gap,Sylas,Sigma Batman,Zed,SimpIest,Riven,Zoo cleaner69,Brand,42345342,Nami,Richbb
5487219111,lose,Ranked Solo,2021-10-02 09:27:52,3m 16s,0,0,0,0.00:1,empty,empty,Aatrox,Diamond 3,empty,Aatrox,La Plata Otter,Nidalee,Hıı,Ekko,KrDjoo,Draven,RNG XIAOWAOLAO,Nami,fjorgina,Janna,MTLK Kiddo,Hecarim,I Am Doaenel,Jax,Zoo cleaner69,Twitch,Can1ski ,Kassadin,Sinerias Mental
5487196718,lose,Ranked Solo,2021-10-02 09:17:04,30m 51s,2,14,4,0.43:1,empty,empty,Irelia,Diamond 4,empty,Aatrox,yuekai is pig,Qiyana,kimchi2,Yasuo,Iarsahan ,Karthus,qqqqqqqqqqqqqqr,Alistar,coinflip laness,Irelia,La Plata Otter,Elise,a PØG,Kayle,Roguexyz,Twitch,42345342,Nami,Richbb
5487232524,win,Ranked Solo,2021-10-02 08:34:49,19m 54s,3,3,3,2.00:1,empty,empty,Sett,Diamond 3,empty,Sett,La Plata Otter,Graves,coinflip laness,Kassadin,Mata seta na,Ezreal,Dendruum,Janna,tempausvposwqjfh,Ornn,me am smart,Poppy,coƒƒee,Irelia,SPAM PING XD,Kai'Sa,Ex3m DEFCON ONE,Brand,Habuzless
5485907936,lose,Ranked Solo,2021-10-01 20:37:09,19m 41s,5,3,1,2.00:1,ACE,empty,Mordekaiser,Diamond 3,empty,Mordekaiser,La Plata Otter,Gwen,tοοshi,Qiyana,sumi,Kai'Sa,NET Kappaccino,Nami,blondinsara,Irelia,Doublebeef,Rek'Sai,ActuallyLetsOpen,LeBlanc,Ser Emta,Draven,Heoly,Thresh,SlightlyTeamdiff
5485317818,win,Ranked Solo,2021-10-01 05:12:58,25m 5s,5,4,6,2.75:1,Double Kill,empty,Sylas,Diamond 4,empty,Sylas,La Plata Otter,Lee Sin,Når,LeBlanc,Davaiii,Miss Fortune,STEVE HARVEY420,Maokai,Ieague of legend,Gnar,TheFudge,Evelynn,gnomgrol,Jayce,nobodyyy,Tristana,Wings of ice,Leona,WoodCutterBro
5485231109,win,Ranked Solo,2021-10-01 04:19:13,23m 39s,6,5,10,3.20:1,empty,empty,Sett,Diamond 4,empty,Sylas,Kassa XD,Nunu & Willump,Neoonek1,Yasuo,HAPPY DEAL,Draven,NeoDie,Braum,Nicest Hyu,Sett,La Plata Otter,Lee Sin,My Life QQ,Katarina,Ilynterv,Lucian,Kelmorios,Janna,yiiugtt
5482722533,lose,ARAM,2021-09-29 08:38:35,23m 36s,11,10,26,3.70:1,Double Kill,empty,Kha'Zix,empty,empty,Sejuani,Endersøn,Orianna,Beki,Xayah,Ranesworth,Ashe,Shrimpit,Azir,Pheonick,Kha'Zix,La Plata Otter,Shaco,Lasjahn1,Lux,Advitil,Caitlyn,VagaBond3,Draven,LC Yuzu
5482711390,win,ARAM,2021-09-29 08:12:33,16m 0s,10,11,24,3.09:1,Triple Kill,empty,Urgot,empty,empty,Akali,Yadex,Lee Sin,Bjussa på skumpa,Draven,El Excelso Noah,Kennen,Eseky,Tristana,LeZeke,Urgot,La Plata Otter,Lux,Yoryo el Broken,Annie,Sakubeatz,Quinn,M45T3R0FD3545T3R,Tryndamere,Shín Chan
5481704069,win,ARAM,2021-09-28 19:48:39,13m 41s,17,4,17,8.50:1,Triple Kill,empty,Aatrox,empty,empty,Ezreal,Galspanor,Amumu,Sightii,Quinn,Nerf Support,Draven,AE86,Nidalee,JACKLANCIENT,Kindred,wow cold,Aatrox,La Plata Otter,Urgot,Bean is back,Mordekaiser,OSVenil,Malphite,5weetBean
