gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5481324317,win,Ranked Solo,2021-09-28 07:12:16,35m 23s,2,3,19,7.00:1,MVP,empty,Amumu,Master,empty,Gangplank,tomem1,Evelynn,Νihilitas,Talon,zozox le trisox,Miss Fortune,0 Death Lilith,Amumu,2021Worlds0048,Aatrox,noroomformyname,Elise,CHOI RAT,Zed,TRASH EUW DOGS ,Lucian,1v9 no chatt,Nami,2021Worlds0057
5481247132,win,Ranked Solo,2021-09-28 06:21:16,29m 38s,3,4,22,6.25:1,MVP,empty,Leona,Diamond 2,empty,Gnar,SSQ Riogun,Diana,2021Worlds0032,Yasuo,SK Canee,Ezreal,Ein the Data Dog,Vel'Koz,Sshun ,Urgot,Booker999,Shaco,Prοtagonist,Kassadin,AngeΙ,Lucian,xXMENINOXx69,Leona,2021Worlds0048
5464973005,lose,Ranked Solo,2021-09-18 02:33:06,25m 47s,0,5,6,1.20:1,empty,empty,Xin Zhao,Diamond 1,empty,Jayce,RXBXCXP,Xin Zhao,2021Worlds0048,Gwen,Adorable N1 Fan,Veigar,ANDASMILEY,Rakan,F1kOwO,Volibear,TwTv Rocklho,Trundle,Koold,Yone,sqep,Kayle,styropianzserem,Yuumi,STRUZ PRAWA 997
5464879346,win,Ranked Solo,2021-09-18 01:54:58,16m 24s,3,2,3,3.00:1,empty,empty,Xin Zhao,Diamond 1,empty,Camille,TearsOfCamille,Karthus,2021Worlds0024,Irelia,Fade7,Kindred,Cast,Zilean,Sliapmots,Gwen,Adorable N1 Fan,Xin Zhao,2021Worlds0048,Zoe,Alþhinaud,Caitlyn,OverKillHao,Ashe,SiemaTuBoczek
5464914503,win,Ranked Solo,2021-09-18 01:26:29,22m 14s,11,5,8,3.80:1,Double Kill,empty,Jarvan IV,Diamond 4,empty,Sett,2Spooky4Mo,Viego,tadao ling,Lucian,Peponaki,Ziggs,lllllIllIllllIll,Bard,Mμhαmmαd Ali,Gwen,Adorable N1 Fan,Jarvan IV,2021Worlds0048,Yone,justin221,Draven,FNC Upset13,Thresh,FNC Hylissangg
5464893095,lose,Ranked Solo,2021-09-18 00:54:15,3m 20s,0,0,0,0.00:1,empty,empty,Sejuani,Diamond 3,empty,Fiora,Adorable N1 Fan,Sejuani,2021Worlds0048,Qiyana,Minjang,Draven,kcen flesru,Leona,lllllIllIllllIll,Zac,Zachy,Viego,kom sug broshan,Rumble,Silenceuuu 3,Aphelios,FNC Upset13,Braum,FNC Hylissangg
5464840544,win,Ranked Solo,2021-09-18 00:42:16,22m 22s,0,1,9,9.00:1,empty,empty,Jhin,Diamond 1,empty,Riven,VEG Keysie,Taliyah,Whiskey553,Ezreal,Mikrobiuke,Sona,im going nowhere,Amumu,Mμhαmmαd Ali,Gragas,Raxes,Viego,Gaël Clichy,Gwen,Adorable N1 Fan,Jhin,2021Worlds0048,Pyke,MartHR1
5464638429,win,Ranked Solo,2021-09-17 23:04:54,36m 7s,9,9,20,3.22:1,Double Kill,empty,Trundle,Diamond 1,empty,Zoe, Ké K O ,Trundle,2021Worlds0048,Tryndamere,InspiredByChovy,Kai'Sa,Yuukaka,Amumu,FA7E,Sion,Foredecapuuu,Zed,ΔEAΤHMΑΡKEΔ,Ekko,me coinflip lv3,Draven,ALFASPIRATEUR,Zac,Paulyeah
5464670842,lose,Ranked Solo,2021-09-17 22:15:11,44m 13s,8,10,15,2.30:1,Double Kill,empty,Xin Zhao,Diamond 1,empty,Gnar,HGS Kalle,Xin Zhao,2021Worlds0048,Karthus,Ηans Zimmer,Seraphine,HGS Kappa Prise,Soraka,ZackyWackyxD,Aatrox,Stínna,Rammus,FA7E,Kennen,Xaymiar,Jinx,hi im goku VN,Thresh,Martintang3
5464606913,win,Ranked Solo,2021-09-17 21:18:22,31m 17s,6,3,13,6.33:1,Double Kill,empty,Xin Zhao,Diamond 3,empty,Kennen,Xaymiar,Xin Zhao,2021Worlds0048,Ahri,Gedint Lunder,Twitch,NS23,Nautilus,I am Roo,Fiora,piekłø,Talon,CHEESEBURGER69,Vladimir,617029152,Kai'Sa,GNIK9zz,Karma,Wenananelis
5464297050,win,Ranked Solo,2021-09-17 09:08:28,21m 48s,2,4,7,2.25:1,empty,empty,Twisted Fate,Diamond 3,empty,Tahm Kench,Xarathos,Kayn,ill Nam,Twisted Fate,2021Worlds0048,Vayne,Diamond Andy,Sona,Virdemis,Camille,Handjobs,Karthus,Luminous Insight,Syndra,Moniannat,Yasuo,fkin gonzales,Sett,Bãł Ąšhª
5464097108,win,Ranked Solo,2021-09-17 06:16:22,38m 36s,11,7,20,4.43:1,empty,empty,Xin Zhao,Diamond 2,empty,Heimerdinger,RealWally,Nunu & Willump,Ali Koksal,Akshan,Shuoezlin,Vladimir,LegitvirginIRL,Alistar,Wildcards1,Jax,Lewarr,Xin Zhao,2021Worlds0048,Ryze,Scopes heh,Twitch,Seiju,Bard,zapp
5464032876,win,Ranked Solo,2021-09-17 05:30:54,30m 59s,7,3,11,6.00:1,empty,empty,Trundle,Diamond 2,empty,Kayle,can i mua u,Olaf,Cest pas moa,Ahri,LE BLACHØN,Aphelios,Apex Vayne,Lux,Janna Terrorist ,Jax,Æ7X,Trundle,2021Worlds0048,Vel'Koz,Bogoss masqué ,Jhin,En bas Ia ,Amumu,Allyjee
5464003994,lose,Ranked Solo,2021-09-17 04:37:08,19m 56s,2,9,9,1.22:1,empty,empty,Amumu,Platinum 1,empty,Camille,STRONGEST MENTAL,Nidalee,unvaccinated jgl,Qiyana,DDaniiii,Lucian,baxcxasd,Zyra,LalleStorballe,Kayle,BlAcKViRuuZ,Rengar,HugoSlash,Sylas,Headhunter 1,Ezreal,Tikaani,Amumu,2021Worlds0048
5463879576,win,Ranked Solo,2021-09-17 04:09:59,22m 50s,2,3,11,4.33:1,empty,empty,Amumu,Diamond 4,empty,Gragas,League of Mental,Nidalee,unvaccinated jgl,Qiyana,DDaniiii,Ezreal,STRONGEST MENTAL,Rakan,LalleStorballe,Fiora,Adorable N1 Fan,Zed,tempsibvbnactnky,Nunu & Willump,Nobreak9,Kai'Sa,grey kda demon,Amumu,2021Worlds0048
5463247937,lose,Ranked Solo,2021-09-16 20:50:49,27m 4s,3,7,12,2.14:1,Double Kill,empty,Amumu,Diamond 4,empty,Gwen,Modri32 ,Rengar,rictiq,Yone,EzKappaxd,Kog'Maw,prince depth,Yuumi,BurgerFIipper420,Camille,Sceptile,Nunu & Willump,Daywaker,Zed,Mid pls,Soraka,JasonUseless,Amumu,2021Worlds0048
5462741523,lose,Ranked Solo,2021-09-16 07:33:38,28m 43s,0,10,9,0.90:1,empty,empty,Lulu,Platinum 2,empty,Fiora,307999,Karthus,TwTV 0kapilol,Talon,fkin gonzales,Vayne,Jordy Polsiak,Lulu,2021Worlds0048,Camille,617029152,Jarvan IV,cheshire xo,Pyke,ARTYSTA Z BLIZNĄ,Kog'Maw,reducer123,Nautilus,Sisej
5462588650,lose,Ranked Solo,2021-09-16 06:59:51,27m 49s,0,3,10,3.33:1,empty,empty,Kennen,Diamond 4,empty,Kennen,2021Worlds0048,Jarvan IV,DaddyAt 23,Qiyana,DÄMONEN,Draven,khanzir slayer,Nautilus,Churrascow,Illaoi,DoktorPtfy198,Nunu & Willump,Daywaker,Yone,BlueBeast,Ezreal,uAFKuGAY,Maokai,Death by plants
5462539945,lose,Ranked Solo,2021-09-16 06:02:16,30m 2s,3,7,17,2.86:1,empty,empty,Ezreal,Diamond 4,empty,Irelia,1onian blade,Rengar,everything to me,LeBlanc,ZoIUIoZ,Twitch,FNC Upset13,Rakan,FNC Hylissangg,Aatrox,WoBuNengShu,Evelynn,Midłane Goku,Zed,kunkunde,Ezreal,2021Worlds0048,Leona,Princess Dove
5462521640,lose,Ranked Solo,2021-09-16 05:09:42,32m 11s,5,8,13,2.25:1,ACE,empty,Pantheon,Diamond 4,empty,Urgot,Vulpes2k5,Xin Zhao,HamzaReıs,Cassiopeia,Kwump,Yasuo,Obitoˇ,Zilean,Pax666,Gangplank,Tom And His Dong,Ekko,shy baka admirer,Kayle,ßoshi,Tristana,boycott nestle,Pantheon,2021Worlds0048
5461535215,lose,Ranked Solo,2021-09-15 07:46:29,32m 32s,1,7,16,2.43:1,empty,empty,Braum,Platinum 1,empty,Kayle,KAPPAMAN XD,Viego,tempsibvbnactnky,Yasuo,Immortuttu,Sivir,Aivovammainen,Braum,2021Worlds0048,Yone,Alur1,Jarvan IV,cheshire xo,Pyke,ARTYSTA Z BLIZNĄ,Draven,idk random name,Soraka,Pipera Import
5461470837,win,Ranked Solo,2021-09-15 06:58:56,34m 20s,1,7,20,3.00:1,empty,empty,Braum,Diamond 3,empty,Malphite,Chuwi,Viego,Jiah,Ryze,Immortuttu,Kai'Sa,gas botlane,Thresh,djpeter2007,Kled,Lemouaede,Xin Zhao,tempsibvbnactnky,Zoe,TCG Coja,Lucian,Yuukaka,Braum,2021Worlds0048
5461451026,lose,Ranked Solo,2021-09-15 06:02:29,35m 9s,1,5,15,3.20:1,empty,empty,Karma,Diamond 3,empty,Fiora,2148418519,Kayn,Barid Fang,Vladimir,ISydowI,Miss Fortune,viper aggression,Bard,krokodeale,Renekton,ForsenTuckFrump,Lee Sin,BARYON Aegis,LeBlanc,ƒallεn angel,Ezreal,Reformed KataM,Karma,2021Worlds0048
5461324884,lose,Ranked Solo,2021-09-15 05:12:39,27m 44s,4,4,8,3.00:1,Double Kill,empty,Sejuani,Diamond 4,empty,Akshan,ya girl is mine,Jarvan IV,2021Worlds0024,Twisted Fate,nemesìs fanboi,Kai'Sa,ΗoYeon Jung,Leona,Jordy Polsiak,Sett,Devil Haru,Sejuani,2021Worlds0048,Talon,wwlvdy,Seraphine,Qzmicz,Morgana,VPE Cepelinas
5461209374,lose,Ranked Solo,2021-09-15 04:29:34,21m 36s,1,6,3,0.67:1,ACE,empty,Karma,Diamond 3,empty,Gragas,WGD,Xin Zhao,KíttenLord,Viktor,998 DUSTY,Kog'Maw,ΗoYeon Jung,Karma,2021Worlds0048,Garen,twtv Nanelol,Lee Sin,delusional shido,Twisted Fate,B99 PERALTHAR,Twitch,SMS,Lulu,A C IIyLLIKuH
5461203904,lose,Ranked Solo,2021-09-15 03:55:10,24m 4s,1,9,10,1.22:1,empty,empty,Alistar,Diamond 3,empty,Wukong,Skaarl Rule34,Kha'Zix,twtv Nanelol,Graves,NU SUNT DEPRESIV,Samira,ΗoYeon Jung,Alistar,2021Worlds0048,Tryndamere,What is Lethani,Viego,dazur duzur,Yone,Disray,Veigar,crusader 904,Janna,lIllllIllllIlllI
5461164939,win,Ranked Solo,2021-09-15 03:01:17,29m 28s,3,1,21,24.00:1,MVP,empty,Alistar,Diamond 4,empty,Ornn,Nucra,Viego,Moms Favourite,Kog'Maw,Dads Favourite,Draven,7945646841564,Nautilus,Ćhooi,Heimerdinger,dongr,Karthus,smoking chicha,Yone,L01 Eren1,Kai'Sa,friendly player1,Alistar,2021Worlds0048
