gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490390016,lose,Ranked Solo,2021-10-04 08:20:24,23m 58s,10,7,3,1.86:1,Double Kill,ACE,Tryndamere,Diamond 1,empty,Fiora,yuekai is pig,Kindred,baby yAo,Seraphine,Desperate Neeko,Lucian,Teriboll,Rakan,Mater D0kai,Tryndamere,iceland0,Shyvana,sylvemadness,Karma,Sultan Fomko,Ezreal,Astro Lexo,Pyke,cansadx
5487588607,lose,Ranked Solo,2021-10-02 21:20:53,19m 8s,1,5,3,0.80:1,empty,empty,Senna,Diamond 1,empty,Kennen,Leapfrogger,Lee Sin,aaaaaabbbbbb,Yasuo,UC 1v9,Twitch,uMxM01,Senna,iceland0,Dr. Mundo,Hâmdi,Jarvan IV,DreamsComeTrue,Ryze,PCS Tazad,Caitlyn,fat woe,Amumu,mvp or ace
5487622943,win,Ranked Solo,2021-10-02 20:51:36,29m 36s,10,12,14,2.00:1,empty,empty,Sylas,Diamond 2,empty,Gwen,ßen Hargreevęs,Lee Sin,aaaaaabbbbbb,Yone,UC 1v9,Kai'Sa,Nonaaaax,Galio,Cσntrolled,Camille,Leapfrogger,Zac,dodged on sight,Sylas,iceland0,Yasuo,ASP Ceddy,Amumu,kakosicekGG
5487220936,lose,Ranked Solo,2021-10-02 08:17:16,23m 44s,9,9,0,1.00:1,ACE,empty,Camille,Diamond 3,empty,Camille,iceland0,Shaco,eden094,Veigar,CaII me Dan,Jhin,verticalzz,Senna,YMGPFMD,Garen,SandOfAcee,Qiyana,asyc is a dog,Viktor,iyapaq,Lucian,onii chan uwuu,Blitzcrank,Lucy Ford
5486271986,lose,Ranked Solo,2021-10-02 01:46:38,27m 40s,12,5,2,2.80:1,Double Kill,ACE,Camille,Diamond 1,empty,Camille,iceland0,Diana,Ånger Management,Yasuo,Q spammer,Draven,take a moment,Thresh,Monin,Jayce,BEST RIVEN PT,Rek'Sai,Schnørres,Katarina,Erisu,Vayne,TheLuckerTony,Xerath,i need 300 euro
5486153778,lose,Ranked Solo,2021-10-02 00:44:40,33m 24s,9,13,4,1.00:1,Double Kill,ACE,Irelia,Diamond 1,empty,Akshan,BLBLBLBLBL ,Diana,TT RTX,Irelia,iceland0,Ezreal,Real Botcuk,Yuumi,Rakao,Ornn,Kaisao,Nocturne,SakisOAplitos,Fizz,TIOPGM,Jhin,DJany,Soraka,Broeki Troll
5485556328,lose,Ranked Solo,2021-10-01 08:38:56,27m 40s,19,9,2,2.33:1,Penta Kill,empty,Samira,Master,empty,Trundle,FrankenFrann,Jarvan IV,BYG Doggo ,Zoe,2021Worlds0019,Lucian,RoxanneV2,Nami,LanPeiFang,Singed,LevelZeroFangirl,Lee Sin,Akugyo,Akshan,Łet none survive,Samira,iceland0,Rakan,qqwwqqww
5483866181,lose,Ranked Solo,2021-09-30 03:24:07,22m 5s,4,7,2,0.86:1,empty,empty,Camille,Master,empty,Camille,iceland0,Taliyah,qqwwqqww,Gragas,snKarma,Miss Fortune,UK ADC SHEEESH,Bard,Aho Baka,Aatrox,Aushlia,Nidalee,1v9wheneveriwąnt,Talon,ur disgusting,Draven,headpat me uwu,Amumu,GNLGNL
5483779309,win,Ranked Solo,2021-09-30 02:49:01,26m 7s,14,5,7,4.20:1,Double Kill,empty,Yone,Diamond 1,empty,Sett,Ruined Kîng,Nunu & Willump,Gusar ayy,Gangplank,Skye Sunday,Varus,maxi tacos,Xerath,Zednédine Zedane,Yone,iceland0,Lillia,qqwwqqww,Wukong,Godux,Ezreal,headpat me uwu,Yuumi,IlIIllIIIlllIIlI
5482580186,lose,Ranked Solo,2021-09-29 08:10:53,33m 50s,12,9,7,2.11:1,Double Kill,empty,Aphelios,Diamond 1,empty,Urgot,111ll111ll,Lillia,SLARDAR KINGDOM,Akali,RKT Maςaquiñø,Aphelios,iceland0,Thresh,qqwwqqww,Ornn,woshidoinb,Riven,NinaAnnaJenny,Ryze,woshilqs,Lucian,ANDARlEL,Nami,BR0LIA
