gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5469573057,win,Ranked Solo,2021-09-22 23:08:55,24m 54s,12,3,4,5.33:1,Double Kill,empty,Fizz,Diamond 4,empty,Darius,경기도성남시종합,Nunu & Willump,누누십니까,Ekko,Mr tarmoman,Jhin,SNU,Karma,국대 벨코즈,Aatrox,llbyll열메,Kha'Zix,FA XXXD,Fizz,IIIllIlIllIIlIII,Lucian,you can fly,Zyra,크리스피롤좋아여
5469483797,lose,Ranked Solo,2021-09-22 22:33:37,35m 20s,6,5,4,2.00:1,Double Kill,empty,Cho'Gath,Diamond 4,empty,Cho'Gath,IIIllIlIllIIlIII,Rek'Sai,Structure,Garen,유니겅듀,Ezreal,조 미 녘,Bard,Uiul,Poppy,주병력,Jarvan IV,마스터 찍고 버림,Sylas,범열이다,Vayne,동작그만갱킹이냐,Lux,DEOE
5469387611,lose,Ranked Solo,2021-09-22 21:48:30,18m 36s,1,7,4,0.71:1,ACE,empty,Karma,Diamond 4,empty,Tahm Kench,쉔드백 제자,Nidalee,Ia da dee,Yone,던치던,Ezreal,yureka,Nami,니니유니,Kled,김선생어디가요,Lee Sin,상처없는밤은없다,Karma,IIIllIlIllIIlIII,Vayne,너가좋아나도좋아,Amumu,그마작
5469286902,lose,Ranked Solo,2021-09-22 21:14:52,33m 3s,7,9,6,1.44:1,Double Kill,ACE,Ziggs,Diamond 4,empty,Irelia,망구리구링,Shaco,이게임망햇네,Ziggs,IIIllIlIllIIlIII,Yasuo,건들면존1나팸,Alistar,다이브치자,Garen,날아라 레옹,Fiddlesticks,섀 이,Talon,zzeerroo,Miss Fortune,님빈구,Amumu,화려한 스텝
5468616785,lose,Ranked Solo,2021-09-22 18:31:23,28m 12s,6,8,3,1.13:1,empty,empty,Fizz,Diamond 4,empty,Renekton,채팅손절친사람,Vi,역최남,Annie,우리어머니1111,Miss Fortune,강아훈,Pantheon,여눈각1,Sett,행복한나날이길,Nidalee,정글인권개선반,Fizz,IIIllIlIllIIlIII,Ezreal,걱정마 안 져,Braum,노르스름 할짝
5468409745,lose,Ranked Solo,2021-09-22 17:08:28,28m 59s,16,6,3,3.17:1,Double Kill,empty,Fizz,Diamond 3,empty,Jayce,짜 저,Graves,저 되게간절해요,Fizz,IIIllIlIllIIlIII,Lucian,수지 유원선,Karma,이거보면 미니맵,Aatrox,Rkaps,Zac,탑신병자새귀,Yone,칼을 든 죄,Kai'Sa,새싹 피고 지듯이,Vel'Koz,갇크스
5468401594,win,Ranked Solo,2021-09-22 16:27:48,25m 51s,5,3,6,3.67:1,empty,empty,Aatrox,Platinum 1,empty,Akali,야 세이버 넣을게,Viego,삐에꼬,Orianna,진짜 정신병,Jhin,기믄교,Lulu,야 콩,Maokai,이징지,Fiddlesticks,팀못하면가렌정글,Aatrox,IIIllIlIllIIlIII,Samira,배치부터 다이아,Rell,명불허전우리팀
5468334097,lose,Ranked Solo,2021-09-22 15:44:02,16m 5s,3,4,1,1.00:1,Double Kill,empty,Aatrox,Diamond 4,empty,Maokai,carpain,Nocturne,AnimeTion,Corki,헨맹2,Kai'Sa,원딜은왜존재하지,Leona,갱 나,Aatrox,IIIllIlIllIIlIII,Lee Sin,원빈이는짱이야,Kayle,시나몬초코쿠키,Miss Fortune,피하면서때림,Amumu,Mortt
5467209814,lose,Ranked Solo,2021-09-22 00:35:43,24m 10s,3,6,1,0.67:1,empty,empty,Tryndamere,Platinum 1,empty,Yone,불구경 장인,Ekko,beyond time,Galio,귀여운뭉몽이,Samira,1분30초 데프트,Pyke,여챔안함,Garen,땅콩안주,Taliyah,5목눈이,Tryndamere,IIIllIlIllIIlIII,Miss Fortune,별 수호자 최대한,Karma,외거노비 근영
5467170974,win,Ranked Solo,2021-09-21 23:49:07,23m 7s,1,6,2,0.50:1,empty,empty,Ekko,Diamond 4,empty,Xin Zhao,김스빈,Viego,KoR Traveler,Orianna,뇽빈갓,Vayne,KR AD 05,Alistar,민초알리,Riven,탑온대매,Olaf,링디기딩디,Ekko,IIIllIlIllIIlIII,Ezreal,44990077,Soraka,야옹할꼬얌
