gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5487702137,win,Ranked Solo,2021-10-02 21:55:05,20m 59s,5,2,6,5.50:1,Double Kill,empty,Tryndamere,Master,empty,Tryndamere,Leapfrogger,Graves,KENNETGOD99,LeBlanc,Cohle7,Yasuo,Kyzard,Nami,Nidalee is uwu,Jax, Wö Ňen Ðiê,Lee Sin,Areels2,Katarina,Erisu,Vayne,Zeniv     ,Lulu,Haeryung
5487588607,lose,Ranked Solo,2021-10-02 21:20:53,19m 8s,0,6,1,0.17:1,empty,empty,Kennen,Diamond 1,empty,Kennen,Leapfrogger,Lee Sin,aaaaaabbbbbb,Yasuo,UC 1v9,Twitch,uMxM01,Senna,iceland0,Dr. Mundo,Hâmdi,Jarvan IV,DreamsComeTrue,Ryze,PCS Tazad,Caitlyn,fat woe,Amumu,mvp or ace
5487622943,win,Ranked Solo,2021-10-02 20:51:36,29m 36s,10,6,11,3.50:1,Double Kill,MVP,Camille,Diamond 2,empty,Gwen,ßen Hargreevęs,Lee Sin,aaaaaabbbbbb,Yone,UC 1v9,Kai'Sa,Nonaaaax,Galio,Cσntrolled,Camille,Leapfrogger,Zac,dodged on sight,Sylas,iceland0,Yasuo,ASP Ceddy,Amumu,kakosicekGG
5487221140,win,Ranked Solo,2021-10-02 08:11:47,16m 22s,4,5,3,1.40:1,empty,empty,Gwen,Diamond 1,empty,Renekton,Yeelord,Kha'Zix,LaddLåffe,Katarina,car crashh,Ziggs,kristút,Galio,Postkassen,Gwen,Leapfrogger,Qiyana,qqwwqqww,Sylas,BEST RIVEN PT,Jhin,CLG Chauster,Rakan,CLG EIementz
5486222293,lose,Ranked Solo,2021-10-02 01:27:28,16m 44s,3,3,1,1.33:1,empty,empty,Poppy,Master,empty,Yone,FTY Nox,Nidalee,Spray x,Gragas,GRimSLaughing,Jinx,CLG Chauster,Thresh,CLG EIementz,Poppy,Leapfrogger,Lillia,qqwwqqww,Akali,HHH    0     HHH,Draven,SAe Chryssey,Amumu,duye
5486185412,win,Ranked Solo,2021-10-02 00:47:45,16m 35s,2,2,2,2.00:1,empty,empty,Renekton,Diamond 1,empty,Renekton,Leapfrogger,Taliyah,qqwwqqww,Vladimir,BIeed for me,Draven,Tamara Lautari,Nami,qwerasdfzxcbvcxz,Graves,Nice Guy Ben,Master Yi,Sinerias Mental,Lulu,LiVERPASTEADDiCT,Samira,Saye TWELVE,Nautilus,SiMajk
5486210539,lose,Ranked Solo,2021-10-02 00:23:35,25m 40s,2,7,5,1.00:1,empty,empty,Tryndamere,Diamond 1,empty,Graves,Mohe dance hall,Nunu & Willump,AimlessEquation,Vladimir,BIeed for me,Lucian,RedHeads 0nly,Nami,TànyaTheMadness,Tryndamere,Leapfrogger,Zed,qqwwqqww,Ryze,smurfingisboring,Draven,take a moment,Amumu,WKR Sirmake
5485921474,win,Ranked Solo,2021-10-01 21:04:02,27m 33s,6,3,15,7.00:1,Triple Kill,empty,Poppy,Diamond 2,empty,Sett,ShuoSanJiuSan,Rek'Sai,Flaming angel,Sylas,solateissour,Kalista,JACKEYLOVE1,Thresh,roy purdy1,Poppy,Leapfrogger,Talon,tempsjgjlgslchok,Yone,Twtv levies1,Ziggs,qqwwqqww,Janna,Desiru
5485855462,win,Ranked Solo,2021-10-01 19:50:32,25m 13s,5,1,5,10.00:1,empty,empty,Poppy,Master,empty,Lillia,Hi Plum Here,Evelynn,3435 UwU,Irelia,rdmt,Lucian,Corki Azir,Rakan,FPG Piggy,Poppy,Leapfrogger,Nidalee,qqwwqqww,Sett,Loosen Up,Twitch,Can1ski ,Pyke,MegumiNx
5484624960,lose,Ranked Solo,2021-09-30 20:38:25,22m 8s,5,5,6,2.20:1,empty,empty,Kennen,Diamond 1,empty,Kennen,Leapfrogger,Rengar,päikkärit,Sylas,qqwwqqww,Caitlyn,Whx are you,Morgana,blonde mina,Fiora,lennylennylenny,Ekko,OnerKING,Garen,DJ SWAGPANTS,Yasuo,YellowMoonkey,Gragas,Frère de Narkuss
5484711173,lose,Ranked Solo,2021-09-30 20:09:30,16m 8s,2,6,0,0.33:1,empty,empty,Sett,Master,empty,Camille,WildShadow,Karthus,RafaL0L,Tryndamere,Rinky V2,Kai'Sa,tempvjmkecfnmrfd,Amumu,akiri1,Sett,Leapfrogger,Lee Sin,Polish LeBron,LeBlanc,Mohe dance hall,Ezreal,7zr,Vel'Koz,IveGotgoodVibes
5484117646,win,Ranked Solo,2021-09-30 05:36:16,26m 8s,4,4,10,3.50:1,empty,empty,Kennen,Master,empty,Kennen,Leapfrogger,Nidalee,qqwwqqww,Yasuo,Yikes a Yas Main,Draven,scrxptlxss,Amumu,Deffaren,Fiora,LNGLNGLNG,Lee Sin,S11Tian,Sylas,HeIsinki,Kai'Sa,Me dash me int,Seraphine,Zekorysama
5484100683,win,Ranked Solo,2021-09-30 04:54:29,24m 11s,8,1,5,13.00:1,empty,empty,Sett,Diamond 2,empty,Sett,Leapfrogger,Nidalee,ThorfinKarlsefni,Qiyana,Wateryheart,Lucian,Ronald1nhoGaucho,Morgana,ayaka wanter,Tryndamere,yuekai is pig,Rengar,LEGALLY INSANE,Ekko,HIGH CLASS GYPSY,Miss Fortune,2021Worlds0150,Nami,Tydeus
