gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490041500,lose,URF,2021-10-03 16:00:16,16m 45s,6,12,6,1.00:1,empty,empty,Aatrox,empty,empty,Shaco,둠조선,Syndra,에픽뚠,Fizz,주워보니 금도끼,Aatrox,UMA PUI PUI,Lee Sin,한강 지금 18도,Sylas,바가씨,Shyvana,에그mong,Shaco,사무슨 키무산스,Twitch,팀원을 지켜라,Malphite,leessin장인
5489974040,lose,Flex 5:5 Rank,2021-10-03 15:39:05,30m 29s,4,11,0,0.36:1,empty,empty,Vayne,Gold 3,empty,Fiora,시간여행가,Nocturne,pray ane,Zed,경 적 필 패,Vayne,UMA PUI PUI,Lulu,다표식,Mordekaiser,2 과,Kayn,ewirjipaewj,Ahri,공쥬뚜아,Ezreal,LSY  236,Soraka,단순하고좋은닉
5489917467,lose,Flex 5:5 Rank,2021-10-03 14:58:48,25m 24s,7,11,2,0.82:1,Double Kill,ACE,Lee Sin,Gold 2,empty,Fiora,시간여행가,Lee Sin,UMA PUI PUI,Anivia,경 적 필 패,Ezreal,아크상향기원,Leona,지저분한인생,Tahm Kench,욕 하지 않습미친,Talon,사과짱,Vex,30초에드간다고,Jinx,곡갱히,Blitzcrank,쁘띠첼홍삼푸딩
5489894628,lose,URF,2021-10-03 14:23:56,12m 46s,8,10,1,0.90:1,empty,empty,Orianna,empty,empty,Kayn,헌 E,Kai'Sa,푸택시,Xerath,열 진,Nasus,프랭크뮬러,Twitch,암 덕,Thresh,멋있는존슨,Caitlyn,뀨러기,Orianna,UMA PUI PUI,Bard,경 적 필 패,Kassadin,시간여행가
5489881750,lose,URF,2021-10-03 14:07:28,17m 44s,24,13,2,2.00:1,Quadra Kill,empty,Lucian,empty,empty,Kai'Sa,즐기자마인드,Ezreal,잎세주,Rumble,주취자신고119,Lux,탄약고초소,Morgana,꽁 꼼,Anivia,똥파리유미,Gwen,엠씨더흔들,Lucian,UMA PUI PUI,Gragas,경 적 필 패,Blitzcrank,시간여행가
5489737960,lose,URF,2021-10-03 13:46:26,21m 23s,15,17,8,1.35:1,Triple Kill,empty,Akali,empty,empty,Kayn,쥔 갓,Senna,원룸 동아리,Blitzcrank,떨고 있구나,Taric,내가 두렵느냐,Vex,Edward6162,Ekko,샤코만하는아이디,Akali,UMA PUI PUI,Rammus,경 적 필 패,Twitch,시간여행가,Miss Fortune,데스 많이 안해요
5489646056,win,URF,2021-10-03 13:20:55,19m 20s,15,15,6,1.40:1,Triple Kill,empty,Kai'Sa,empty,empty,Fiora,머머리리리,Morgana,윈터 gongxi,Kai'Sa,UMA PUI PUI,Warwick,시간여행가,LeBlanc,이핵구,Bard,nc130층 오너,Master Yi,zi존김과장,Kayn,승연콜라,Twitch,illbon,Jhin,초코귀염둥이방탄
5488923271,lose,Flex 5:5 Rank,2021-10-03 00:10:23,33m 8s,6,12,3,0.75:1,ACE,empty,Fiora,Gold 2,empty,Fiora,UMA PUI PUI,Nidalee,경 적 필 패,Irelia,sugarhillganz,Ezreal,시간여행가,Poppy,건 드,Jayce,카 마,Elise,쵸 치,Akshan,운명을바꾸는남자,Miss Fortune,황금올리브닭다리,Thresh,우치하 조유리
5488835257,lose,URF,2021-10-02 23:19:56,21m 28s,8,15,5,0.87:1,Double Kill,empty,Yone,empty,empty,Graves,이번시즌윽빡이함,Fiddlesticks,대나무 헬리곱터,Nocturne,뉘엄마미역국,Draven,명박오빠지지파티,Vayne,난게이템절대안가,Ezreal,기무찌연,Kai'Sa,강병국의 편지,Yone,UMA PUI PUI,Braum,경 적 필 패,Malphite,시간여행가
5488761902,win,URF,2021-10-02 22:54:46,19m 33s,20,20,7,1.35:1,Triple Kill,empty,Kayn,empty,empty,Malphite,나텐리아,Vladimir,MOTT,Sylas,굄물주l,Evelynn,EternalRose,Yorick,지지랑이다,Jayce,BlossomKyong,Lee Sin,         polUloq,Kayn,UMA PUI PUI,Blitzcrank,경 적 필 패,Nunu & Willump,시간여행가
5488667924,win,URF,2021-10-02 22:32:19,15m 55s,20,9,3,2.56:1,Triple Kill,empty,Ezreal,empty,empty,Zyra,Dotaman,Ezreal,UMA PUI PUI,Tristana,경 적 필 패,Jinx,시간여행가,Twisted Fate,애기유석,Ryze,이쿠다,Tristana,던질꺼면 누누로,Ezreal,JJanguJJang,Gangplank,우야몬좋노,Teemo,중고나라국제미아
5488684228,win,URF,2021-10-02 22:12:47,11m 50s,2,2,15,8.50:1,empty,empty,Yuumi,empty,empty,Yuumi,UMA PUI PUI,Urgot,경 적 필 패,Ezreal,트롤장인홍근,Alistar,시간여행가,Talon,kk564,Yuumi,회 임,Camille,오늘이가장젊은날,Nasus,쁘띠영웅,Senna,아이다나나,Jhin,뚝딱띄
5488700487,lose,URF,2021-10-02 21:57:51,14m 13s,7,13,5,0.92:1,empty,empty,Tryndamere,empty,empty,Tryndamere,UMA PUI PUI,Riven,4픽미드,Yorick,시간여행가,Kha'Zix,테슬라주식보유자,Wukong,넌발로해도이김,Fiora,으라하마,Taliyah,고아새끼죽인다,Ezreal,I여자친구Forever,Lee Sin,이야기 백과사전,Kalista,D점멸 혼내준다
5488635626,lose,URF,2021-10-02 21:40:29,16m 28s,16,16,8,1.50:1,Double Kill,empty,Kog'Maw,empty,empty,Zed,Forgodsake,Kog'Maw,UMA PUI PUI,Twisted Fate,잉깅정,Volibear,시간여행가,Lux,20 GG수고,Sett,나나나냐,Wukong,리치레드운,Kai'Sa,제주똥돼지,Miss Fortune,엄마아빠이모삼촌,Rammus,엄마아빠할미할배
5488641188,win,URF,2021-10-02 21:19:48,16m 5s,14,9,7,2.33:1,Double Kill,empty,Vex,empty,empty,Leona,at Gracie,Samira,깜찍하노,Malphite,오우아오,Kayn,장인 롤쟁이,Evelynn,육회한판,Zed,정글정말못함,Vex,UMA PUI PUI,Riven,개트롤망나니,Singed,시간여행가,Jax,낙타소녀
5488327139,win,URF,2021-10-02 19:59:19,17m 21s,21,9,7,3.11:1,Penta Kill,empty,Xayah,empty,empty,Xayah,UMA PUI PUI,Jhin,킹 익,Master Yi,달달하게갑시다,Warwick,시간여행가,Yuumi,세뇌최면,Lee Sin,안달난 남자,Rumble,톨레톨레,Fizz,야 김복순,Shaco,The우진,Nidalee,유지훈의 뇌지컬
5488382498,win,URF,2021-10-02 19:36:47,18m 37s,18,10,16,3.40:1,Triple Kill,empty,Xerath,empty,empty,Jinx,결국다시메딕몬,Katarina,포항큐티가이,Warwick,전형적인탑솔러,Kindred,에필레어,Master Yi,갹오전문,Master Yi,kimchimanI,Xerath,UMA PUI PUI,Udyr,족제비007,Brand,시간여행가,Blitzcrank,좀봐주면서합시다
5486496456,lose,URF,2021-10-01 23:26:16,25m 10s,23,13,8,2.38:1,Double Kill,empty,Yone,empty,empty,Tristana,모에모에큥,Yone,UMA PUI PUI,Nidalee,잉깅정,Malphite,m2ehtkfwk,Anivia,경 적 필 패,Lee Sin,나는 자연콜라,Teemo,나 혼자 벗다,Cho'Gath,나 혼자 섯다,Vex,붐바라치,Sylas, 2교대 원딜
5486492049,win,URF,2021-10-01 22:57:24,16m 41s,28,11,9,3.36:1,Penta Kill,empty,Xayah,empty,empty,Viktor,모에모에큥,Xayah,UMA PUI PUI,Janna,잉깅정,Master Yi,m2ehtkfwk,Volibear,경 적 필 패,Jinx,정종평,Caitlyn,저는혜지에요,Udyr,트롤의 이단아,Ezreal,날날이붕,Braum,안녕 난 둥둥
5486377739,win,URF,2021-10-01 22:37:04,19m 14s,14,9,11,2.78:1,Triple Kill,empty,Vex,empty,empty,Rumble,15885682,Ekko,팀운Cpearl겜,Jax,섹시가이황준열,Talon,langue de chat,Miss Fortune,오예석123,Trundle,모에모에큥,Vex,UMA PUI PUI,Galio,잉깅정,Master Yi,m2ehtkfwk,Caitlyn,경 적 필 패
