gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5471491540,lose,Ranked Solo,2021-09-24 00:29:16,28m 5s,1,8,2,0.38:1,empty,empty,Kennen,Master,empty,Kennen,oxi52,Lee Sin,Dahuangren1,Yasuo,HuyaTV1016217,Ezreal,녕 차,Alistar,Learn everyday,Aatrox,pzz 1,Jarvan IV,원딜도하는정글,Galio,돌그자체,Aphelios,Denls,Thresh,아만최고건슬링어
5471204692,win,Ranked Solo,2021-09-23 23:43:45,22m 58s,11,0,2,Perfect,Double Kill,empty,Tahm Kench,Master,empty,Tahm Kench,oxi52,Qiyana,realion,Talon,지기싫다2,Aphelios,호감 에서 나오다,Morgana,자북이,Mordekaiser,기 찬,Kha'Zix,SQU4RE,Katarina,마이구밍사주세요,Miss Fortune,약속된 승리의 칼,Nautilus,Serious game
5471175596,lose,Ranked Solo,2021-09-23 22:57:15,20m 8s,2,6,2,0.67:1,empty,empty,Twisted Fate,Master,empty,Wukong,kzkzkzk,Kayn,믜 진,Fizz,허징어링,Ziggs,호감 에서 나오다,Bard,실 망,Kennen,Walks With Me,Graves,luv rainn,Twisted Fate,oxi52,Miss Fortune,Lauv mean it,Amumu,따뜻하게대해줘요
5471057170,lose,Ranked Solo,2021-09-23 22:22:22,29m 53s,7,8,9,2.00:1,empty,empty,Poppy,Master,empty,Camille,Arasaka,Zac,후시패카나,Lissandra,wu nai da fa,Ezreal,로아하고시퍼요,Alistar,Twitch Kimmallae,Poppy,oxi52,Kha'Zix,SQU4RE,LeBlanc,슥 넨,Lucian,xiamulan,Braum,NIF 땅이
5470982999,lose,Ranked Solo,2021-09-23 21:42:46,15m 33s,0,4,0,0.00:1,empty,empty,Kennen,Master,empty,Tahm Kench,DOPA3분서렌론,Talon,yon gan niu niu,Kassadin,피의 군주 정수민,Lucian,BewhY77,Sylas,죠랄죠랄죠랄해,Kennen,oxi52,Lee Sin,성광스키,LeBlanc,wu nai da fa,Varus,끝난 이야기,Leona,IilIIiIiIliIliIi
5470494186,win,Ranked Solo,2021-09-23 16:16:20,31m 26s,5,10,9,1.40:1,Double Kill,empty,Kennen,Master,empty,Renekton,간디도롤하면폭력,Qiyana,ldmzzz,LeBlanc,MyWorld isEnding,Kai'Sa,Exusia,Galio,FNC Keria,Kennen,oxi52,Lee Sin,셋하면뛰어낙하,Talon,이리스,Samira,이지메,Amumu,BewhY77
5470438642,lose,Ranked Solo,2021-09-23 15:22:45,21m 44s,4,4,3,1.75:1,empty,empty,Poppy,Master,empty,Poppy,oxi52,Mordekaiser,yon gan niu niu,Yone,lose jg,Jinx,Factory,Leona,주말엔동희와산책,Sett,기분좋게z,Graves,화가많은 고양이,Zed,Luffy Zoro Ace,Ziggs,바다 바람 햇빛 ,Rakan,1128321
5470435724,win,Ranked Solo,2021-09-23 14:52:02,21m 49s,2,4,5,1.75:1,empty,empty,Poppy,Master,empty,Poppy,oxi52,Talon,X46A,Ekko,Luffy Zoro Ace,Ezreal,xx7dz,Braum,2021Worlds0173,Tahm Kench,이건 백정이야,Xin Zhao,wetfan,Twisted Fate,Not my wrong,Ziggs,부르릉비켜나세여,Amumu,1128321
5469877024,lose,Ranked Solo,2021-09-23 03:40:48,22m 54s,1,6,5,1.00:1,ACE,empty,Poppy,Diamond 1,empty,Poppy,oxi52,Lee Sin,리엘니,Irelia,낮에뜨는 달과 별,Caitlyn,Dalsuy,Blitzcrank,펜니르,Singed,우에키의 법칙1,Jarvan IV,TOPKING,LeBlanc,DE5APARECER,Ashe,yumenoai,Lulu,19old summer
5469864788,lose,Ranked Solo,2021-09-23 03:05:57,26m 39s,3,7,7,1.43:1,empty,empty,Poppy,Master,empty,Poppy,oxi52,Lee Sin,F1rst Step,LeBlanc,꽃바다인질,Vayne,DDFT,Nautilus,GALAXYSIS,Fiora,폼 팡,Taliyah,밀림 간 다,Renekton,zxczczxzcxczc,Samira,na li dou shi ni,Leona,낭만 임기택
5469852404,lose,Ranked Solo,2021-09-23 02:26:42,21m 27s,1,6,0,0.17:1,empty,empty,Poppy,Master,empty,Poppy,oxi52,Lee Sin,족밑밧족밑저,Sylas,zxczczxzcxczc,Lucian,DDFT,Braum,강혜원 fan,Irelia,끝날때까지잘할게,Taliyah,정글 사용법12,Tryndamere,a new beginn1ng,Miss Fortune,cute white fox,Leona,98kix
5469786549,win,Ranked Solo,2021-09-23 01:33:39,21m 25s,4,2,12,8.00:1,MVP,empty,Poppy,Master,empty,Poppy,oxi52,Taliyah,밀림 간 다,LeBlanc, youwillsucceed,Gangplank, chacka chicky,Senna,yelb,Ornn,huya lang D,Kindred,lucky boy2,Zoe,DE5APARECER,Kai'Sa,cute white fox,Amumu,중꾹인
5468720877,lose,Ranked Solo,2021-09-22 18:50:36,25m 48s,3,7,3,0.86:1,ACE,empty,Kennen,Master,empty,Kennen,oxi52,Kha'Zix,사회적고립두기,Zed,Deadly,Aphelios,Chengnianren,Lulu,qingsu fan,Sett,첼까지닉변안함,Nidalee,Ellyyy,Lucian,AFTV 문다오,Miss Fortune,부르릉비켜나세여,Blitzcrank,신연우
5468539760,win,Ranked Solo,2021-09-22 17:51:11,22m 18s,4,5,8,2.40:1,empty,empty,Poppy,Master,empty,Sylas,hybabe,Taliyah,그래도살아가겠지,Renekton,나도 질퍽이,Lucian,IG1749193239Q,Amumu,계속 덤벼봐라,Poppy,oxi52,Lillia,정글 사용법12,Irelia,xiaohao00,Ezreal,xx7dz,Karma,midd100
5468555282,win,Ranked Solo,2021-09-22 17:23:18,16m 29s,6,1,3,9.00:1,MVP,empty,Poppy,Master,empty,Fiora,애기공룡 주상,Gwen,Wanna be Tarzan,Fizz,병아리신석준,Aphelios,숟뀨략,Thresh,선수계정,Poppy,oxi52,Taliyah,그래도살아가겠지,Qiyana,쵸비123,Jhin,ll이노리ll,Zilean,춘 수
