gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490429661,lose,Ranked Solo,2021-10-04 08:33:22,29m 25s,2,10,18,2.00:1,empty,empty,Alistar,Master,empty,Rengar,Genius Monster,Qiyana,NinaAnnaJenny,Annie,Baby,Draven,IcelandWalrus,Alistar,CLG EIementz,Riven, Terrºr,Nunu & Willump,on me,LeBlanc,pumpp,Kalista,ƒancy ƒeet ,Braum,NIGHTMAREZZZ
5487598493,win,Ranked Solo,2021-10-02 21:22:46,20m 53s,6,5,17,4.60:1,empty,empty,Pyke,Master,empty,Camille,Âddusto,Elise,Squid Player 456,Sylas,nesiseka,Jhin,UnmaskeD SingeR,Pyke,CLG EIementz,Jax,FIX SOL0Q,Rengar,HAHAHAHAXDDDDD,Kassadin,Censer boy,Soraka,BotIsLavaPathTop,Yuumi,PINW KAFE
5487583443,win,Ranked Solo,2021-10-02 20:35:21,18m 3s,2,3,13,5.00:1,empty,empty,Amumu,Master,empty,Malphite,Pinky windy,Ekko,WKR tooshi,Yone,SANTORYU USER,Jhin,CLG Chauster,Amumu,CLG EIementz,Akshan,K Λ M l,Jarvan IV,Vakulich,Kennen,B0RN FROM PAIN,Talon,ur disgusting,Pyke,SiemaTuBoczek
5487221140,win,Ranked Solo,2021-10-02 08:11:47,16m 22s,0,2,11,5.50:1,empty,empty,Rakan,Diamond 1,empty,Renekton,Yeelord,Kha'Zix,LaddLåffe,Katarina,car crashh,Ziggs,kristút,Galio,Postkassen,Gwen,Leapfrogger,Qiyana,qqwwqqww,Sylas,BEST RIVEN PT,Jhin,CLG Chauster,Rakan,CLG EIementz
5487001336,win,Ranked Solo,2021-10-02 06:00:38,24m 36s,2,9,13,1.67:1,empty,empty,Amumu,Master,empty,Renekton,Nuevo Chimbote,Ekko,aeongi,Nunu & Willump,Nobreak9,Twitch,uMxM01,Pyke,1M4G1N3,Akshan,trust me bros,Talon,Cboi,Akali,Nìght Fury,Ezreal,CLG Chauster,Amumu,CLG EIementz
5486222293,win,Ranked Solo,2021-10-02 01:27:28,16m 44s,0,2,13,6.50:1,MVP,empty,Thresh,Master,empty,Yone,FTY Nox,Nidalee,Spray x,Gragas,GRimSLaughing,Jinx,CLG Chauster,Thresh,CLG EIementz,Poppy,Leapfrogger,Lillia,qqwwqqww,Akali,HHH    0     HHH,Draven,SAe Chryssey,Amumu,duye
5486204665,win,Ranked Solo,2021-10-02 00:57:02,29m 7s,6,4,27,8.25:1,empty,empty,Nami,Diamond 1,empty,Tahm Kench,Im fine thx you,Graves,Let it go Elsa,Vel'Koz,Me go Beep Boop,Ezreal,BEASTonMID,Bard,Pietroxtar,Jax,HZOOMB,Kha'Zix,a world of love,Zyra,Chat off Zyra on,Lucian,CLG Chauster,Nami,CLG EIementz
5484057934,win,Ranked Solo,2021-09-30 05:29:52,26m 11s,2,7,21,3.29:1,empty,empty,Rakan,Diamond 1,empty,Urgot,UrgoIncognito,Lee Sin,ThorfinKarlsefni,Yasuo,Follow The LIDER,Lucian,CLG Chauster,Rakan,CLG EIementz,Graves,lucky iceland ,Nunu & Willump,Bruno el cabruno,Tryndamere,LaIZepro,Brand,Łet none survive,Xerath,spellbonks
5484032750,win,Ranked Solo,2021-09-30 04:57:50,24m 22s,5,4,20,6.25:1,empty,empty,Leona,Diamond 1,empty,Camille,Sirius blake,Nidalee,Nidalee is uwu,Kassadin,JcZr,Ezreal,CLG Chauster,Leona,CLG EIementz,Kennen,lucky iceland ,Jarvan IV,TOG SHXDXW,Qiyana,chaD legnD,Jinx,2021Worlds0171,Thresh,niki laudaa
5483719620,win,Ranked Solo,2021-09-30 02:50:07,30m 21s,3,7,24,3.86:1,empty,empty,Rell,Diamond 3,empty,Tryndamere,7482196936214369,Elise,AwcyS,Irelia,Belderiver,Karthus,Fat kog lover,Bard,PiruTheVolatile,Fiora,Fulis,Evelynn,Μaverick,LeBlanc,Egirl Mid,Varus,CLG Chauster,Rell,CLG EIementz
