gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5472157584,win,Ranked Solo,2021-09-24 15:00:43,15m 28s,5,2,8,6.50:1,empty,empty,Ekko,Diamond 2,empty,Camille,정신차리자이재혁,Kindred,XiA NaTsH,Sylas,욕먹으면더못해짐,Draven,정신이가나가버려,Thresh,XiA NotBedo,Aatrox,FRONTL1NE,Ekko,laets,Yone,ad정글하면대충함,Lucian,금방전역한사람,Soraka,베소즈카야
5471591775,win,Ranked Solo,2021-09-24 00:30:54,22m 11s,6,3,1,2.33:1,Double Kill,empty,Ezreal,Diamond 4,empty,Akali,liililillilii,Jarvan IV,상병 율,Akshan,에이징커브lol,Lucian,바텀게임해주세요,Nami,하 넬,Poppy,Not Friends,Lee Sin,불만있으면다말해,Anivia,Algro,Ezreal,laets,Galio,내가바로바로
5470564354,lose,Ranked Solo,2021-09-23 16:10:21,19m 43s,0,3,2,0.67:1,empty,empty,Lulu,Diamond 2,empty,Malphite,칼챔아님꼴픽,Rengar,Rengar,Yasuo,나 마석 권민수야,Lucian,형절미,Soraka,흑인 양식업자,Fiora,즐거운게임1,Jarvan IV,프로지망생정글,Sylas,벤치왕조뱅,Jhin,이미 잡았잖아,Lulu,laets
5470479506,lose,Ranked Solo,2021-09-23 15:36:29,25m 10s,0,12,9,0.75:1,empty,empty,Galio,Diamond 2,empty,Camille,황수아싸랑해,Jarvan IV,사냥깨,Viktor,7898579del,Lucian,xoxcoc,Lulu,yiyehuya85771,Tristana,율이는잘못없어,Kayn,세정님,Nunu & Willump,미드굄울쥐,Ezreal,Duckpago,Galio,laets
5470396784,win,Ranked Solo,2021-09-23 14:56:52,21m 10s,3,3,9,4.00:1,empty,empty,Aatrox,Diamond 2,empty,Aatrox,laets,Lee Sin,팀잘주세요,LeBlanc,팀운망한벌레,Ezreal,낭만 가득한 스푼,Zilean,호 두,Fizz,Puddles,Rek'Sai,학창 씨절,Talon,MonashUniversity,Ashe,그만할래용,Thresh,yiyehuya85771
5467203920,lose,Ranked Solo,2021-09-22 00:11:08,28m 12s,8,4,5,3.25:1,Double Kill,ACE,Taliyah,Diamond 3,empty,Rengar,별의 공포,Taliyah,laets,Zed,돌 벌,Aphelios,초특급미녀최보람,Seraphine,햇살지기,Darius,진돌이샌드백,Viego,EUW,Katarina,last chaIIenge,Ezreal,asasasasaaas,Karma,Airsalt
5467094894,win,Ranked Solo,2021-09-21 23:25:02,24m 45s,12,3,10,7.33:1,Double Kill,empty,Camille,Diamond 4,empty,Camille,laets,Lee Sin,xiexukeyi,Neeko,트롤뽑기게임,Lucian,갱스터 송설용,Rakan,팔중면도날,Fiora,언어는 품격이다,Taliyah,체 노,Ahri,올차단아이디,Miss Fortune,남우죄,Yuumi,김태윤개똥
5466941106,lose,Ranked Solo,2021-09-21 22:29:37,34m 1s,10,8,8,2.25:1,Double Kill,empty,Kai'Sa,Diamond 3,empty,Pantheon,우번개,Kayn,오필패임,Ryze,민경인3,Miss Fortune,진리를 찾아 떠날,Alistar,구스타뽀,Akali,liililillilii,Lee Sin,xxckmaxxck,Yone,솔직히 나 개못함,Kai'Sa,laets,Zilean,배꼽시계질리언
5465022944,lose,Ranked Solo,2021-09-21 01:21:42,30m 59s,13,7,10,3.29:1,Double Kill,ACE,Tryndamere,Diamond 2,empty,Gwen,코가짧다,Kindred,멋쩍은 닉네임,Zed,내가 저지른 임신,Lucian,승 족 이,Karma,묠락한 카르마,Tryndamere,laets,Nidalee,nt jug,Vladimir,3대600박현준,Caitlyn,3역학,Lulu,백인찬
5456174017,win,Ranked Solo,2021-09-16 23:58:02,29m 37s,0,3,4,1.33:1,empty,empty,Tryndamere,Diamond 3,empty,Tryndamere,laets,Nidalee,흑천마검,Akshan,Daex,Miss Fortune,nzfwb,Soraka,Rengarrrrrrrrrrr,Gangplank,Jerry time,Shaco,백 지 하,Katarina,정점을핥은남자,Ashe,고수달,Blitzcrank,다이아2 20포인트
