gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490399834,win,Ranked Solo,2021-10-04 08:15:06,15m 57s,4,0,1,Perfect,empty,empty,Tryndamere,Master,empty,Tryndamere,qqwwqqww,Graves,kevoe,Diana,Dillen,Lucian,Zebrοn,Nami,TwinWarfare,Fiora,Rinaoo,Xin Zhao,IOIOIOlOlOI,Malzahar,Nicholai ,Heimerdinger,Dong,Rell,DeepEnding
5490078985,win,Ranked Solo,2021-10-04 04:38:14,22m 52s,16,2,9,12.50:1,Triple Kill,MVP,Zed,Master,empty,Yone,krane,Qiyana,reset my blue,Kassadin,Sailly,Aphelios,onii chan uwuu,Nami,Mariah Angeliq,Camille,PepitoElPescador,Zed,qqwwqqww,LeBlanc,Veito,Jhin,N1 Casper,Zyra, Rampant Growth
5487675600,lose,Ranked Solo,2021-10-02 21:22:29,25m 7s,8,4,8,4.00:1,Double Kill,ACE,Talon,Master,empty,Aatrox,blitherjaguar45,Talon,qqwwqqww,Cassiopeia,FΛDE,Yasuo,Idyllicy,Nami,ETT 2Trick,Kayle,Owayseyand,Kindred,Neidan,Veigar,Rugee,Miss Fortune,CRYTΕK,Amumu,LMAO Taremo
5487651946,win,Ranked Solo,2021-10-02 20:42:49,22m 46s,2,1,5,7.00:1,empty,empty,Kennen,Master,empty,Kennen,qqwwqqww,Nunu & Willump,Arkƒly,Qiyana,hkbsjbxr,Ezreal,Tall Skill,Shaco,Sel Improve,Jax,Ottér,Shyvana,dregnn,Sylas,UP5 FornoReason,Lucian,DA cyraXx,Yuumi,Only 151 Pokemon
5487221140,win,Ranked Solo,2021-10-02 08:11:47,16m 22s,5,0,5,Perfect,empty,empty,Qiyana,Diamond 1,empty,Renekton,Yeelord,Kha'Zix,LaddLåffe,Katarina,car crashh,Ziggs,kristút,Galio,Postkassen,Gwen,Leapfrogger,Qiyana,qqwwqqww,Sylas,BEST RIVEN PT,Jhin,CLG Chauster,Rakan,CLG EIementz
5486222293,lose,Ranked Solo,2021-10-02 01:27:28,16m 44s,3,4,4,1.75:1,ACE,empty,Lillia,Master,empty,Yone,FTY Nox,Nidalee,Spray x,Gragas,GRimSLaughing,Jinx,CLG Chauster,Thresh,CLG EIementz,Poppy,Leapfrogger,Lillia,qqwwqqww,Akali,HHH    0     HHH,Draven,SAe Chryssey,Amumu,duye
5486185412,win,Ranked Solo,2021-10-02 00:47:45,16m 35s,1,1,7,8.00:1,empty,empty,Taliyah,Diamond 1,empty,Renekton,Leapfrogger,Taliyah,qqwwqqww,Vladimir,BIeed for me,Draven,Tamara Lautari,Nami,qwerasdfzxcbvcxz,Graves,Nice Guy Ben,Master Yi,Sinerias Mental,Lulu,LiVERPASTEADDiCT,Samira,Saye TWELVE,Nautilus,SiMajk
5486210539,lose,Ranked Solo,2021-10-02 00:23:35,25m 40s,10,6,2,2.00:1,Double Kill,empty,Zed,Diamond 1,empty,Graves,Mohe dance hall,Nunu & Willump,AimlessEquation,Vladimir,BIeed for me,Lucian,RedHeads 0nly,Nami,TànyaTheMadness,Tryndamere,Leapfrogger,Zed,qqwwqqww,Ryze,smurfingisboring,Draven,take a moment,Amumu,WKR Sirmake
5485921474,win,Ranked Solo,2021-10-01 21:04:02,27m 33s,11,6,10,3.50:1,Triple Kill,empty,Ziggs,Diamond 2,empty,Sett,ShuoSanJiuSan,Rek'Sai,Flaming angel,Sylas,solateissour,Kalista,JACKEYLOVE1,Thresh,roy purdy1,Poppy,Leapfrogger,Talon,tempsjgjlgslchok,Yone,Twtv levies1,Ziggs,qqwwqqww,Janna,Desiru
5485855462,win,Ranked Solo,2021-10-01 19:50:32,25m 13s,7,2,9,8.00:1,Double Kill,MVP,Nidalee,Master,empty,Lillia,Hi Plum Here,Evelynn,3435 UwU,Irelia,rdmt,Lucian,Corki Azir,Rakan,FPG Piggy,Poppy,Leapfrogger,Nidalee,qqwwqqww,Sett,Loosen Up,Twitch,Can1ski ,Pyke,MegumiNx
5485556328,lose,Ranked Solo,2021-10-01 08:38:56,27m 40s,1,8,20,2.63:1,empty,empty,Rakan,Master,empty,Trundle,FrankenFrann,Jarvan IV,BYG Doggo ,Zoe,2021Worlds0019,Lucian,RoxanneV2,Nami,LanPeiFang,Singed,LevelZeroFangirl,Lee Sin,Akugyo,Akshan,Łet none survive,Samira,iceland0,Rakan,qqwwqqww
