gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490480665,lose,Ranked Solo,2021-10-04 08:31:44,28m 33s,4,16,3,0.44:1,Double Kill,empty,Sion,Master,empty,Volibear,ZONGO LE DOZØ,Evelynn,PD Zapdo,Sion,CLG Chauster,Caitlyn,Ruined Crazyadri,Pyke,S9XDXDXD,Darius,Àitchare,Lee Sin,ƒallεn angel,Sylas,Its Me InDeed,Twitch,141414ADADAD,Rakan,F tier supp
5490097940,lose,Ranked Solo,2021-10-04 04:49:19,36m 58s,5,11,7,1.09:1,Double Kill,empty,Sion,Master,empty,Camille,DK Cαnyon,Lee Sin,Carnagε,Fizz,Thermal Sights,Aphelios,Shnack,Bard,GREATSUPPORT,Sion,CLG Chauster,Talon,Undercover AnT,Diana,no sé que hacer,Miss Fortune,Andrard,Janna,Terminaattori51
5489481657,lose,Ranked Solo,2021-10-04 00:56:47,30m 53s,2,14,3,0.36:1,empty,empty,Tryndamere,Diamond 1,empty,Fiora,EL pipoo,Shaco,Th3Raven,Malphite,speed of life,Draven,take a moment,Amumu,smurfingisboring,Gangplank,Sh3ryto,Rengar,tempooaiixhvomcs,Tryndamere,CLG Chauster,Tristana,si yi kai huo,Yuumi,TànyaTheMadness
5487675751,win,Ranked Solo,2021-10-02 21:32:04,34m 13s,7,12,2,0.75:1,Triple Kill,empty,Graves,Master,empty,Sion,Waall,Nidalee,Eeven,Yasuo,wall replacer,Kai'Sa,New Pretty Dawn,Amumu,DP Pbd,Tryndamere,HZOOMB,Taliyah,a world of love,Graves,CLG Chauster,Vayne,Helboy77,Bard,Zuı
5487583443,win,Ranked Solo,2021-10-02 20:35:21,18m 3s,11,1,9,20.00:1,Double Kill,empty,Jhin,Master,empty,Malphite,Pinky windy,Ekko,WKR tooshi,Yone,SANTORYU USER,Jhin,CLG Chauster,Amumu,CLG EIementz,Akshan,K Λ M l,Jarvan IV,Vakulich,Kennen,B0RN FROM PAIN,Talon,ur disgusting,Pyke,SiemaTuBoczek
5487221140,win,Ranked Solo,2021-10-02 08:11:47,16m 22s,7,0,4,Perfect,Double Kill,empty,Jhin,Diamond 1,empty,Renekton,Yeelord,Kha'Zix,LaddLåffe,Katarina,car crashh,Ziggs,kristút,Galio,Postkassen,Gwen,Leapfrogger,Qiyana,qqwwqqww,Sylas,BEST RIVEN PT,Jhin,CLG Chauster,Rakan,CLG EIementz
5487001336,win,Ranked Solo,2021-10-02 06:00:38,24m 36s,10,5,9,3.80:1,Double Kill,MVP,Ezreal,Master,empty,Renekton,Nuevo Chimbote,Ekko,aeongi,Nunu & Willump,Nobreak9,Twitch,uMxM01,Pyke,1M4G1N3,Akshan,trust me bros,Talon,Cboi,Akali,Nìght Fury,Ezreal,CLG Chauster,Amumu,CLG EIementz
5486222293,win,Ranked Solo,2021-10-02 01:27:28,16m 44s,11,0,3,Perfect,Double Kill,empty,Jinx,Master,empty,Yone,FTY Nox,Nidalee,Spray x,Gragas,GRimSLaughing,Jinx,CLG Chauster,Thresh,CLG EIementz,Poppy,Leapfrogger,Lillia,qqwwqqww,Akali,HHH    0     HHH,Draven,SAe Chryssey,Amumu,duye
5486204665,win,Ranked Solo,2021-10-02 00:57:02,29m 7s,14,5,12,5.20:1,Double Kill,MVP,Lucian,Diamond 1,empty,Tahm Kench,Im fine thx you,Graves,Let it go Elsa,Vel'Koz,Me go Beep Boop,Ezreal,BEASTonMID,Bard,Pietroxtar,Jax,HZOOMB,Kha'Zix,a world of love,Zyra,Chat off Zyra on,Lucian,CLG Chauster,Nami,CLG EIementz
5484057934,win,Ranked Solo,2021-09-30 05:29:52,26m 11s,13,3,13,8.67:1,Triple Kill,MVP,Lucian,Diamond 1,empty,Urgot,UrgoIncognito,Lee Sin,ThorfinKarlsefni,Yasuo,Follow The LIDER,Lucian,CLG Chauster,Rakan,CLG EIementz,Graves,lucky iceland ,Nunu & Willump,Bruno el cabruno,Tryndamere,LaIZepro,Brand,Łet none survive,Xerath,spellbonks
5484032750,win,Ranked Solo,2021-09-30 04:57:50,24m 22s,18,4,12,7.50:1,Triple Kill,MVP,Ezreal,Diamond 1,empty,Camille,Sirius blake,Nidalee,Nidalee is uwu,Kassadin,JcZr,Ezreal,CLG Chauster,Leona,CLG EIementz,Kennen,lucky iceland ,Jarvan IV,TOG SHXDXW,Qiyana,chaD legnD,Jinx,2021Worlds0171,Thresh,niki laudaa
5483719620,win,Ranked Solo,2021-09-30 02:50:07,30m 21s,6,8,13,2.38:1,empty,empty,Varus,Diamond 3,empty,Tryndamere,7482196936214369,Elise,AwcyS,Irelia,Belderiver,Karthus,Fat kog lover,Bard,PiruTheVolatile,Fiora,Fulis,Evelynn,Μaverick,LeBlanc,Egirl Mid,Varus,CLG Chauster,Rell,CLG EIementz
5482604880,win,Ranked Solo,2021-09-29 07:23:41,29m 8s,4,4,13,4.25:1,empty,empty,Ezreal,Diamond 1,empty,Riven,NaturalSwagger,Kayn,Tenseco,Kassadin,One last kιss,Ezreal,CLG Chauster,Amumu,CLG EIementz,Jayce,2021Worlds0113,Trundle,Rafaello abuser,Lissandra,soulremnant,Kai'Sa,Ruler Jr,Leona,YTSearch Hanabi
5481336761,win,Ranked Solo,2021-09-28 07:17:48,22m 24s,6,4,10,4.00:1,empty,empty,Ezreal,Diamond 2,empty,Poppy,Mielenhallinta,Talon,AaronwUqY,Katarina,Baby,Draven,Leviit,Janna,MrBeastInDaHouse,Camille,Tajoki,Nidalee,piano gaming,Yasuo,wawiae,Ezreal,CLG Chauster,Amumu,CLG EIementz
5480828051,win,Ranked Solo,2021-09-28 02:28:05,10m 16s,2,0,1,Perfect,empty,empty,Ziggs,Diamond 3,empty,Yasuo,L9 SUSSY BAKA,Talon,Wxxwx,Jarvan IV,asdfgasdfs,Ziggs,CLG Chauster,Thresh,CLG EIementz,Sett,2021Worlds0173,Karthus,bobross int acc,Katarina,wx zhao6582123ad,Jinx,2021Worlds0171,Jayce,hashinshin kda
5480774556,win,Ranked Solo,2021-09-28 02:09:36,15m 48s,5,1,8,13.00:1,Double Kill,MVP,Twitch,Diamond 3,empty,Kled,Ketamine Top,Nidalee,Wxxwx,Ryze,asdfgasdfs,Twitch,CLG Chauster,Yuumi,CLG EIementz,Fiora,Fulis,Evelynn,Odivonnior,Graves,Rugemanee,Tristana,Hypêr,Nautilus,Baits
5480454748,lose,Ranked Solo,2021-09-27 22:50:31,37m 7s,3,13,16,1.46:1,empty,empty,Varus,Diamond 3,empty,Riven,Built A Kingdom,Karthus,tempvvunswgcsqgc,Talon,Daniel is a KING,Varus,CLG Chauster,Leona,CLG EIementz,Camille,Perfect Serenity,Qiyana,Sëvën,Galio,DeCypher1,Draven,BurgerFIipper420,Thresh,ellebelle
5480471636,lose,Ranked Solo,2021-09-27 22:08:03,24m 7s,5,7,8,1.86:1,ACE,empty,Lucian,Diamond 2,empty,Tryndamere,VINCΕNT69,Nidalee,qqwwqqww,Jayce,iceland0,Jhin,Im Kaiting,Yuumi,Incelsimp Slayer,Aatrox,KuonOuO,Kha'Zix,tempvvunswgcsqgc,Vladimir,Yeager,Lucian,CLG Chauster,Nami,CLG EIementz
5480287691,win,Ranked Solo,2021-09-27 21:31:24,23m 47s,10,5,16,5.20:1,Double Kill,empty,Kai'Sa,Diamond 2,empty,Darius,Foker,Lillia,qqwwqqww,Yone,iceland0,Kai'Sa,CLG Chauster,Leona,CLG EIementz,Gangplank,Wheel Skeleton,Ekko,TR1NKET04,Pantheon,Martever,Tristana,those days gone,Braum,Hαji
