gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5470555991,win,Ranked Solo,2021-09-23 16:26:14,21m 59s,3,2,4,3.50:1,empty,empty,Tristana,Master,empty,Shen,zhao si ma gun,Taliyah,Love dont stop,Akshan,critique,Miss Fortune,미로 속 미르,Alistar,yangyu XD,Jayce,wuliaodexianshi,Diana,xccccccvb,Yasuo,yyzx,Tristana,Imaokai,Amumu,xibaxiba
5470523731,lose,Ranked Solo,2021-09-23 15:58:26,15m 29s,1,8,1,0.25:1,empty,empty,Ziggs,Grandmaster,empty,Fiora,oilf,Talon,부산여행 떠나기,Sylas,CIozerr,Miss Fortune,고구마태풍,Alistar,cer,Tahm Kench,파나경,Viego,포동포동아기물개,Irelia,La K game,Ziggs,Imaokai,Amumu,woshissm
5470560702,win,Ranked Solo,2021-09-23 15:37:23,16m 50s,6,2,10,8.00:1,empty,empty,Darius,Master,empty,Gragas,DangerousBoy ady,Lee Sin,Jg Gaper,Ryze,Pulsive,Darius,Imaokai,Alistar,무조건 탑 동선,Sylas,새콤달콤 하 다,Volibear,Mon seul amour,Singed,우에키의 법칙1,Yasuo,나의 치유 게임,Pyke,DWG Bubbling
5470436434,lose,Ranked Solo,2021-09-23 15:05:00,27m 32s,1,5,3,0.80:1,empty,empty,Samira,Grandmaster,empty,Riven,Azhy,Kayn,rekresreb,Sylas,식혜커플존버 ,Miss Fortune,짜앙 혐오자,Rakan,DFM GAENG,Graves,거북이사건,Nidalee,nodfan,Galio,시간의 숲,Samira,Imaokai,Leona,Yi bing chao
5470453566,lose,Ranked Solo,2021-09-23 14:31:46,24m 14s,10,6,6,2.67:1,Triple Kill,ACE,Lucian,Grandmaster,empty,Jarvan IV,KT R TOP,Lee Sin,DK Lucid,Sylas,시간의 숲,Lucian,Imaokai,Nami,DFM GAENG,Lulu,Fiora,Xin Zhao,우울적울컥,Cassiopeia,Chang Min ,Varus,밤몽길,Galio,Let me sup
5469705767,lose,Ranked Solo,2021-09-23 01:26:00,26m 42s,0,3,4,1.33:1,empty,empty,Ziggs,Grandmaster,empty,Tryndamere,Tryndamere777,Nidalee,일산전영찬,Pantheon,BJ갈배,Ziggs,Imaokai,Thresh,Practice,Sejuani,이도류,Qiyana,mnbvcxze,Orianna,은정우,Miss Fortune,엔 햐,Maokai,알레산드로 델
5469760173,lose,Ranked Solo,2021-09-23 00:47:36,25m 49s,8,3,4,4.00:1,ACE,empty,Ziggs,Grandmaster,empty,Poppy,수희0,Nidalee,a little story,Akshan,우으으어어엉,Aphelios,BTS 아오미네,Thresh,강하다 별,Gnar,BJ갈배,Zed,wndus,Sylas,KT R MID,Ziggs,Imaokai,Blitzcrank,11baby
5468796213,win,Ranked Solo,2021-09-22 19:17:16,20m 43s,2,0,3,Perfect,empty,empty,Poppy,Grandmaster,empty,Poppy,Imaokai,Talon,byz,Lissandra,Tangyuando,Draven,BRO Hena,Thresh,lIlIIIIlIIIlIIII,Jayce,fa 01 top,Qiyana,Love dont stop,LeBlanc,타락파워조이,Lucian,Gen G Ruler,Lulu,Kimwinter
5468770438,lose,Ranked Solo,2021-09-22 18:45:38,20m 49s,4,5,3,1.40:1,Double Kill,empty,Aphelios,Grandmaster,empty,Irelia,Hakunaa Matata,Talon,Love dont stop,Kassadin,LunaLina,Aphelios,Imaokai,Amumu,zzzzussss,Lee Sin,fa 01 top,Ekko,byz,Sett,Trisak,Miss Fortune,tnedifnoc syawla,Shen,xiao adc
5468643276,lose,Ranked Solo,2021-09-22 18:10:42,23m 8s,10,6,2,2.00:1,Triple Kill,empty,Aphelios,Grandmaster,empty,Malphite,h ke pa,Lee Sin,love beijixing,Orianna,1998zhg,Aphelios,Imaokai,Thresh,Winnie13ear,Graves,blwy1,Xin Zhao,썬더드래곤,Zed,온 재,Cassiopeia,Chang Min ,Sett,강하다 별
