gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490057927,lose,Ranked Solo,2021-10-04 04:29:59,23m 34s,5,4,8,3.25:1,Double Kill,ACE,Soraka,Platinum 1,empty,Fiora,Bacet,Talon,tempzykyxucbovwv,Fizz,ace shaco,Ezreal,TopFeelsBadMan,Soraka,QJNVJuywetsf,Gangplank,Freaking out me,Graves,Emmys owner,Kassadin,uykucu sanchez,Jhin,OURINHOS CITY,Thresh,ƒKØRVÆNƒ
5485397584,lose,Ranked Solo,2021-10-01 06:16:53,34m 35s,7,7,21,4.00:1,empty,empty,Yuumi,Diamond 3,empty,Volibear,MCBueffelhüftä,Talon,NıTeSou,Lissandra,ownaks minion,Ezreal,Ðªvę,Yuumi,QJNVJuywetsf,Irelia,kîng slâyer,Ivern,Buff Adc XDDDDDD,Katarina,Sikqt,Caitlyn,Merciless Mode,Pyke,Kanye Aowesst
5485361056,win,Ranked Solo,2021-10-01 05:22:07,24m 35s,1,2,27,14.00:1,empty,empty,Yuumi,Platinum 1,empty,Shen,Freaking out me,Nidalee,MECHANiCSGiFT,Cassiopeia,34 Skeul 44,Kai'Sa,ad is a slave,Leona,diarrhea dorris ,Darius,Isombard,Nocturne,CSX Legend,Yasuo,Hielah,Veigar,NeoDie,Yuumi,QJNVJuywetsf
5484228082,win,Ranked Solo,2021-09-30 07:43:49,22m 10s,1,1,17,18.00:1,empty,empty,Yuumi,Platinum 2,empty,Gangplank,porsche girl,Graves,BigHaveMan,Kog'Maw,Zhaekovugy,Draven,ASDFGOFFXD,Yuumi,QJNVJuywetsf,Vladimir,Μind,Viego,Moms Favourite,Twisted Fate,Dads Favourite,Sett,SandOfAcee,Swain,Ancalagon Gaming
5484243796,lose,Ranked Solo,2021-09-30 07:15:40,30m 42s,11,11,2,1.18:1,ACE,empty,Akshan,Diamond 2,empty,Akshan,QJNVJuywetsf,Ivern,tartin,Xerath,HJIN Katashi ,Jhin,Death R00w,Shaco,Old Owl 0,Kled,Disgo Yowig,Fiddlesticks,Guzzie Smurf,Vex,TessTary,Miss Fortune,Greggers,Senna,Airplanemode 29 
5484177946,lose,Ranked Solo,2021-09-30 06:35:14,24m 35s,1,5,0,0.20:1,ACE,empty,Dr. Mundo,Diamond 3,empty,Dr. Mundo,QJNVJuywetsf,Karthus,PUIGDEMONT SMURF,Tryndamere,STEVE HARVEY420,Ezreal,Dystopiá,Senna,Airplanemode 29 ,Gangplank,quick thinking,Lee Sin,random ad1,Karma,r41nn,Yasuo,Annorlunda,Taric,aLLForRevenge
5482568088,win,Ranked Solo,2021-09-29 07:43:53,28m 45s,2,4,28,7.50:1,empty,empty,Yuumi,Diamond 4,empty,Ekko,Light Cat,Xin Zhao,S65,LeBlanc,wincg,Kalista,reform,Yuumi,QJNVJuywetsf,Darius,Fifoko,Lee Sin,PET JANEQ11,Lissandra,DIKU Daddel,Lucian,MurksC,Taliyah,2021Worlds0151
5482584364,lose,Ranked Solo,2021-09-29 07:10:45,23m 9s,1,3,13,4.67:1,empty,empty,Yuumi,Diamond 4,empty,Jax,GS 5,Zed,Statsministern,Ekko,KrDjoo,Draven,I want winner,Amumu,The Rev Owen,Aatrox,Handjobs,Nidalee,on a regular,Wukong,n0dfan,Twitch,Astroglide,Yuumi,QJNVJuywetsf
5482526836,lose,Ranked Solo,2021-09-29 06:28:06,27m 49s,1,9,17,2.00:1,empty,empty,Seraphine,Diamond 3,empty,Fiora,Handjobs,Elise,Hallohihi,Akshan,Junior ImJony,Xayah,Nutoko,Rakan,Relax I Win You,Riven,XOXOX,Nocturne,ROX Kuro,LeBlanc,Oly be,Samira,H0rny Ornny,Seraphine,QJNVJuywetsf
5481452044,win,Ranked Solo,2021-09-28 08:06:17,17m 56s,1,0,15,Perfect,empty,empty,Yuumi,Platinum 1,empty,Darius,Ikkitousen 1013,Talon,Zaineloo,Zed,Fαrewell,Twitch,LNG uneasy,Soraka,monkachito,Kennen,2021Worlds0113,Graves,RIP Mafia Graves,Sylas,Vicent Pellicer,Ezreal,LF hot lulu,Yuumi,QJNVJuywetsf
5481288644,win,Ranked Solo,2021-09-28 07:19:14,12m 0s,1,0,0,Perfect,empty,empty,Taliyah,Platinum 1,empty,Jayce,2021Worlds0113,Ekko,Dark Evelynn997,Galio,ASK M7ng,Mordekaiser,Botlane Behemoth,Taliyah,QJNVJuywetsf,Irelia,ImStillThinking,Graves,SofM 5150475,Akali,9scaPeg0at88 ,Miss Fortune,Dystopiá,Yuumi,tempsyqjulrbyesi
5481292284,lose,Ranked Solo,2021-09-28 06:59:43,38m 25s,7,8,7,1.75:1,ACE,empty,Tahm Kench,Platinum 1,empty,Jayce,2021Worlds0113,Evelynn,SofM 5150475,Zed,9scaPeg0at88 ,Ezreal,Dystopiá,Bard,ˆˆˇˆˇˆˇˉ,Tahm Kench,QJNVJuywetsf,Kayn,UPO ZYTHORIAN,Qiyana,Astroglide,Mordekaiser,Botlane Behemoth,Amumu,LNG uneasy
5481257907,lose,Ranked Solo,2021-09-28 06:12:53,15m 20s,1,10,1,0.20:1,empty,empty,Graves,Diamond 4,empty,Graves,QJNVJuywetsf,Fiddlesticks,GenevieveHo,Pantheon,LauraValent,Miss Fortune,Haruno,Bard,ˆˆˇˆˇˆˇˉ,Renekton,Firefl0wer,Nidalee,Like a n1nja,Anivia,Shahm007,Draven,UTDU,Leona,TikTok Fame
5481119914,lose,Ranked Solo,2021-09-28 05:43:22,32m 26s,6,7,10,2.29:1,ACE,empty,Amumu,Diamond 2,empty,Cho'Gath,PSG Helper,Shaco,Prοtagonist,Twitch,Lothrıc,Miss Fortune,Negative Gaming,Amumu,QJNVJuywetsf,Tristana,Kafuu chin0,Karthus,Break A Kingdom,Tryndamere,Viikingr,Ezreal,xXMENINOXx69,Yuumi,Teretaan
5481145352,win,Game hasn>t been updated on OP.GG
