gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490206749,win,Ranked Solo,2021-10-04 05:30:39,28m 13s,12,5,14,5.20:1,empty,empty,Poppy,Grandmaster,empty,Aatrox,JBL ABUSER,Rengar,Hish,Sylas,Saulius 10,Lucian,EDG Innaxe,Braum,Nash1,Tryndamere,ΙrreΙevant,Poppy,Aurora time,Ryze,RGE Larssεn,Yasuo,dajor25,Nautilus,Frank Horrigan
5490139362,lose,Ranked Solo,2021-10-04 04:51:22,21m 15s,6,6,3,1.50:1,Double Kill,empty,Taliyah,Master,empty,Fiora,Darlik1,Taliyah,Aurora time,Syndra,Harbo,Ezreal,Stille Berg,Tahm Kench,GK Mishal,Kennen,DONT DISSAPEAR,Rengar,Hish,LeBlanc,MercedesBenzE500,Lucian,EDG Innaxe,Nami,θΘθΘθ
5490121312,win,Ranked Solo,2021-10-04 04:12:17,33m 11s,11,5,12,4.60:1,Double Kill,empty,Sylas,Grandmaster,empty,Vayne,UOL Cryptodir,Graves,OnerKING,Sylas,Aurora time,Senna,Dannny,Nami,Walid Georgey,Jayce,Lumerion,Nidalee,Happy Alexx,Syndra,maybe f keys ,Lucian,Neon1337Ad,Yuumi,Leon der Leon
5489256319,win,Ranked Solo,2021-10-03 23:36:02,33m 38s,7,4,18,6.25:1,MVP,empty,Taliyah,Master,empty,Irelia,Serendrip,Taliyah,Aurora time,LeBlanc,FFEBIVEN,Xayah,Viper sama,Rakan,twenty one,Kled,Ragnér1,Evelynn,tempsjgjlgslchok,Sylas,Tommy944,Draven,fjoompbun,Taric,ELOFIDGETSPINNER
5488886649,lose,Ranked Solo,2021-10-03 19:39:00,29m 2s,2,5,7,1.80:1,empty,empty,Jarvan IV,Grandmaster,empty,Fiora,Govna Isusova,Jarvan IV,Aurora time,LeBlanc,aléc,Jhin,gdgd,Bard,Who,Poppy,SLY Eyliph,Xin Zhao,NiuNai,Orianna,zoír,Miss Fortune,HeavenIsFalling,Yuumi,woshidoinb
5488740827,lose,Ranked Solo,2021-10-03 10:57:16,31m 11s,1,10,1,0.20:1,empty,empty,Zed,Grandmaster,empty,Darius,5454545454,Kha'Zix,Raiden Shogun C2,Yasuo,Tοαst,Varus,ToasterM8,Lulu,HAHHAHAHAHAXXDDD,Dr. Mundo,AST MagiFelix,Zed,Aurora time,Ryze,Saulius 10,Jhin,Fliko,Twitch,Undercover CameL
5488629266,win,Ranked Solo,2021-10-03 10:07:08,15m 22s,9,0,3,Perfect,Triple Kill,MVP,Lee Sin,Grandmaster,empty,Poppy,Seminol,Lee Sin,Aurora time,Sylas,ég jojopyun,Lucian,jackisek,Rakan,Nash1,Aatrox,KURU DUT,Evelynn,Splash 001,Twisted Fate,Mοrdred,Kai'Sa,hgotdsxz,Amumu,KwK AlVaRo710
5488607953,win,Ranked Solo,2021-10-03 09:43:04,24m 31s,6,3,15,7.00:1,empty,empty,Diana,Master,empty,Fiora,lennylennylenny,Zed,G 2 3 H 1 Z U ,Yone,ECkz,Xerath,hgotdsxz,Yuumi,jackisek,Camille,KURU DUT,Diana,Aurora time,Yasuo,knight9źź,Lucian,Whiterog,Nami,BroIia
5488672690,win,Ranked Solo,2021-10-03 09:09:55,25m 41s,13,4,12,6.25:1,Double Kill,MVP,Taliyah,Grandmaster,empty,Lee Sin,H ι r o,Taliyah,Aurora time,Tryndamere,nukëduck,Ezreal,maybe f keys ,Bard,BroIia,Poppy,Seminol,Evelynn,Roulette,Nasus,styropianzserem,Lucian,motus vetiti,Nami,soloqwarrior1
5488603609,lose,Ranked Solo,2021-10-03 08:30:40,3m 13s,0,0,0,0.00:1,empty,empty,Talon,Grandmaster,empty,Karma,soloqwarrior1,Talon,Aurora time,Galio,Roulette,Xayah,motus vetiti,Tryndamere,ΙrreΙevant,Sett,lolNash,Annie,Raiden Shogun C2,Evelynn,Mοrdred,Graves,H ι r o,Seraphine,UOL Doedalo
5488557775,win,Ranked Solo,2021-10-03 08:07:54,23m 2s,10,1,8,18.00:1,Double Kill,MVP,Zed,Grandmaster,empty,Aatrox,me like solobolo,Nidalee,ismaaa,Sylas,OnerKING,Draven,Mοrdred,Jarvan IV,SPEEDOBEAR,Camille,SK Alois,Zed,Aurora time,LeBlanc,Chemera,Miss Fortune,RRRift,Amumu,soloqwarrior1
5488485053,lose,Ranked Solo,2021-10-03 07:34:08,26m 23s,8,12,3,0.92:1,empty,empty,Yone,Grandmaster,empty,Tahm Kench,Gabbo,Rammus,BR Lord Semi,Yone,Aurora time,Ezreal,Achuu,Karthus,LIMIT12345,Riven,tetris guden,Taliyah,bobber kong,Malphite,Chemera,Lucian,motus vetiti,Nami,Rückendeckung
5488397908,win,Ranked Solo,2021-10-03 06:42:55,23m 31s,4,5,6,2.00:1,empty,empty,Yasuo,Grandmaster,empty,Malphite,GODZILLA66666666,Ekko,lövhögen,Yasuo,Aurora time,Varus,MTLK Filou,Senna,sindrelolpro2345,Fiora,wakeuptoreaIity,Lee Sin,Temporal Warden,Galio,GS Bolulu,Twitch,BIood drippin,Lulu,wowx
5488430658,win,Ranked Solo,2021-10-03 06:05:08,24m 43s,12,5,10,4.40:1,Double Kill,empty,Nidalee,Grandmaster,empty,Malphite,GODZILLA66666666,Evelynn,Roulette,Zed,TwTv iljimaeLoL,Aphelios,Mytnat,Soraka,Traypo,Riven,15 08 2006,Nidalee,Aurora time,Katarina,TwTv Ronges1,Jinx,Nero Forte,Lulu,wowx
