gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5475675834,win,ARAM,2021-09-25 21:09:19,11m 6s,5,6,12,2.83:1,Double Kill,empty,Irelia,empty,empty,Tahm Kench,분코카나자와,Twisted Fate,야채야채청경채,Talon,이비인욱과,Irelia,JUGKlNG,Viktor,옹 리,Vel'Koz,귤먹고 싶습니다,Ezreal,DNRE,Akali,vvater,Annie,몽코코모,Cho'Gath,3 GUINEAS
5475415276,win,ARAM,2021-09-25 19:52:44,29m 56s,28,18,21,2.72:1,Double Kill,empty,LeBlanc,empty,empty,Annie,치넙넙,Singed,섹코시노,Lillia,칼칼하누,Renekton,maybe dnre is,Karthus,짱돌잡이,Ashe,죽엽청,Ryze,금강정사,Malphite,지저동 제어와드,LeBlanc,JUGKlNG,Zilean,콩콩이야
5475143555,win,Ranked Solo,2021-09-25 18:57:16,32m 46s,5,6,13,3.00:1,empty,empty,Nidalee,Grandmaster,empty,Sett,miemiemie,Lee Sin,미드조지기,Lillia,BRO Yaharong,Jhin,zzzzussss,Amumu,안타까운 세상,Riven,순뀨박,Nidalee,JUGKlNG,Qiyana,몽키 D 짱구,Draven,글썽글썽태윤,Thresh,Let me sup
5474968269,win,Ranked Solo,2021-09-25 18:17:08,21m 51s,7,1,8,15.00:1,Double Kill,MVP,Nidalee,Grandmaster,empty,Camille,Hakunaa Matata,Lee Sin,Gen G Peyz,Twisted Fate,사랑이 하고싶어,Ezreal,tnedifnoc syawla,Karma,안타까운 세상,Sett,애넨차피이해못해,Nidalee,JUGKlNG,Jayce,ruanruantuan,Miss Fortune,고구마태풍,Amumu,97S
5474970833,lose,Ranked Solo,2021-09-25 17:41:18,23m 4s,3,7,8,1.57:1,empty,empty,Taliyah,Grandmaster,empty,Fiora,v나르샤v,Taliyah,JUGKlNG,Galio,몽키 D 짱구,Miss Fortune,Slayder,Leona,미드조지기,Jayce,ruanruantuan,Lee Sin,wndus,Vex,05프로하고싶어요,Draven,kwqejksad,Alistar,Let me sup
5464179646,win,ARAM,2021-09-20 19:09:31,18m 13s,21,11,16,3.36:1,Quadra Kill,empty,Lucian,empty,empty,Karma,DongwonTuna,Yasuo,두키 섬의 마음,Ezreal,아브 무기 20강,Lee Sin,굉장히부족한사람,Sivir,박혜민1,Sett,큭 쿠,Ryze,역버프 하지마,Lulu,무작위 총력전 봇,Rumble,프롬비,Lucian,JUGKlNG
5462421990,lose,Ranked Solo,2021-09-19 22:07:44,22m 2s,6,4,2,2.00:1,empty,empty,Graves,Grandmaster,empty,Lulu,경민 봉준 재걸 Again,Nidalee,일산전영찬,Yasuo,은가뉴,Lucian,BRO Hena,Nami,옆동산외계인,Gwen,사 용 수,Graves,JUGKlNG,Orianna,Hide on bush,Ashe,Haru0304,Leona,Weasely
5462324621,win,Ranked Solo,2021-09-19 21:33:25,21m 12s,7,2,8,7.50:1,empty,empty,Talon,Grandmaster,empty,Gnar,깨달음을얻은남자,Talon,JUGKlNG,Orianna,Pnpm,Miss Fortune,T1 Gumayusi,Amumu,MNTNMNTNM,Pantheon,FA Decky,Nidalee,난 워낙 노빠꾸라,Graves,사 용 수,Aphelios,사랑하지 않아,Thresh,옆동산외계인
5462238369,lose,Ranked Solo,2021-09-19 21:05:03,23m 9s,6,5,4,2.00:1,Double Kill,empty,Talon,Grandmaster,empty,Gnar,Burdoll,Taliyah, 엘 림,Yasuo,은가뉴,Draven,jkjkjkjkk,Gragas,옆동산외계인,Pantheon,FA Decky,Talon,JUGKlNG,Lucian,20200902start,Ziggs,사랑하지 않아,Leona,freeze5
5462153511,lose,Ranked Solo,2021-09-19 20:35:42,27m 59s,2,12,3,0.42:1,empty,empty,Jayce,Grandmaster,empty,Wukong,강의 듀오 제드팀,Nidalee,Haru0304,Renekton,DWG Bubbling,Draven,jkjkjkjkk,Pyke,정훈이의 모험,Jayce,JUGKlNG,Ekko,wetfan,Graves,T1 F0rest,Ziggs,숟호신,Amumu,옆동산외계인
5462076550,lose,Ranked Solo,2021-09-19 19:40:36,12m 32s,1,4,1,0.50:1,ACE,empty,Lee Sin,Grandmaster,empty,Kennen,Burdoll,Nidalee,산속의 토끼,Tryndamere,갱붕이,Draven,T1 Gumayusi,Maokai,BRO Delight,Jax,FA Decky,Lee Sin,JUGKlNG,Anivia,douyu TV 9018814,Kai'Sa,이기고오쉽당,Talon,20200902start
5462019421,win,Ranked Solo,2021-09-19 19:15:35,29m 9s,13,5,14,5.40:1,Double Kill,MVP,Taliyah,Grandmaster,empty,Quinn,살퀸레,Taliyah,JUGKlNG,Graves,사랑이 하고싶어,Ziggs,사랑하지 않아,Leona,Danrenguiz,Jayce,FA Decky,Evelynn,Juhana,Twisted Fate,Naehyun,Draven,T1 Gumayusi,Trundle,BRO Delight
5461731049,lose,Ranked Solo,2021-09-19 16:27:26,26m 42s,5,13,7,0.92:1,empty,empty,Jayce,Grandmaster,empty,Camille,놀이터여행자,Jarvan IV,Hengzzz,Sylas,카아아아아아아아,Kai'Sa,irasu1,Blitzcrank,나라카일,Jayce,JUGKlNG,Graves,     la ji game,Twisted Fate,Hakunaa Matata,Lucian,Haru0304,Nami,나는변신할것이다
5461512996,win,Ranked Solo,2021-09-19 15:47:43,32m 25s,5,7,12,2.43:1,empty,empty,Sylas,Grandmaster,empty,Wukong,Trisak,Viego,배터리충전해,Sylas,JUGKlNG,Lucian,irasu1,Nami,하나둘둘셋셋셋,Jayce,나는변신할것이다,Graves,     la ji game,Gragas,EIderwood Azir,Ashe,Haru0304,Brand,Kimwinter
5460266047,win,Ranked Solo,2021-09-18 22:43:25,19m 35s,4,2,8,6.00:1,empty,empty,Taliyah,Grandmaster,empty,Yasuo,디어사이드,Taliyah,JUGKlNG,Ryze,Yorick,Kindred,아프리카 아라드,Trundle,kaixin1dian,Sylas,00000000002,Zed,a little story,Kennen,사 용 수,Ezreal,Xiaohao9,Leona,미드조지기
5460018569,lose,Ranked Solo,2021-09-18 22:14:49,29m 57s,7,10,7,1.40:1,empty,empty,Lee Sin,Challenger,empty,Kennen,깨달음을얻은남자,Jarvan IV,bglxxnm,Zoe,디알엑스 제트,Aphelios,kwqejksad,Rakan,Honpi,Tryndamere,Yorick,Lee Sin,JUGKlNG,Twisted Fate,잠은허송세월,Caitlyn,BRO Hena,Morgana,Seize the day11
5459600085,win,Ranked Solo,2021-09-18 17:41:10,22m 34s,10,4,6,4.00:1,MVP,empty,Graves,Grandmaster,empty,Gragas,권 지 인,Zed,나는변신할것이다,Zoe,KT VicLa,Varus,Sangchu,Alistar,snzll,Graves,JUGKlNG,Lee Sin,미드조지기,Sylas,놀이터여행자,Ezreal,zxcsazxcazdz,Leona,Seize the day11
5458785920,lose,ARAM,2021-09-18 12:58:51,19m 31s,10,8,17,3.38:1,Double Kill,empty,Ziggs,empty,empty,Ashe,분코카나자와,Graves,Gen G 피넛,Nami,NIA Plain,Gwen,나락의zl존,Blitzcrank,미스트롯3,Ezreal,보험전문가,Singed,zl존경준,Ziggs,JUGKlNG,Gangplank,소라카이사이온,Kennen,요시보고뽀삐봐도
5456529670,lose,ARAM,2021-09-17 12:57:51,21m 10s,0,0,0,0.00:1,empty,empty,Nidalee,empty,empty,Urgot,미쯔치약,Karthus,더이상가망없는겜,Nidalee,JUGKlNG,Aatrox,완주찡,Samira,흰 곰,Rumble,늙고병든 영감님,Cho'Gath,layton bot,Dr. Mundo,최하울,Kayle,우우레,Yone,헨 루
5454799954,win,ARAM,2021-09-16 03:56:37,17m 3s,10,9,28,4.22:1,Double Kill,empty,Senna,empty,empty,Lulu,멋쟁이틈메이러,Sett,Chxn,Senna,JUGKlNG,Kalista,으 하하 맛 있 어,Gangplank,모두모두항복하길,Blitzcrank,Legendofkill,Graves,포골빽핑시오픈,Taliyah,잔나비보컬최정훈,Zilean,칼바람공주 계루,Shaco,궁극의라이트유저
5453409394,lose,ARAM,2021-09-15 12:44:30,15m 4s,9,10,23,3.20:1,Double Kill,empty,Miss Fortune,empty,empty,Samira,PMD91,Pyke,조용히 겜해 시,Miss Fortune,JUGKlNG,Lulu,떠어어어 엌,Urgot,수한 빡빡이,Leona,정은솔,Vladimir,니얼굴에있는피즈,Tristana,풍월량머독침착맨,Jhin,시성일,Karma,해림해림해
5453107350,win,ARAM,2021-09-15 04:20:21,21m 27s,8,12,31,3.25:1,Double Kill,empty,Galio,empty,empty,Leona,노오르딕,Nami,대한구구구구국제,Caitlyn,눈웃음 갑 박보영,Fizz,LetherZester,Katarina,발씻고자,Ekko,PMD91,Galio,JUGKlNG,Twitch,MIDKlNG,Lux,모두모두항복하길,Annie,노텔이야
5453125931,lose,ARAM,2021-09-15 03:56:28,16m 35s,16,10,13,2.90:1,Triple Kill,empty,Jhin,empty,empty,Senna,도서관댄스파티,Ashe,노오르딕,Gangplank,리 콜,Pantheon,LetherZester,Leona,병아리뺘기,Udyr,PMD91,Jhin,JUGKlNG,Neeko,MIDKlNG,Alistar,모두모두항복하길,Thresh,노텔이야
5453095869,win,ARAM,2021-09-15 03:37:26,22m 9s,9,15,31,2.67:1,empty,empty,Kayle,empty,empty,Alistar,늴리늴리,Aatrox,홍머꼴통,Lee Sin,Noah Owen,Twitch,Qnple,Kai'Sa,서렌좀치세요,Lillia,PMD91,Kayle,JUGKlNG,Aurelion Sol,MIDKlNG,Sivir,모두모두항복하길,Jinx,노텔이야
5453104541,win,ARAM,2021-09-15 03:13:26,24m 37s,16,15,20,2.40:1,Penta Kill,empty,Kalista,empty,empty,Rumble,PMD91,Kalista,JUGKlNG,Vayne,MIDKlNG,Katarina,모두모두항복하길,Gnar,노텔이야,Jayce,청라언덕역,Xerath,LetherZester,Anivia,되면좋고안됨말고,Lissandra,전 쟁,Tristana,판타지타운
5453162229,win,ARAM,2021-09-15 02:46:24,16m 41s,23,11,16,3.55:1,Penta Kill,empty,Vayne,empty,empty,Ashe,PMD91,Vayne,JUGKlNG,Anivia,MIDKlNG,Braum,모두모두항복하길,Syndra,노텔이야,Lissandra,김민수,Viego,울산 왕고1추,Zoe,SaltSplash,Janna,Megatera Zero,Kai'Sa,늙고병든괴물
