gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490217912,win,Ranked Solo,2021-10-04 05:41:14,29m 40s,10,11,7,1.55:1,Double Kill,MVP,Lucian,Master,empty,Yone,lucky iceland ,Kha'Zix,Μaverick,LeBlanc,coconut kid,Twitch,G2 Teddy,Yuumi,OMG ITS BOKU,Irelia,OnurTemiz,Nunu & Willump,Bruno el cabruno,Ryze,Dym le Chagrin,Lucian,CocaCola Monster,Nami,PippilOPPY
5490067136,win,Ranked Solo,2021-10-04 04:32:59,29m 39s,8,6,7,2.50:1,Double Kill,empty,Lucian,Diamond 1,empty,Aatrox,R174 ZZ RMS,Nidalee,asdgfdjui,Anivia,God Han Wenqing ,Aphelios,Mistr E,Thresh,Atypicalthresh,Akali,Nuguri auf Wish,Lillia,Nidalee is uwu,Talon,woshilqs,Lucian,CocaCola Monster,Nami,ACKERMÁN
5490100862,win,Ranked Solo,2021-10-04 03:58:17,24m 32s,5,8,10,1.88:1,Double Kill,empty,Draven,Master,empty,Camille,HeIsinki,Xin Zhao,TurboMoss,Xerath,yone and kayle,Draven,CocaCola Monster,Yuumi,Genius Monster,Heimerdinger,Blind Ruler,Viego,knv2,Sylas,woshilqs,Lucian,NNForsaken,Nami,PINW KAFE
5488631425,lose,Ranked Solo,2021-10-03 08:31:34,18m 41s,4,8,1,0.63:1,empty,empty,Lucian,Master,empty,Yone,tbh just kill me,Talon,LSADSDD,Katarina,Baby,Aphelios,StephenChe,Leona,kalp sparzmı,Darius,JEWZAURUS REX,Qiyana,SLARDAR KINGDOM,LeBlanc,Littlebuffbabe,Lucian,CocaCola Monster,Morgana,ºKokomiº
5488519203,lose,Ranked Solo,2021-10-03 08:04:16,18m 9s,5,8,2,0.88:1,Double Kill,ACE,Lucian,Master,empty,Vayne,Sorest,Qiyana,Dinner first,Ryze,Fαllεn 3,Lucian,CocaCola Monster,Nami,Sn1lle,Jax,Shiawase,Fiddlesticks,EtoTudaEtoSuda,Ezreal,moxokx,Tryndamere,nangman topsolo,Bard,Acorderr
5488571672,win,Ranked Solo,2021-10-03 07:33:29,28m 46s,10,5,10,4.00:1,Double Kill,empty,Vayne,Master,empty,Aatrox,Dyoll,Talon,UP5 Timbo,Zed,XXXXX Q0001,Vayne,CocaCola Monster,Lulu,Kuba Kaus,Irelia,Shiawase,Kindred,معزة,Sylas,Redeemedxyz,Samira,Ukranian,Amumu,Pötürgeli xD
5488420004,win,Ranked Solo,2021-10-03 06:55:47,18m 41s,11,2,7,9.00:1,Double Kill,MVP,Lucian,Master,empty,Camille,nangman topsolo,Lillia,JUNGLEKINGDOM123,Cassiopeia,Celterr1,Lucian,CocaCola Monster,Blitzcrank,ψτροφήψ,Renekton,brochette1,Kha'Zix,MightyXDragon v2,Karma,Bobby the Helper,Ezreal,Cóbb,Sona,EtoTudaEtoSuda
5488366791,lose,Ranked Solo,2021-10-03 05:59:55,38m 52s,5,13,11,1.23:1,empty,empty,Lucian,Master,empty,Camille,DONT DISSAPEAR,Hecarim,Final Prince,Azir,how lose,Draven,TwTv daudr9,Nami,5M Tiagito,Irelia,FIX SOL0Q,Talon,Not nexo rdy,LeBlanc,coconut kid,Lucian,CocaCola Monster,Karma,Ondib
5488189774,lose,Ranked Solo,2021-10-03 04:44:36,20m 12s,4,5,10,2.80:1,empty,empty,Ziggs,Master,empty,Graves,Stargazer7,Rek'Sai,Hero of Ferelden,Ryze,LBJLBJLBJLBJ1111,Miss Fortune,TooThose,Amumu,finnish ming,Tryndamere,Im fine thx you,Diana,tempsjgjlgslchok,Yasuo,7B DerScampi,Ziggs,CocaCola Monster,Nautilus,roy purdy1
5488204363,win,Ranked Solo,2021-10-03 04:14:16,23m 7s,8,5,7,3.00:1,Double Kill,empty,Lucian,Master,empty,Gnar,IegnA,Rengar,sako meile gydo,Fizz,backflip on adc,Lucian,CocaCola Monster,Nami,cirodalA,Jax,nesiseka,Viego,wincg,Vladimir,BIeed for me,Swain,Ipados,Sylas,kalp sparzmı
