gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5476660084,win,ARAM,2021-09-26 05:37:22,13m 42s,13,5,23,7.20:1,Double Kill,empty,Ziggs,empty,empty,Corki,AloeLite,Yasuo,프리메라곤,Nunu & Willump,느긋이 여유롭게,Karma,도야지두루치기,Twisted Fate,Feminist박원순,Alistar,우하림,Ziggs,DWG Ghost,Poppy,찐 석,Kalista,김건부,Fizz,도구원툴 유로
5476489192,lose,ARAM,2021-09-26 05:19:47,18m 24s,4,9,12,1.78:1,empty,empty,Graves,empty,empty,Qiyana,우하림,Graves,DWG Ghost,Orianna,찐 석,Jinx,김건부,Gragas,도구원툴 유로,Skarner,임꽃순,Miss Fortune,배방산야생빡빡이,Vex,히페리언,Ezreal,0O0O000O0O0O00O0,Lillia,미드만할줄앎
5476468490,lose,ARAM,2021-09-26 04:59:09,18m 55s,12,10,24,3.60:1,Triple Kill,empty,Aatrox,empty,empty,Trundle,쪽파가격대폭상승,Mordekaiser,니팬티노오래,Jinx,77GameLasee,Kalista,배방산야생빡빡이,Gragas,한솔아진화시켜줘,Tristana,우하림,Aatrox,DWG Ghost,Vladimir,찐 석,Azir,김건부,Zac,도구원툴 유로
5476477530,win,ARAM,2021-09-26 04:37:56,15m 41s,10,6,30,6.67:1,Double Kill,empty,Veigar,empty,empty,Kalista,우하림,Veigar,DWG Ghost,Lillia,찐 석,Shen,김건부,Senna,도구원툴 유로,Kai'Sa,민바님,Lee Sin,부처님패는예수님,Ekko,매운맛케인,Quinn,심영찬,Vayne,HANLSO
5476506174,win,ARAM,2021-09-26 04:19:28,15m 34s,12,9,17,3.22:1,Double Kill,empty,Jinx,empty,empty,Taliyah,온양랜드,Anivia,Kbross,Amumu,그의강력한한방,Blitzcrank,tribbini,Nasus,92ADC,Vayne,우하림,Jinx,DWG Ghost,Lillia,매사에 긍정,Nami,김건부,Rumble,도구원툴 유로
5475656973,win,URF,2021-09-25 21:18:33,14m 58s,20,8,6,3.25:1,Triple Kill,empty,LeBlanc,empty,empty,Graves,륀느륀느,Gangplank,밤탄소년단,Tristana,섹시 다리우스,LeBlanc,DWG Ghost,Ezreal,고독함에취한사람,Vladimir,성국이멘탈순두부,Blitzcrank,김씨전,Ezreal,미니독사 ,Jayce,ISOFILEANDNOT,Kayn,이미Jhin게임
5472906523,lose,Ranked Solo,2021-09-24 20:11:37,17m 39s,3,6,0,0.50:1,empty,empty,Aphelios,Master,empty,Aatrox,채 강 인,Kayn,IGzqx12313113,Syndra,비가 오고 나면,Aphelios,DWG Ghost,Nautilus,heeseong,Gangplank,huya lang D,Talon,xccccccvb,Sylas,따봉 람머스,Jinx,2017 07 12 ,Thresh,신비한 뱀
5472940693,lose,Ranked Solo,2021-09-24 19:46:22,21m 10s,8,5,3,2.20:1,Double Kill,ACE,Draven,Grandmaster,empty,Yasuo,감정이없어진로봇,Rek'Sai,BRO Listo,Vex,또깡98,Lucian,DLRUQHWKK,Lulu,wananpyh,Aatrox,내점수에잠이오냐,Nidalee,IGzqx12313113,Irelia,탈론쓰레기챔프,Draven,DWG Ghost,Thresh,heeseong
5472367702,lose,URF,2021-09-24 17:20:41,18m 54s,3,21,4,0.33:1,empty,empty,Tryndamere,empty,empty,Sylas,WWVWVWWWWWWVW,Taliyah,크캣66,LeBlanc,귀엽당,Zed,메이플하고싶누,Ryze,절대안빠짐,Nunu & Willump,정글안오면짖던개,LeBlanc,5인큐전용아이디,Tryndamere,DWG Ghost,Syndra,Ainh,Zed,Gopoleon
5472295174,lose,URF,2021-09-24 16:58:25,18m 50s,10,16,4,0.88:1,empty,empty,Tryndamere,empty,empty,Vladimir,설자하,Veigar,벡스 베이가,Diana,우와 너무 재밌다,Nidalee,서풋에 미련없음,Lillia,PlN 9,Sylas,서르찡,Tryndamere,DWG Ghost,Nunu & Willump,캣 귄,LeBlanc,Ainh,Pantheon,담양공무원
5472234966,lose,Ranked Solo,2021-09-24 16:11:35,32m 7s,8,7,10,2.57:1,Double Kill,empty,Lucian,Grandmaster,empty,Riven,T1 Canna,Nidalee,DK vvv,Qiyana,새콤달콤 하 다,Ezreal,xx7dz,Bard,리그오브레전드ll,Nocturne,탱 녹,Taliyah,Juhana,Graves,zhaozhaozhaoo,Lucian,DWG Ghost,Nami,Mocha
5472231095,win,Ranked Solo,2021-09-24 15:33:29,21m 17s,7,4,6,3.25:1,Double Kill,empty,Syndra,Master,empty,Irelia,xwbzgsjsd,Jarvan IV,이 차가 식기전에,Ryze,kismets,Syndra,DWG Ghost,Thresh,Mocha,Twisted Fate,sakuradog,Graves,zhaozhaozhaoo,Lulu,hggbexrloo,Jinx,little hamburger,Braum,G4MBLEER
5472167458,win,URF,2021-09-24 15:01:40,16m 54s,17,11,16,3.00:1,Triple Kill,empty,Lee Sin,empty,empty,Nidalee,뱅 굴,Blitzcrank,불족발먹고싶다,Kai'Sa,국밥먹고오른,Twitch,Royalty of top,Shaco,오민오,Lillia,강꼬릴,Lee Sin,DWG Ghost,Malzahar,DWG BeryL,Vayne,DK ShowMaker,Akali,엉덩이너무커
5472066803,lose,Ranked Solo,2021-09-24 13:42:15,30m 27s,5,6,16,3.50:1,empty,empty,Lucian,Master,empty,Jax,팬텀팬피그,Nidalee,민글러민글러,Irelia,분기충천등고자비,Lucian,DWG Ghost,Lux,szpt,Tryndamere,따봉 람머스,Xin Zhao,Taehyoung,Kassadin,LunaLina,Aphelios,satanzz,Blitzcrank,뷸 츠 
5471685930,win,Ranked Solo,2021-09-24 02:20:49,25m 36s,2,8,8,1.25:1,empty,empty,Aphelios,Master,empty,Gangplank,huya lang D,Ekko,who do you love,Lee Sin,langmanbusi,Aphelios,DWG Ghost,Thresh,from the rain,Aatrox,채 강 인,Graves,dkkkkkkkkkkkk,Akali,물마시다콜오들감,Ashe,aespa,Lulu,20040728
5471673105,win,Ranked Solo,2021-09-24 01:45:56,20m 45s,5,4,12,4.25:1,empty,empty,Vayne,Master,empty,Zac,02년생 자크,Taliyah,daobile,Jayce,langmanbusi,Samira,aespa,Yuumi,20040728,Kennen,공부하기시러요,Ekko,밀림 간 다,Katarina,늙은할아버지,Vayne,DWG Ghost,Morgana,응애응애1212
5471488837,lose,Ranked Solo,2021-09-24 01:13:16,24m 4s,3,5,3,1.20:1,Double Kill,ACE,Miss Fortune,Grandmaster,empty,Jayce,jingdaijieshu,Lee Sin,짜 룽,Akali,black kitty2000,Miss Fortune,DWG Ghost,Leona,20040728,Kennen,커피물조절장인,Taliyah,미드 사용법12,Talon,전상득,Tristana,xu you rong,Morgana,응애응애1212
5471465242,lose,Ranked Solo,2021-09-24 00:42:23,18m 35s,6,10,5,1.10:1,Double Kill,ACE,Vayne,Grandmaster,empty,Aatrox,jingdaijieshu,Zac,Alone N,Lucian,BMX1234,Vayne,DWG Ghost,Shaco,펜니르,Akshan,KT R MID,Graves,dont stop mebaby,Kennen,eightzz,Samira,jiaojiao,Thresh,Pooh n Bene
5471550093,win,Ranked Solo,2021-09-24 00:16:56,22m 11s,7,3,7,4.67:1,Double Kill,empty,Caitlyn,Master,empty,Kennen,eightzz,Jarvan IV,Alone N,Qiyana,Kratoscc,Caitlyn,DWG Ghost,Lux,szpt,Gangplank,huya lang D,Nunu & Willump,2780491374142752,Morgana,데스노트,Lucian,dont stop mebaby,Yuumi,jiaojiao
5471021328,win,Ranked Solo,2021-09-23 21:51:30,30m 12s,12,7,9,3.00:1,Triple Kill,empty,Aphelios,Master,empty,Irelia,wuliaodexianshi,Taliyah,2 C U Again,Qiyana,쵸비123,Aphelios,DWG Ghost,Thresh,Myeong ln,Jayce,jingdaijieshu,Elise,짜장시키신분1,Lucian,aespa,Samira,Springday,Leona,낭만 임기택
5469765304,lose,Ranked Solo,2021-09-23 01:30:36,30m 46s,14,10,7,2.10:1,Double Kill,ACE,Jinx,Master,empty,Jayce,Trisak,Xin Zhao,DK Leaf,Nunu & Willump,팀개못하면누누함,Jinx,DWG Ghost,Thresh,off Myself,Graves,HLE Baut,Nidalee,wndus,Talon,화원 아기,Miss Fortune,Kle3,Morgana,love beijixing
5469679732,win,Ranked Solo,2021-09-23 00:45:27,26m 25s,15,5,15,6.00:1,Double Kill,MVP,Vayne,Master,empty,Tahm Kench,lIlIIllIllllllll,Warwick,Ke Jun Da,Pyke,파이크 아크샨,Vayne,DWG Ghost,Lulu,제드팀 하원,Tryndamere,빅딜 이동하,Ekko,X46A,Viego,HuyaTV1016217,Kindred,wetfan,Amumu,새우초밥계란초밥
5469284591,lose,Ranked Solo,2021-09-22 21:02:08,31m 26s,14,11,13,2.45:1,Triple Kill,ACE,Lucian,Master,empty,Riven,순규박,Lee Sin,역시 핑핑,Ryze,i will pro,Aphelios,little hamburger,Thresh,I백년언약I,Lulu,짜요짜요먹고싶어,Graves,rocky2,Katarina,넝 꿀,Lucian,DWG Ghost,Nami,Uneasy0o0
5469098075,lose,Ranked Solo,2021-09-22 20:15:04,21m 10s,5,8,4,1.13:1,Double Kill,ACE,Lucian,Master,empty,Jax,DoRun,Lee Sin,늪에 빠지다1,Ryze,heisiwodezuiai,Draven,AF AiRu,Galio,sakuradog,Camille,Saint Diana,Zed,온 재,Syndra,초보강아지,Lucian,DWG Ghost,Pyke,3donghezecaoxian
5469142529,win,Ranked Solo,2021-09-22 19:48:28,22m 7s,6,3,10,5.33:1,empty,empty,Lucian,Master,empty,Renekton,참포도나무,Taliyah,늪에 빠지다1,Zed,전설이 될 남자,Lucian,DWG Ghost,Braum,I백년언약I,Irelia,울라프뿌삐워웍,Talon,rocky2,Anivia,xx7dz,Samira,T10 Berserker,Amumu,햄스터쳇바퀴인생
