gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5471190826,win,ARAM,2021-09-23 23:11:13,14m 33s,6,7,25,4.43:1,Double Kill,empty,Vladimir,empty,empty,Kayle,퍼킹애쉬홀,Aphelios,Even if Itry,Amumu,성 래,Jayce,골드레빗,Senna,번개빠따,Pyke,PMD91,Neeko,양대인,Sivir,우하림,Yuumi,DWG BeryL,Vladimir,푸쉬앞무빙선턴맨
5453132644,win,ARAM,2021-09-15 02:53:13,22m 11s,18,7,21,5.57:1,Quadra Kill,empty,Ryze,empty,empty,Twitch,Ever ,Sona,Narthecia,Jax,루프란,Veigar,갱장해허수야,Ahri,안올시오픈노서렌,Lucian,양대인,Taric,장 미,Alistar,우하림,Ryze,푸쉬앞무빙선턴맨,Nunu & Willump,배치차이 하잉
5407050555,lose,ARAM,2021-08-22 03:26:30,21m 11s,20,14,18,2.71:1,Penta Kill,empty,Azir,empty,empty,Senna,우하림,Nautilus,골목대장 준성이,Azir,푸쉬앞무빙선턴맨,Darius,BRO Lava ,Lux,용이식당,Braum,뜻밖의힘을얻은상,Swain,가락동플레이포럼,Caitlyn,군 밥,Heimerdinger,DEPX,Blitzcrank,아우소르
5383289846,win,Ranked Solo,2021-08-11 00:49:46,23m 38s,6,7,8,2.00:1,empty,empty,Aphelios,Grandmaster,empty,Lee Sin,Shirakami Fubuk1,Diana,호 신 ,Akshan,우으으어어엉,Yasuo,행복하고싶다하하,Nautilus,krole,Fiora,폼 팡,Viego,으라차차으라차차,Lulu,새우초밥계란초밥,Aphelios,푸쉬앞무빙선턴맨,Karma,Happy Cats
5370846981,lose,Ranked Solo,2021-08-05 01:38:28,23m 24s,5,7,4,1.29:1,Double Kill,empty,Aphelios,Grandmaster,empty,Tahm Kench,BSM 조보웅,Viego,산속의 토끼,Orianna,타락파워조이,Jinx,Mung,Thresh,고등학생,Cassiopeia,shamoluotuo,Lee Sin,박투신,Riven,Azhy,Aphelios,푸쉬앞무빙선턴맨,Nautilus,krole
5370664889,lose,Ranked Solo,2021-08-05 00:15:07,18m 48s,0,5,1,0.20:1,empty,empty,Varus,Grandmaster,empty,Camille,ireliagwen,Lee Sin,미드조지기,LeBlanc,Gen G Rascal,Varus,푸쉬앞무빙선턴맨,Braum,아무무무무무0,Riven,Azhy,Rek'Sai,FA Young JG,Syndra,KT R MID,Jinx,nehcaL,Thresh,Shadow Winsome
5370640316,lose,Ranked Solo,2021-08-04 23:48:26,15m 30s,1,6,2,0.50:1,empty,empty,Aphelios,Master,empty,Irelia,화창한날맑은구름,Lee Sin,부산여행 떠나기,Sylas,PandaCCC,Samira,BRO A AD,Gragas,shui men,Akali,yzxcv,Volibear,으라차차으라차차,Kennen,요들 장전,Aphelios,푸쉬앞무빙선턴맨,Thresh,JUG242SH
5369960212,lose,Ranked Solo,2021-08-04 17:07:00,20m 59s,2,7,7,1.29:1,empty,empty,Ziggs,Grandmaster,empty,Irelia,miemiemie,Graves,hyckrrwzsn,Sylas,놀이터여행자,Ziggs,푸쉬앞무빙선턴맨,Shen,쉔과나의연결고리,Lee Sin,The shy,Viego,푹 쉬면서 해요 ,LeBlanc,gasagao,Kai'Sa,Ez Kaisa,Senna,Road1
5368997227,win,Ranked Solo,2021-08-04 02:35:22,15m 50s,2,1,3,5.00:1,empty,empty,Aphelios,Grandmaster,empty,Yasuo,Pyo ZZang,Gragas,T1 F0rest,Kennen,폼 팡,Kai'Sa,opqqpo,Rell,xiaoqiupup,Fiora,kfo,Viego,Jenney,Syndra,HLE Mask,Aphelios,푸쉬앞무빙선턴맨,Janna,heeseong
5367026389,lose,Ranked Solo,2021-08-03 02:41:57,33m 49s,12,9,3,1.67:1,Double Kill,empty,Aphelios,Grandmaster,empty,Aatrox,KT Dove,Nidalee,SPG BaeKHo,Lucian,미북이,Aphelios,푸쉬앞무빙선턴맨,Thresh,powfu boy,Sett,wodesry,Kindred,DRX 홍창현,Syndra,BRO Yaharong,Samira,Gon123,Nautilus,참새크면비둘기
5367053235,win,Ranked Solo,2021-08-03 01:59:09,14m 41s,9,0,4,Perfect,MVP,empty,Aphelios,Grandmaster,empty,Lillia,FA Azhi,Lee Sin,미드잘하는정글러,LeBlanc,KT Dove,Aphelios,푸쉬앞무빙선턴맨,Thresh,알레산드로 델,Viego,공부하기시러요,Rumble,무한열차 승객,Kalista,폭탄치우기,Lucian,BRO Yaharong,Neeko,Nierland
5366818748,lose,Ranked Solo,2021-08-03 01:27:51,22m 50s,3,5,4,1.40:1,ACE,empty,Aphelios,Grandmaster,empty,Sett,AASSH,Rumble,늪에 빠지다1,Yasuo,uppi,Aphelios,푸쉬앞무빙선턴맨,Galio,szygszn,Lee Sin,T1 Roach,Diana,woshifeji,Talon,에 넥,Kalista,Kle3,Trundle,BRO Delight
5366802896,win,Ranked Solo,2021-08-03 00:58:55,32m 47s,2,8,19,2.63:1,empty,empty,Braum,Grandmaster,empty,Tahm Kench,Hakunaa Matata,Zac,역시폭군,Ahri,마레리트,Ashe,Gen G Ruler,Braum,푸쉬앞무빙선턴맨,Sett,But you,Nidalee,Avocadoda,Talon,에 넥,Aphelios,rekresreb,Leona,szygszn
