gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490148210,lose,Ranked Solo,2021-10-04 05:26:38,24m 14s,6,3,4,3.33:1,Double Kill,ACE,Graves,Master,empty,Yone,tbh just kill me,Kayn,Jonąs,Sylas,DecentKing,Jinx,Pinky windy,Yuumi,player 240,Graves,Headache Man,Hecarim,Doaenel Hecarim,Cassiopeia,NewWorld enjoyer,Jhin,Paralift,Nautilus,Hoketo
5490161634,win,Ranked Solo,2021-10-04 04:51:22,22m 24s,7,3,7,4.67:1,empty,empty,Graves,Master,empty,Irelia,zhugemeng,Qiyana,Chaoxiang JJ,Ryze,Jin Mu Wοn,Kai'Sa,Ukranian,Nautilus,Panda bleu,Graves,Headache Man,Taliyah,pospieszny do d1,Yone,2Cups,Lucian,TOPSHOTTA99,Braum,PinkMin
5490133636,lose,Ranked Solo,2021-10-04 04:19:32,21m 40s,4,8,2,0.75:1,ACE,empty,Graves,Master,empty,Graves,Headache Man,Lee Sin,sako meile gydo,Zoe,Harbo,Lucian,Glαssy Sky,Rakan,S10 l R1,Olaf,El Monkito Vroum,Hecarim,Doaenel Hecarim,Sylas,byeeeeeee,Kai'Sa,Adison997,Alistar,QQ Pawelek6
5489243022,win,Ranked Solo,2021-10-03 23:19:27,39m 4s,9,9,15,2.67:1,Triple Kill,MVP,Graves,Master,empty,Gragas,Wheel Skeleton,Ekko,Achillês,Yasuo,Cypiisuo,Lucian,Xenxo,Rakan,GNLGNL,Graves,Headache Man,Kayn,manumatador,Xerath,Xerath Gang,Draven,Black Sabbath,Amumu,F tier supp
5488934878,win,Ranked Solo,2021-10-03 19:44:26,39m 39s,9,9,10,2.11:1,Double Kill,empty,Irelia,Master,empty,Irelia,Headache Man,Xin Zhao,ARMATejani2,Zoe,ShowMakerVillain,Ziggs,T1 Sorry zz,Amumu,Motleyy Crew,Jax,Schwabbelmadron,Lee Sin,S11Tian,Corki,Unyielding Hero,Lucian,Shyelander,Karma,Paolocannone
5488591374,lose,Ranked Solo,2021-10-03 08:26:09,24m 8s,2,4,6,2.00:1,Double Kill,empty,Lee Sin,Master,empty,Jax,YQSH,Lee Sin,Headache Man,Syndra,kimchi open1,Vayne,u r dead wrong,Lulu,Capitana Nugget,Yone,89 fds 126,Graves,S11Tian,LeBlanc,Λ R V E N ,Soraka,Kasing 1,Senna,Motleyy Crew
5488574331,win,Ranked Solo,2021-10-03 07:51:52,26m 46s,4,3,7,3.67:1,empty,empty,Jayce,Master,empty,Fiora,Thel1ttletiger,Lee Sin,1v9wheneveriwąnt,Sylas,Demon Pun1sher,Lucian,2021Worlds0171,Nami,ACKERMÁN,Jayce,Headache Man,Taliyah,S11Tian,Yone,byeeeeeee,Aphelios,dzc,Lulu,Kandoomagic
5488562017,lose,Ranked Solo,2021-10-03 07:14:53,15m 24s,2,5,2,0.80:1,empty,empty,Fiora,Master,empty,Camille,superbigfun,Lillia,NinaAnnaJenny,Irelia,byeeeeeee,Kai'Sa,pretty thoughts1,Amumu,wow cold,Sylas,unzebeel2,Nidalee, Terrºr,Yasuo,HörAufZuFeeden,Tristana,Màrtîn Dérèk,Fiora,Headache Man
5488456906,win,Ranked Solo,2021-10-03 06:48:58,24m 14s,9,3,9,6.00:1,Triple Kill,empty,Quinn,Master,empty,Fiora,Davitzon,Lee Sin,Dinner first,Kog'Maw,MnymMnym6,Lucian,2021Worlds0171,Lulu,ºKokomiº,Quinn,Headache Man,Rek'Sai,Win or Valhalla,Vex,I love mages,Cassiopeia,prev,Nami,5M Tiagito
5488422898,lose,Ranked Solo,2021-10-03 06:16:29,22m 5s,2,7,4,0.86:1,empty,empty,Shen,Master,empty,Shen,Headache Man,Poppy,NE Kaihua,Ryze,xFlavour4youGirl,Jinx,MnymMnym6,Yuumi,ºKokomiº,Twisted Fate,ZONGO LE DOZØ,Kindred,معزة,Orianna,Viikingr,Varus,Röyhkeä,Nautilus,Lari
5488279896,win,Ranked Solo,2021-10-03 05:12:42,29m 42s,7,5,4,2.20:1,Double Kill,MVP,Fiora,Master,empty,Irelia,zhugemeng,Taliyah,yDeepS,Galio,GaIio Gaming,Caitlyn,ROAR Bluestrat,Nami,SUP Toxic Keskin,Fiora,Headache Man,Kindred,cam bardak oIsun,Anivia,God Han Wenqing ,Draven,the hood Jcll,Yuumi,Only 151 Pokemon
5488255157,win,Ranked Solo,2021-10-03 04:25:01,19m 43s,14,0,5,Perfect,Triple Kill,MVP,Jax,Master,empty,Jax,Headache Man,Lee Sin,eva002,Kayle,22G Pøbel,Lucian,TOPSHOTTA99,Yuumi,Owelius,Wukong,punish me senpai,Jarvan IV,Fαllεn 3,Galio,ArkAn StarDust,Varus,Terseras,Nami,heal ad plz
5488178995,lose,Ranked Solo,2021-10-03 03:56:10,26m 39s,0,6,6,1.00:1,empty,empty,Aatrox,Master,empty,Aatrox,Headache Man,Kha'Zix,otkachalka681,Kayle,Riven vs 9,Jinx,kcvawsreiuyopdgz,Janna,Sαn,Tryndamere,Khoyev,Rek'Sai,MightyXDragon v2,Orianna,Abdu Roz1k ,Draven,Black Sabbath,Amumu,blonde mina
5487904101,win,Ranked Solo,2021-10-03 00:44:10,30m 5s,7,8,11,2.25:1,Double Kill,empty,Gragas,Master,empty,Gragas,Headache Man,Diana,This will pass,Qiyana,DÄMONEN,Miss Fortune,i Iove hot moms,Rakan,2021Worlds0173,Jax,Geâss1,Talon,tempsjgjlgslchok,Sylas,SOLNEX,Xayah,dzc,Thresh,Paixdia
5487798141,lose,Ranked Solo,2021-10-02 23:58:33,28m 40s,11,6,9,3.33:1,Double Kill,ACE,Graves,Diamond 2,empty,Graves,Headache Man,Zed,kimchi2,Ekko,KrDjoo,Lucian,i Iove hot moms,Thresh,kalp sparzmı,Akali,Ventairxyz,Nidalee,LFT Anonymouss,Lee Sin,zhuο yifan,Xayah,RuthIes,Rakan,Redemption Galio
5487822335,win,Ranked Solo,2021-10-02 23:22:20,26m 3s,8,4,7,3.75:1,Double Kill,empty,Vladimir,Master,empty,Yone,BèAnn,Karthus,Luminous Insight,Twisted Fate,protågonist,Ashe,God Han Wenqing ,Lulu,CORONA EQUALS 5G,Vladimir,Headache Man,Talon,manumatador,Galio,Silverdrunks V2,Draven,Laa7ch ,Amumu,samo mute all
5487556458,win,Ranked Solo,2021-10-02 19:44:58,15m 46s,4,1,3,7.00:1,empty,empty,Gragas,Master,empty,Jax,mam dość tej gry,Lee Sin,This will pass,Talon,SpacegliderMarto,Jinx,scrxptlxss,Vel'Koz,Campi0ne,Gragas,Headache Man,Kha'Zix,S11Tian,Yone,SANTORYU USER,Kai'Sa,Laa7ch ,Amumu,Aglaro
5487485463,lose,Ranked Solo,2021-10-02 19:21:45,20m 38s,3,9,5,0.89:1,ACE,empty,Fiora,Master,empty,Irelia,superbigfun,Ekko,S11Tian,Talon,SpacegliderMarto,Ezreal,scrxptlxss,Karma,Haeryung,Fiora,Headache Man,Viego,aeongi,Karthus,Miwcio,Draven,K Λ M l,Rakan,Aglaro
