gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5471466063,win,Ranked Solo,2021-09-24 00:51:33,22m 57s,3,6,10,2.17:1,empty,empty,Gragas,Grandmaster,empty,Gragas,elole,Viego,Love dont stop,Tryndamere,a new beginn1ng,Xayah,아 나이뜨,Leona,햄스터쳇바퀴인생,Poppy,돌이킬 수 있는,Nidalee,무식하면 짖어,Talon,시간의 숲,Jinx,Ottogl,Anivia,douyu TV 9018814
5471209097,lose,Ranked Solo,2021-09-24 00:19:02,32m 39s,4,11,7,1.00:1,empty,empty,Kennen,Grandmaster,empty,Kennen,elole,Talon,리액션단돈만원 ,Cassiopeia,사막낙타,Lucian,kaixin1dian,Braum,Practice,Jayce,La K game,Kha'Zix,처피뱅 카와이,Qiyana,못할 때도 있지,Tristana,튀자튀자아,Rakan,BigFour44
5471107660,lose,Ranked Solo,2021-09-23 23:12:35,28m 48s,8,10,4,1.20:1,empty,empty,Wukong,Grandmaster,empty,Fiora,Saint Diana,Hecarim,이 차가 식기전에,Syndra,IIIlllIIIlllIIII,Lucian,Rumor22,Blitzcrank,fuzhu carry,Wukong,elole,Kha'Zix,처피뱅 카와이,Sylas,tulufan,Ezreal,RiHoo,Swain,black kitty2000
5467582256,win,ARAM,2021-09-22 05:01:23,27m 25s,10,13,24,2.62:1,empty,empty,Twisted Fate,empty,empty,Ezreal,순두부계란열라면,Lux,허것덩,Alistar,한양대 학점킬러,Tahm Kench,사하아스,Orianna,고양이 정글러,Caitlyn,건브로,Twisted Fate,elole,Shaco,AFTV고돌,Nautilus,TOWTOW,Ahri,DF The Feeling
5467600339,win,ARAM,2021-09-22 04:31:50,23m 23s,20,10,35,5.50:1,Triple Kill,empty,Sivir,empty,empty,Yasuo,건브로,Sivir,elole,Blitzcrank,GOTYedition,Lee Sin,AFTV고돌,Gragas,그라인드,Lucian,꼬소해,Ashe,꿈을 가진 청년,Jarvan IV,레오나7,Shaco,쾌락쟁이,Talon,La rissa
5451602358,win,Ranked Solo,2021-09-14 13:00:37,29m 43s,9,10,9,1.80:1,empty,empty,Jayce,Master,empty,Jayce,elole,Nidalee,일산전영찬,Lee Sin,식혜커플존버 ,Ezreal,JJ0ng 묻었네,Amumu,AF Le5,Quinn,발러야 밥먹자,Viego,아크샨밴의 신,Syndra,7777케이,Kog'Maw,천많정하,Lulu,은정우
5451373286,lose,ARAM,2021-09-14 03:01:07,22m 22s,15,13,24,3.00:1,Double Kill,empty,Tryndamere,empty,empty,Lux,게같은새끼,Caitlyn,건브로,Tryndamere,elole,Gnar,Where is TOFU,Thresh,골드의왕 송민규,Nasus,추석시골송편도둑,Ekko,깐부주사위는내꺼,Pantheon,질 투,Brand,플레이아데스,Morgana,화이트모카아이스
5451340951,win,Ranked Solo,2021-09-14 02:20:00,22m 55s,6,6,3,1.50:1,empty,empty,Jayce,Grandmaster,empty,Jayce,elole,Lee Sin,3donghezecaoxian,Galio,Tangyuando,Ezreal,JJ0ng 묻었네,Vel'Koz,Kimwinter,Gwen,Gen G Rascal,Graves,Gen G Clid,Lulu,LunaLina,Aphelios,skwhadlrlffo,Thresh,Practice
5451311784,lose,Ranked Solo,2021-09-14 00:59:48,22m 33s,4,12,3,0.58:1,empty,empty,Kennen,Grandmaster,empty,Kennen,elole,Jarvan IV,Ellyyy,Heimerdinger,어리고싶다,Samira,DK Lucid,Sett,고등학생,Sylas,LSB DDahyuk,Zed,Co24,Corki,으 하하 맛 있 어,Ezreal,원딜연습중입니닷,Trundle,EatDIE EATdie
5451206970,win,Ranked Solo,2021-09-14 00:26:16,23m 52s,7,3,9,5.33:1,Double Kill,empty,Kennen,Grandmaster,empty,Jayce,공부하기시러요,Lee Sin,Co24,Lucian,shamoluotuo,Ziggs,원딜연습중입니닷,Tahm Kench,고등학생,Kennen,elole,Nocturne,Ellyyy,Zed,ZED99,Kai'Sa,참 몬났다,Gragas,awsdrfgyhjik
