gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5473006668,win,Ranked Solo,2021-09-24 21:01:49,21m 24s,3,1,5,8.00:1,MVP,empty,Jayce,Master,empty,Aatrox,내점수에잠이오냐,Ekko,u cant die,Orianna,우따따따따따뚜겐,Lucian,21 DW 22 1,Alistar,Dnehraw,Jayce,모두모두항복하길,Taliyah,2 C U Again,Zed,전설이 될 남자,Tristana,Betty9,Zyra,잠수빈
5472183606,win,Ranked Solo,2021-09-24 16:05:40,40m 44s,4,13,25,2.23:1,empty,empty,Karma,Master,empty,Riven,T1 Zeus,Zac,02년생 자크,Kennen,eightzz,Draven,usakifan,Trundle,커피물조절장인,Rumble,Untara,Lee Sin,존몬터규샌드위치,LeBlanc,KT VicLa,Ezreal,Ottogl,Karma,모두모두항복하길
5471066178,lose,Ranked Solo,2021-09-23 22:14:45,26m 34s,11,7,6,2.43:1,Double Kill,ACE,Camille,Master,empty,Camille,모두모두항복하길,Gragas,DK Lucid,Galio,lucky boy2,Aphelios,시간 침전,Thresh,Mocha,Fiora,화원 아기,Ekko,u cant die,Graves,borenzhuan,Miss Fortune,Kle3,Leona,안타까운 세상
5469626507,lose,Ranked Solo,2021-09-23 00:15:30,20m 8s,2,8,4,0.75:1,ACE,empty,Camille,Grandmaster,empty,Camille,모두모두항복하길,Lee Sin,Love dont stop,Katarina,Emilia tan,Jinx,어제보단잘하자,Thresh,Practice,Fiora,ke bei,Nocturne,Hengzzz,Ryze,haoyunba0bel,Miss Fortune,zxcsazxcazdz,Seraphine,옆동산외계인
5469442586,win,Ranked Solo,2021-09-22 22:27:27,35m 54s,10,12,11,1.75:1,Double Kill,empty,Lucian,Grandmaster,empty,Gwen,강의 듀오 제드팀,Poppy,광팔햄,Tryndamere,미북이,Kai'Sa,bai si yyds,Leona,fuzhu carry,Jayce,Yorick,Lillia,타 잔,Lucian,모두모두항복하길,Ezreal,하 루 가절 반 ,Sett,새콤달콤 하 다
5469162404,lose,Ranked Solo,2021-09-22 19:55:37,29m 8s,10,8,10,2.50:1,Double Kill,empty,Viego,Grandmaster,empty,Kennen,사 용 수,Jarvan IV,06 05 19,Sett,Tangyuando,Lucian,홀플레인,Galio,Let me sup,Tryndamere,fa 01 top,Viego,모두모두항복하길,Katarina,분신컨트롤,Ezreal,NekoL,Gragas,Kimwinter
5468743158,win,Ranked Solo,2021-09-22 19:07:20,29m 44s,7,4,2,2.25:1,Double Kill,MVP,Fiora,Master,empty,Irelia,Saint Diana,Zed,kaixin1dian,Lissandra,노 빅,Ezreal,haoyunba0bel,Karma,SHCH0,Fiora,모두모두항복하길,Lee Sin,리액션단돈만원 ,LeBlanc,Slowly Song,Lucian,NekoL,Nami,xiaoqiupup
5468675755,win,Ranked Solo,2021-09-22 18:19:49,19m 0s,12,3,9,7.00:1,Triple Kill,empty,Lucian,Grandmaster,empty,Ezreal,NekoL,Lee Sin,3donghezecaoxian,Twisted Fate,viper3,Lucian,모두모두항복하길,Amumu,선생님 맛없어요,Quinn,살퀸레,Nidalee,a little story,Vayne,북극곰 아프다,Jinx,BTS 아오미네,Nami,옆동산외계인
5468559008,win,ARAM,2021-09-22 17:43:13,19m 57s,20,10,29,4.90:1,Triple Kill,empty,Xayah,empty,empty,Jayce,건브로,Brand,AFTV고돌,Seraphine,어제간식메뉴,Warwick,어제저녁메뉴,Xayah,모두모두항복하길,Renekton,수체미,LeBlanc,Twice의 다현,Akali,힘들힘들,Lucian,수체폿,Tristana,SKT T1 엘리스
5468454036,lose,ARAM,2021-09-22 16:29:34,17m 49s,6,8,5,1.38:1,empty,empty,Veigar,empty,empty,Jax,피 오,Jinx,엔마 구독자,Akali,Gen G Clid,Katarina,제발낙지,Veigar,모두모두항복하길,Jhin,허  겸,Orianna,칼바람 게이커,Ornn,개꿀맛사카린,LeBlanc,울산 탑신병자,Varus,재이밍 팍
5468334982,lose,Ranked Solo,2021-09-22 16:06:01,32m 55s,6,13,2,0.62:1,ACE,empty,Jayce,Grandmaster,empty,Jayce,모두모두항복하길,Talon,Gen G Clid,LeBlanc,sakuradog,Samira,향 깃,Rell,DFM GAENG,Camille,LSB DDahyuk,Graves,이러다 다 D져,Twisted Fate,으 하하 맛 있 어,Kai'Sa,pingwozhijiedian,Galio,Let me sup
5468217784,lose,Ranked Solo,2021-09-22 15:10:51,16m 7s,2,4,1,0.75:1,empty,empty,Aatrox,Master,empty,Dr. Mundo,신순댕,Taliyah,orah,LeBlanc,sakuradog,Draven,천많정하,Leona,강의 듀오 코코팀,Yasuo,조댁근1,Karthus,듀오 강의 제드팀,Aatrox,모두모두항복하길,Samira,BAA Su,Amumu,kukuking
5468280443,lose,Ranked Solo,2021-09-22 14:37:04,20m 35s,1,9,1,0.22:1,empty,empty,Jayce,Master,empty,Fiora,huntiandi1,Nunu & Willump,2780491374142752,Lissandra,200731,Samira,long yan jing yi,Sett,기모링딩동1,Jayce,모두모두항복하길,Talon,haoye1,Zoe,xwbzgsjsd,Lucian,원 할수,Amumu,DWG BeryL
5468104639,win,Ranked Solo,2021-09-22 14:00:43,21m 36s,4,5,2,1.20:1,empty,empty,Fiora,Diamond 2,empty,Yorick,미드 리신 미드,Nidalee,침착맨삼국지여포,Jayce,고슴도치의딜레마,Aphelios,BerylSKS,Thresh,FNmhoMmaITl8Z50I,Fiora,모두모두항복하길,Lee Sin,카타탈론원챔죽어,Rumble,재간동실이,Miss Fortune,q12,Pyke,예쁘게 말해줘요
5468046939,lose,Ranked Solo,2021-09-22 13:00:55,19m 51s,4,3,3,2.33:1,Double Kill,ACE,Camille,Master,empty,Kled,xyy1,Ekko,wetfan,Sylas,Tangyuando,Ezreal,MIDKlNG,Leona,기모링딩동1,Camille,모두모두항복하길,Nunu & Willump,2780491374142752,Lucian,xwbzgsjsd,Miss Fortune,구글 롤코코팀,Amumu,98kix
5460293162,lose,Ranked Solo,2021-09-18 22:37:54,24m 37s,3,12,3,0.50:1,Double Kill,empty,Gwen,Master,empty,Irelia,07년생 무뇌 탑,Jarvan IV,정현심,Zoe,wu nai da fa,Twitch,xiamulan,Yuumi,짜요짜요먹고싶어,Gwen,모두모두항복하길,Lee Sin,예 쁘 면 돼,Yone,입털면 6완두콩,Cassiopeia,NxxN,Karma,방귀붕붕이
5459516948,lose,Ranked Solo,2021-09-18 17:26:18,25m 28s,3,5,3,1.20:1,empty,empty,LeBlanc,Grandmaster,empty,Jayce,Liiv Summit,Lee Sin,심신미안,LeBlanc,모두모두항복하길,Ziggs,fuzhu carry,Amumu,옆동산외계인,Kennen,Trisak,Rek'Sai,우울적울컥,Irelia,ao that day,Kai'Sa,bai si yyds,Karma,Happy Cats
5459179918,lose,Ranked Solo,2021-09-18 15:45:52,16m 0s,5,7,2,1.00:1,ACE,empty,Jayce,Grandmaster,empty,Irelia,i am Decade,Lee Sin,Ellyyy,Taliyah,기차나나나나,Miss Fortune,zxcsazxcazdz,Leona,초코땡이,Yone,Innocent crown,Nidalee,Haru0304,Jayce,모두모두항복하길,Samira,carrryy,Maokai,언젠가만나게되는
