gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490159621,lose,Ranked Solo,2021-10-04 05:37:27,25m 13s,0,10,7,0.70:1,empty,empty,Lucian,Master,empty,Fiora,205833,Nocturne,Deztined,Kayle,IIIlIIIlIII1,Lucian,2021Worlds0150,Nami,Frode,Riven,Sοlipsism,Talon,بدر,Vex,Modliszka,Ezreal,Eneino,Yuumi,SMB Kireas
5490213279,win,Ranked Solo,2021-10-04 05:05:19,19m 52s,6,7,8,2.00:1,Double Kill,empty,Lucian,Master,empty,Wukong,OnurTemiz,Gwen,potatoporcupine1,Ahri,yone and kayle,Lucian,2021Worlds0150,Nami,Kandoomagic,Aatrox,DeCypher1,Nidalee,asdgfdjui,Mordekaiser,mute until chall,Draven,NNForsaken,Amumu,23iko
5490059905,lose,Ranked Solo,2021-10-04 04:39:55,22m 14s,5,9,3,0.89:1,ACE,empty,Miss Fortune,Master,empty,Jax,Kât l ï Äm,Talon,tempsjgjlgslchok,Cassiopeia,prev,Draven,i Iove hot moms,Zilean,Laymo,Gangplank,Qíshì9,Ekko,SloppyWalrusX,Ryze,Mysterias,Miss Fortune,2021Worlds0150,Amumu,Deffaren
5490062162,lose,Ranked Solo,2021-10-04 04:07:27,31m 1s,15,5,8,4.60:1,Double Kill,ACE,Ezreal,Master,empty,Yasuo,23iko,Diana,brhoch wa3r,Yone,BLACKMETALTERROR,Draven,duye,Zilean,TSM fanboiii,Aatrox,Tziz,Karthus,NHWK,Zoe,burek enjoyer,Ezreal,2021Worlds0150,Karma,Laymo
5488713733,lose,Ranked Solo,2021-10-03 11:39:20,27m 39s,1,3,4,1.67:1,empty,empty,Caitlyn,Master,empty,Jayce,Thel1ttletiger,Evelynn,heal ad plz,Irelia,kimchi open1,Caitlyn,2021Worlds0150,Karma,Such a bad mood,Tahm Kench,tbh just kill me,Kayn,erased jgl,Anivia,Bonya Slade,Lucian,Whiterog,Rakan,Yomsito
5488692188,win,Ranked Solo,2021-10-03 10:59:34,32m 7s,9,6,6,2.50:1,MVP,empty,Aphelios,Master,empty,Gangplank,Zolazy,Poppy,LDNU Dunlosi,Akali,White Steel Eel,Lucian,xumäS,Nami,Brøøk,Aatrox,Sack,Kayn,Verdal,Syndra,LOUIS 21Y,Aphelios,2021Worlds0150,Thresh,KiIIuα Zoldyck
5488669039,lose,Ranked Solo,2021-10-03 10:18:47,20m 37s,0,7,5,0.71:1,empty,empty,Caitlyn,Master,empty,Sett,404 Jobart,Diana,SimpMaterial,Qiyana,hu7chyXXXbeifeng,Caitlyn,2021Worlds0150,Brand,GNf Bobby,Gnar,TBL imPerfect,Ekko,White Steel Eel,Yone,BLACKMETALTERROR,Jhin,sQûiiRReL,Rakan,XERSUS7
5488637594,win,Ranked Solo,2021-10-03 09:48:21,23m 59s,13,5,7,4.00:1,Double Kill,MVP,Miss Fortune,Master,empty,Darius,AngryBros,Zed,Egirls Favorite,Irelia,byeeeeeee,Miss Fortune,2021Worlds0150,Swain,DJ SWAGPANTS,Fiora,Mädchen,Shaco,SLARDAR KINGDOM,Tryndamere,Genius Monster,Kalista,ROAR IvanDrago,Sylas,kalp sparzmı
5488579552,win,Ranked Solo,2021-10-03 08:30:30,19m 10s,15,1,3,18.00:1,Triple Kill,empty,Lucian,Master,empty,Quinn,Captain Quinn,Ekko,Barsas,Qiyana,chaD legnD,Kai'Sa,pretty thoughts1,Pyke,Brøøk,Lux,Verdal,Jarvan IV,Pêpê,Akshan,Veecto,Lucian,2021Worlds0150,Rakan,Peto1
5488488373,win,Ranked Solo,2021-10-03 07:57:04,22m 32s,7,5,9,3.20:1,empty,empty,Ezreal,Master,empty,Sett,eau de jouvence,Ekko,brhoch wa3r,Yone,Wayzen reborn,Miss Fortune,9 19 Night,Pyke,cirodalA,Riven, Terrºr,Nunu & Willump,Mrentorox,Vladimir,BornThisWay7,Ezreal,2021Worlds0150,Karma,training acc 1
