gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5475787209,lose,Ranked Solo,2021-09-25 22:21:49,35m 6s,8,9,12,2.22:1,Quadra Kill,ACE,Kai'Sa,Master,empty,Ryze,load CxRCW2mKSIG,Lee Sin,borenzhuan,Zoe,하얗고예쁨,Kai'Sa,42141321,Trundle,T1 Minous,Shen,에르피디,Viego,langmanbusi,Qiyana,못할 때도 있지,Cassiopeia,라데시 너어,Nautilus,Slayder
5474750059,win,Ranked Solo,2021-09-25 15:44:32,15m 19s,2,1,6,8.00:1,empty,empty,Ezreal,Grandmaster,empty,Irelia,포동포동아기물개,Talon,byz,Sylas,Tangyuando,Ezreal,42141321,Maokai,xiaoShu ovo,Yone,05프로하고싶어요,Ekko,Gen G Quid,Jayce,miemiemie,Vayne,가민준,Leona,전상득
5474162713,win,Ranked Solo,2021-09-25 03:48:54,28m 22s,3,8,15,2.25:1,empty,empty,Miss Fortune,Grandmaster,empty,Malphite,간다라쿤다,Talon,jingshen qiang,Corki,SPG BaeKHo,Miss Fortune,42141321,Vex,광팔햄,Pantheon,못할 때도 있지,Nidalee,미드조지기,Yone,미 호,Kai'Sa,haoyunba0bel,Amumu,11baby
5474072961,lose,Ranked Solo,2021-09-25 02:31:57,28m 51s,8,10,9,1.70:1,Double Kill,empty,Jhin,Grandmaster,empty,Karma,로se,Lillia,YAYAQAQ,Tryndamere,Hide on bush,Jhin,42141321,Alistar,고등학생,Poppy,BJ갈배,Kha'Zix,처피뱅 카와이,LeBlanc,SPG BaeKHo,Draven,JJ0ng 묻었네,Leona,11baby
5473756364,win,Ranked Solo,2021-09-25 01:45:30,26m 2s,15,4,10,6.25:1,Triple Kill,empty,Vayne,Master,empty,Jayce,blwy1,Talon,Jzzcjmzh,Sylas,평화로운 행동대장 에그타르트,Vayne,42141321,Galio,레일리리,Gragas,ignominious,Nidalee,oabco,Tryndamere,kaixin1dian,Lucian,QmwmQ,Rakan,기모링딩동1
5473569285,win,Ranked Solo,2021-09-25 01:06:33,24m 59s,11,2,9,10.00:1,Double Kill,MVP,Kai'Sa,Grandmaster,empty,Jax,blwy1,Trundle,oabco,LeBlanc,챌 봇 감,Lucian,아이러니하구만,Nami,레일리리,Irelia,i am Decade,Ekko,로이갓전용노예,Twisted Fate,Headshrinker,Kai'Sa,42141321,Braum,리그오브레전드ll
5473535939,lose,Ranked Solo,2021-09-25 00:20:36,27m 3s,0,6,2,0.33:1,empty,empty,Zoe,Grandmaster,empty,Kennen,DRX1234,Talon,jingshen qiang,Zoe,42141321,Kai'Sa,이기고오쉽당,Blitzcrank,Let me sup,Gwen,Liiv gyuvee,Lee Sin,Shadow HamBak ,Orianna,구체맛좀볼래,Vayne,하 루 가절 반 ,Lulu,메이 츄르 좋아해
5473211057,win,Ranked Solo,2021-09-24 22:07:57,27m 37s,7,6,4,1.83:1,empty,empty,Caitlyn,Grandmaster,empty,Karthus,Return To U,Qiyana,Juhana,Sett,kaixin1dian,Aphelios,skwhadlrlffo,Lulu,메이 츄르 좋아해,Camille,북극곰 아프다,Ekko,love beijixing,Galio,wulaidafa,Caitlyn,42141321,Seraphine,kwqejksad
5473131291,lose,Ranked Solo,2021-09-24 21:22:31,20m 0s,3,6,2,0.83:1,empty,empty,Vayne,Grandmaster,empty,Tryndamere,T1 Canna,Xin Zhao,Lee weon bin,LeBlanc,mingjiao,Ezreal,im trash,Leona,미드 사용법12,Jax,213435,Jarvan IV,Return To U,Vex,댜 쨩,Vayne,42141321,Lulu,TwitchTV석빵빈
5472956498,lose,Ranked Solo,2021-09-24 20:27:18,28m 9s,6,7,16,3.14:1,empty,empty,Draven,Grandmaster,empty,Taric,DangerousBoy ady,Talon,리액션단돈만원 ,LeBlanc,Sutkressuree,Twitch,T1 Gumayusi,Amumu,짐승왕 보노보모,Lucian,BTS 아오미네,Ekko,DK Lucid,Renekton,BRO Yaharong,Draven,42141321,Alistar,영원한 건 없으니
5472951629,win,Ranked Solo,2021-09-24 19:49:12,17m 1s,7,2,12,9.50:1,Double Kill,empty,Miss Fortune,Grandmaster,empty,Quinn,살퀸레,Sejuani,Cuzz,Zoe,강아지도 좋아,Miss Fortune,42141321,Karma,안타까운 세상,Lulu,Fiora,Gragas,우울적울컥,Akshan,Indexy,Aphelios,평범한 숟가락,Camille,이기고오쉽당
5472088608,lose,Ranked Solo,2021-09-24 15:01:31,15m 42s,3,5,2,1.00:1,ACE,empty,Miss Fortune,Grandmaster,empty,Jax,한타 잘하고싶당,Talon,Love dont stop,Sylas,시간의 숲,Miss Fortune,42141321,Amumu,화원 아기,Riven,순뀨박,Nidalee,Fox B Osu,Qiyana,새콤달콤 하 다,Lucian,xx7dz,Lulu,hggbexrloo
5472081883,win,Ranked Solo,2021-09-24 14:06:57,15m 43s,4,1,6,10.00:1,MVP,empty,Lucian,Grandmaster,empty,Wukong,77GameZting,Gragas,Co24,Orianna,miemiemie,Lucian,42141321,Karma,DWG Muru,Mordekaiser,DK Chasy,Talon,juil,Lulu,LunaLina,Ezreal,kuledougensui,Nami,MNTNMNTNM
