gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5474173397,win,Ranked Solo,2021-09-25 03:55:47,22m 52s,9,1,6,15.00:1,Double Kill,MVP,Yasuo,Grandmaster,empty,Lee Sin,DRX1234,Ekko,끼릭끼리릭,Yasuo,DK ShowMaker,Kai'Sa,하 루 가절 반 ,Amumu,호잇이,Jax,wodesry,Karthus,byz,Viego,권 지 인,Lucian,짐승 잡종 인간,Nami,KT Way
5472167458,win,URF,2021-09-24 15:01:40,16m 54s,9,6,6,2.50:1,Double Kill,empty,Vayne,empty,empty,Nidalee,뱅 굴,Blitzcrank,불족발먹고싶다,Kai'Sa,국밥먹고오른,Twitch,Royalty of top,Shaco,오민오,Lillia,강꼬릴,Lee Sin,DWG Ghost,Malzahar,DWG BeryL,Vayne,DK ShowMaker,Akali,엉덩이너무커
5471517684,win,Ranked Solo,2021-09-24 01:07:03,23m 39s,13,4,10,5.75:1,Double Kill,MVP,Tryndamere,Grandmaster,empty,Riven,오동1,Nidalee,T1 F0rest,Tryndamere,DK ShowMaker,Aphelios,길고먼여행지,Karma,심리 건들지마,Irelia,샤오 쑤,Ekko,미소의눈동자,Qiyana,SanShengWanWu,Draven,T1 Gumayusi,Sett,짐승 잡종 인간
5469698542,lose,Ranked Solo,2021-09-23 01:42:13,21m 30s,5,2,4,4.50:1,ACE,empty,Ziggs,Grandmaster,empty,Jayce,ziyou,Diana,Hengzzz,Yone,은가뉴,Heimerdinger,PhasedKiller,Amumu,곽곽보성,Aatrox,미소의눈동자,Qiyana,나는변신할것이다,Irelia,dustmqdyd12,Ziggs,DK ShowMaker,Rell,SHCH0
5469633680,lose,Ranked Solo,2021-09-22 23:55:27,15m 59s,3,4,1,1.00:1,empty,empty,Fizz,Grandmaster,empty,Jax,FA Decky,Talon,Cuzz,Ryze,단군의청춘부재,Aphelios,zszzz,Karma,곽곽보성,Camille,Hakunaa Matata,Zed,     la ji game,Fizz,DK ShowMaker,Lucian,하 루 가절 반 ,Nami,Yi bing chao
5469538725,lose,Ranked Solo,2021-09-22 23:32:40,20m 25s,0,7,3,0.43:1,empty,empty,Ezreal,Grandmaster,empty,Poppy,수희0,Taliyah,byz,Irelia,Hakunaa Matata,Lucian,BTS 아오미네,Lulu,Yi bing chao,Aatrox,T1 Canna,Ekko,jingshen qiang,Ezreal,DK ShowMaker,Kalista,Gen G Ruler,Alistar,ANG TV
5469428918,win,Ranked Solo,2021-09-22 22:45:12,23m 16s,10,8,8,2.25:1,empty,empty,Sylas,Grandmaster,empty,Lulu,Fiora,Jarvan IV,N0T Angry,Sylas,DK ShowMaker,Aphelios,푹 쉬면서 해요 ,Blitzcrank,concesslon,Jayce,FA Decky,Zac,나는변신할것이다,Katarina,Emilia tan,Ashe,아이린,Trundle,Yi bing chao
5469359154,lose,Ranked Solo,2021-09-22 22:04:49,28m 53s,6,7,1,1.00:1,ACE,empty,Tryndamere,Grandmaster,empty,Jayce,Kimwinter,Lillia,누쇤퍅,Tryndamere,DK ShowMaker,Aphelios,어딘가좀아픈사람,Thresh,Destiny,Kennen,깨달음을얻은남자,Qiyana,난 워낙 노빠꾸라,Orianna,Shadow FA 03,Lucian,T1 Gumayusi,Soraka,숟뀨락
5458474032,win,Ranked Solo,2021-09-18 01:50:28,24m 20s,12,3,8,6.67:1,Triple Kill,MVP,Tryndamere,Challenger,empty,Graves,AASSH,Talon,xhr,Twisted Fate,CIoudburst,Ezreal,항상배고픈코그모,Sylas,BRO Delight,Jayce,Gen G Burdol,Gragas,우울적울컥,Tryndamere,DK ShowMaker,Kindred,아라드,Rakan,우주방패
5456397997,win,Ranked Solo,2021-09-17 03:34:39,34m 38s,9,7,7,2.29:1,Double Kill,empty,Tryndamere,Grandmaster,empty,Kennen,DRX1234,Taliyah,이러다 다 D져,Tryndamere,DK ShowMaker,Xayah,irasu1,Galio,Practice,Ryze,Liiv gyuvee,Zac,곽곽보성,Talon,검색 구글 제드팀,Lucian,이기고오쉽당,Amumu,Let me sup
