gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5471269045,win,Ranked Solo,2021-09-24 00:09:10,19m 25s,0,5,2,0.40:1,empty,empty,Irelia,Challenger,empty,Gnar,T1 Zeus,Lee Sin,짐승 짭종 인간,LeBlanc,디알엑스 제트,Draven,BRO Hena,Pyke,Honpi,Renekton,오동1,Ekko,nodfan,Irelia,MIDKlNG,Miss Fortune,DK Kingdom,Rakan,Yi bing chao
5469678648,lose,Ranked Solo,2021-09-23 00:27:55,15m 54s,0,8,2,0.25:1,empty,empty,Jax,Grandmaster,empty,Camille,Gen G Burdol,Graves,N0T Angry,Ryze,단군의청춘부재,Caitlyn,길고먼여행지,Thresh,Shadow Winsome,Jax,MIDKlNG,Diana,나는변신할것이다,Qiyana,못할 때도 있지,Aphelios,hao yun bao bei,Karma,곽곽보성
5468286659,win,Ranked Solo,2021-09-22 15:22:29,32m 29s,7,3,6,4.33:1,Double Kill,empty,Kog'Maw,Grandmaster,empty,Jarvan IV,Return To U,Lee Sin,싸움 기피증,Kog'Maw,MIDKlNG,Samira,long yan jing yi,Rell,DFM GAENG,Jayce,byz,Zac,역시폭군,Ryze,love beijixing,Vayne,구글 롤코코팀,Thresh,Cherry Bloss0m
5468147947,win,Ranked Solo,2021-09-22 14:21:54,20m 38s,1,1,2,3.00:1,empty,empty,Anivia,Grandmaster,empty,Riven,Azhy,Lee Sin,우울적울컥,Anivia,MIDKlNG,Ziggs,듀오강의코코팀,Leona,L1sure,Mordekaiser,Gen G Burdol,Graves,Love dont stop,Lulu,LunaLina,Lucian,JJ0ng 묻었네,Braum,호잇이
5468111939,win,Ranked Solo,2021-09-22 13:49:57,30m 37s,6,10,11,1.70:1,Double Kill,empty,Ezreal,Grandmaster,empty,Vayne,북극곰 아프다,Lee Sin,심신미안,Galio,퀸 세연,Ezreal,MIDKlNG,Bard,Purpo지니,Riven,Azhy,Ekko,Co24,Tryndamere,함구무언1,Lucian,Chang Min ,Amumu,나는성공할것이다
5468046939,win,Ranked Solo,2021-09-22 13:00:55,19m 51s,6,1,9,15.00:1,Double Kill,empty,Ezreal,Master,empty,Kled,xyy1,Ekko,wetfan,Sylas,Tangyuando,Ezreal,MIDKlNG,Leona,기모링딩동1,Camille,모두모두항복하길,Nunu & Willump,2780491374142752,Lucian,xwbzgsjsd,Miss Fortune,구글 롤코코팀,Amumu,98kix
5459179585,lose,Ranked Solo,2021-09-18 15:49:45,21m 47s,5,9,2,0.78:1,Double Kill,empty,Tryndamere,Grandmaster,empty,Quinn,Fiora,Nidalee,nnzc,Ryze,미북이,Lucian,Gen G Ruler,Nami,곽곽보성,Gragas,롤 강의 코코팀,Taliyah,Gen G Clid,Tryndamere,MIDKlNG,Draven,BRO Hena,Blitzcrank,한영원
5458872848,win,Ranked Solo,2021-09-18 13:07:25,38m 17s,13,2,12,12.50:1,Double Kill,MVP,LeBlanc,Grandmaster,empty,Jayce,포동포동아기물개,Jarvan IV,Return To U,Kassadin,LunaLina,Miss Fortune,평범한 숟가락,Zilean,의빈아열심히살자,Aatrox,다딱이 담당일진,Lee Sin,모두모두항복하길,LeBlanc,MIDKlNG,Jhin,구글 롤코코팀,Thresh,Creative Self
5458487025,win,Ranked Solo,2021-09-18 03:27:55,19m 5s,11,1,8,19.00:1,MVP,empty,Lee Sin,Grandmaster,empty,Mordekaiser,ziyou,Rek'Sai,우울적울컥,Lee Sin,MIDKlNG,Aphelios,짐승 잡종 인간,Thresh,Let me sup,Yone,갱붕이,Zed,a little story,Fiora,A2ST,Syndra,항상배고픈코그모,Blitzcrank,SHCH0
5458478684,lose,Ranked Solo,2021-09-18 02:33:29,34m 44s,10,6,8,3.00:1,Double Kill,empty,Ezreal,Grandmaster,empty,Gangplank,DK Ira,Olaf,Fox B Osu,Zoe,KT VicLa,Ezreal,MIDKlNG,Karma,곽곽보성,Poppy,수희0,Diana,포식자,Yasuo,검색 구글 제드팀,Miss Fortune,짐승 잡종 인간,Nautilus,Trisak
