gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490281061,win,Ranked Solo,2021-10-04 05:53:41,27m 31s,14,5,7,4.20:1,Double Kill,empty,Lucian,Master,empty,Garen,H ι r o,Lee Sin,nap ability,Vladimir,Canard Mandarin,Miss Fortune,C9 ZVENNN,Amumu,PQPAANLS,Aatrox,UMBBBBBBBBBBB,Fiddlesticks,EUW VILLAIN,Yone,ssimpli,Lucian,SHøWMAKéR,Nami,godzaimeris
5490122931,lose,Ranked Solo,2021-10-04 04:19:35,31m 3s,5,11,6,1.00:1,empty,empty,Sylas,Grandmaster,empty,Camille,chance no exist,Ekko,Loumuis,Teemo,easymoneysniper1,Tristana,EDGVIPEREDGVIPER,Nami,WatchMyPuppets,Aatrox,Finn1,Graves,HEART F STEEL,Sylas,SHøWMAKéR,Lucian,EDG Innaxe,Karma,Advienne
5489527668,win,Ranked Solo,2021-10-04 01:31:37,23m 58s,11,4,12,5.75:1,Double Kill,empty,Yasuo,Grandmaster,empty,Jayce,papi oscαr,Sylas,Booker DeWitt 77,Irelia,phlaty,Annie,Sebekx,Pyke, JungDostoevskiy,Malphite,dofaminu,Lee Sin,gaengsin,Yasuo,SHøWMAKéR,Karthus,twtchtvELOSANTA,Bard,BroIia
5489359261,win,Ranked Solo,2021-10-04 00:42:13,26m 4s,5,8,9,1.75:1,empty,empty,Jayce,Grandmaster,empty,Aatrox,SK Alois,Nidalee,123Tarzan,Yone,Blodreinaaaaa,Draven,Kaττen,Twitch,Undercover CameL,Graves,ΙrreΙevant,Ekko,Loumuis,Jayce,SHøWMAKéR,Jinx,BlauBarschBube,Amumu,Myrtus
5489384919,win,Ranked Solo,2021-10-04 00:10:54,16m 29s,3,3,3,2.00:1,empty,empty,Yone,Grandmaster,empty,Fiora,TSIPER,Kha'Zix,Hadeslol,Cassiopeia,Mood rings,Vayne,CaÞs,Rakan,Myrtus,Jayce,Szygenda,Nidalee,ismaaa,Yone,SHøWMAKéR,Tristana,Supaaa,Pyke,death ends
5489282735,win,Ranked Solo,2021-10-03 23:03:31,21m 52s,7,2,10,8.50:1,MVP,empty,Sylas,Grandmaster,empty,Camille,hgjmn7,Nidalee,nap ability,Yone,BROHAN AND SEKKI,Aphelios,Emtest,Thresh,Chouineur 1,Shen,Πανούλης,Kha'Zix,Retired Yung,Sylas,SHøWMAKéR,Senna,Dannny,Bard,LiL TommyG
5488955626,win,Ranked Solo,2021-10-03 19:35:55,19m 55s,13,6,10,3.83:1,Triple Kill,MVP,Ezreal,Grandmaster,empty,Tahm Kench,PEWPEWPEWPEWPEWP,Ekko,HRN Joinze,Twisted Fate,Sebeks,Draven,Kaττen,Rakan,skain24,Kled,Katchy22,Nidalee,snail xD,Ryze,RGE Larssεn,Ezreal,SHøWMAKéR,Nautilus,Apolo y Dafne
5488883647,win,Ranked Solo,2021-10-03 19:07:47,27m 9s,7,5,9,3.20:1,empty,empty,Sylas,Grandmaster,empty,Shen,Bestejdercan,Talon,Smooth Guy,Sylas,SHøWMAKéR,Draven,Kaττen,Nami,Qnoxs,Yone,PEWPEWPEWPEWPEWP,Nidalee,HRN Joinze,Sett,Jαvier,Lucian,IlIlIlIlIllIlIl,Leona,sixsixsi666
5488838913,lose,Ranked Solo,2021-10-03 18:29:33,27m 43s,7,6,5,2.00:1,Double Kill,empty,Lucian,Grandmaster,empty,Jax,TurningBackTime1,Nidalee,snail xD,Yone,7zx,Lucian,SHøWMAKéR,Nami,Qnoxs,Camille,SK Alois,Master Yi,Austrian Yi,Seraphine,Jαvier,Draven,Frappii Jabami,Leona,sixsixsi666
5488873936,win,Ranked Solo,2021-10-03 17:47:57,31m 16s,5,3,13,6.00:1,empty,empty,Zoe,Master,empty,Irelia,onlyfans makony,Rengar,EKIPAF0ND,Xerath,yone and kayle,Ezreal,bnaduhas,Bard,sixsixsi666,Aatrox,demotion,Kayn,Austrian Yi,Zoe,SHøWMAKéR,Jhin,JAMES HUNT,Leona,L Prime 1
5488389334,win,Ranked Solo,2021-10-03 07:00:35,32m 6s,7,6,9,2.67:1,empty,empty,LeBlanc,Grandmaster,empty,Garen,H ι r o,Zed,sheo test acc,LeBlanc,SHøWMAKéR,Yasuo,BROHAN AND SEKKI,Nami,godzaimeris,Riven,tetris guden,Rumble,easymoneysniper1,Talon, hege int acc1,Seraphine,UOL Doedalo,Rakan,PIYCRIGY
5488378748,win,Ranked Solo,2021-10-03 06:09:43,30m 37s,10,4,7,4.25:1,Double Kill,MVP,Lucian,Grandmaster,empty,Aatrox,SK Alois,Rammus,BR Lord Semi,Kassadin,maciej wartak,Ezreal,Gilius1,Pyke,WANNADIVE,Jax,SRB Jungler 47,Lee Sin,C9 Blaberfish2,Yone,MSF Sertuss,Lucian,SHøWMAKéR,Lulu,HAHHAHAHAHAXXDDD
5488325804,lose,Ranked Solo,2021-10-03 05:32:44,23m 38s,1,7,2,0.43:1,empty,empty,Sylas,Master,empty,Shen,bausffs movement,Graves,357159,Irelia,Samyaza33,Cassiopeia,Sτoπεd Snαke,Rakan,Quinncidence,Riven,15 08 2006,Zed,NattyNatt,Sylas,SHøWMAKéR,Jinx,Nero Forte,Lulu,wowx
5488200231,lose,Ranked Solo,2021-10-03 05:02:56,35m 33s,6,7,3,1.29:1,empty,empty,Yone,Grandmaster,empty,Kennen,me like solobolo,Graves,357159,Tryndamere,00N Kerberos,Ezreal,SPOLFCEI,Soraka,High Øn Life,Riven, ممزق,Nidalee,blrzr,Yone,SHøWMAKéR,Aphelios,quack1,Thresh,NanamiHakuya
5488195243,win,Ranked Solo,2021-10-03 04:21:58,27m 3s,11,4,13,6.00:1,Double Kill,empty,Sylas,Grandmaster,empty,Singed,Ragnér3,Graves,357159,Sylas,SHøWMAKéR,Lucian,motus vetiti,Nami,NanamiHakuya,Irelia,dajor25 movement,Hecarim,Doaenel Hecarim,Yasuo,Tοαst,Tristana,SPOLFCEI,Karma,SPEEDOBEAR
