gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490320487,win,Ranked Solo,2021-10-04 05:49:57,23m 10s,7,3,6,4.33:1,empty,empty,Irelia,Master,empty,Tahm Kench,SLARDAR KINGDOM,Rengar,LEGALLY INSANE,Akali,Mohe dance hall,Lucian,eskíí,Nami,Sewayx,Irelia,YQSH,Jarvan IV,KobeeeeBryant,Yasuo,S1ayter,Draven,12 yo cute egirl,Amumu,Im cute uwu
5488925338,lose,Ranked Solo,2021-10-03 19:40:29,32m 40s,5,6,3,1.33:1,empty,empty,Graves,Master,empty,Graves,YQSH,Gragas,LngLng,Irelia,Kekseres,Jinx,ATL JuJuTw0,Thresh,Hyosha,Illaoi,Dtry,Talon,tempsjgjlgslchok,Sylas,KassaEve ,Kog'Maw,fjoompbun,Lulu,LVG White Lotus
5488652988,lose,Ranked Solo,2021-10-03 09:00:45,25m 31s,3,5,3,1.20:1,ACE,empty,Graves,Master,empty,Graves,YQSH,Kayn,Sl0tMach1n3,Cassiopeia,Akugyo,Aphelios,Αrυka,Lulu,TurtleShock v2,Olaf,El Monkito Vroum,Kha'Zix,fart like dopa,Ryze,Scúffed,Lucian,2021Worlds0171,Nami,blonde mina
5488591374,lose,Ranked Solo,2021-10-03 08:26:09,24m 8s,6,5,2,1.60:1,ACE,empty,Jax,Master,empty,Jax,YQSH,Lee Sin,Headache Man,Syndra,kimchi open1,Vayne,u r dead wrong,Lulu,Capitana Nugget,Yone,89 fds 126,Graves,S11Tian,LeBlanc,Λ R V E N ,Soraka,Kasing 1,Senna,Motleyy Crew
5488555092,lose,Ranked Solo,2021-10-03 07:52:27,29m 43s,15,6,6,3.50:1,Double Kill,ACE,Quinn,Diamond 1,empty,Quinn,YQSH,Graves,Want to do well,Vex,Azzapp,Lucian,Nero Forte,Soraka,player 240,Darius,Makuna Hatataº,Ivern,Yami Yuumî,Tryndamere,Scúffed,Aphelios,LDNU Aklass,Nami,2021Worlds0173
5488521155,win,Ranked Solo,2021-10-03 07:15:09,26m 34s,10,6,13,3.83:1,Triple Kill,MVP,Aatrox,Master,empty,Aatrox,YQSH,Nunu & Willump,zillakami dogboy,Xerath,Jukester,Tristana,CREØN,Pyke,Traypo,Kled,ZONGO LE DOZØ,Zac,PatateVolante,Yone,GSK Tixn,Ezreal,Michal Fiebich ,Sylas,r plus seven
5487505594,win,Ranked Solo,2021-10-02 19:35:43,28m 41s,12,7,12,3.43:1,Double Kill,MVP,Jayce,Master,empty,Sion,Sips Freelo,Lee Sin,BIood drippin,Katarina,Erisu,Kai'Sa,n 456,Nautilus,hoppini djuniyr,Jayce,YQSH,Rengar,Shére khán,Lissandra,2021Worlds,Tristana,Achuu,Alistar,DUMAN
5487183957,win,Ranked Solo,2021-10-02 08:39:33,25m 1s,17,8,6,2.88:1,Double Kill,MVP,Fiora,Master,empty,Renekton,TwTv NMB Jordan,Talon,POWLERTALON,Cassiopeia,Demon Pun1sher,Jinx,Mistil,Thresh,Ące Hardlight,Fiora,YQSH,Karthus,Luminous Insight,Yone,2021Worlds0019,Lucian,CANT STØP ME NOW,Yuumi,YoRHa No2 Type B
5487160436,lose,Ranked Solo,2021-10-02 08:06:14,9m 16s,0,0,0,0.00:1,empty,empty,Janna,Master,empty,Urgot,zPoPCorNz,Xin Zhao,moxokx,Twitch,Lari,Twisted Fate,QKI1,Rakan,Τadej Pogačar,Ziggs,Ące Hardlight,Kindred,SMB Kireas,Janna,YQSH,Fiora,GNLGNL,Senna,Mistil
5487097405,win,Ranked Solo,2021-10-02 07:47:52,28m 53s,15,5,8,4.60:1,Triple Kill,MVP,Jax,Master,empty,Jax,YQSH,Lee Sin,Jungler3,Seraphine,Gaunter O Dimm,Twitch,Lari,Morgana,Jellyglitter,Wukong,LittIe Trouble,Kayn,DUALIPAadfhgkdgk,Akali,PAMELA DINDON,Kai'Sa,GNLGNL,Rakan,ψτροφήψ
5487152640,win,Ranked Solo,2021-10-02 07:12:04,16m 2s,3,3,1,1.33:1,empty,empty,Aatrox,Master,empty,Aatrox,YQSH,Rengar,sako meile gydo,Ryze,woshilqs,Miss Fortune,Lari,Rell,ight,Sett,LittIe Trouble,Volibear,MightyXDragon v2,Corki,manumatador,Xayah,11235,Gragas,MarianAiC
5487037259,lose,Ranked Solo,2021-10-02 06:44:16,26m 16s,10,9,2,1.33:1,Triple Kill,empty,Graves,Master,empty,Gwen,Sirius blake,Qiyana,L9 SUSSY BAKA,Sett,woshilqs,Ezreal,11235,Lulu,Its Gary Snail,Graves,YQSH,Diana,fasfafszfasfzxf,Yasuo,HörAufZuFeeden,Draven,no drama ty,Amumu,Kog diff
5486963981,win,Ranked Solo,2021-10-02 06:10:47,21m 30s,8,2,4,6.00:1,Double Kill,MVP,Graves,Master,empty,Graves,YQSH,Kha'Zix,potatoporcupine1,Kassadin,4856379,Lucian,Paralift,Soraka,Suken,Irelia,ArcaneTeddy,Kayn,503,Ryze,woshilqs,Aphelios,who is rhythm,Nami,UnmaskeD Sup Acc
5485883921,win,Ranked Solo,2021-10-01 19:54:48,34m 44s,8,5,3,2.20:1,Double Kill,empty,Jax,Master,empty,Graves,S11Tian,Rengar,lοbozo13,Yone,sign me already,Seraphine,KIT Maroc3k,Swain,BanChemtankShen,Jax,YQSH,Talon,MadCl0wn,Zoe,Sarnonne,Ezreal,Idyllicy,Pyke,Sekkσnd
5485583239,win,Ranked Solo,2021-10-01 08:23:23,35m 41s,15,5,12,5.40:1,Double Kill,MVP,Fiora,Diamond 1,empty,Aatrox,Maged2,Jarvan IV,tempyhdueggzxebb,Ryze,woshilqs,Draven,BYG Liang,Xerath,IJN Kashino,Fiora,YQSH,Kindred,YIia,Viktor,Nice Guy Ben,Lucian,take a moment,Nami,5M Tiagito
5485541670,win,Ranked Solo,2021-10-01 07:41:09,21m 1s,1,6,6,1.17:1,empty,empty,Jayce,Master,empty,Aatrox,Kosan,Karthus,Luminous Insight,LeBlanc,Cveps,Miss Fortune,jhinsamiradraven,Amumu,HGSS,Jayce,YQSH,Xin Zhao,Todzio,Cassiopeia,Kodzυken,Draven,Dräven,Blitzcrank,PD Zapdo
5485497455,win,Ranked Solo,2021-10-01 07:08:39,15m 52s,9,1,1,10.00:1,empty,empty,Sylas,Diamond 1,empty,Urgot,UrgoIncognito,Jarvan IV,Worst Zac EUW,Syndra,Cest CRlNGE,Ziggs,KIT Maroc3k,Janna,Dear Donda,Sylas,YQSH,Lee Sin,Dean v3,LeBlanc,NewWorld enjoyer,Tristana,dzc,Rell,ight
5485421287,win,Ranked Solo,2021-10-01 06:30:18,33m 58s,6,10,5,1.10:1,empty,empty,Graves,Master,empty,Shen,FOXA Uhtred,Qiyana,SWIR PALETA ,Twisted Fate,Twist,Kog'Maw,Blackprr,Lulu,kalp sparzmı,Irelia,dajor25 movement,Graves,YQSH,Ryze,Nice Guy Ben,Jinx,Mistil,Janna,LOOΠΔ Kirin
5485238053,win,Ranked Solo,2021-10-01 04:56:23,20m 12s,9,2,3,6.00:1,Double Kill,empty,Aatrox,Master,empty,Tryndamere,CritAndSplit,Qiyana,L V 2 3 3 ,Ziggs,Zigmund Freud,Miss Fortune,krysun,Senna,Zuı,Aatrox,YQSH,Jarvan IV,PusiWho,Vladimir,baxeler,Ezreal,2021Worlds0076,Seraphine,FTY Nox
5485232134,win,Ranked Solo,2021-10-01 04:28:56,26m 23s,12,6,8,3.33:1,Triple Kill,empty,Irelia,Master,empty,Camille,Τragödie,Graves,Last Chance 4S,Kayle,Upset,Lucian,krysun,Syndra,jhinsamiradraven,Irelia,YQSH,Qiyana,yüzenköfte,Vex,Opossos,Ezreal,LFT RustySniper,Seraphine,Stunna boy
5484403033,win,Ranked Solo,2021-09-30 08:57:10,20m 49s,6,2,7,6.50:1,empty,empty,Kennen,Master,empty,Singed,LevelZeroFangirl,Viego,dhskv,Sylas,Karzzy11,Lucian,ME WAN BIG BATTY,Janna,NoIngameChatDiff,Kennen,YQSH,Talon,POWLERTALON,Kassadin,Ryofu,Samira,Me dash me int,Amumu,heal ad plz
5484351241,lose,Ranked Solo,2021-09-30 08:28:07,30m 21s,7,9,7,1.56:1,ACE,empty,Jayce,Diamond 2,empty,Camille,UP5 FornoReason,Nidalee,Twtvv Nidaslave,Kassadin,Ryofu,Tristana,Me dash me int,Maokai,ElîWood,Jayce,YQSH,Karthus,Azade,Cassiopeia,SK Snake,Kai'Sa,2021Worlds0150,Rumble,Phôsphoros
5484228133,win,Ranked Solo,2021-09-30 07:51:09,28m 47s,9,5,14,4.60:1,Triple Kill,empty,Jax,Master,empty,Jax,YQSH,Qiyana,Expecto Patrounm,Sylas,Kimchi3,Vayne,WOΕ,Amumu,GNLGNL,Aatrox,Stargazer7,Jarvan IV,This will pass,Irelia,Goldguns88,Karthus,Spray x,Bard,Cest CRlNGE
5484233042,win,Ranked Solo,2021-09-30 07:11:24,31m 59s,23,5,12,7.00:1,Triple Kill,empty,Vladimir,Diamond 1,empty,Vladimir,YQSH,Talon,Bilar,Annie,Vafrous,Lucian,Peaceful Lodik,Nami,noxsb,Fiora,PSG Helper,Volibear,Polish LeBron,Xerath, Hokage Sama TnT,Ziggs,Farrak,Karma,ashryver3
5484128518,win,Ranked Solo,2021-09-30 06:30:50,24m 27s,18,7,9,3.86:1,Double Kill,MVP,Fiora,Diamond 1,empty,Fiora,YQSH,Kayn,NARCISST EGOIST,Syndra,VEGETA IS DZ,Draven,bvffi,Nautilus,scopata,Aatrox,chomaker,Lee Sin,on a regular,Kassadin,Ryofu,Seraphine,XerRaý,Bard,2 1
5484123189,win,Ranked Solo,2021-09-30 05:55:18,23m 5s,4,6,7,1.83:1,empty,empty,Graves,Master,empty,Kayle,I WANNA BWIPO,Karthus,Tricacole,Gragas,snKarma,Kai'Sa,ACE Sumolini,Leona,MrSaltt,Gnar,VININE Cluey,Graves,YQSH,Cho'Gath,aLdaGOD,Lucian,2219413,Braum,7AM AdaMed
5483965110,win,Ranked Solo,2021-09-30 04:16:37,21m 57s,9,4,4,3.25:1,Double Kill,empty,Sylas,Diamond 1,empty,Malphite,menninkäine,Olaf,BVEBVEA,Xerath,Immortoru,Ezreal,White Whales,Zyra,xProAqua,Sylas,YQSH,Talon,POWLERTALON,Tryndamere,Kimchi3,Syndra,SwitchUnit,Amumu,WKR Sirmake
5483899446,win,Ranked Solo,2021-09-30 03:47:51,24m 36s,8,7,4,1.71:1,empty,empty,Graves,Master,empty,Aatrox,lucky iceland ,Kha'Zix,POWLERTALON,Diana,Immortoru,Lucian,Bôlt,Nami,Omega Panda ,Graves,YQSH,Zed,Kimchi3,Twisted Fate,Jin Mu Wοn,Varus,SwitchUnit,Nautilus,WKR Sirmake
5483903823,win,Ranked Solo,2021-09-30 03:07:46,18m 49s,1,5,3,0.80:1,empty,empty,Kennen,Diamond 1,empty,Nasus,WSL Axe thrower,Olaf,Poopmaker,Katarina,Katarina Macro,Kai'Sa,FNC Upset12,Nautilus,Spaceberry,Kennen,YQSH,Kha'Zix,i wont get mad,Tryndamere,Kimchi3,Lucian,LFT Giubi,Amumu,YTSearch Hanabi
5482959300,lose,Ranked Solo,2021-09-29 19:33:27,25m 48s,4,5,5,1.80:1,ACE,empty,Kennen,Diamond 1,empty,Kennen,YQSH,Jarvan IV,Kíñ2,Yone,FULLMUTEGG,Caitlyn,V I X Z Y,Morgana,MrSaltt,Gangplank,2021Worlds0113,Graves,GENK Pieter05,Vex,midali,Kai'Sa,headpat me uwu,Amumu,LanPeiFang
5482684313,win,Ranked Solo,2021-09-29 08:48:30,20m 16s,4,5,1,1.00:1,empty,empty,Jayce,Diamond 3,empty,Mordekaiser,Fifoko,Nidalee,9 19 Night,Irelia,Iallare,Draven,IcelandWalrus,Ekko,wow cold,Jayce,YQSH,Talon,wincg,Katarina,toxicskai,Lucian,ADADAD141414,Amumu,acaweamsdacqwqwe
5482659334,lose,Ranked Solo,2021-09-29 08:17:27,35m 39s,8,5,3,2.20:1,empty,empty,Gangplank,Diamond 2,empty,Sett,Skye Sunday,Fiddlesticks,Gusar ayy,Gangplank,YQSH,Ezreal,ADADAD141414,Karma,acaweamsdacqwqwe,Vex,DeCypher1,Graves,apffysb,Akali,kníght zz,Vayne,Perfect Serenity,Lulu,Mental Slave
5482607049,lose,Ranked Solo,2021-09-29 07:33:34,20m 35s,0,9,4,0.44:1,empty,empty,Gangplank,Master,empty,Darius,Kaloodge,Jarvan IV,hutii,Lissandra,BYLB Eternal,Ezreal,2021Worlds0076,Vel'Koz,TomTakko,Gangplank,YQSH,Diana,apffysb,Yasuo,cinca,Tristana,Labrador,Pyke,Aho Baka
5482574023,win,Ranked Solo,2021-09-29 07:06:22,22m 43s,9,4,4,3.25:1,Double Kill,empty,Graves,Diamond 4,empty,Trundle,Snoku,Elise,S65,Kalista,reform,Draven,IcelandWalrus,Zilean,L9 AMANDA,Graves,YQSH,Karthus,Mοrdred,Pantheon,DIKU Daddel,Vayne,CocaCola Monster,Nami,Prοtagonist
5481712682,lose,Ranked Solo,2021-09-28 19:41:52,23m 15s,1,4,1,0.50:1,empty,empty,Gangplank,Master,empty,Gangplank,YQSH,Nidalee,stabiles ego,Anivia,Δrticuno,Kog'Maw,SunShine Ali,Nami,TD Gimme,Gnar,reformedxxxF,Lee Sin,Dinner first,Sylas,Kimchi3,Senna,LL MI6,Pyke,MegumiNx
5481383907,win,Ranked Solo,2021-09-28 08:24:58,24m 35s,3,5,6,1.80:1,Double Kill,empty,Gangplank,Diamond 2,empty,Gnar,EU POLIZEI,Jarvan IV,Vafrous,Sylas,land of ice,Caitlyn,Máje,Nami,noxsb,Gangplank,YQSH,Viego,knv2,Vex,Late Blσσmer,Jinx,2021Worlds0171,Rakan,2021Worlds0173
5481300164,win,Ranked Solo,2021-09-28 07:54:26,31m 55s,18,4,8,6.50:1,Double Kill,empty,Gangplank,Diamond 2,empty,Sett,Nandiskito,Ekko,White Whales,Yone,Shrimp Shark,Ezreal,2021Worlds0171,Braum,2021Worlds0173,Gangplank,YQSH,Lee Sin,Dinner first,Kassadin,ΚatScript,Kalista,S11Tian,Amumu,Dear Donda
5481296033,lose,Ranked Solo,2021-09-28 07:03:52,16m 26s,2,9,4,0.67:1,empty,empty,Irelia,Diamond 1,empty,Irelia,YQSH,Taliyah,S11Tian,Zed,Goldguns88,Ezreal,Kuroikenshin,Nautilus,Rëkkles,Fiora,LNGLNGLNG,Lee Sin,LngLng,Twisted Fate,Jin Mu Wοn,Ziggs,TRL MechaNics,Xerath,i need 300 euro
5481291003,win,Ranked Solo,2021-09-28 06:36:47,23m 6s,1,5,3,0.80:1,empty,empty,Tryndamere,Diamond 1,empty,Tryndamere,YQSH,Ekko,S11Tian,Draven,Swenzu reborn,Lucian,i dont like game,Nami,mvp or ace,Fiora,lucky iceland ,Lee Sin,2021Worlds,Ryze,SUPERCONDUCTOR53,Kai'Sa,fast as sonic,Rell,güçlü bok
5481137870,win,Ranked Solo,2021-09-28 05:22:28,21m 5s,3,3,2,1.67:1,empty,empty,Graves,Diamond 2,empty,Graves,YQSH,Ekko,S11Tian,Pantheon,Martever,Tristana,ODINHO,Nami,noxsb,Renekton,Nuevo Chimbote,Lee Sin,jungler Bartuś,Twisted Fate,Serega Pirαt,Lucian,DWG FLCL,Maokai,PWN JuenSupport
5479628565,lose,Ranked Solo,2021-09-27 07:58:12,20m 1s,1,5,2,0.60:1,empty,empty,Graves,Diamond 3,empty,Graves,YQSH,Qiyana,Expecto Patrounm,Yone,Rugemanee,Twitch,Odivonnior,Leona,JANGOOOOOOO V2,Camille,Kimchi3,Jarvan IV,Dinner first,Galio,Viikingr,Ezreal,Icelandwinter,Brand,Cawotte Moe
5479684185,win,Ranked Solo,2021-09-27 07:28:45,24m 38s,11,9,11,2.44:1,Double Kill,empty,Tryndamere,Diamond 1,empty,Tryndamere,YQSH,Qiyana,Expecto Patrounm,Kassadin,VErneriii,Tristana,St0ne Fr33,Alistar,cirodalA,Kennen,nio top acc,Talon,Dinner first,Draven,Kimchi3,Yasuo,Loghos,Taric,Pablov9
5479587376,win,Ranked Solo,2021-09-27 06:48:32,33m 54s,10,7,7,2.43:1,Double Kill,empty,Graves,Diamond 3,empty,Jax,HIVE reptilezero,Talon,345242367,Sylas,Belderiver,Ezreal,EUL ADMIN 2,Amumu,Jeeno,Graves,YQSH,Qiyana,Expecto Patrounm,LeBlanc,shillingsbolle,Draven,Farrak,Gragas,JUNGLEKINGDOM123
5479458414,lose,Ranked Solo,2021-09-27 05:52:09,31m 43s,5,7,7,1.71:1,empty,empty,Jinx,Diamond 4,empty,Pantheon,bigboyrhino,Taliyah,2021Worlds0066,Zed,woshilqs,Aphelios,those days gone,Lulu,edating 8,Sylas,kníght zz,Talon,L9 SUSSY BAKA,Annie,Cawotte Moe,Jinx,YQSH,Thresh,ACKERMÁN
5479266100,win,Ranked Solo,2021-09-27 03:41:52,16m 10s,11,4,3,3.50:1,Double Kill,empty,Tryndamere,Platinum 1,empty,Gangplank,Malinový Žalud,Trundle,trung le,Orianna,they taIk about,Aphelios,laozitianye,Blitzcrank,woshidoinb,Tryndamere,YQSH,Viego,Expecto Patrounm,Cassiopeia,sTv mate,Karthus,tempvvunswgcsqgc,Senna,ASDFGOFFXD
5479199558,win,Ranked Solo,2021-09-27 03:11:06,19m 53s,10,2,5,7.50:1,Triple Kill,MVP,Graves,Diamond 2,empty,Yasuo,TheWanderingPoro,Diana,Expecto Patrounm,Graves,YQSH,Tristana,UZIs Overman,Leona,Minds Museum,Gwen,Rzoqo,Zed,ACKERMÁN,LeBlanc,rdmt,Lucian,laozitianye,Yuumi,woshidoinb
5479115300,win,Ranked Solo,2021-09-27 02:44:42,21m 37s,6,3,8,4.67:1,empty,empty,Graves,Platinum 1,empty,Darius,Torags Helm 0,Hecarim,I Am Doaenel,Akali,PPDYHGEJ,Ezreal,SeaNoon,Yuumi,lost in misery,Graves,YQSH,Ekko,Expecto Patrounm,Ryze,RAJEL 1vs9,Tristana,flawless kite,Pantheon,ACKERMÁN
5478918512,win,Ranked Solo,2021-09-27 01:10:32,22m 52s,9,4,9,4.50:1,Double Kill,empty,Graves,Diamond 4,empty,Riven,LiVERPASTEADDiCT,Diana,reset my blue,Yasuo,Mοrdred,Ezreal,Jason Luv,Yuumi,Daddys Pet,Graves,YQSH,Qiyana,Expecto Patrounm,Galio,rdmt,Kai'Sa,TortugachiGasm,Seraphine,eLS Kioz0m
5478972002,win,Ranked Solo,2021-09-27 00:36:11,20m 20s,6,2,3,4.50:1,Double Kill,empty,Kennen,Diamond 1,empty,Tryndamere,Tom And His Dong,Olaf,Modi Boo,Kayle,Foxieee,Samira,Hêry Potter ,Amumu,Genius Here,Kennen,YQSH,Elise,Paracemuteall,Yone,P A V A R O T T,Lucian,ohVirTua,Braum,eLS Kioz0m
