gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5469842428,win,Ranked Solo,2021-09-23 02:31:38,26m 41s,6,5,11,3.40:1,empty,empty,Graves,Grandmaster,empty,Gwen,따봉 람머스,Nidalee,싸움 기피증,Sett,공부하기시러요,Ezreal,더기 김경덕,Leona,I백년언약I,Graves,fashion여자,Talon,Co24,Kennen,돌이킬 수 있는,Samira,load L92k8UEM6QZ,Braum,Mocha
5469830394,lose,Ranked Solo,2021-09-23 01:58:01,15m 52s,1,7,1,0.29:1,empty,empty,Graves,Master,empty,Graves,fashion여자,Vi,앤 쥐,Cassiopeia,군빵맨,Xayah,아 나이뜨,Alistar,2021Worlds0173,Rengar,더기 김경덕,Ekko,lucky boy2,Irelia,병아리크면수탉,Lucian,123213321,Leona,I백년언약I
5469772227,lose,Ranked Solo,2021-09-23 01:05:58,28m 49s,2,13,1,0.23:1,empty,empty,Irelia,Master,empty,Jayce,kfo,Vi,앤 쥐,Zoe,youtube 비브이,Ezreal,xixixlxix,Alistar,xccccccvb,Irelia,fashion여자,Nidalee,마음한켠이허전해,Tryndamere,time or time,Lucian,wu tiao jian,Leona,1128321
5469607722,win,Ranked Solo,2021-09-23 00:27:59,26m 10s,10,7,4,2.00:1,Double Kill,empty,Irelia,Master,empty,Irelia,fashion여자,Talon,ScyIIa,Zilean,해병대출신미드,Lucian,cxzqweasd,Nami,의빈아열심히살자,Akali,Luv Lauv,Graves,love beijixing,Twisted Fate,a new beginn1ng,Kai'Sa,wu tiao jian,Bard,Purpo지니
5469559117,win,Ranked Solo,2021-09-22 23:48:59,33m 59s,9,2,4,6.50:1,Double Kill,MVP,Jayce,Grandmaster,empty,Taric,DangerousBoy ady,Shyvana,a new beginn1ng,Qiyana,새콤달콤 하 다,Syndra,기차나나나나,Alistar,김은지전용노예,Jayce,fashion여자,Zac,부산여행 떠나기,Tryndamere,Slowly Song,Jinx,wu tiao jian,Trundle,리액션단돈만원 
5469504034,win,Ranked Solo,2021-09-22 23:07:42,21m 8s,17,3,10,9.00:1,Triple Kill,MVP,Graves,Master,empty,Darius,hfubVHDVuAWVF ,Ekko,who do you love,Irelia,병아리크면수탉,Lucian,기차나나나나,Taric,Cherry Bloss0m,Gragas,DangerousBoy ady,Graves,fashion여자,Galio,badqwer,Draven,애기야 안녕,Braum,4 10 UP
5469478203,lose,Ranked Solo,2021-09-22 22:39:56,19m 9s,4,11,2,0.55:1,empty,empty,Graves,Master,empty,Graves,fashion여자,Poppy,DangerousBoy ady,Zoe,강아지도 좋아,Vayne,cer,Taric,짜요짜요먹고싶어,Irelia,Saint Diana,Nidalee,EDG XIAMU,Sylas,기차나나나나,Yasuo,은가뉴,Rakan,호두두
5469421142,lose,Ranked Solo,2021-09-22 22:02:09,18m 31s,2,7,7,1.29:1,empty,empty,Gangplank,Master,empty,Irelia,함구무언1,Ekko,hyc0505,Anivia,douyu TV 9018814,Ezreal,hong he wo de,Gangplank,fashion여자,Graves,i am Decade,Taliyah,byz,Gragas,kiwi doctor,Aphelios,shangtougui,Rakan,Road1
5469251382,win,Ranked Solo,2021-09-22 20:46:15,34m 7s,11,9,18,3.22:1,Double Kill,MVP,Graves,Grandmaster,empty,Camille,xccccccvb,Lee Sin,블루리쉬잘해요,Sylas,213435,Lucian,향 깃,Thresh,Quiero ganar,Graves,fashion여자,Talon,전상득,Ryze,Lee weon bin,Kai'Sa,북극곰 아프다,Blitzcrank,치쯔스틱
5468710815,lose,Ranked Solo,2021-09-22 18:40:08,15m 11s,0,3,2,0.67:1,empty,empty,Sylas,Master,empty,Sett,DK Ira,Ivern,조광희,Sylas,fashion여자,Varus,돼지국밥뼈해장국,Leona,따뜻하게대해줘요,Aatrox,울라프뿌삐워웍,Lee Sin,DK Leaf,Twisted Fate,진쏘킴,Lucian,HHHoney,Lulu,교잘도
5468662264,lose,Ranked Solo,2021-09-22 18:07:18,25m 5s,8,8,2,1.25:1,Triple Kill,ACE,Graves,Master,empty,Graves,fashion여자,Taliyah,DK Leaf,Zoe,나도 행복하자,Ezreal,pilotl0l,Janna,zhao si ma gun,Gangplank,나의 치유 게임,Nidalee,20200902start,Qiyana,SanShengWanWu,Lucian,신이되고싶었는데,Karma,Ottogl
5468504726,lose,Ranked Solo,2021-09-22 17:33:21,30m 8s,4,4,3,1.75:1,Double Kill,empty,Graves,Grandmaster,empty,Graves,fashion여자,Diana,DK Leaf,Yasuo,나도 행복하자,Ezreal,심신미안,Thresh,강하다 별,Irelia,i am Decade,Poppy,Iove poppy,Zed,온 재,Cassiopeia,킬러톱,Amumu,KT VicLa
5468400106,win,Ranked Solo,2021-09-22 16:30:23,34m 25s,5,8,5,1.25:1,empty,empty,Graves,Master,empty,Kennen,충주갱수,Qiyana,노구현,LeBlanc,할까할땐하자,Ashe,KR Spoon,Nautilus,Quiero ganar,Graves,fashion여자,Rumble,Mon seul amour,Sett,Denity,Ezreal,DalKa,Rakan,Uneasy0o0
5467458151,lose,Ranked Solo,2021-09-22 03:33:43,21m 44s,4,5,4,1.60:1,ACE,empty,Graves,Grandmaster,empty,Jax,guocuofans,Ekko,a little story,Irelia,병아리크면수탉,Draven,Slayder,Thresh,햄스터쳇바퀴인생,Graves,fashion여자,Taliyah,sao ma do duoc,Sylas,모 마,Lucian,메 피,Braum,MNTNMNTNM
5467426325,win,Ranked Solo,2021-09-22 02:57:41,16m 10s,2,3,0,0.67:1,empty,empty,Graves,Grandmaster,empty,Shen,06 05 19,Nidalee,일산전영찬,Lulu,LunaLina,Miss Fortune,Slayder,Amumu,3donghezecaoxian,Graves,fashion여자,Nunu & Willump,0p챔만하는사람,Sylas,KT VicLa,Kalista,항상배고픈코그모,Nami,레일리리
5467423250,lose,Ranked Solo,2021-09-22 02:35:50,22m 50s,11,6,3,2.33:1,Double Kill,ACE,Gangplank,Master,empty,Irelia,Ok thoi,Volibear,클로이정태,Katarina,kata 1000,Ezreal,yelb,Amumu, chacka chicky,Gangplank,fashion여자,Kha'Zix,기분좋게z,Graves,gfdgsr111,Ziggs,문월2,Rell,짐승왕 보노보모
5467357416,win,Ranked Solo,2021-09-22 02:05:58,29m 15s,6,6,11,2.83:1,Double Kill,empty,Gangplank,Master,empty,Kennen,Shirakami Fubuk1,Talon,제드팀 하원,Graves,Ellyyy,Ziggs,hopeisdangerous,Nautilus,superlative tool,Gangplank,fashion여자,Poppy,Iove poppy,Sylas,borenzhuan,Lucian,EDGzhao67542158,Lulu,큐 지
5467340082,win,Ranked Solo,2021-09-22 01:23:47,32m 8s,13,5,12,5.00:1,Double Kill,empty,Graves,Master,empty,Graves,fashion여자,Karthus,Ellyyy,Sylas,갱값하는미드,Kai'Sa,bai si yyds,Shen,메 피,Irelia,거북이사건,Lee Sin,제드팀 하원,Ekko,heisiwodezuiai,Miss Fortune,AF AiRu,Amumu,SnowFlow2r
5467291891,win,Ranked Solo,2021-09-22 00:46:17,29m 5s,9,6,5,2.33:1,Double Kill,empty,Graves,Master,empty,Lee Sin,Chengnianren,Nunu & Willump,피들스틱KING,Lux,달빛 여왕 럭스,Ezreal,hopeisdangerous,Nami,G4MBLEER,Graves,fashion여자,Trundle,NeverLand,Twisted Fate, youwillsucceed,Aphelios,hhjbb,Rell,xiaoxinchaoren
5467146534,win,Ranked Solo,2021-09-22 00:10:37,24m 45s,9,1,11,20.00:1,MVP,empty,Zed,Grandmaster,empty,Gnar,BJ갈배,Xin Zhao,DWG Bubbling,Graves,TOP KINGDOM,Samira,향 깃,Maokai,Dnehraw,Jayce,공부하기시러요,Zed,fashion여자,Lulu,LunaLina,Lucian,기차나나나나,Soraka,메 피
5463669531,win,Ranked Solo,2021-09-20 16:16:07,23m 23s,5,4,5,2.50:1,empty,empty,Graves,Grandmaster,empty,Graves,fashion여자,Viego,orah,Ryze,권 지 인,Jinx,평범한 숟가락,Thresh,변화하다,Jax,77GameZting,Lee Sin,irasu1,Galio,향 깃,Aphelios,rekresreb,Nautilus,Let me sup
5463203113,lose,Ranked Solo,2021-09-20 03:06:55,24m 20s,4,5,2,1.20:1,empty,empty,Graves,Master,empty,Tryndamere,서울고속도로,Zed,CITRU5,Zilean,ZhanQi,Ezreal,JYFzz,Yuumi,신비한 뱀,Graves,fashion여자,Lee Sin,mohuado,Ryze,꿀열매먹고보자,Vayne,왜나는안봐줘,Braum,레일리리
5463108741,lose,Ranked Solo,2021-09-20 02:25:56,25m 3s,3,8,4,0.88:1,empty,empty,Graves,Grandmaster,empty,Irelia,Trisak,Nidalee,일산전영찬,Sett,00000000002,Draven,unlucky boy1,Nami,옆동산외계인,Graves,fashion여자,Lee Sin,산속의 토끼,Katarina,Emilia tan,Lucian,BRO Hena,Lulu,Let me sup
5463064090,lose,Ranked Solo,2021-09-20 01:39:41,19m 26s,3,7,0,0.43:1,empty,empty,Graves,Grandmaster,empty,Graves,fashion여자,Kayn,xhr,Qiyana,못할 때도 있지,Kai'Sa,xladnsrodufqkesp,Nautilus,FA Sloth,Sett,Sutkressuree,Nidalee,Makeri ta,Jayce,hggbexrloo,Ezreal,fdadffdfa,Karma,어딘가좀아픈사람
5462976472,lose,Ranked Solo,2021-09-20 01:04:04,28m 28s,5,12,10,1.25:1,empty,empty,Graves,Master,empty,Vayne,이스포츠 프롬,Talon,zhaozhaozhaoo,Zoe,퀸 세연,Draven,unlucky boy1,Leona,선생님 맛없어요,Graves,fashion여자,Karthus,xladnsrodufqkesp,Irelia,Qufl,Varus,하 루 가절 반 ,Nami,레일리리
