gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490237644,win,Ranked Solo,2021-10-04 05:40:12,23m 16s,8,1,6,14.00:1,Double Kill,MVP,Draven,Master,empty,Aatrox,Sack,Lee Sin,WeS Trizzy,Orianna,Cart00nCharacter,Draven,Dinner first,Amumu,ACKERMÁN,Jayce,Kimchi3,Kindred,معزة,Twisted Fate,icelandxuechan,Jinx,Viper sama,Soraka,Erilarion
5490039673,win,Ranked Solo,2021-10-04 04:01:13,25m 6s,8,4,6,3.50:1,Double Kill,empty,Talon,Master,empty,Poppy,PippilOPPY,Rengar,7MDN,Twisted Fate,Cambodian Ranger,Lucian,moxokx,Nami,GodChele,Gwen,mumus100,Talon,Dinner first,Ryze,VEG Keysie,Draven,n 456,Alistar,Deffaren
5489994382,lose,Ranked Solo,2021-10-04 03:22:57,25m 41s,7,9,3,1.11:1,Triple Kill,empty,Kai'Sa,Master,empty,Aatrox,lluνia,Viego,BestCzechJungler,Twisted Fate,Jin Mu Wοn,Jinx,CREØN,Lulu,Naori Imeris,Fiora,Ou TheLady Ou,Kayn,Peter FaIktoft,Sett,the topgapper,Kai'Sa,Dinner first,Rakan,Fiza
5489564926,win,Ranked Solo,2021-10-04 01:29:06,33m 25s,17,5,14,6.20:1,Triple Kill,MVP,Diana,Master,empty,Akali,CrepeChinoises,Lee Sin,Spray x,LeBlanc,Enkaí,Kai'Sa,n 456,Leona,memento vivire,Yone,BLACKMETALTERROR,Diana,Dinner first,Yasuo,Cypiisuo,Xayah,Endlessz,Rakan,SUP Toxic Keskin
5488888482,lose,Ranked Solo,2021-10-03 19:50:57,24m 19s,2,4,5,1.75:1,empty,empty,Poppy,Master,empty,Irelia,LNGLNGLNG,Poppy,Dinner first,Zoe,LDNU Koussay3,Lucian,NOX ilyy,Nami,SheSho,Camille,Darlik1,Lee Sin,2021Worlds,Karma,Yuumus Decimus,Jhin,Slyv3r,Rakan,Adım Barkın
5488646104,win,Ranked Solo,2021-10-03 09:35:03,27m 3s,11,5,15,5.20:1,Double Kill,empty,Qiyana,Master,empty,Kled,ZONGO LE DOZØ,Qiyana,Dinner first,Twisted Fate,Dvek,Yasuo,Cypiisuo,Thresh,KiIIuα Zoldyck,Aatrox,Dyoll,Nidalee,LSADSDD,Tryndamere,Kimchi3,Lucian,SAUCE WALKA,Braum,2021Worlds0057
5488519203,lose,Ranked Solo,2021-10-03 08:04:16,18m 9s,2,9,1,0.33:1,empty,empty,Qiyana,Master,empty,Vayne,Sorest,Qiyana,Dinner first,Ryze,Fαllεn 3,Lucian,CocaCola Monster,Nami,Sn1lle,Jax,Shiawase,Fiddlesticks,EtoTudaEtoSuda,Ezreal,moxokx,Tryndamere,nangman topsolo,Bard,Acorderr
5488503670,lose,Ranked Solo,2021-10-03 07:28:22,27m 1s,5,10,2,0.70:1,empty,empty,Vayne,Master,empty,Gwen,LNGLNGLNG,Fiddlesticks,Officer Brown,LeBlanc,ELF Valin,Ezreal,Dattu,Pyke,Jaridot13,Kennen,Jervo,Rek'Sai,Geldo,Irelia,I love mages,Vayne,Dinner first,Janna,something 2 lose
5488456906,lose,Ranked Solo,2021-10-03 06:48:58,24m 14s,4,8,3,0.88:1,empty,empty,Lee Sin,Master,empty,Fiora,Davitzon,Lee Sin,Dinner first,Kog'Maw,MnymMnym6,Lucian,2021Worlds0171,Lulu,ºKokomiº,Quinn,Headache Man,Rek'Sai,Win or Valhalla,Vex,I love mages,Cassiopeia,prev,Nami,5M Tiagito
5488330025,win,Ranked Solo,2021-10-03 06:00:04,24m 21s,14,4,4,4.50:1,Triple Kill,MVP,Vayne,Master,empty,Yone,KaTUNSKyTEwffxoj,Ivern,CRIPPLED JGLXD,Sett,aléc,Vayne,Dinner first,Bard,Lil Ûzi Vert,Urgot,NieUfamCiJezu12,Ekko,give me mid ok,Irelia,FrostSize,Tristana,sajatoruu,Sylas,r plus seven
